episode,acc_reward,length,cost,res_wasted
1,19.400698482990265,40,4702067.407999999,0.0
2,216.0433806180954,367,4271695.265831059,0.0
3,214.4710333943367,388,3227187.0647422685,0.0
4,115.60971593856812,165,3100135.3396363626,0.0
5,179.87701869010925,398,3438083.432361806,0.0
6,81.65282535552979,131,2964826.945954199,0.0
7,66.69759517908096,114,3282198.0084210522,0.0
8,185.6298215687275,368,4343127.765217393,0.0
9,186.3879151046276,466,4462465.915879833,0.0
10,53.56293696165085,105,3951991.347809524,0.0
11,139.15905061364174,367,4295469.70114441,0.0
12,61.584334790706635,105,3334541.6868571434,0.0
13,63.289372742176056,105,3530594.311619048,0.0
14,361.2107464969158,1293,4601556.538530555,0.0
15,68.89058011770248,157,3763579.2733757957,0.0
16,53.99257743358612,115,3139040.660869565,0.0
17,349.15213826298714,1519,4199435.344516118,0.0
18,99.2801364660263,234,3255214.514871797,0.0
19,258.73834443092346,943,3618799.69170731,0.0
20,57.37923443317413,80,3396518.1760000004,0.0
21,76.26197409629822,103,2875604.792233009,0.0
22,89.0588430762291,132,2831064.2363636377,0.0
23,108.26401787996292,231,3498967.5858008666,0.0
24,276.191726654768,943,3965475.31384942,0.0
25,149.3955706357956,368,2879336.433913046,0.0
26,96.77167838811874,151,2776371.104635762,0.0
27,73.73826694488525,112,3355943.661428571,0.0
28,102.7712072134018,170,2679658.7614117656,0.0
29,199.479667365551,398,3372761.630552763,0.0
30,157.82777553796768,414,3800261.6498550707,0.0
31,170.93557769060135,368,3540343.4582608705,0.0
32,73.11842978000641,109,3156599.684403671,0.0
33,171.48277342319489,367,3476178.5347138997,0.0
34,55.75701719522476,80,3306932.5979999984,0.0
35,62.956232249736786,89,3220142.773932584,0.0
36,119.8973947763443,229,3002152.8419213975,0.0
37,46.272518157958984,68,3816800.6964705884,0.0
38,153.80423748493195,240,2620772.7353333333,0.0
39,65.342380464077,111,2945453.6590990983,0.0
40,318.5080977678299,675,3700712.966399998,0.0
41,328.9713661670685,749,4044590.053297729,0.0
42,63.30229294300079,83,2544255.8843373493,0.0
43,59.19614887237549,79,2981264.7412658227,0.0
44,59.28475737571716,96,3606975.6766666663,0.0
45,94.89681857824326,164,2730321.393170733,0.0
46,68.4266506433487,125,3073550.506240001,0.0
47,61.102251291275024,79,2676800.6784810117,0.0
48,185.41304564476013,426,2958046.1584976525,0.0
49,201.56329745054245,441,2946382.1663492066,0.0
50,76.97011476755142,154,2679505.0794805186,0.0
51,65.67917656898499,104,2525267.96,0.0
52,63.991262316703796,79,2182144.2551898737,0.0
53,62.52701789140701,79,2429554.3716455707,0.0
54,60.80645316839218,79,2707534.104303797,0.0
55,60.29147160053253,79,2781809.478481013,0.0
56,58.35940968990326,79,2423261.055189873,0.0
