episode,acc_reward,length,cost,res_wasted
1,32.34067612886429,51,594094.6447058821,0.0
2,147.55583679676056,222,584731.0261261263,8.046025456608954
3,272.22516387701035,411,594108.570413625,591.2155993385037
4,963.7861338853836,1672,597946.4555502398,13.066022297982395
5,926.1257389783859,1726,596751.9634298963,379.8299798180855
6,455.84297609329224,791,595041.6042477872,17.242790598332807
7,142.05190181732178,213,580142.5979342723,4.480745557328345
8,152.3316598534584,228,578843.3787719301,0.13606181897615133
9,84.89940935373306,130,591493.8732307695,3037.982798414964
10,451.3687986731529,697,623605.1412338592,541.1719433033312
11,148.59665566682816,223,581525.6997309419,209.21712969450672
12,151.51840436458588,228,584683.423508772,457.64736617238896
13,102.08576261997223,154,581993.8015584416,14.467025162337663
14,152.47383552789688,231,583069.8625108226,0.0
15,103.01426964998245,156,586263.7661538462,282.8633000300481
16,157.60105365514755,237,584885.716624473,22.40786781793908
17,95.55262833833694,150,613135.1706666665,10221.459990234374
18,147.99721759557724,222,581097.7452252252,0.0
19,158.0340994000435,242,590498.9398347109,1142.1842651367188
20,313.5392817258835,473,593766.8435517971,944.0534384084302
21,1207.0180572867393,2016,606762.1575198415,207.9218908037458
22,590.1235536336899,919,622334.0786507077,2041.0511592827631
23,264.9494512081146,403,603457.0253101736,0.0
24,525.5935071706772,815,590738.7078773016,4.761118733224693
25,386.7282484173775,588,605315.2495238094,99.78940130739795
26,151.62837249040604,229,589606.5917903925,0.0
27,94.25003749132156,142,578805.9278873239,0.22161435409330985
28,119.25026887655258,190,599775.6762105264,6.534355725740132
29,241.54254299402237,365,594721.9743561638,294.60995592091183
30,86.4948018193245,131,583082.0534351146,0.0
31,441.49570059776306,697,613868.0712195121,1.7599892746256276
32,91.71933573484421,139,585130.8486330935,77.52330928226169
33,287.311865568161,430,584865.0856744187,61.53383363235829
34,108.56405580043793,164,584709.70195122,0.0
35,105.56669241189957,160,584758.5192499995,2425.365898132324
36,92.35367918014526,141,589844.5395744685,3092.162530127992
37,260.9455437064171,402,613510.1735323387,3512.099435379256
38,141.06843435764313,213,588291.3010328633,0.0
39,1097.6137319207191,1909,648515.777160818,144.50326418189744
40,94.80288988351822,143,580220.1060139858,0.0
41,343.3159826993942,516,590828.0899224808,224.95226908839027
42,87.58656561374664,132,576859.1875757574,451.68564397638494
43,412.9491837620735,654,602791.43119266,1595.5148074648796
44,84.06721431016922,127,579230.5892913385,0.0
45,147.1305079460144,222,587825.0189189191,187.27670040646115
46,161.98149526119232,243,582395.1190123453,0.0
47,140.96025609970093,214,591246.5510280374,2661.1020838657273
48,261.9764843583107,398,596036.1520603019,4277.846209808809
49,98.95679724216461,150,586269.6738666667,637.356357421875
50,335.86814868450165,507,596108.623431953,13.406039807923447
51,87.14123910665512,132,582792.8936363637,505.1974348588423
52,640.4674715399742,1101,614583.5961852865,3322.4488631827953
53,985.0499062538147,1573,603760.6506802299,34.194433640312106
54,431.232430934906,806,620783.9279404464,2434.4946949393225
55,258.72175645828247,406,605144.6575369454,1.2702305986376232
56,83.90349620580673,127,581534.3155905509,11.5894775390625
57,91.03172677755356,138,585332.8281159421,0.0
58,147.54739385843277,222,584727.9754954951,84.27398516680744
59,269.25004184246063,413,590022.2534624698,487.1405484474312
60,327.39973121881485,501,596549.1271856287,1295.6214716562968
61,511.3678562641144,806,595814.4511662534,2.4835426198045907
62,275.3488681912422,411,581323.3495863748,3.5188059563184306
63,149.3938215970993,226,591353.832920354,0.0
64,334.0776060819626,504,595157.2543650795,191.95979963030135
65,94.81232702732086,143,580109.4111888112,6.329861300808567
66,952.335896551609,1638,600770.9699145294,13.430177122682005
67,321.2960847020149,518,596498.8863320459,0.0
68,488.4636628627777,800,603339.4515999998,948.3973777770996
69,86.01399600505829,131,589666.5367938931,0.35665311158158397
70,285.00322872400284,433,589077.2520092372,4.235896791101328
71,920.1296689510345,1672,583936.5160287089,55.23795022918847
72,419.8781537413597,688,613281.9788953491,2057.6421805093455
73,589.503220975399,997,611393.2866198596,289.7708980212121
74,264.4298886656761,432,588385.2099999996,2.204137166341146
75,669.7743923068047,1052,616549.2827756653,0.09885293358632367
76,658.4574548006058,1095,625490.8348127847,598.9534473994007
77,459.0250087380409,765,622455.2324705875,157.6046444163603
78,313.0419210791588,481,594384.0446569647,18.057103781591085
79,277.7747092247009,416,585407.4703846155,2.5349420400766225
80,424.12235790491104,683,600927.3850658861,0.0
81,155.7146890759468,233,578810.4015450645,0.5172061510863734
82,99.779345870018,151,585082.4294039735,186.32802314000415
83,334.3774213194847,526,591568.7201520909,644.5415644772605
84,154.024154484272,233,588721.1318454939,2264.785334378353
85,459.23449993133545,722,615675.2159002774,1856.1797727125172
86,880.1845682859421,1578,630210.6490240804,462.8704659929747
87,637.8356332182884,969,606350.8674097003,54.455713797649
88,258.8529824614525,417,615212.5473381297,6993.8033535086
89,264.35498082637787,416,585467.5287499997,187.7776812039889
90,149.19653916358948,235,612391.5748085107,8010.297879093251
91,787.6849761009216,1261,609151.3469310071,0.34057355815696866
92,488.57041692733765,815,602903.6337668718,75.67696630559816
93,306.5574155449867,502,591763.1953784861,1631.177111621872
94,313.6970057487488,506,597319.8568379448,1.8568023561017786
95,478.80984872579575,736,619178.1941847823,5.935117472773013
96,260.8827009797096,404,618166.3361386145,2481.385343646059
97,83.62511324882507,128,594997.2621875005,22.115821838378906
98,247.7198947072029,437,623237.6714874139,1161.7901382271702
99,83.99920988082886,129,592933.8263565892,4279.064966955851
100,105.78055334091187,159,578326.4435220127,0.0
101,150.85690903663635,238,596060.9689075631,0.0
102,252.62750989198685,406,590583.2304433496,0.0
103,126.33242458105087,229,666040.536069869,19333.22864089366
104,149.69472032785416,228,596557.9761403505,2212.3502341822573
105,262.3234043121338,430,619301.6937674419,1.8749165379723838
106,98.15063762664795,150,596551.1728000005,0.0
107,390.82127380371094,878,656183.168154898,40.34807084415931
108,92.8580994606018,141,587745.6672340425,0.0
109,86.72683930397034,131,579562.1487022905,271.38768226681776
110,92.42774379253387,149,602566.782818792,2.3509046311346475
111,609.919821023941,1563,659321.1734101075,845.5185282115973
112,272.2884418964386,509,603909.4209037328,4059.1849070251105
113,398.8069828748703,786,628348.6872264631,6190.789070420593
114,245.18969345092773,422,596653.443317536,551.2389824311315
115,87.73520195484161,136,575546.8461764707,12.229673497817096
116,154.90671688318253,241,579854.1097095433,185.97955752804071
117,221.26654958724976,407,592192.7271744476,2084.74563096255
118,352.31815457344055,686,623863.7190087453,28.350672952635296
119,433.0693165063858,1157,614013.9923595501,1437.3820529631118
120,389.42190903425217,1020,608014.4815294116,275.42340087890625
121,195.9432001709938,411,615646.5483211676,3693.1276124828923
122,95.55744636058807,146,593084.7446575343,2032.2791873461579
123,84.3744615316391,144,585505.5177777779,0.0
124,84.18370687961578,154,588912.9690909091,0.0
125,210.85523122549057,445,596035.0203146068,199.37122212956461
126,302.82327622175217,734,617016.1243596728,6528.86630739633
127,68.74661964178085,126,587638.2479365082,556.0399344308036
128,64.43308758735657,130,595371.578153846,0.43100210336538464
129,521.7919471859932,2016,625145.3738888889,514.7601732526507
130,58.87170648574829,139,602003.0722302158,43.358769039455936
131,46.87605905532837,114,604545.4677192984,0.0
132,50.090052247047424,121,605210.8776859504,788.0851990250517
133,50.094812750816345,119,605657.43394958,0.0
134,54.42508262395859,120,592291.4946666666,839.9600646972656
135,59.291474878787994,112,590070.095357143,134.5745348249163
136,74.90783214569092,118,585835.3322033896,112.05888961533368
137,73.06895554065704,135,626938.5626666667,7892.020491536458
138,108.15289372205734,171,596437.8348538011,6.659231085526316
139,616.1588811278343,1942,613503.0065087533,667.7485244703834
140,43.16646230220795,119,620244.2373109246,344.83497119550947
141,47.070292949676514,120,620612.6963333334,0.0
142,46.45890897512436,131,595286.5251908397,0.0
143,56.95354551076889,122,599217.355737705,89.83806872758709
144,51.64006417989731,115,616066.4493913044,623.9844599184783
145,40.2002557516098,72,600089.763888889,542.3617553710938
146,63.37852305173874,133,630549.9669172931,0.0
147,59.22015869617462,121,616962.6747107441,679.497839052815
148,122.74817478656769,198,616631.534949495,0.0
149,66.57951319217682,120,603378.256666667,552.2959899902344
150,25.12787425518036,40,588113.515,0.0
151,47.535355627536774,73,581039.7967123286,0.0
152,29.883459389209747,47,585536.9914893617,0.0
153,32.56224715709686,51,585989.1913725489,0.0
154,52.438082218170166,81,589481.2508641975,1862.3939751519097
155,44.12017959356308,68,582235.331764706,0.0
156,160.7611563205719,518,587192.0533590734,1.953350052410111
157,72.77550673484802,133,587734.9615037596,180.86687085144501
158,234.99047774076462,713,614686.5896774193,2056.004931092764
159,40.91014117002487,139,604481.3159712234,53.57412566040917
160,41.89720767736435,131,617404.3276335881,3477.34442278447
161,46.507934391498566,132,605826.2587878786,1348.233797940341
162,56.601106107234955,130,611846.4603076923,0.0
163,65.8549575805664,149,608714.6904697986,97.59175918886325
164,45.16215467453003,126,617751.3761904764,0.0
165,48.70081281661987,129,609280.1345736437,342.13788267623545
166,55.939618825912476,138,609075.5414492756,0.0
167,57.61419719457626,117,625994.5230769231,7016.318359375
168,52.53861749172211,119,608811.9018487394,51.56286313353466
169,172.94532579183578,2016,633939.2224404769,1625.627709524972
170,144.73476469516754,735,599520.1049795925,0.0
171,43.17451524734497,133,615822.2069172934,5340.089677624236
172,35.85684788227081,122,592774.1449180328,0.0
173,32.28219759464264,127,602726.0645669291,172.10058785986712
174,115.63581216335297,414,615470.3715942028,27.013602878736414
175,46.20744889974594,133,628295.7999999999,1048.035616996593
176,76.92547112703323,392,567608.7244897955,0.0
177,79.76908856630325,263,551734.760152092,1160.586575700303
178,116.74672168493271,511,558833.7532681022,1862.9867497572927
179,98.10014873743057,443,555292.7629796844,1119.4968267229824
180,106.91671895980835,490,546585.5220408163,259.77161865234376
181,151.26879599690437,715,631950.4770909094,930.8635750723886
182,94.90071767568588,383,538734.2142036549,2465.616628781311
183,88.20923316478729,416,578964.5052884618,605.3250635587252
184,115.50104415416718,444,522394.67531531485,500.04345455685177
185,50.76944798231125,192,501321.95854166645,0.0
186,139.49409526586533,394,515154.0936040609,2891.320301346367
187,33.1342670917511,134,486673.67432835826,2291.1164805853546
188,158.4362956881523,464,545736.5881896553,127.7336662555563
189,77.4768899679184,383,548864.2385378592,4807.312645336978
190,48.23904067277908,79,510069.4941772151,35.580169291435915
191,53.30329793691635,194,509429.16412371135,1.7572235422036082
192,114.54583567380905,233,512146.4549356226,5.010312583825107
193,110.70465868711472,389,546343.131722365,1664.8932123257753
194,41.685363709926605,239,507843.64552301273,354.57419270152326
195,102.03582298755646,382,548487.3853403141,704.3610539461306
196,25.03049346804619,42,646840.2923809523,0.0
197,22.07017433643341,34,527155.6105882354,8302.469981474034
198,16.690511643886566,28,598445.0000000001,15833.954184395927
199,18.683214247226715,32,649836.14,0.0
200,20.796907782554626,35,593615.6057142857,14204.086460658482
201,27.29678374528885,44,611244.371818182,0.0
202,18.742360532283783,30,573606.7546666667,0.0
203,42.252012610435486,231,546160.1546320346,0.0
204,67.8663802742958,279,565365.4987813616,138.75385112147177
205,30.067942559719086,80,534990.0994999999,0.0
206,40.024346590042114,190,528194.364,13.826664011101974
207,26.071731567382812,82,517563.39756097563,2221.120426829268
208,17.462189376354218,28,573742.8871428573,0.0
209,13.001198828220367,23,652155.32,0.0
210,18.43952041864395,31,628170.2645161289,0.0
211,59.26124143600464,406,560487.2990147783,43.22975076008313
212,71.72900965809822,713,617628.9855259465,1614.1070060141458
213,33.93492579460144,78,586160.174871795,0.0
214,51.12107455730438,160,545072.0829999998,0.0
215,125.37854665517807,391,528159.0733503833,1457.345796472886
216,142.44446033239365,364,569857.3095604398,0.0
217,39.65606915950775,210,526053.1516190476,862.148526436942
218,98.45917439460754,499,606321.8960320642,0.4533434544870992
219,69.68383932113647,410,513583.3639024383,4086.9528844321644
220,45.34767174720764,234,510012.0548717947,0.0
221,65.15640020370483,240,503147.0331666664,0.0
222,76.51043647527695,248,514609.60419354844,25.093025945848034
223,96.92397576570511,202,512761.8548514852,31.07219673383354
224,80.16288167238235,500,585188.8347200003,3677.807621337891
225,82.02450573444366,387,579250.9905943149,341.176817428234
226,35.22044551372528,134,574977.2092537315,0.0
227,80.51902425289154,220,556003.3336363639,1.2318470348011363
228,68.96647328138351,276,596744.0181159419,0.0
229,118.22865468263626,496,565052.8868548382,2499.5299566945723
230,84.6444081068039,506,583546.454940711,1891.7079332675858
231,150.10281455516815,516,589720.7402325585,3728.5487961879994
232,45.957585990428925,235,574927.8389787233,224.24962911402926
233,56.11916226148605,255,525448.7101176471,3865.364532111673
234,72.657739341259,243,503887.99934156355,97.45244683159723
235,111.35033690929413,2016,694597.8024999999,903.4349724905832
236,16.694917380809784,30,691756.3520000001,0.0
237,21.51556646823883,33,534558.456969697,0.0
238,31.47298800945282,53,524366.6830188679,0.0
239,21.17473942041397,35,622584.0514285713,0.0
240,78.39470201730728,268,543221.2031343287,1120.1641217132112
241,111.81314158439636,402,562297.8876616915,13.3062744140625
242,83.88102006912231,205,527133.8883902438,3678.440308808117
243,62.73612242937088,239,561382.4328033474,0.0
244,146.08338332176208,1278,714111.6210641644,1209.0989414268815
245,48.196404337882996,130,496494.4812307691,0.0
246,1.4824801087379456,5,700253.024,0.0
247,92.05507302284241,244,513989.6311475406,3332.8119416784066
248,91.03130412101746,243,491930.947489712,1.8948884186921295
249,95.43399542570114,242,492566.4284297521,0.0
250,79.60306149721146,411,576899.9470559611,31.48445875627281
251,23.251871943473816,37,584077.7016216215,0.0
252,32.80260157585144,55,553990.7970909092,0.0
253,61.966587483882904,395,576950.7482531642,2258.542276194126
254,20.490932822227478,32,543400.8587499999,7058.301120758057
255,25.291811645030975,58,563041.7124137928,0.0
256,76.32529121637344,399,572729.1487719297,4589.2505341723445
257,26.615971565246582,41,538335.192195122,10015.349719536014
258,37.210949063301086,70,518468.69485714287,1304.2486607142857
259,125.81780594587326,527,595075.2387855789,5439.701271013698
260,30.185118317604065,48,550124.8541666666,0.0
261,67.32850605249405,156,516684.09538461524,0.0
262,123.58543738722801,567,622169.4529805994,2752.886507548983
263,95.34285587072372,281,536813.8587900352,5.349364365547153
264,111.68934005498886,382,537742.8862827227,3504.6025809243088
265,100.54176473617554,517,599054.0127659574,4354.796096063906
266,109.54056614637375,379,545305.581741425,3311.5738058367
267,57.634243190288544,159,502145.51220125786,0.0
268,129.69896340370178,501,570906.3962475051,7836.292135455651
269,44.47703504562378,238,513675.26756302547,107.89251862854516
270,69.94285637140274,384,526928.3995833335,61.673383712768555
271,109.15548998117447,478,562018.6307949793,143.7146979296058
272,69.1702271103859,399,545011.4438095236,341.1466211304629
273,91.33392262458801,508,617688.139527559,22.096697949987696
274,83.31174349784851,237,544641.5297890296,133.50947512856013
275,70.26881784200668,145,528423.284413793,0.0
276,141.7191246151924,427,527297.8637939107,488.2496037717725
277,90.34170734882355,238,532809.6678991591,10489.180570201714
278,261.8640882372856,974,583893.0820123197,1964.357530660453
279,211.4256370663643,1084,629590.2653874537,5932.916988583948
280,126.4681556224823,370,548291.1154594595,0.0
281,159.99441677331924,406,541225.1049261085,268.7956494862223
282,60.943150877952576,236,535200.6193220337,9618.117252673133
283,136.14019721746445,419,537575.1304057279,952.8970329630631
284,150.99075478315353,423,575690.837825059,0.0
285,80.68302324414253,481,616348.7946777547,481.5981277814774
286,119.86898446083069,529,598071.6760680523,12.980784886726134
287,81.07108920812607,265,547127.6751698112,2110.7411644125887
288,179.99047553539276,524,640200.8245038158,4782.999566464024
289,78.01250296831131,235,514011.6291063832,0.0
290,169.60648584365845,424,560895.7663207548,50.91393783857237
291,94.89641124010086,282,534865.9724822697,0.0
292,25.948537707328796,43,638663.0018604652,0.0
293,32.62766945362091,49,540865.9640816326,0.0
294,31.52018427848816,52,645003.1507692308,0.0
295,29.956318020820618,45,532682.5813333332,0.0
296,197.50791928172112,523,589721.9698661573,8470.509445861466
297,26.328989028930664,41,567810.4536585367,0.0
298,28.63408011198044,44,554485.5381818182,1947.4712552157316
299,248.61644473671913,994,636184.7734406436,3407.8770356514083
300,121.41987943649292,468,566174.7238461543,7556.245788574219
301,182.66285479068756,554,576302.8036823106,152.91672601252256
302,202.32589757442474,371,558429.1392991915,987.7092735928024
303,159.1216330230236,526,609479.016425855,0.0
304,196.73070538043976,669,632853.9072645737,1010.9783738482694
305,117.37970131635666,233,492861.76789699553,0.0
306,121.02162498235703,235,559781.5002553189,11393.755500436337
307,45.7033674120903,70,559426.7554285713,0.0
308,94.8179920911789,283,554188.1714487635,12.81493062265349
309,133.08726143836975,246,530720.3120325202,1158.4370593559452
310,101.71424663066864,211,516180.77478672954,386.3712956577681
311,83.65560883283615,207,514460.3652173911,296.4343686311141
312,99.8636104464531,224,558944.8146428572,9515.22688456944
313,89.43301373720169,197,509506.08203045686,710.1799403156726
314,114.06827211380005,299,537787.3749832776,3.405559629102216
315,85.76817548274994,186,521717.78150537633,0.0
316,106.94158124923706,190,525107.8181052632,327.61931280838814
317,107.28932327032089,256,560534.73234375,12505.05656003952
318,83.54704594612122,277,507932.07566786994,112.09857464180956
319,89.29102152585983,464,567862.3581034486,270.0251264900997
320,98.11947625875473,212,525041.3420754719,1129.3054798054245
321,105.15273523330688,191,536540.9893193716,591.9847680536241
322,108.3995509147644,248,536605.6951612907,0.0
323,134.2845247387886,380,585551.1563157897,2027.148492110403
324,202.1537607908249,495,610234.6963232326,2.3507856889204546
325,117.16265940666199,369,560028.7510027097,0.0
326,95.28534132242203,196,528429.5685714283,2303.7203362912546
327,38.90746110677719,57,514076.06736842106,49.368742290296055
328,102.45284646749496,219,522985.2988127854,557.958633213827
329,91.1748885512352,430,608642.3803720931,7.05264523528343
330,149.35724872350693,382,532476.3120418855,931.8212379335733
331,149.63092970848083,280,560659.0732857143,0.0
332,89.64325642585754,221,519912.5533031673,4676.226494560415
333,233.0771951675415,418,603033.2658373208,0.40293541137111244
334,114.90046781301498,265,552912.8688301886,1944.1810215212265
335,103.99515932798386,228,506324.1305263154,116.77774850945724
336,143.8472484946251,375,581968.3815466666,0.0
337,80.92635470628738,210,528357.5666666668,453.2450526646205
338,108.24547028541565,207,531983.7095652173,128.93210767663044
339,166.62571024894714,511,606711.7877886501,49.5233228351272
340,143.87710189819336,216,519422.4220370371,0.0
341,100.79741489887238,219,516227.10392694053,0.0
342,104.78716176748276,216,522386.22111111094,1725.0972290039062
343,141.94446527957916,226,507673.7833628323,28.737021117083795
344,100.23181512951851,188,539491.5765957449,2425.571679947224
345,146.63460701704025,286,514388.5450349647,152.67885733651116
346,118.65848129987717,220,527698.7679999998,2678.103828568892
347,108.94703769683838,232,541944.3415517244,2.5732348211880387
348,116.58877938985825,167,521110.3576047905,11.310931359936378
349,169.869757771492,279,538531.5852329751,1541.4839772870464
350,115.66709893941879,287,530161.5510801392,320.4298720941311
351,128.23403292894363,196,511827.47734693886,0.49509102957589285
352,122.58377182483673,305,544910.1718032784,3.9773749679815573
353,109.48471003770828,210,512672.6904761904,0.0
354,119.58589220046997,196,567132.1091836736,19088.660528066208
355,106.92200112342834,190,539772.239368421,0.0
356,122.3403370976448,370,531177.6891891891,1714.133980086043
357,98.57408529520035,247,530306.4249392711,367.3148751818699
358,197.1442350447178,690,585712.9521739136,1625.1630201256794
359,83.07643723487854,128,532813.6668749996,0.0
360,79.17839527130127,290,548173.3606896553,8.009018049568965
361,112.12118697166443,243,540439.0732510285,1368.6724446614583
362,43.47615993022919,64,526806.2243750001,0.0
363,43.60622352361679,64,523465.54187500005,0.0
364,114.5665437579155,175,513005.0194285714,3472.4886202566963
