episode,acc_reward,length,cost,res_wasted
1,33.37925970554352,51,594094.6447058822,0.0
2,152.2369955778122,222,584727.8399999999,8.04669849292652
3,279.5849726200104,411,593973.9247688572,591.2349042683622
4,272.69158786535263,443,596671.4109255072,0.0
5,338.5921739935875,508,594798.9993700787,616.1591361939438
6,296.4956150650978,440,595894.8954545456,4.0025390625
7,158.677232503891,231,581100.1565367964,4.125732421875
8,92.06980568170547,136,579675.3388235294,0.0
9,89.4767894744873,132,584449.5151515151,2992.25234153054
10,477.0624521970749,706,602191.441756374,534.5208925241789
11,151.82683789730072,221,583345.5652488687,211.1534584010888
12,94.15430742502213,138,581420.7626086954,574.7390322477921
13,147.53388983011246,214,584366.944485981,142.77811496057242
14,812.2846009731293,1517,594910.4228609101,6.184492338780282
15,442.9215276837349,701,626463.2144935806,203.39176699302337
16,156.14936035871506,231,596724.9219047623,23.012595436789773
17,90.10850250720978,137,622960.718248175,10219.469518953867
18,157.84538346529007,231,583328.232900433,0.0
19,325.70495599508286,479,603412.98388309,669.272260630056
20,337.92126029729843,515,592613.0246213592,867.4388039005613
21,349.23144096136093,508,586871.9163779527,7.460183932086614
22,284.7430903315544,436,599151.3465137616,1253.2597843835113
23,1037.9841800928116,1887,610419.9002437736,128.38733084819654
24,322.4785037636757,496,595587.7904838708,0.0
25,1101.560270011425,1951,632120.2501896457,37.93020662731051
26,344.745801448822,512,613469.1823437499,465.78291177749634
27,96.7382463812828,142,584991.502253521,0.2562599719410211
28,1017.7204486727715,1870,628769.2426737964,211.5035626253342
29,154.9366837143898,225,581216.0849777777,11.218427734375
30,92.77428781986237,137,586576.9232116792,15.197171176437044
31,273.9791913628578,415,613114.7391807227,2.968238481268825
32,450.7418330311775,684,623496.7155555566,17.622039794921875
33,99.2980038523674,146,584622.9882191779,5.731371735873288
34,257.490531206131,398,610954.110753769,405.2400926752905
35,99.18179112672806,146,585555.615890411,2659.053518634953
36,87.51235115528107,130,590386.2889230769,3232.9988440880406
37,483.8623878955841,715,610247.695048951,2275.302301921711
38,1189.1046217679977,2016,640259.0079960319,715.7438387189593
39,973.9037334322929,1551,617068.4366473241,14.740280653106867
40,158.93887174129486,232,579365.4139655172,0.0
41,305.830237865448,448,593351.7008928569,242.64014625549316
42,99.37707126140594,145,577609.4587586208,412.516421403556
43,473.0549027323723,706,620978.5270821532,2531.0674402166696
44,150.6992956995964,220,579338.5116363632,0.4399225408380682
45,146.1179605126381,213,579836.3023474179,23.52927968199824
