episode,acc_reward,length,cost,res_wasted
1,234.950186252594,360,607267.4477777774,2774.9565727233885
2,326.63995200395584,516,616876.3975193801,5099.892638982728
3,313.405886888504,519,608095.7359537575,4651.699219279207
4,79.19378328323364,120,580301.7836666665,746.4914863586425
5,434.3287772536278,704,618795.575454546,4561.933676199479
6,565.5150603652,862,606896.6064501164,2116.4589639827436
7,1244.5577278733253,2016,616769.0718452373,3695.607933453151
8,1027.1399233937263,1689,614735.4386737718,5194.520887195323
9,108.77114289999008,172,621086.6476744185,12104.261415348497
10,1210.395099580288,1950,629307.5639179486,9213.258275052583
11,404.8129849433899,644,612225.3118633546,4060.700074569039
12,904.7792505025864,1395,603775.2871971332,3367.8452815886467
13,146.14850360155106,231,628220.6668398271,9874.492788735923
14,155.0127466917038,235,592895.4718297874,970.3954970339511
15,146.53511482477188,225,601768.1502222223,4872.332543945313
16,149.2975509762764,226,589330.3359292038,1931.58544921875
17,692.5454003810883,1134,626180.9522398598,9843.779359605578
18,145.78241461515427,221,590059.5496832578,2407.3615909075843
19,139.73350566625595,228,632978.8845614034,10779.89011061819
20,946.8578290939331,1687,635733.6179964438,7590.590220832938
21,1056.421003460884,1675,597263.1367641797,3919.3734535695544
22,280.7379002571106,437,618992.2742334093,8365.59808000438
23,1149.9582728147507,1881,590616.5249335456,2524.6012266606235
24,1280.3331512212753,2016,592587.3460119051,4092.6961945125036
25,942.3759887814522,1558,618556.8905519895,2616.3681967151333
26,148.9682201743126,227,595035.3617621145,3432.538447039768
27,1132.3797622919083,1938,605458.1496594432,3607.573829768981
28,153.7244911789894,237,605563.7756962029,5993.463131288939
29,616.3652033805847,1069,647246.5127408792,12999.65326138988
30,641.2036330699921,1056,631693.8306060605,9816.30900478363
31,1180.6242842674255,1852,610364.5602159818,5166.116306922863
32,452.24832487106323,703,599345.5390042673,2837.6285571427975
33,149.48919659852982,228,596671.1768421051,3092.9159726594626
34,455.1955456137657,710,621449.2083380278,9003.773457873707
35,263.0386729836464,416,632735.0915384612,11107.059649834266
36,142.4300418496132,226,627554.984955752,13175.831376877506
37,419.5976549386978,658,627880.488145898,9646.868981729525
38,147.92834800481796,226,600144.1561061948,1904.9136706326915
39,513.7837911248207,790,601807.9250126577,2095.9921625837496
40,637.1093937754631,1143,639745.0206824148,1855.721816415862
41,456.31067526340485,1671,596136.520981448,3496.0086124769446
42,84.50043761730194,132,607381.0566666666,8187.767168218439
43,449.64469480514526,708,628394.7657627122,10695.587874461029
44,389.82894545793533,699,595770.5580543634,1768.401950557856
45,146.89556974172592,224,596516.7703571426,2856.5018675667898
46,148.18848222494125,225,592490.8417777783,2195.594050292969
47,322.7731668949127,520,649973.735846154,14582.01918305617
48,154.115041077137,248,623945.8961290325,11907.790883833362
49,142.55614310503006,219,600282.6443835616,6115.701873779297
50,335.4089819788933,508,596444.168740158,2520.5546046579916
51,740.1495679020882,1298,618429.0233590131,3202.983155448925
52,801.0377381443977,1718,619546.8619557621,9642.029512434261
53,148.03903168439865,230,611225.0897391309,8012.498650459621
54,239.72413861751556,385,603928.8632727277,4217.392126227044
55,271.7663729786873,410,591202.9425365854,1918.8186251756622
56,403.94132822752,623,614465.8438523271,5507.701149831805
57,294.6607365012169,471,600686.4002547772,2295.6782028295434
58,155.83116728067398,238,596888.2310924372,4476.752562707212
59,751.41403901577,1368,610314.3590350877,7354.958283876118
60,266.63574600219727,482,622255.318340249,7998.544216615036
61,807.5351566672325,1387,612546.5413410222,2315.197564045989
62,292.90583485364914,449,610627.9588418709,1908.0468197421135
63,149.16380554437637,226,591460.6336283181,1184.4882931329507
64,163.77712512016296,256,623648.58796875,5043.905248045921
65,796.0522525906563,1529,621684.2000784829,3744.4708374502457
66,213.76889157295227,327,604322.3447094798,2855.5588804472477
67,462.97941970825195,793,617870.9402774273,2730.659875973176
68,135.47605925798416,209,605712.7408612439,5227.525672876093
69,78.71478563547134,120,585682.4843333334,2042.608071899414
70,330.2198888063431,501,597020.6694610778,3522.055406947336
71,349.4869281053543,806,612961.9584615381,3514.1244185379064
72,132.32300525903702,207,615461.8208695656,9545.04794842264
73,699.104807138443,2016,602050.480297619,3594.5554579326085
74,417.09097707271576,1571,632322.2578485047,2711.4919833177823
75,76.57547497749329,134,612877.4862686567,1578.9713546980672
76,60.81624233722687,126,619127.6549206348,6423.086475917271
77,79.28907924890518,133,616293.6015037596,3729.634836985653
78,358.9114509820938,1559,632399.8239897355,2817.4940593687675
79,251.50655537843704,869,605370.6061680089,2396.3232054189107
80,41.73799669742584,65,591918.7729230769,26.111746920072115
81,247.36903339624405,510,603620.8978823528,2190.3686257755057
82,441.6973233819008,778,639396.9920308484,12656.94190496528
83,274.54702228307724,509,640452.7169351672,6492.613763235875
84,66.71824759244919,155,647833.2394838711,8734.098433759136
85,168.0207753777504,527,623779.8062239084,7567.081990366869
86,102.45170992612839,224,615287.0280357139,7086.767513547625
87,288.0018004179001,697,601548.429210904,3336.731424909069
88,273.2732306420803,776,695490.3190721652,21549.654890512684
89,56.65020173788071,118,627670.5257627121,1440.5458552473683
90,256.5104172229767,503,647590.3400397623,14053.077622643048
91,493.69913083314896,1958,605526.8242288044,3997.8995309426423
92,234.18532341718674,853,631072.116576789,3339.565020544448
93,60.961804151535034,116,587691.3393103447,2859.6005006987475
94,311.4402086734772,1522,609500.7396057827,3219.988136602294
95,38.83772659301758,229,592797.703406114,3265.5414557977533
96,98.39295381307602,291,624830.7507903783,12019.885240692452
97,48.3082657456398,130,603711.8381538461,7144.404330913837
98,72.52685087919235,198,619678.5452525251,9479.319653597746
99,81.77846628427505,201,636083.1301492535,14600.541766266324
100,107.25801539421082,518,619647.375366795,3645.5944791226775
101,80.4691321849823,222,591752.0032432432,2847.3357931601035
102,314.37807965278625,2016,613058.7591666654,3352.1393974849157
103,29.919440150260925,209,688339.4796172243,30901.892798026784
104,50.26943528652191,226,645800.8619469028,15732.892515199374
105,18.98167848587036,31,593801.526451613,558.8968387726815
106,33.27878701686859,80,609342.9649999996,71.05789146423339
107,35.12263649702072,90,613006.9266666665,0.0
108,30.119767606258392,128,644572.9759375004,684.7088413238525
109,50.379594564437866,126,651732.4911111112,3760.698290143694
110,310.91197830438614,1582,683223.102503161,3881.508305449552
111,65.57724016904831,326,618751.3133742327,5998.791235426453
112,385.412124812603,2016,639561.7001388894,9005.490056991577
113,23.102832853794098,77,657157.327792208,7928.184771649249
114,21.45101648569107,109,667038.4788990824,7936.213670923075
115,21.913790583610535,36,613766.3355555555,500.7443542480469
116,25.80114096403122,71,628333.3983098592,6358.670384796573
117,113.19050323963165,403,625197.9608932999,7746.601508053006
118,25.83694177865982,128,642384.5537500001,958.4254710674286
119,172.5066602230072,805,662372.3498136647,12073.162404125522
120,45.92478120326996,364,608799.1173626368,3049.2356975681178
121,31.36198592185974,139,603429.8069064746,4932.660936314425
122,30.271981239318848,134,635580.417313433,14304.622419898189
123,36.883152425289154,143,623578.7809790212,3246.9697380866205
124,158.46125131845474,2016,623553.7123412691,4071.1309604644775
125,55.05272877216339,507,615256.165680473,3888.500611976759
126,24.534128189086914,120,631073.7906666663,945.2187789916992
127,27.029917895793915,117,627738.1832478632,3491.178931603065
128,41.52224999666214,130,617995.6381538464,1071.7892514742339
129,75.47038871049881,227,596759.1571806166,1111.2121315842683
130,108.06753081083298,1566,612029.2159386975,6321.680089314778
131,83.0060863494873,436,639193.2289908252,4482.698668733649
132,110.47932302951813,376,702638.2181914897,18659.4010232966
133,41.83980017900467,157,629797.6876433119,6872.825313300844
134,301.7942271232605,1963,613031.2314212961,5309.850256711442
135,39.975697100162506,157,633627.7375796181,9947.312679801018
136,42.645033061504364,129,619253.016124031,7226.9560419127
137,54.82721394300461,111,648874.3153153152,15211.386793806747
138,40.98954766988754,127,599930.2982677163,236.4599167230561
139,43.98122137784958,190,625505.5273684207,8493.371321507504
140,44.36607015132904,149,625355.6426845636,8786.25774757334
141,53.66977232694626,184,617277.2236956522,2936.897632101308
142,45.03645819425583,117,614574.3743589746,1361.7283677321213
143,43.03183311223984,122,632683.6590163935,8678.785266063252
144,35.9644740819931,99,622728.4416161613,7082.252313787287
145,77.00132268667221,257,633387.6381322952,9330.84343829322
146,192.10357892513275,1870,626452.343465241,3510.6911031957616
147,27.258429646492004,44,606369.8990909092,2834.888101751154
148,108.74568724632263,408,599753.1023529411,3233.7529099408316
149,32.01676708459854,54,600238.2903703704,3445.5875803629556
150,27.70164030790329,75,595037.6506666667,152.3625439453125
151,27.070638418197632,43,590641.7823255815,254.94165322946947
152,22.433624863624573,36,588680.0722222223,0.0
153,117.55965667963028,531,605494.8345762709,4598.150655455508
154,120.26703524589539,544,621066.8675000002,5610.7340297698975
155,42.719022154808044,94,628364.3131914892,2906.3807830810547
156,62.906154215335846,124,627967.8441935485,3239.178200506395
157,79.97898799180984,127,630004.5155905511,4719.474300835076
158,43.23895502090454,130,701079.3175384613,23069.865701293944
159,27.887577891349792,67,611888.3779104481,1447.6874289441464
160,73.09547036886215,170,661858.6084705885,16597.051110480814
161,102.43914598226547,692,666371.581387284,11804.171778640306
162,15.159564912319183,25,582189.5728000001,10.419752197265625
163,43.707519590854645,148,593615.3645945943,2100.193072344806
164,191.25196528434753,688,623365.1660465113,4404.649271765421
165,87.93128198385239,407,614705.1517444717,2990.961278367101
166,30.310431480407715,89,604515.7213483145,863.846697517995
167,18.380025267601013,30,590687.112,209.7112243652344
168,16.31671792268753,27,594135.0977777777,346.6353759765625
169,16.926133930683136,28,598069.2999999999,142.66986955915178
170,15.62482088804245,26,595453.0092307694,723.7940650353065
171,19.552530169487,32,599280.7775,613.4472856521606
172,12.398220658302307,21,587683.4533333334,50.841116768973215
173,14.248416304588318,24,596165.6133333333,2562.702850341797
174,11.752062797546387,20,585617.7679999999,0.0
175,12.437238156795502,21,593532.5866666666,0.0
176,12.490334808826447,22,641729.6272727273,0.0
177,11.027095317840576,20,644403.7540000001,7983.785055541992
178,13.22168904542923,22,576565.1145454545,574.2581176757812
179,17.112158119678497,27,541430.2799999999,1964.1505025227864
180,13.027311325073242,22,598763.6436363637,572.3156849254261
181,101.703917324543,411,573875.1688564478,4095.6288182613625
182,98.13729459047318,504,554483.7524603184,9324.006999969482
183,104.62934625148773,240,540926.9473333338,8889.04587020874
184,157.84863018989563,504,528516.5106349208,4702.134547642299
185,128.3654980659485,434,542706.1151152076,2791.2735736337127
186,56.67399209737778,376,550794.4596808509,12709.693182356814
187,166.70746582746506,449,567935.2741202672,12724.653627935126
188,83.58507734537125,277,527566.8324909745,3832.387607615777
189,121.55854725837708,380,558803.8236842107,12165.647569114284
190,138.95394158363342,378,550039.8046560847,5376.838008335659
191,62.525603890419006,240,519817.15783333336,4681.889847564697
192,119.12658804655075,236,520717.6796610167,3260.010072093899
193,143.34498047828674,282,557119.6815602834,12914.910478957156
194,121.18543738126755,519,611158.5235452795,7534.241895377981
195,86.85749113559723,292,575935.0868493157,8376.574090827002
196,78.02628919482231,242,552435.783966942,3503.9749875659786
197,126.91590118408203,387,557405.3385012924,8821.078477016716
198,112.6313841342926,478,614182.7610041839,16990.079903574668
199,134.86357009410858,381,579288.0881889767,4700.374452605961
200,124.98404085636139,428,614475.1140186917,20481.613471770954
201,176.31639736890793,428,566535.0808411215,4570.447627343864
202,44.031535506248474,192,512287.18124999973,1092.6338396072388
203,47.16569036245346,75,536197.6063999998,1329.9807275390624
204,87.53808122873306,382,559931.8235602091,3954.6855197926466
205,185.82452809810638,454,609713.4780616737,10801.711963939246
206,163.770692974329,483,639267.2621118015,2617.6211265421803
207,82.51554614305496,150,547947.9663999999,13850.704374389648
208,108.96956515312195,235,521980.0675744682,2989.9269388401763
209,147.70710009336472,475,620105.1315368415,3869.5875628340873
210,80.84520089626312,229,541627.4958951966,6902.767333318052
211,63.232596039772034,222,522120.1857657657,3525.945768201673
212,88.80466198921204,368,538372.5690217394,3153.435644979062
213,95.36643409729004,483,600906.2236024847,5273.485819940982
214,47.53487342596054,224,528713.8066071429,4209.955124310085
215,181.70245072245598,772,641766.520621762,19714.405437173
216,169.1366422176361,799,675197.4060575723,6177.7948080165515
217,56.69416320323944,243,571124.7965432098,4958.327852602358
218,133.6958242058754,505,613075.9999207916,1985.036285642114
219,131.57126200199127,539,650081.8823747684,13334.481709949161
220,118.33714836835861,507,580381.0443392502,1165.031718598315
221,82.9280908703804,211,498706.5744075828,1712.5238094962604
222,65.88367855548859,219,515569.749041096,3322.5955509551586
223,72.1133474111557,218,519315.6245871558,3825.7701327822624
224,51.385232627391815,199,535531.6526633165,3520.740165365401
225,29.53335440158844,46,573039.9860869567,3942.258895210598
226,18.218173265457153,31,646389.4116129031,12.350121282762096
227,20.14502590894699,34,645199.4976470588,64.78004365808823
228,38.54996478557587,60,588819.548,2.890814208984375
229,56.93695247173309,93,563700.4950537632,14243.928535707535
230,39.64921599626541,61,576225.8839344264,1238.083999883933
231,129.0215858221054,385,606170.8488311691,8701.02322284649
232,115.97782462835312,377,586002.5544827587,3604.815387756186
233,51.66299211978912,223,568010.3000896863,13784.12146283479
234,70.32408928871155,515,648319.3570485438,5358.16214309248
235,49.58745050430298,199,534957.4188944724,1650.1495028548504
236,186.0262907743454,657,655277.744596651,3193.88144966021
237,111.6553915143013,517,620641.8617408129,3116.774208290203
238,81.92316448688507,197,550583.2069035538,9427.027339722299
239,150.7868246436119,505,580253.034059406,6111.219140806293
240,130.16765522956848,222,547740.1722522525,7994.605911254883
241,198.9858210682869,454,566784.6423788547,6341.2473141170285
242,143.15832513570786,379,561422.74469657,16257.992587449367
243,87.1055856347084,194,537898.7639175261,4803.694782375061
244,166.8562689423561,517,611050.7155125729,11817.746487527105
245,171.1164791584015,403,559093.9589081885,3341.6189136741773
246,119.46593028306961,502,596850.507171315,2984.8102126406484
247,90.0415671467781,167,550773.2136526946,13157.300016300407
248,82.37806177139282,182,521944.4806593407,4378.676804427262
249,200.53261768817902,382,528386.0626178011,1532.5784372858975
250,181.69024032354355,474,592952.5757805908,2580.9704601432704
251,97.39659208059311,141,518120.22609929094,2674.344716822847
252,98.76356881856918,145,524327.1053793104,4747.309097395272
253,148.19269961118698,230,523149.75043478265,7885.272179777726
254,127.27778017520905,204,550739.7756862745,16784.738032621495
255,80.97169315814972,121,512290.62512396683,546.3494757029636
256,181.71021962165833,397,590849.9148614611,16935.908915022457
257,184.05362045764923,452,580921.7713274341,16312.380836621849
258,101.73115938901901,243,540494.1448559675,8501.280808060257
259,110.78005665540695,260,602116.5009230769,19243.65303779015
260,66.8277091383934,151,550675.855629139,11587.15637894182
261,87.28254646062851,141,509869.54893617006,1202.1298633331949
262,112.85612893104553,168,554524.2830952381,9518.761094774518
263,80.67111653089523,122,522755.06393442635,5288.858590047867
264,82.18049329519272,146,569069.6958904106,11133.36282912999
265,81.4488183259964,144,581064.8775000001,20319.794902801514
266,74.9778116941452,162,596530.4953086418,19033.029741075305
267,71.99863505363464,103,507066.3223300972,1252.342598628072
268,77.89064300060272,116,537715.353448276,2738.6238690080313
269,73.885636895895,109,544020.5644036697,2919.665127255501
270,58.19868314266205,86,535039.1893023256,5879.323930962141
271,182.44813460111618,467,619479.9499785869,5084.954425558543
272,111.49494886398315,268,547436.2064179104,4380.218274016878
273,84.21579480171204,164,550658.4019512197,8417.07446326279
274,47.89806830883026,73,567596.0619178084,5296.139362491974
275,93.59750199317932,187,548107.1813903747,4830.548367097416
276,168.8210090994835,286,551256.7117482513,8887.916848562814
277,131.58002710342407,241,607197.1682987547,25031.14405145289
278,93.41580486297607,260,546220.4618461537,7301.541520104041
279,198.78733080625534,385,525347.552207792,7432.667682994495
280,51.53209674358368,75,519353.1456000002,427.68944091796874
281,57.98392456769943,87,550637.20045977,6932.002113079203
282,69.35597878694534,116,594228.5551724138,27683.629379535545
283,66.96693897247314,99,534560.3701010102,9160.204420609907
284,29.511856615543365,45,549223.745777778,527.1056762695313
285,94.20812118053436,215,542139.1451162791,11629.993295500999
286,25.958362460136414,39,520500.6287179486,327.00704251802887
287,47.523465156555176,74,576964.0686486487,15301.058220940668
288,34.95047652721405,57,605886.7038596491,24203.164210269326
289,46.644024431705475,70,551911.0725714286,2.9532113211495536
290,132.3789719939232,237,509748.1875105485,2581.899632321128
291,49.773223757743835,73,526044.282739726,3152.473248207406
292,67.7540807723999,107,553084.3992523365,1061.4654355628468
293,61.98471522331238,94,530639.6446808508,5404.956890999003
294,63.68047654628754,121,556387.8393388428,155.88246293501422
295,40.57299667596817,60,528980.6873333333,539.8897018432617
296,25.133756577968597,41,604811.3892682928,11367.791832900628
297,48.37655681371689,72,544119.561111111,606.4780502319336
298,39.14398920536041,61,578360.617704918,9249.34673421891
299,52.28679716587067,77,534625.0509090908,867.333936815138
300,50.0948184132576,76,556616.5784210527,8352.330254805716
301,40.072776317596436,59,513742.00271186436,4484.696799068128
302,23.33460408449173,35,507393.0662857144,1499.9553431919642
303,34.6588100194931,51,515088.4109803923,549.5041324391085
304,45.56345224380493,69,560982.1930434782,1436.3540118673573
305,37.705905973911285,56,528192.6971428572,2635.6875555855886
306,64.40283280611038,118,585740.5498305083,18831.305015693277
307,19.372646808624268,32,609806.72875,2409.2678718566895
308,36.83499211072922,55,535601.7316363638,844.5032626065341
309,50.48090064525604,76,552277.5031578945,5244.829737613076
310,42.47275114059448,63,527971.1993650794,3450.2649448939733
311,58.92937833070755,87,507146.83862069,4835.101406755119
312,34.10882544517517,55,602295.7200000004,15226.074021772905
313,41.53536236286163,63,547340.6266666666,9721.575526646206
314,84.21077990531921,142,518133.5847887325,3417.606825707664
