episode,acc_reward,length,cost,res_wasted
1,624.7974531650543,1209,594742.3324069487,0.0
2,111.39017307758331,169,590419.2515976331,10.574750369822485
3,85.53635746240616,130,584429.392923077,1820.0529052734375
4,108.69238018989563,163,575884.3261349691,0.0
5,338.466910302639,507,586205.0250098621,617.493879148946
6,264.86206632852554,401,597951.3377556104,0.0
7,274.8018038868904,416,598183.8474038461,11.776139479417067
8,157.14193499088287,235,578217.1353191488,0.14049409906914895
9,84.53021210432053,131,605631.1871755723,3015.827647900763
10,453.1904855966568,702,590090.6822792029,537.771244929387
11,1250.9116280078888,2016,591336.3913888902,243.64717864990234
12,886.8060632944107,1536,617069.2394531243,95.27836060523987
13,101.76211136579514,154,585742.0223376623,14.582973727932224
14,148.62158769369125,223,581433.3969506724,0.0
15,145.73192018270493,219,582779.9410045664,253.27280373769264
16,274.60428553819656,421,602111.1224703093,15.005526218731443
17,83.1446191072464,131,614280.3615267177,10224.245649264969
18,88.68247157335281,134,580808.4408955222,0.0
19,160.3832767009735,243,592635.7119341567,1138.908578378183
20,274.8740599155426,414,590821.5919806758,984.9646632982337
21,290.92762929201126,438,589439.7418264841,8.716991685841181
22,471.24717009067535,722,606032.0965096954,2145.5907946134867
23,89.89137697219849,135,573724.7890370371,0.0
24,986.7604582309723,1570,607211.3025987266,33.01726579605394
25,338.9826006889343,516,587619.2852713176,113.99392558253089
26,265.439372420311,404,603757.1801980197,377.48754761950806
27,94.38096487522125,142,577162.0602816901,0.2423645879181338
28,159.47330325841904,239,580913.5753974896,126.78487891033603
29,97.52094089984894,148,588198.1429729734,17.2311351879223
30,109.37916404008865,165,583243.4640000002,24.613995916193183
31,275.89164078235626,416,593556.660288462,3.0588340759277344
32,347.8904536962509,519,582294.388593449,23.287381034365968
33,152.08484494686127,228,580821.0547368418,3.790755422491776
34,501.6836919784546,804,608197.7061194028,1918.5600722583372
35,77.86978846788406,119,586603.5008403363,3257.64633255646
36,84.36742621660233,129,589362.1559689923,3229.4126203670057
37,91.97342103719711,139,582053.480863309,17.001074043109263
38,880.5607895851135,1442,586649.4817198337,334.9887257654029
39,854.548443377018,1360,596418.3709705885,0.22934283088235294
40,94.04912012815475,142,581207.6425352113,0.0
41,1082.452165067196,1954,580490.2860593655,66.385627613829
42,88.91428714990616,134,577203.6608955223,448.12340397621267
43,325.747950732708,513,585212.22705653,54.352252090186404
44,485.5531760454178,792,584993.4681818178,4.862399014559659
45,143.83260798454285,215,576467.4986046511,43.23620378361192
46,162.57954460382462,248,583252.0509677419,0.0
47,86.7499538064003,131,578760.4192366411,663.2511871570849
48,406.6007905602455,682,607362.0407038121,4402.595928471808
49,146.04738372564316,219,580044.1895890412,438.0107555650685
50,284.6179096698761,433,584969.2466512698,15.685226334710595
51,1139.2062474489212,1957,582682.360388349,50.50881494864189
52,93.79212003946304,141,575719.5537588656,243.92622537815825
53,90.38709229230881,137,584896.964671533,188.83633578780794
54,503.1648356318474,790,602038.3241518997,2406.367132954658
55,877.0213515758514,1506,588464.366693227,1.374324722593999
56,1109.40324395895,1958,580132.629356486,69.67286845782925
57,785.3719102144241,1295,613524.5674131268,375.76850284296575
58,150.04010194540024,225,580948.2526222221,83.969765625
59,1170.227811038494,2016,598756.693333334,921.207886832101
60,697.1305984258652,1143,614109.0596675412,1302.6628341074065
61,310.4519057273865,508,603148.4637007879,0.38237612266240156
62,854.3918510079384,1513,613434.2000528749,18.56080448934753
63,236.98721063137054,372,601634.6211827955,0.0
64,324.63390588760376,492,595676.0468292685,198.5002039467416
65,93.14596033096313,140,575537.0179999999,0.0
66,491.94888174533844,809,586717.5583683564,0.06447575855608777
67,788.6572003364563,1356,593989.1240412983,173.20699938208656
68,523.5976470708847,808,601019.1144059408,944.0236839067818
69,87.03613245487213,131,575745.6778625953,0.32923761032919846
70,244.82596188783646,367,582339.6791280652,3.212549027694993
71,471.65867072343826,804,595196.2821890549,77.39918996326959
72,122.0062888264656,226,583165.3384070793,1257.2103622571558
