episode,acc_reward,length,cost,res_wasted
1,9.687155783176422,1507,585529.0385666882,0.0
2,16.957401871681213,40,605134.0709999999,0.0
3,22.306370556354523,127,618231.4242519683,678.7832934762549
4,16.366324484348297,32,593982.815,0.0
5,14.986268758773804,119,611457.701512605,0.0
6,25.724856853485107,2016,626658.6016468258,26.431866237095424
7,35.5872660279274,433,588462.035658198,7.016001078052829
8,20.42517340183258,405,634310.3706666668,0.008846028645833334
9,26.785640478134155,2016,651675.8224206344,520.7269020080566
10,67.52318549156189,517,627069.6987234044,730.269369276626
11,79.94914042949677,122,590224.2039344262,0.0
12,86.02676993608475,160,614144.0627500002,498.0564582824707
13,65.10080951452255,150,590106.4637333329,5.07392578125
14,645.3158526420593,1856,626170.1689655175,54.091729328550144
15,101.65389776229858,700,643266.9558285713,158.11549176897321
16,370.32586085796356,2016,612316.0399007929,217.27297973632812
17,83.98689997196198,132,611935.4999999999,10028.303924560547
18,1200.6154942512512,1862,607896.9322234156,25.916813540023327
19,137.4113689661026,209,595392.3245933014,1022.162612257962
20,339.35277462005615,509,587450.3761100197,878.4994623150479
21,753.3048142790794,1220,613426.2262295088,42.32301365586578
22,90.3117846250534,139,598000.8247482012,3723.5014955808792
23,88.81825292110443,135,587901.1614814816,0.0
24,1231.6993259191513,1956,595500.4737423304,198.414913060475
25,142.81913948059082,217,595710.9918894015,256.95901587701616
26,446.50984781980515,691,624922.8673227207,1320.4272754188903
27,93.38425576686859,142,589686.1397183099,0.20662807410871478
28,472.6517353653908,713,597046.0183450202,58.939659600170934
29,146.61153227090836,220,581511.0429090912,11.440912420099432
30,694.2167853116989,1057,606866.2425354772,1855.438803623167
31,278.80480748414993,418,586825.3117703347,3.0077254737963517
32,152.99463057518005,229,578975.5358951963,47.264953879810314
33,144.33546459674835,217,583555.8783410139,3.963482412874424
34,248.385872900486,372,584511.8109677415,86.81244093371976
35,94.71340018510818,144,585900.3083333333,2698.9120559692383
36,95.16023135185242,145,588269.5448275862,3016.426017813847
37,92.08053559064865,139,580677.8687769783,17.033084567502247
38,151.81393653154373,228,582848.6840350876,0.0
39,993.975916147232,1561,584265.2608327997,14.673272982688381
40,150.3529104590416,225,578446.3959111113,0.0
41,296.34580183029175,443,583448.2931828443,197.72894769328443
42,85.22578150033951,129,581414.9305426358,464.8545290924782
43,261.9408935904503,427,584733.7228103041,0.0
44,84.05272144079208,127,579435.8711811021,0.0
45,133.740059196949,201,582004.870447761,14.462003337803171
46,145.94725090265274,219,581372.3329680365,0.0
47,339.70407062768936,516,599239.1756589153,3202.472055124682
48,85.37333548069,130,585993.4430769233,2308.189027756911
49,98.9108253121376,150,586813.2434666668,638.6900390625
50,76.21067494153976,115,575470.7116521737,0.0
51,89.2208092212677,135,582019.2823703702,496.93297526041664
52,90.56551599502563,138,591323.9707246375,132.32435143512228
53,449.6549305319786,681,591051.7481938327,79.90844941664372
54,127.43547558784485,193,589633.9749222796,667.282497267649
55,241.54470336437225,364,591711.2623076923,1.4431598369891827
56,1287.4719514250755,1956,583231.9573210627,65.43713828244823
57,912.5264563560486,1394,603192.4597704445,348.7683268345925
58,152.98218888044357,230,584273.1473043476,82.0933641516644
59,288.40244722366333,433,587791.7144572752,701.5330074741989
60,483.5903095006943,735,603795.7252789114,1655.3081199178891
61,344.7185363769531,518,590868.494131274,0.39281213237512064
62,1315.9956248998642,2016,590289.5212103174,15.505440848214286
63,456.8340382575989,717,614076.9468898188,34.93076825640691
64,1046.5440909266472,1907,619609.5319769252,425.2952035264814
65,95.07473224401474,143,576836.4847552449,6.442843777316433
66,79.36281991004944,120,579051.7629999999,0.0
67,150.74005925655365,226,580833.9989380533,0.0
68,89.04686772823334,135,584072.8648888887,616.7311848958333
69,86.65905839204788,131,580881.2406106873,0.23705309219942747
70,96.89026802778244,146,579547.8915068494,8.919197814105308
71,530.1558939218521,804,603721.2548756215,77.03774250087453
72,86.8179879784584,131,578663.0122137403,67.26230953303912
73,162.83455312252045,247,586136.5996761132,45.60753060159413
74,84.03681647777557,127,579834.1848818901,0.0
