episode,acc_reward,length,cost,res_wasted
1,825.1380167603493,1568,600613.4375510201,0.0
2,151.47721564769745,228,585601.6914035088,7.8394775390625
3,273.7688631415367,412,590314.2699029127,589.8241126791945
4,84.31762701272964,128,585160.1174999999,0.0
5,90.87360626459122,137,578558.26189781,130.46562963332573
6,270.6861508488655,414,610105.0369082125,0.0
7,265.26885318756104,433,581662.3981524252,12.379057075905745
8,862.8740831613541,1570,586836.0149554152,464.53599744663114
9,85.42341101169586,131,593467.9905343514,3015.7438079601025
10,470.4897813796997,706,590091.5181869684,534.7358728684379
11,1191.3124151825905,1866,590917.6989067526,262.62464183549787
12,256.9181468486786,420,588605.582380952,248.64114990234376
13,103.07628560066223,155,578352.8260645166,14.466442477318548
14,151.53330731391907,227,579732.5136563876,0.0
15,144.25207668542862,219,594842.2712328766,250.1680473432149
16,143.32703173160553,215,580659.1108837214,24.71481309047965
17,72.0805339217186,114,615333.3484210526,10042.76785438939
18,156.17288553714752,235,585547.3193191491,0.0
19,273.87112045288086,411,586879.6520681274,686.6644946467268
20,267.3611180782318,403,591582.0935980147,951.5538545139966
21,336.727057158947,504,586087.2565873016,7.542672293526786
22,285.2119286060333,436,586373.6007339449,1254.0371804893564
23,89.580128967762,135,577836.3638518521,0.0
24,121.12622082233429,183,586902.2303825142,0.0
25,168.64417111873627,258,605934.6688372097,216.50983375726744
26,181.96110874414444,276,596873.4852173915,0.0
27,93.86075592041016,142,583697.9436619717,0.24261990399427816
28,147.07899349927902,221,583097.8190045245,68.71472996500283
29,98.15052771568298,148,580607.024864865,16.88701072899071
30,91.8785131573677,139,583137.2192805753,15.130924362072841
31,256.08204305171967,417,583593.3631654679,2.9503507545526078
32,150.7124304175377,227,586299.5480176213,47.9149003217924
33,274.17161387205124,415,598001.3959518082,47.7990093185241
34,184.26018995046616,276,582030.1375362322,0.0
35,79.2360965013504,122,596071.7790163935,3184.666448874552
36,87.24242925643921,134,595520.4895522388,3225.2338420810984
37,90.9868175983429,138,586095.6344927539,15.510099991508152
38,141.94762659072876,213,580927.9070422534,0.0
39,910.102065205574,1506,587452.6728552459,15.220532664264816
40,154.86394941806793,232,580117.1844827586,0.0
41,270.76015907526016,409,595405.3152078245,70.56283785719744
42,87.43494832515717,132,578903.9581818185,454.61502352627843
43,766.0958492159843,1213,610040.0597197029,4792.312432675153
44,87.53696751594543,133,587062.2544360904,0.0
45,146.83703464269638,220,579405.8683636365,137.44180131392045
46,148.43126463890076,224,588423.8076785717,0.0
47,978.9090011119843,2016,611554.0675793651,1711.792466844831
48,137.11221581697464,209,594570.2200956938,3357.374176463442
49,150.17290461063385,225,579431.8655999999,426.104658203125
50,76.6105528473854,116,579740.6755172412,0.0
51,88.21845400333405,133,577373.9100751878,506.18122393385806
52,85.8106130361557,130,583313.0864615387,0.0
53,144.18731248378754,217,584554.9199999998,249.01944461945564
54,273.16816490888596,419,587407.6281622913,407.42488189187424
55,835.7337431907654,1580,581367.7445822782,4.466826851760285
56,152.17263805866241,228,579944.3617543858,96.01779496042352
57,310.15697354078293,502,582430.0130677294,78.65133095547498
58,146.3309234380722,220,583692.7276363639,85.87470869584517
59,270.4892663359642,411,601830.5153284672,486.7768135906136
60,427.94210958480835,735,595001.3106394553,1654.5135094467475
61,340.76420682668686,524,585952.0184732826,0.3395865636927481
62,88.23171275854111,133,577771.5672180449,0.0
63,149.37081271409988,224,580893.0173214284,0.0
64,340.16897571086884,509,585481.5495481333,191.66693654837917
65,92.37955617904663,139,576671.8115107915,0.0
66,95.49724215269089,144,580092.7555555553,0.0
67,90.92614597082138,138,586791.2727536231,0.0
68,595.1805518269539,1063,605136.5200376292,716.8268476828919
69,77.02814573049545,117,583693.0800000001,0.0
70,1209.4456678032875,1948,587070.7101026694,218.56085499600954
71,801.4515209197998,1603,618264.2833187788,58.41133012016044
72,86.49395275115967,132,592165.4157575758,77.44876098632812
73,285.77732133865356,430,590382.5906046507,653.3474776866824
74,155.36002612113953,233,581618.1958798282,0.0
75,89.31336432695389,136,590249.4070588235,0.0
76,474.38722801208496,722,593526.4212742384,681.9995022506926
77,287.26837307214737,432,590452.554814815,226.10918935139975
78,864.2589583396912,1546,617082.9486675303,94.99430730703732
79,97.43631368875504,147,581012.015238095,0.0
80,271.53299617767334,420,612523.2563809518,0.0
81,155.341242313385,235,591897.1109787235,0.7595526512632979
82,91.75630444288254,139,584637.6797122306,94.4013127388714
83,315.730705678463,501,606831.6886227548,599.3239110158589
84,79.19867086410522,121,589162.5388429753,1639.2668235085227
85,279.54597157239914,421,591845.9086935872,277.9210486332764
86,413.4147559404373,715,624409.9539020971,472.48169355059
87,90.94652450084686,138,586405.8460869569,0.0
88,76.86413770914078,120,609972.5273333339,4421.2803405761715
89,87.16320604085922,132,583185.7254545453,0.0
90,235.28882068395615,372,604847.1859139787,5160.359855405746
91,295.1600288748741,447,588473.0998657716,1.071754404362416
92,467.15792149305344,718,590633.3614484681,81.7536223260141
93,76.34690946340561,116,583810.5334482759,6.829234156115302
94,314.2280166745186,516,585017.0937209303,1.9185322606286337
95,154.5499034523964,237,582793.8109704643,12.46092050286788
96,144.597481071949,218,586464.482385321,356.4869754336296
97,88.02722638845444,133,580613.5870676689,70.74461789238721
98,150.79763454198837,227,584419.7839647578,919.4579341401087
99,136.9068285226822,210,598443.506666667,5821.698883928571
100,430.92186588048935,703,595895.4348221906,13.087001578058322
101,429.58448046445847,706,594032.8213031155,131.71840868725656
102,88.66687363386154,134,580983.1653731347,0.0
103,145.11031925678253,238,656077.8769747899,19388.58638474921
104,91.52318966388702,140,592643.7017142853,2664.77607421875
105,273.3460422754288,418,601778.3351196169,0.0
106,270.303774535656,417,595020.2503597119,0.0
107,263.21674597263336,409,605862.5770171152,0.0
108,102.25086510181427,154,579966.755584415,0.0
109,85.52621257305145,130,586763.8446153848,275.5854830228365
110,100.09186136722565,151,581476.1896688744,3.113219810637417
111,148.57990270853043,224,587235.7350000001,0.0
112,132.11860740184784,202,600351.6283168314,1510.7744805364325
113,154.7361183166504,237,603351.5957805907,2218.3401929638053
114,99.04812961816788,150,584267.9114666666,1268.6768188476562
115,75.5563383102417,115,585511.5826086955,0.0
116,142.87427973747253,215,584274.4941395348,211.10122183866278
117,82.08202081918716,128,607209.6440625001,6581.162461280823
118,101.58650320768356,153,579786.9670588237,0.0
119,94.58691561222076,143,582973.5773426576,6.451217971481643
120,184.61598998308182,304,588689.3480263151,0.0
121,87.93290114402771,133,581534.8836090226,214.75316740337172
122,102.65308845043182,157,595154.4061146498,2449.621393094397
123,95.30831706523895,144,582292.641111111,0.0
124,376.3698379397392,716,596492.0215083795,0.0
125,262.83070063591003,434,590598.9696774189,209.48084199263752
126,243.76411944627762,401,608358.1291770576,4926.221103734803
127,89.6396980881691,135,576428.6065185186,549.4343180338542
128,86.12491452693939,130,578793.175692308,0.6162484975961539
129,501.9361822605133,1368,608654.7289473694,604.048025833933
130,256.13419020175934,420,590196.1910476189,111.42280622209822
131,87.63716357946396,132,576721.4500000003,0.0
132,380.96868604421616,685,638525.7848175175,10436.658576464131
133,81.62374490499496,123,575646.3746341465,0.0
134,364.6581480503082,624,607683.2312820521,254.24471282958984
135,365.4513120651245,660,592708.3763636366,105.91818903142756
136,100.25905895233154,154,579173.4392207795,496.3259784648945
137,86.20384210348129,135,611358.8906666668,7919.773055013021
138,306.0176924467087,532,583465.761503759,2.1835946678218985
139,371.9783834218979,654,589260.4839755354,361.75519358783686
140,78.87928640842438,123,575740.4055284554,349.4054639862805
141,97.83263927698135,149,576235.518120805,2.2756372234165267
142,86.88383984565735,138,578082.3866666667,72.69495690387228
143,84.38364428281784,150,575402.779733333,75.4371240234375
144,67.25306469202042,119,577872.1754621849,699.594012605042
145,152.5207617878914,230,585585.5777391309,1657.8860659391983
146,233.08394730091095,415,588804.3961445783,11.862097315041416
147,91.49903416633606,138,578542.7559420287,598.8909062924592
148,183.66505587100983,416,599674.6201923073,11.45101811335637
149,82.70817875862122,125,578819.9110400002,548.3015771484374
150,231.14593917131424,417,595293.9761151079,912.3361763714029
151,97.28523552417755,149,574822.9809395974,20.501373086199663
152,214.36792087554932,422,588114.5693838863,33.97303027112337
153,218.50200456380844,414,583473.8079227054,366.24042544157606
154,272.81141823530197,570,591746.2165614032,289.1619429738898
155,85.70688313245773,138,575788.9208695651,156.74360723080844
156,211.33049470186234,431,592861.1896055688,2.4566321848716646
157,76.86209106445312,131,576182.7178625953,148.55040292521468
158,67.7312553524971,135,616660.6936296296,9511.186466471354
159,148.27272576093674,230,584334.6320000004,32.817805281929346
160,87.11222404241562,133,587952.2559398497,3541.477473897145
161,77.83080756664276,134,579747.2850746271,1357.2455653859608
162,82.07316493988037,147,580129.6389115646,79.41157874282526
163,217.68683272600174,400,585860.1242,38.03559356689453
164,169.55208444595337,418,599927.3435406698,194.51153856487366
165,130.7176952958107,235,579773.3377021275,192.8738400723072
166,218.46905773878098,503,608253.6622664018,130.02604805735896
167,82.84631931781769,129,604124.9407751936,7638.03927825218
168,93.07957661151886,143,576364.452027972,87.46730564357517
169,208.31409800052643,410,584161.649463414,845.4160203887195
170,216.81223112344742,366,581265.2351912569,0.0
171,107.1465317606926,216,595573.9199999997,5243.55126953125
172,243.2323663830757,1895,585299.5436833779,6.83944204526715
173,71.321901679039,129,593520.9444961243,172.04638387990553
174,67.7112387418747,142,600139.0323943661,25.990132076639526
175,71.03901755809784,130,599752.7649230767,961.6649160531852
176,59.97205460071564,141,522393.84085106384,0.0
177,105.44897603988647,240,522718.8866666666,1281.5857818603515
178,111.55545026063919,277,539739.914801444,1669.706931654727
179,102.74379128217697,234,526178.9991452986,1064.0755709134614
180,107.22220206260681,368,533888.618586957,353.05648239799166
181,111.9929062128067,233,524946.7229184556,0.0
182,74.31231832504272,275,534745.7784727272,3371.7945330255684
183,147.45171010494232,239,535622.5954811713,1061.5085847607218
184,70.55457657575607,158,505895.82202531624,1305.4015641997132
185,121.69964027404785,393,516229.8629007638,0.0
186,140.791146337986,374,508406.2559358288,3068.913014131434
187,124.12006402015686,277,489966.68000000005,2965.7745907780068
188,135.45869809389114,375,508685.5732266666,136.53598828125
189,149.33301377296448,387,542038.7356072351,4798.429451875909
190,153.28113985061646,387,528813.366821705,71.19348996184593
191,119.47915041446686,388,544810.8836082474,0.6245302809882409
192,88.66431653499603,186,510382.16129032284,6.852527249243952
193,175.82183581590652,669,614181.163587445,993.6042513312781
194,134.01943910121918,510,577763.1974117651,304.02901395909925
195,65.29798030853271,238,526194.4838655464,1137.464797076057
196,58.853145480155945,276,553599.1460869567,0.37234099014945654
197,53.857212007045746,279,527844.5810752688,1956.6845663747479
198,63.45999664068222,277,553492.2179061371,12055.890677001073
199,104.88087430596352,567,656107.490934745,27.548417348710316
200,86.47661626338959,237,512231.8339240505,8391.447940874703
201,109.82140851020813,506,551580.7674308303,0.0
202,129.81933444738388,448,553062.624642857,48.953300203595845
203,67.96073025465012,385,527440.3550129869,0.0
204,76.52061855792999,390,518979.06430769234,281.7844397911659
205,74.59317016601562,720,594769.520611111,3885.443374633789
206,32.48741829395294,271,545457.9036162363,11.022473549930812
207,32.933884143829346,389,548746.0258097686,5289.984503032616
208,35.46220177412033,272,550999.514705882,0.0
209,43.46615952253342,409,609432.8761858193,0.0
210,67.9173401594162,421,575718.9148693591,2558.7478007047025
211,58.13139075040817,243,522346.3583539095,81.38532172309027
212,56.35089373588562,434,585849.0872811063,92.57127921811995
213,14.689791798591614,26,669230.4369230769,0.0
214,55.10976177453995,359,564459.1389415041,8.248850362878656
215,89.38602387905121,389,532455.8418509,1489.1048847580937
216,93.61724001169205,446,572950.5289686103,0.17291150285524104
217,68.67160725593567,243,536456.5547325104,756.362449363426
218,82.84449976682663,514,608707.9887159534,0.5093231794899076
219,52.87405437231064,390,530899.8801025641,4232.885029484675
220,85.82901203632355,797,658723.5827854453,47.841566212652914
221,90.2043731212616,1056,675208.4448106053,463.7798600630327
