episode,acc_reward,length,cost,res_wasted
1,241.28173798322678,385,615600.5959480512,0.0
2,1005.1456589102745,1669,595204.5762971839,0.0
3,86.16421449184418,130,578449.1944615385,0.0
4,79.4713299870491,120,577257.8870000001,0.0
5,83.53015875816345,126,577449.873015873,0.0
6,290.81549513339996,439,595197.5764009117,0.0
7,285.57420068979263,428,586565.4186915888,0.0
8,1299.8837893009186,2016,589037.5950198404,0.0
9,85.8667221069336,130,582617.1575384616,0.0
10,1311.0082433223724,1955,576932.6656163685,0.0
11,286.5350041985512,434,599225.6661751153,0.0
12,346.62084609270096,520,588986.5783076917,0.0
13,147.33873510360718,222,586628.4324324325,0.0
14,75.78671658039093,115,581938.9314782609,0.0
15,149.22912055253983,225,587429.8439111109,0.0
16,142.78841483592987,215,585163.2820465113,0.0
17,86.83200973272324,131,578831.9578625952,0.0
18,152.5416978597641,232,587801.0698275863,0.0
19,271.43146085739136,408,589735.9319607842,0.0
20,267.3370921611786,403,593063.7250620351,0.0
21,265.39672964811325,399,589729.086817043,0.0
22,287.6528232693672,437,586400.7537757445,0.0
23,87.76740568876266,133,584004.286917293,0.0
24,283.24960458278656,425,587889.9331764706,0.0
25,148.2421374320984,223,584648.0810762333,0.0
26,287.3650566339493,432,590270.7363888881,0.0
27,93.8442353606224,142,583905.173802817,0.0
28,1041.1675322651863,1623,600216.2304867535,0.0
29,150.49463856220245,226,582793.9771681419,0.0
30,148.26597422361374,224,589831.867857143,0.0
31,270.5823182463646,416,590576.7410576926,0.0
32,99.56876516342163,150,579847.8303999996,0.0
33,88.47139889001846,134,583689.136716418,0.0
34,282.18033170700073,424,589590.4723584907,0.0
35,108.69826656579971,163,576012.5295705523,0.0
36,86.35313957929611,130,575935.0861538465,0.0
37,91.53375136852264,139,587723.1654676261,0.0
38,153.59684205055237,230,579461.6963478258,0.0
39,982.2014534473419,1572,600588.7290076339,0.0
40,155.76447808742523,234,583535.9953846155,0.0
41,294.01393818855286,445,598479.4799101122,0.0
42,83.01025390625,125,575221.35552,0.0
43,467.0274794101715,705,598004.6142978728,0.0
44,461.2042735219002,701,588857.5517831667,0.0
45,281.17916864156723,438,605020.6412785389,0.0
