episode,acc_reward,length,cost,res_wasted
1,32.34067624807358,51,594094.6447058822,0.0
2,147.5560285449028,222,584729.4727927927,8.04669849292652
3,272.23035740852356,411,594086.0048661802,591.2348641722742
4,969.6860478520393,1672,600892.6255502392,13.068303669468637
5,1023.5281094312668,1873,599373.5806727182,507.7672289243944
6,516.0986085534096,796,598364.5897487437,17.13738829646278
7,145.8552661538124,219,582132.804018265,4.3629869434931505
8,91.49638682603836,138,579271.514202898,0.0
9,387.4948133826256,592,609386.4229054049,1277.2532878566433
10,83.43849873542786,127,587624.4179527562,467.80008343073325
11,336.2606842517853,504,587637.0930158739,92.57220894949776
12,311.2530119419098,474,590811.6368776368,220.18829886520965
13,1191.8458686470985,2016,589894.6584920632,182.27637209211076
14,365.1922228336334,569,598316.4007732865,0.0
15,319.0713509917259,482,596588.354605809,122.33621228483209
16,281.5398294329643,423,589345.2175886527,15.40134900681516
17,147.32659685611725,230,615616.8972173919,8939.434856912365
18,149.65808355808258,225,583960.7059555551,0.0
19,272.93079578876495,411,590961.0721167881,685.725591283645
20,478.4060485959053,744,601044.7949999995,1137.4175631615424
21,273.3427582383156,420,587359.3525714286,9.021441650390624
22,1183.0259111523628,2016,616489.2472222232,1348.7607187543597
23,90.78476232290268,137,579766.8683211679,0.0
24,1201.1289184689522,2016,593999.6908333346,192.08283942086356
25,355.1234363913536,546,600940.8443956049,107.51878876738496
26,259.240083694458,417,614860.8352997602,365.9318531502923
27,93.73086458444595,142,585328.0439436622,0.22787346638424297
28,154.07491278648376,231,580950.5728138528,130.38258421266235
29,144.0314977169037,217,586101.5841474655,11.63857174359159
30,454.647174179554,699,608621.179456366,707.0118450115679
31,538.5664450526237,866,613694.63773672,1.4297209072333286
32,342.70800989866257,514,588595.7367315174,23.3698863463643
33,274.49836951494217,415,596595.5816867473,47.69377882624247
34,256.7201660871506,430,598296.3677209303,878.5850276503452
35,96.08980619907379,146,585509.7517808221,2659.330411728114
36,148.9245958328247,228,599179.3792982459,4543.544706645765
37,985.4421591162682,1666,620912.2972869143,1399.684354674487
38,148.6903799176216,223,580915.0539910316,0.0
39,344.1848490834236,523,601893.177055449,0.5959148224635517
40,156.28718900680542,234,579550.6488888892,0.0
41,1091.755206167698,2016,587993.5385515889,64.18096269880023
42,88.82256245613098,134,578428.3591044775,446.328319948111
43,342.666168987751,513,586471.7076023392,54.015826308936404
44,94.31555849313736,142,577803.2901408452,0.7065756354533451
45,454.5005972981453,691,601592.1779450073,3171.887016947811
46,467.8024219274521,715,604547.4655664335,976.9355410702578
47,264.5318378806114,403,600379.8708684864,3634.273832486818
48,86.1796116232872,132,593240.1345454546,2288.2007862437854
49,289.6000232100487,435,588918.2075402301,368.56885607489227
50,76.85795176029205,116,575938.2386206896,0.0
51,91.24539017677307,138,581992.556231884,485.7286217730978
52,93.11280399560928,141,584313.9662411348,244.39492083610372
53,851.0464475750923,1574,598608.1519695047,34.26126978872995
54,272.454225897789,410,590535.2936585376,403.7120995498285
55,268.2218052148819,404,591940.0257425744,1.2228245499110457
56,84.1165925860405,127,578539.7039370079,11.63364776851624
57,479.26633483171463,748,593457.4772192509,647.9616976651279
58,151.531944334507,230,595524.8006956519,81.77029445482337
59,273.43215560913086,412,591960.2109708737,486.56370796277685
60,157.95642238855362,239,592144.7616736402,213.13893031674948
61,345.040267765522,518,589760.7746718144,0.34238106863839285
62,272.5825825929642,411,593328.921946472,3.54151905366104
63,253.6693051457405,411,607586.3044282238,0.6615052606067519
64,875.5788832306862,1571,597066.492858053,487.0019817971485
65,93.26001143455505,141,582667.5699290776,3.2133061835106385
66,100.03694409132004,151,582300.3200000001,0.0
67,209.51640343666077,315,587806.7658412699,0.0
68,426.33979374170303,665,606212.4781353383,1121.497348779664
69,85.301125228405,129,580995.9689922482,0.0
70,288.03471422195435,434,593021.1603686635,4.40648204610095
71,149.37799191474915,228,591301.5428070175,229.77406551963404
72,104.77952653169632,159,588137.3977358495,1032.009355653007
73,266.30837512016296,402,587739.4367164182,696.9840005903102
74,280.60586017370224,431,607363.7731786541,2.309443427349188
75,89.61941832304001,137,594979.1710948907,0.0
76,141.45269107818604,217,604567.3047004606,2006.0120810231854
77,300.80245637893677,459,595469.4820915031,211.62100997625612
78,915.4415330290794,1571,602981.958345003,180.08733046912297
79,218.51162892580032,331,597044.7591540783,3.150693034837613
80,379.1019752025604,660,606308.4203636362,0.0
81,1002.5972836613655,1865,608297.4880214474,1.8350537502094504
82,291.7085615992546,473,608399.3878224103,3203.6225929179604
83,335.01527976989746,509,596165.6415717093,621.7587494915736
84,103.74550330638885,157,584201.3044585988,1388.7295777144705
85,155.39929592609406,233,580907.3466094425,289.4629922629426
86,358.7420331835747,682,598901.9392961881,490.5091901762395
87,446.7555956840515,693,588247.0107936503,74.7175673447646
88,264.990297973156,421,614091.8210926364,6945.544250343305
89,88.34255158901215,133,576401.184661654,0.0
90,251.89346355199814,419,607298.2003818613,4571.896539729079
91,153.70279616117477,231,583779.7909956707,1.9813818993506493
92,424.7762209177017,716,597513.1995530733,74.3575049032712
93,79.44884210824966,120,577732.572,6.5343017578125
94,147.0881126523018,223,593814.6078923767,4.268779669107343
95,333.7302302122116,503,594222.171371769,8.141277578668614
96,138.6493757367134,209,585677.5245933011,370.4093198639354
97,820.5487501621246,1956,585841.6587934555,539.5038847191934
98,144.34650075435638,218,587722.5957798163,937.725906792037
99,136.02284443378448,212,616914.6969811326,5877.513776671211
100,151.73727577924728,231,599150.4183549783,32.583613408076296
101,136.8239949941635,217,590974.6606451609,0.0
102,713.1133142113686,2016,598677.7922222228,21.017482212611608
103,113.69809949398041,217,680787.1826728114,19263.31622061312
104,140.25038421154022,231,626242.4341125536,2189.277004489651
105,650.2791503667831,1655,610262.10489426,529.7049230108809
106,369.47409719228745,735,595861.0973061217,1.550991509885204
107,283.23001313209534,513,589996.8691617933,63.82692142955044
108,146.5202511548996,222,592342.7652252251,497.4468631228885
109,418.2174199819565,722,606377.472963989,50.08903609088253
110,129.57418316602707,223,583902.3524663681,1.801935170263453
111,274.846697807312,513,593132.6191033138,2074.3299881784537
112,133.5627697110176,223,588064.8887892372,1612.6077481257007
113,228.50440019369125,414,601459.9317874393,2299.1625313136888
114,601.1121395230293,1551,633403.7399097359,204.87717648769947
115,803.3792954087257,2016,626953.5868849184,379.61312212262834
116,76.25597608089447,216,587527.0761111111,207.43416341145834
117,101.21918910741806,222,605347.4232432431,3822.430391878695
118,77.34390830993652,130,590386.3089230771,0.0
119,51.87989068031311,80,589342.3545,0.0
120,80.37887853384018,135,595568.1114074073,0.0
121,80.78687101602554,135,597640.701333333,229.2898193359375
122,42.53338015079498,66,588315.5466666669,349.23722700639206
123,39.831643879413605,62,589188.5154838709,0.0
124,29.875889599323273,47,585911.8119148936,0.0
125,23.21177786588669,37,583628.9502702702,0.0
126,85.61161416769028,131,595123.9212213736,0.0
127,47.72775602340698,74,591340.1145945947,946.136402027027
128,37.796743273735046,59,589987.7620338982,0.0
129,21.201117277145386,34,583194.7658823531,0.0
130,31.72476875782013,50,591683.0743999999,119.1734912109375
131,28.553698360919952,45,585148.9724444443,0.0
132,28.309071898460388,45,594221.6871111112,502.427294921875
133,15.826915860176086,26,582862.8369230769,0.0
134,30.23993742465973,48,594510.95,2101.2676391601562
135,47.03796136379242,73,593088.9841095891,73.46470328553082
136,145.5159940123558,396,605016.0177777779,380.6097606312145
137,76.60433673858643,136,621726.772647059,7951.172696281882
138,38.30451601743698,60,594666.1326666668,0.0
139,69.40335530042648,126,610063.610793651,1058.3643973214287
140,49.89133161306381,77,588508.5038961038,297.21741515320616
141,78.22962993383408,148,597574.2908108104,2.3653044829497465
142,58.57390731573105,91,602401.2883516483,0.0
143,459.7684628367424,1672,627478.6425598073,74.76270144521905
144,68.49234437942505,139,608278.2866187048,1125.0204314087791
145,122.5375012755394,427,631943.6703512882,1064.6542865833578
146,53.7806710600853,133,642561.3311278196,0.0
147,46.17904371023178,119,645854.9163025214,688.1033196970194
148,49.49029618501663,128,642021.159375,0.0
149,70.76102256774902,123,611800.2907317075,548.7991109708461
150,75.83898186683655,144,625886.4250000002,104.63105773925781
151,86.70872449874878,134,607160.1501492533,22.822120780375467
152,92.83446800708771,207,619265.16057971,4.645980171535326
153,88.24416846036911,161,605973.8909316772,0.0
154,71.96287047863007,142,598713.4836619721,1078.4950123101892
155,67.32701271772385,111,600131.4028828826,128.21545740076013
156,68.30272281169891,115,595128.2452173912,0.0
157,86.25331145524979,135,613156.1386666667,193.02403971354167
158,143.83590269088745,520,627587.7624615383,2835.2242732121395
159,57.857243955135345,137,593172.0402919708,54.71701428489963
160,37.95664328336716,82,584914.0214634144,1292.4315602372333
161,50.38933050632477,124,591400.0319354838,1455.630160424017
162,177.6004348397255,742,607491.6330458217,30.947045668116157
163,322.9111621975899,1685,601293.5758338276,14.48802233053598
164,24.852458715438843,127,618870.1225196852,0.0
165,30.09846931695938,235,617731.9470638302,188.73557076961436
166,27.14773988723755,138,595966.8110144925,0.0
167,30.10275971889496,120,633731.0883333336,7191.871170043945
168,35.243838012218475,120,588534.106,62.0296875
169,64.79335218667984,144,574386.9594444443,0.073486328125
170,271.8441827893257,780,605941.3027692309,0.0
171,18.37606966495514,30,591226.0946666666,0.0
172,14.424855530261993,24,586594.1699999998,0.0
173,13.715404152870178,23,588376.1373913044,948.8223823879076
174,13.732450187206268,23,588260.7652173913,0.0
175,17.08834147453308,28,594728.5885714287,0.0
176,40.97950226068497,177,516481.9410169492,0.0
177,49.13856506347656,185,513538.4140540542,1619.7952801678632
178,23.27923858165741,36,547969.2833333333,103.1376953125
179,28.783388376235962,43,521288.328372093,0.0
180,10.972931921482086,19,605529.3999999999,0.0
181,11.316371858119965,20,625720.2440000002,0.0
182,22.443535923957825,36,574938.01,13456.328125
183,20.962278187274933,35,627238.304,0.0
184,24.408462166786194,37,523304.65945945954,5541.412749419341
185,25.005292773246765,39,564936.6512820512,0.0
186,13.431358754634857,22,557999.9963636362,0.0
187,23.285500526428223,36,538572.6611111112,8258.391235351562
188,26.973179519176483,42,569452.1038095237,1173.4320242745537
189,10.491896271705627,19,646209.597894737,0.0
190,33.367008090019226,50,536492.3536,11.336396484375
191,68.3142397403717,196,516868.9814285715,1.715419847138074
192,79.69249951839447,515,635026.9575145631,2.6717683366201457
193,28.985618114471436,131,504536.52519083983,1620.377049103948
194,79.7770072221756,241,513214.27717842354,370.9303707898405
195,133.9151949286461,394,547443.0016243658,685.0913522788111
196,143.46507981419563,423,553457.9533806145,158.07288896276594
197,65.78376191854477,187,508699.94181818183,2912.3529738155917
198,41.16923123598099,163,579948.121717792,19282.365387150116
199,49.1718265414238,282,569835.0787234046,47.97228484458112
200,116.50539058446884,381,559908.0068241471,7088.502325103039
201,72.51290917396545,274,535557.9235036493,0.0
202,100.01739156246185,275,534154.5336727273,0.0
203,142.9907665848732,430,565336.4349767438,0.0
204,122.40110093355179,385,533684.9357922078,194.26933688869724
205,70.7714552283287,253,496914.1154150199,201.69365562469122
206,83.4929946064949,245,505276.77910204086,11.541716159119899
207,193.29802298545837,527,561144.9483111955,4391.909395105698
208,75.02309519052505,497,595351.4492555333,257.9853338782696
209,108.88288712501526,421,563540.9071733969,0.0
210,44.72860634326935,274,550716.2708029193,955.5200948227931
211,34.38568991422653,59,520508.0786440679,310.2394564353813
212,66.47484576702118,382,516262.66125654464,104.40137933062009
213,82.09712743759155,370,552305.9016216216,437.47706463788006
214,110.8085646033287,395,558882.7629367089,20.643544180181962
215,72.26508688926697,380,508657.74831578956,1450.558601459704
216,55.343843162059784,277,526952.9483032488,0.0
217,72.40372949838638,226,511806.66460177006,812.6902357793488
218,68.06060868501663,425,555643.9849411764,0.0
219,101.97673451900482,1234,690329.6807779574,1703.741206387067
220,66.12897956371307,380,568513.495157895,0.0
221,70.05624866485596,158,484111.58303797455,0.0
222,59.365199863910675,376,515549.4370212768,17.968849669111535
223,65.91849637031555,275,553693.623418182,215.75091796875
224,108.95106559991837,465,524233.07406451664,3308.7260813067037
225,114.37862491607666,377,504335.10058355465,353.5554315784566
226,45.95964699983597,134,518780.27074626845,0.0
227,65.23734158277512,270,514670.64029629604,14.216805013020833
228,44.64535492658615,190,543062.6698947365,0.0
229,55.33781826496124,246,535352.5939837395,3955.4838375928925
230,130.5933226943016,378,520041.73470899445,1768.6388433547247
231,115.49899280071259,681,642605.3609985311,5162.282213656387
232,60.321488440036774,386,570959.6798963727,133.14478487795498
233,75.61121380329132,504,624339.5172222225,6627.7351640973775
234,83.76844412088394,521,635977.984184261,44.893430508487285
235,44.756082236766815,157,521899.4208917199,0.0
236,135.05420422554016,367,580275.4469754767,0.0
237,108.28759375214577,720,632625.3713333331,1.07562255859375
238,105.26829200983047,377,515020.01909814327,2146.8671794051515
239,121.35571825504303,410,543610.4110243903,758.5687401748285
240,87.98250234127045,238,519961.4952941177,1275.0196999942555
241,125.08446443080902,404,530846.2639603966,16.33050778832766
242,65.21880173683167,442,543037.8380090494,5014.664140381964
243,106.33336234092712,220,529901.0081818183,0.0
244,49.69180154800415,113,525527.3072566371,8697.156751244469
245,157.9039949774742,423,561328.6749881795,0.0
246,174.95193654298782,432,565744.7854629626,2.1741053263346353
247,108.75048738718033,448,561896.8957142861,2513.1830496106827
248,145.1900510787964,400,521541.5977,136.4309555053711
249,79.08977925777435,375,533530.8598399998,0.0028857421875
250,103.36844080686569,237,497622.564050633,54.71836679193038
251,83.51257789134979,253,495160.8807905142,0.0
252,77.88322305679321,392,494881.3757142855,59.70746472417092
253,132.99138218164444,420,545590.1023809526,3105.032373046875
254,166.07044950127602,504,618690.6380952379,5169.496013096401
255,71.64589136838913,434,589353.2719815668,15.898869808917771
256,146.5411074757576,348,528376.530689655,3302.2118856495827
257,98.40898299217224,235,511226.81293617026,7722.751689245346
258,112.25780099630356,230,485230.82417391316,397.69732082201085
259,84.40259265899658,427,568988.9317096015,5192.658561903085
260,147.69754910469055,444,528864.5109009009,5895.279705975507
261,123.69232207536697,238,517131.71512605035,0.0
262,175.48352056741714,855,691342.7182222225,3177.932755319696
263,28.739250361919403,44,553543.3009090909,25.154746315696023
264,95.79998517036438,206,532440.5052427185,2370.7994882528064
265,131.63861978054047,517,611162.4062669249,4368.503914041722
266,63.88811194896698,516,593118.5487596897,2433.2296334200128
267,76.91259413957596,233,504265.3440343348,0.0
268,131.93267059326172,506,582464.7701976286,7956.169512963577
269,74.91070693731308,406,559198.6832512314,71.02654097232913
270,105.56720614433289,288,522186.75736111146,85.23955917358398
271,27.13238388299942,44,560831.0772727274,1228.7187777432528
272,69.19547843933105,350,526736.3325714289,164.86823521205358
273,73.6413624882698,158,494652.2083544307,71.77430049075356
274,151.17554289102554,401,570001.1019451371,365.7466276934617
275,49.46032065153122,147,515113.9493877551,0.0
276,102.61878317594528,413,514256.6819370461,521.1660392705811
277,215.99224948883057,480,577327.5105000004,8122.0849708557125
278,215.54732871055603,1004,582460.1126294824,2309.6170338178536
279,91.68657112121582,379,500197.1817414252,1391.0901049611437
280,39.32500046491623,60,524088.9213333332,0.0
281,22.005151689052582,35,576190.1668571428,810.4973039899554
282,199.83674919605255,634,596350.382018927,3645.507765905338
283,64.64683097600937,134,504428.24835820886,2409.4743251515856
284,50.414468228816986,373,547372.0784986588,0.0
285,115.58297348022461,236,501212.98016949167,976.3354378393141
286,15.75145959854126,25,542230.5808000001,0.0
287,21.80733847618103,36,609286.6388888889,9427.491882324219
288,128.38399654626846,315,598735.4379682539,7990.150819614955
289,139.6353605389595,227,496966.6132158593,0.0
290,200.56454694271088,427,541323.5723653401,51.40658590776859
291,110.2436872124672,241,492871.21526970953,0.0
292,165.70723003149033,285,542371.5576140357,0.0
293,101.64383375644684,273,498811.1440293039,362.8612020303915
294,98.52974361181259,239,511932.5742259412,0.0
295,149.9919574856758,243,507899.24658436194,0.0
296,138.22245436906815,413,528216.9107021798,9912.271795018822
