episode,acc_reward,length,cost,res_wasted
1,4.9558239579200745,10,592454.0760000001,5317.059429931641
2,-1.0,1,574923.16,0.0
3,5.383024990558624,11,621200.9090909091,12288.78154407848
4,-1.0,1,575861.16,0.0
5,-0.32633233070373535,2,577159.8,362.28536224365234
6,0.9884610176086426,4,588593.1,4032.6008834838867
7,12.2371866106987,21,593884.2171428571,5187.6734455653595
8,13.635656416416168,23,589359.4782608695,4401.750222911005
9,9.87881076335907,18,619796.3644444444,12797.836029052734
10,-1.0,1,574414.9600000001,0.0
11,2.2517999410629272,6,604089.0666666668,8121.419998168945
12,0.29580092430114746,3,600132.5599999999,6654.4068603515625
13,-1.0,1,572449.84,0.0
14,0.26341021060943604,3,615395.1333333333,11025.553894042969
15,-1.0,1,574760.5599999999,0.0
16,2.936346113681793,7,597964.1142857142,6731.483054024832
17,24.672376692295074,40,598697.108,6746.119800567627
18,15.38403868675232,26,602317.8292307693,7362.276158259465
19,23.090956449508667,38,607406.1200000001,9284.39946224815
20,-1.0,1,578474.4,0.0
21,1.0045329928398132,4,584819.99,1675.662094116211
22,2.342344582080841,6,585586.4533333334,2083.373405456543
23,7.027087211608887,13,585630.1599999999,2518.81926551232
24,2.3623048067092896,6,580960.7799999999,770.9872512817383
25,7.595727741718292,14,593952.7428571428,5423.517137799944
26,2.290123462677002,6,595361.6066666667,5852.452194213867
27,8.13936460018158,15,603734.5253333333,8551.913763427734
28,-1.0,1,575870.84,0.0
29,4.221084475517273,9,603902.2088888888,7262.779571533203
30,3.5987554788589478,8,597774.04,6426.395713806152
31,6.957939505577087,13,591615.763076923,4922.890052208533
32,0.9557375311851501,4,599873.5299999999,6370.277549743652
33,4.851389527320862,10,606517.4439999999,8690.603192138671
34,-1.0,1,574504.32,0.0
35,70.7854722738266,108,583819.6051851847,1879.075961748759
36,73.66108071804047,112,581098.7960714286,1689.482226031167
37,31.09618854522705,49,585820.5216326531,3157.574504307338
38,5.677472651004791,11,586324.021818182,3084.763770363548
39,70.36575055122375,108,591408.9362962963,1451.6207145055134
40,-0.32483237981796265,2,576610.36,0.0
41,-1.0,1,574128.48,0.0
42,1.621231734752655,5,597183.416,6198.974340820312
43,-0.3517010807991028,2,592897.7999999999,5444.751434326172
44,7.629933595657349,14,591058.5971428573,4576.841047014509
45,2.8508262038230896,7,613441.4171428571,11160.814126150948
46,24.942237555980682,40,590183.098,4269.976498031616
47,-1.0,1,574284.28,0.0
48,-1.0,1,573014.52,0.0
49,68.7121913433075,105,584321.5226666669,2270.7845061165945
50,-1.0,1,577525.16,0.0
51,69.9736139178276,107,586098.5203738314,1930.2344708130738
52,10.377552449703217,18,583804.1911111112,3387.297676086426
53,4.919436573982239,10,596969.9680000001,6756.683670043945
54,11.019264161586761,19,586406.1221052634,3463.049999036287
55,6.849580943584442,13,602461.5076923077,7635.154787503756
56,-0.3570783734321594,2,597892.12,6163.7882080078125
57,5.566937685012817,11,598408.770909091,7043.304473876953
58,-1.0,1,575613.08,0.0
59,35.17033636569977,55,585226.2676363635,2171.503588173606
60,-1.0,1,574966.8400000001,0.0
61,-1.0,1,577757.96,0.0
62,31.833339750766754,50,584395.1472,2375.5011561584474
63,12.941724836826324,22,591300.5836363635,4791.152439464222
64,0.9836532473564148,4,591031.45,4162.138206481934
65,36.893480360507965,58,590742.552413793,4497.6096780711205
66,-1.0,1,573890.0,0.0
67,-1.0,1,575496.48,0.0
68,55.51562577486038,86,591687.6883720928,3783.42512192837
69,3.531996965408325,8,608539.9650000001,9172.52267074585
70,1.010816514492035,4,582920.26,1684.3811874389648
71,-1.0,1,577690.9600000001,0.0
72,28.17372864484787,45,593985.1893333333,4247.598687744141
73,21.19980549812317,34,580858.12,1662.6269026363598
74,7.457508146762848,14,607352.5199999999,8457.393925258091
75,19.53805935382843,32,594443.1812499999,4451.617738723755
76,4.87901371717453,10,602593.628,7761.17900390625
77,-0.35603827238082886,2,598800.98,6137.819549560547
78,-1.0,1,574610.44,0.0
79,0.9754198789596558,4,592408.8300000001,5374.641082763672
80,-1.0,1,574598.2,0.0
