episode,acc_reward,length,cost,res_wasted
1,723.566648453474,1300,655369.9164307691,12819.027096343407
2,94.88418889045715,150,620689.9642666669,10181.870629119872
3,107.82351982593536,178,658887.6175280903,19162.098610981127
4,3.8613173961639404,9,654105.2711111112,21971.526428222656
5,87.04583036899567,137,614694.3433576646,9487.976489359446
6,11.80574083328247,21,619103.2419047619,13288.54241507394
7,271.51365983486176,435,640185.7065747128,11358.173107850962
8,136.56524753570557,220,640283.8670909095,15670.359157510236
9,77.00447708368301,120,603816.8420000002,6990.866853189468
10,88.52363806962967,149,667252.7750335572,25498.355119103555
11,398.99927562475204,718,670026.83827298,21002.20604486917
12,139.78733932971954,228,648750.5492982457,19632.33685383044
13,71.51952111721039,116,634731.092413793,16188.820800255085
14,136.29737055301666,227,665629.7748017621,23651.040199951978
15,74.66020900011063,115,593076.7422608696,4374.691168113377
16,93.09354600310326,147,617457.8854421766,11245.437274465756
17,84.0720089673996,133,620539.2024060147,9006.331962212584
18,5.102591335773468,11,653962.5854545454,20952.77069091797
19,102.37458348274231,165,637477.4416969693,14821.693929082698
20,89.80721187591553,150,663322.3197333331,22596.59995765686
21,221.88082376122475,364,661867.8319780217,18249.98689340759
22,82.15226662158966,134,641713.5928358213,18083.17290751614
23,123.35268694162369,210,681839.3668571434,27789.336181640625
24,321.9571369588375,544,674170.8928676471,10339.73977296142
25,392.1381243765354,653,674144.4374272585,13084.377973909948
26,78.92351460456848,125,618640.7324799999,10241.3461456604
27,229.54611682891846,373,637597.5360857906,13626.173653891516
28,82.15667116641998,132,628967.4845454543,15154.163153301586
29,90.20727372169495,147,643472.1989115645,17557.185139403053
30,90.52180704474449,148,646899.8086486489,17797.806062956115
31,72.78582555055618,114,605445.8291228071,8973.904630460238
32,141.13444006443024,229,645528.2553711788,17924.054811294423
33,81.11828434467316,132,641367.124545455,16274.01533239538
34,251.2503711283207,409,649981.3933496336,13620.66315310625
35,256.22495979070663,421,666353.9494536816,17091.635838470098
36,73.17830449342728,121,651581.6743801656,19792.143210860322
37,73.56879585981369,121,647449.0366942147,18716.62316648625
38,91.43406429886818,153,663919.7628758173,23886.493949665743
39,146.9818173646927,235,623982.4788085107,11386.828568543779
40,195.69655799865723,309,625968.6998058256,12700.491036998415
41,88.67377817630768,140,616343.547714286,11182.855407224382
42,109.24219518899918,177,643863.023954802,15293.243398892677
43,78.14931124448776,128,646405.015625,17224.28801867366
44,267.3777019381523,436,654134.1244036703,20049.743337983386
45,85.86933553218842,134,607349.9220895523,7506.349279595845
46,140.3618614077568,225,638412.1107555554,13354.476971740723
47,101.53342884778976,164,639928.7373170733,14721.979993587587
48,135.73395508527756,234,693676.4121367519,29700.23095028217
49,77.05215007066727,127,648946.7681889764,20071.336757419616
50,133.55792731046677,220,657636.4629090911,20624.172160876882
51,84.10283249616623,134,625300.8208955225,11436.864127144885
52,81.20949417352676,133,645667.8902255639,18299.055367233163
53,81.06896221637726,130,627781.442769231,14244.681679168114
54,72.97183322906494,120,646606.3383333335,19024.56383342743
55,443.3350040614605,788,677186.1733502538,23956.15769158765
56,412.4055271446705,705,661972.2470354605,10279.188677166878
57,89.92999082803726,143,623748.4794405594,11927.044599839857
58,272.50227269530296,506,647692.1211857704,14600.735174691725
59,81.96555921435356,133,638179.1037593987,16447.165593054062
60,92.90311700105667,149,630503.1959731547,14562.176150379564
61,62.94900685548782,101,624170.9287128712,12474.338523543707
62,294.37713208794594,510,645829.3041568632,12755.222439496658
63,102.760726749897,164,628121.644146341,13638.652070254815
64,266.1075868010521,422,624149.7122274882,10668.2808078567
65,97.20248705148697,156,634110.224102564,13183.721820171062
66,269.6548501551151,437,639657.1005949652,15119.71543681758
67,76.02044010162354,122,627512.2157377055,13946.32219158235
68,74.00544220209122,116,608797.3362068965,7613.179246113218
69,120.87044680118561,199,657824.1734673367,19080.40527715635
70,82.95583471655846,135,642350.969185185,16014.073495229086
71,131.6889587044716,221,643747.7842533936,14884.944279890795
72,74.89507412910461,119,621411.8315966387,9945.80547268651
73,86.49477058649063,142,648473.4005633801,19226.529895084004
74,260.8808700442314,455,659976.6418461539,16345.162497484815
75,243.19832322001457,411,632967.5460827252,12179.557058222972
76,151.4563314318657,244,644571.0729508195,13642.313975725017
77,104.20815187692642,177,678475.4564971756,26692.5288308677
78,94.8816286623478,157,660504.4901910828,18221.24546631734
79,538.7208687365055,990,650491.5460202018,10084.86908194802
80,80.55202087759972,128,625105.0653125,8696.891597270966
81,591.4374015629292,1014,647307.2633925052,10310.255270275138
82,253.370640873909,412,646717.8299999998,11290.31842155364
83,91.73153629899025,153,664971.2684967321,20700.14470493092
84,405.55967539548874,709,678012.1214668547,21544.471018265267
85,261.46928402781487,443,688851.0846049658,24602.679782454103
86,264.42468962073326,431,657416.3780974481,17373.84678911001
87,82.75405770540237,131,617246.7352671755,11604.125241869278
88,262.32205057144165,421,642765.8830403802,15523.575207635513
89,80.50250375270844,140,691787.3237142856,31285.55983666011
90,425.02192041277885,716,667291.5094972062,16257.692327946925
91,351.2720997929573,603,684329.3938308457,24508.514399172655
92,91.51752626895905,142,603268.5008450707,6652.436747698716
93,282.001619130373,448,636767.0873214286,12059.019560107163
