episode,acc_reward,length,cost,res_wasted
1,33.37925970554352,51,594094.6439215684,0.0
2,152.2369921207428,222,584727.9574774773,8.04800002639358
3,279.566293656826,411,594059.9768369832,591.2725945911268
4,985.3922729492188,1668,599305.772973621,13.104129269826327
5,437.91011941432953,732,594068.7496174865,427.67568219294316
6,295.4039697647095,440,588732.7764545452,4.0037850119850855
7,144.89272648096085,211,581860.1728909952,4.5327715399140995
8,93.57667392492294,139,588262.602589928,0.0
9,100.71107620000839,148,587109.6751351351,2671.4040354135873
10,480.2407805919647,702,596898.1368091166,537.9502939077524
11,436.54974234104156,658,595741.4395136781,150.34566305328647
12,513.5492730736732,835,638899.3228742509,131.01487064932635
13,105.37186825275421,154,583515.3067532466,14.510135799259334
14,148.07748639583588,217,580789.7351152078,0.0
15,99.82183539867401,147,580866.6759183669,99.28649653220663
16,989.9590101242065,1671,606028.0584799529,270.3834932008808
17,144.39267337322235,216,618670.021111111,8547.72640991211
18,154.12790006399155,225,580381.5738666671,0.0
19,156.1942926645279,228,589735.8185964912,1214.1971307051808
20,523.1105305552483,794,591020.5157682609,1470.6283967524992
21,229.8387307524681,361,592285.030027701,10.653968874437327
22,1151.702985227108,2016,586391.4245833333,1349.9088712419782
23,90.28354966640472,133,575419.1371428572,0.0
24,959.7795702219009,1673,602597.5048416007,199.81748540117866
25,350.69696325063705,515,599005.032854369,114.20844015473301
26,156.06997483968735,228,583996.1801754383,0.0
27,350.47309160232544,513,593540.1649122802,0.08595249109100878
28,154.27198493480682,231,579763.9774891775,130.8815157010958
29,151.96317172050476,221,583140.6050678736,11.370233181914593
30,989.1924384236336,1558,610397.6749422337,1757.5826396427963
31,373.82943910360336,725,589944.7075862058,1.7151006869612069
32,152.10900050401688,221,581572.6253393666,49.21096511771776
33,156.21306639909744,227,577661.3735682821,3.795926400743392
34,883.0785781145096,1662,611867.7915764145,1629.0355647668941
35,100.31758338212967,148,589072.1843243242,2626.137297759185
36,98.04024654626846,145,592369.1051034484,3016.702865705819
37,272.7240673303604,426,599498.6953051642,3319.1767517949493
38,156.09997755289078,228,579178.0080701754,0.0
39,888.8513092398643,1516,615369.2696306077,15.149338452985859
40,155.30368435382843,227,581314.0930396477,0.0
41,255.7111411690712,408,594318.202058824,70.94710585650276
42,90.0623328089714,132,577506.6118181817,454.8816750266335
43,416.19175893068314,706,606607.556373937,2534.385667665822
44,154.77601170539856,228,579617.0105263158,0.41758165861430924
45,143.86225593090057,210,581567.263809524,13.732235281808036
46,150.29175740480423,220,580739.3620000002,0.0
47,109.90994775295258,160,583366.4349999999,1028.4551696777344
48,141.97192746400833,208,591195.9273076924,3350.57173039363
49,154.2934759259224,224,582809.9585714287,428.37193189348494
50,274.1909474134445,413,594402.9781113801,16.466792737023304
51,349.6987529993057,539,603137.3779591835,124.4882934796788
52,93.17459326982498,136,574129.3214705883,76.91266587201287
53,805.3329012393951,1272,599002.0434905654,42.655481302513266
54,477.6535326242447,712,603712.2524157305,2475.3073240130134
55,117.7034415602684,173,589483.8716763008,3.108737129696532
56,294.6930640935898,432,592903.0674999999,84.38618977864583
57,908.3517725467682,1562,617539.0820486551,311.3244549974742
58,1026.2246978282928,1661,628792.6079470204,41.45987105671
59,473.0585542321205,692,595866.5050289026,680.3802811286353
60,494.68230497837067,734,599512.8785831073,1653.9449818790447
61,285.25457191467285,422,600983.5950710895,0.445761151788359
62,457.02174413204193,709,589795.623469676,2.0885862019569816
63,479.82634687423706,718,590959.5602785518,34.98849274786734
64,453.5372586250305,708,590448.9012429375,943.1175919872219
65,96.77130031585693,142,578280.5946478872,6.740220620598592
66,83.54434061050415,123,579149.2445528454,0.0
67,822.0237570405006,1586,590885.9776292567,190.0794032747478
68,501.1818876862526,793,606412.5932912998,960.6495561443392
69,89.54291987419128,132,584066.5609090909,8.686090642755682
70,893.4101451635361,1672,621984.3627990434,254.57859437203294
71,280.1067875623703,411,592045.2809732357,149.40005827298128
72,267.6349511742592,426,588542.3127699525,1573.5168173346722
73,348.0046163201332,506,584897.3360474312,555.3400644897944
74,159.59194141626358,232,582096.7343103448,0.0
75,488.51387959718704,722,606967.9699722993,0.18166547865088298
76,1107.4894779920578,1887,599406.595082141,1447.6453187878826
77,524.5722663402557,775,602203.0465032256,173.33683168472783
78,526.4507643580437,806,603427.7025806459,10.953148323608096
79,281.2362856268883,421,597187.1840380045,2.475645087960214
80,347.268450319767,508,587630.5071653546,0.0
81,149.12310874462128,218,584629.5605504588,0.6906570294581422
82,149.0603308081627,217,586103.4492165899,979.9593871507776
83,294.2852798104286,476,591181.6016806719,606.7411147686614
84,108.64143484830856,159,589711.8918238995,1401.4140532871463
