episode,acc_reward,length,cost,res_wasted
1,32.34067624807358,51,594094.6447058822,0.0
2,147.5555648803711,222,584733.2023423424,8.047995077597129
3,272.24109905958176,411,594039.3367396592,591.2725544950388
4,962.4410949349403,1671,597033.5282345907,13.080708858140708
5,148.62975984811783,223,581094.3205381165,335.04050106852577
6,1184.7314147353172,1869,599246.010444088,63.963343441199335
7,156.1789956688881,235,585568.9400851062,4.0707197473404255
8,263.1964589357376,397,593449.8765743078,75.41805976464106
9,98.93456852436066,150,583665.3800000002,2635.7630639648437
10,473.0152869820595,720,607051.4846111105,531.1048980712891
11,91.41788816452026,138,580404.930724638,18.332503609035324
12,345.7865514755249,518,586956.9155212359,201.62986372428512
13,102.03919261693954,154,582533.1187012993,14.517048625202921
14,153.77889078855515,231,583234.6983549786,0.0
15,1249.2776707410812,2016,591252.4602182538,349.75866317749023
16,1283.7341877818108,2016,589266.6912103168,229.97280829293388
17,261.04416739940643,402,610395.104179105,5375.116253753206
18,147.5104221701622,221,579587.0658823528,0.0
19,289.7413070201874,438,596073.6094977172,644.2800167554045
20,982.0925053358078,1584,596432.8559343428,1908.7099026766691
21,1143.5476070642471,1875,607720.0198613325,141.813369140625
22,1164.6291001439095,2016,616744.0725396837,1350.0439382280622
23,86.74781948328018,131,579560.6323664119,0.0
24,1169.428129017353,2016,612720.7866865088,192.49196842738561
25,151.41995519399643,229,590954.9030567681,244.05939866778112
26,152.18476152420044,228,580015.4794736843,0.0
27,1206.210439324379,2016,612495.9967658733,270.6930253165109
28,741.5114699006081,1262,607402.3140095096,80.73569436534271
29,284.69710808992386,429,592649.0122144524,307.6840504466237
30,454.2767040133476,729,599678.8382990396,1116.8562915943287
31,502.846335709095,769,598483.9270741225,1.622154920401902
32,339.3178572654724,521,595771.3745105565,23.30151484337512
33,350.7204204797745,530,597693.4471698104,50.71159299454599
34,1161.595030426979,2016,611055.2560912701,1342.6780766078405
35,152.95823335647583,233,597625.7922746778,1671.1603925320212
36,420.6458720564842,684,630523.5923976604,1716.0920442280017
37,91.14891922473907,138,583997.7176811595,15.703658394191576
38,281.2272951602936,443,596814.5696613993,0.0
39,820.7449089884758,1402,612036.788359486,0.22633638259517652
40,150.63174051046371,226,581577.2964601769,0.0
41,263.24060875177383,401,602245.1188029927,71.9736355522327
42,97.303759932518,147,582173.651972789,407.9541488958865
43,153.214823782444,230,582639.9772173916,0.0
44,94.35136467218399,142,577354.8470422539,0.617400693221831
45,146.71504908800125,220,580394.7330909088,137.530585826527
46,151.00140273571014,227,584022.8202643176,0.0
47,87.55087172985077,133,586124.7621052633,677.5189502687383
48,269.51918441057205,415,611927.617542169,4363.6557578948605
49,153.6966500878334,231,583498.7336796534,415.3845056310877
50,88.34825599193573,134,585312.0841791047,0.0
51,87.81401425600052,133,582801.4093233083,505.81784906602445
52,707.6113597750664,1277,642672.3621299928,2871.423257539491
53,283.89118444919586,447,620912.155436242,121.38871857303901
54,253.88290870189667,409,621359.1874816627,401.2961676488004
55,271.4084193110466,411,598413.5566909973,1.2527621749543796
56,267.73088777065277,405,594174.5791604937,53.96977267795139
57,277.68510431051254,422,602845.6661611374,0.0
58,199.37831538915634,308,611918.8406493508,61.52236026912541
59,274.84858590364456,412,585826.657281553,487.9951785189434
60,98.35591679811478,149,586261.7535570473,11.178500386692534
61,243.8194661140442,369,596895.5017886182,0.0
62,87.22043424844742,132,582295.597272727,0.0
63,194.41191923618317,295,597991.3434576271,0.0
64,233.98527425527573,355,599179.647887324,274.9948984925176
65,379.3420761227608,657,632555.8363470322,37.87584947559932
66,96.78258246183395,146,580887.3339726027,0.0
67,422.91223073005676,687,625000.3641921403,0.0
68,699.4870063662529,1366,643658.0342020503,570.1940183402155
69,88.06655216217041,133,580084.3242105262,16.909346731085527
70,121.12931764125824,183,586833.3044808739,6.814591204533811
71,797.8011876344681,1566,629077.2205619415,57.494612068965516
72,91.84503674507141,139,583351.1280575544,212.72842165720547
73,90.94433969259262,139,595101.2011510791,4.96518010201214
74,528.136334836483,851,596628.4203055225,1.6709946880049207
75,606.3564214706421,1108,609122.1334296028,0.1133416241256769
76,139.64898186922073,212,591918.1384905658,2059.6904970564933
77,273.39756697416306,433,596272.1663741339,225.5382920192516
78,258.8026140332222,420,593456.492761905,18.664615304129466
79,310.4905630350113,518,598278.6606177607,27.082410186414094
80,721.9218344092369,1372,596029.5628862971,4.943197444993622
81,157.0434096455574,236,584080.6542372883,0.556392346398305
82,90.61037480831146,138,590756.6747826088,93.17399796195652
83,247.7968888282776,372,586693.4731182796,562.9176015546245
84,102.98893195390701,157,592794.3997452233,1391.5674372387539
85,116.33858728408813,176,587256.7022727273,386.21987082741475
86,96.14770823717117,145,580337.0844137927,2.610631903286638
87,423.7221450805664,692,614008.2199999997,75.39065710519779
88,244.74454563856125,398,610776.6152763815,7194.2621168587075
89,272.81569516658783,436,595882.4010091741,184.97087755115754
90,259.4821630716324,405,612428.4974814813,4741.0294921875
91,631.7663415670395,1029,623945.0611467446,0.44060087064959913
92,412.5976492166519,696,610276.0940804597,73.30508422851562
93,75.42873519659042,115,587611.1269565215,5.611338739809782
94,89.1425187587738,136,592485.0973529414,7.0609130859375
95,430.2953701019287,726,606572.6818732789,6.265023223624742
96,142.20715248584747,218,589793.8880733948,355.2927615664421
97,87.62834143638611,133,585965.6667669171,69.8778709468985
98,131.20921939611435,218,592477.3834862387,939.3373239499713
99,82.6150450706482,128,594252.8921875,4219.970529556274
100,105.52401280403137,159,581206.1773584906,0.0
101,236.84757947921753,421,597583.3120190025,0.0
102,234.49930107593536,407,587676.4552334154,0.0
103,87.08678150177002,151,646730.1870198669,17854.473758924876
104,156.1209362745285,236,588198.0391525427,2151.1765214305815
105,79.02175676822662,121,584064.3798347106,0.0
106,356.1508466601372,720,607206.6705555555,1.668212890625
107,270.94251668453217,429,607212.038508159,38.93554175316871
108,229.0328299999237,388,645062.0008247424,2480.0121101300742
109,89.62722897529602,136,585821.8720588235,263.30319483139937
110,96.91510355472565,149,603359.4553020137,2.870137669096057
111,166.09488677978516,287,607399.7336585365,1102.3796327172256
112,89.43529480695724,139,611655.9525179855,2118.9726325385004
113,158.57622706890106,249,609295.3593574301,2107.9893372317397
114,95.87032097578049,150,598587.1272,1264.750576171875
115,121.55613380670547,187,595630.7985026742,82.9317724870488
116,111.76061886548996,194,601403.3468041237,232.78158789565882
117,197.78524261713028,405,623983.2147160495,2101.7436469184026
118,92.44067680835724,147,602151.3730612245,0.0
119,65.74737685918808,101,592741.1144554453,0.0
120,103.92649179697037,186,600804.710752688,0.0
121,86.18782544136047,136,587998.0744117649,246.895388434915
122,226.82756865024567,512,611426.8151562498,1374.107902765274
123,305.21466076374054,557,608105.8387073609,155.81017650008417
124,195.514955163002,411,598534.5541605843,0.0
125,193.39128124713898,447,597549.7745861299,201.85910136587668
126,88.36337959766388,223,593030.7029596411,1311.2237105433717
127,62.497910499572754,127,578941.4929133859,551.0043820358637
128,72.2489954829216,130,585782.6916923078,0.59007568359375
129,247.96711039543152,519,604139.0217341043,0.0
130,135.14060670137405,241,617815.9301244813,24.521247325596473
131,73.83461254835129,112,580903.9064285714,0.0
132,61.64572513103485,100,594658.1355999997,572.8901220703125
133,344.58779287338257,685,610423.0370802921,2976.76400796932
134,259.5559991598129,659,600785.2173596353,241.13532170250855
135,46.700965106487274,72,584902.6944444448,75.95504760742188
