episode,acc_reward,length,cost,res_wasted
1,20.293189465999603,40,4614696.143999999,0.0
2,100.13903522491455,135,3196423.085037037,0.0
3,195.30119824409485,270,3398460.290370372,0.0
4,856.6640903055668,1807,3765913.724582184,0.0
5,247.82317858934402,398,3418397.431959797,0.0
6,348.1882264614105,584,3410063.6005479475,0.0
7,89.60424661636353,127,3036675.989921258,0.0
8,133.69651114940643,255,3993213.1526274527,0.0
9,152.6533027291298,216,3538962.0533333323,0.0
10,104.19467502832413,149,3490697.360536913,0.0
11,242.53757598996162,430,3746746.268651161,0.0
12,317.7731966972351,520,3173484.14369231,0.0
13,159.40513455867767,226,3309613.7599999984,0.0
14,267.93426901102066,501,3243304.628502991,0.0
15,194.94835603237152,387,4689313.668630488,0.0
16,99.06359523534775,133,2826496.297142857,0.0
17,380.89777290821075,799,3687634.457271589,0.0
18,148.27322804927826,229,3169374.4286462874,0.0
19,401.8808867931366,685,3224654.705284676,0.0
20,166.39450120925903,229,2807104.3248908306,0.0
21,115.8678525686264,150,2608745.5370666664,0.0
22,286.2289091348648,523,2893047.373154874,0.0
23,271.0510452389717,512,3277403.364999996,0.0
24,151.9932734966278,216,2935257.2800000003,0.0
25,185.51231014728546,368,2904472.1452173917,0.0
26,229.79810458421707,373,3417294.0993029475,0.0
27,300.0421617627144,528,3614056.9542424227,0.0
28,161.76177948713303,224,2637456.8000000007,0.0
29,223.75061506032944,398,3226855.60562814,0.0
30,254.3267410993576,536,3053800.940298507,0.0
31,252.28303349018097,409,2966211.0697310525,0.0
32,454.21320950984955,943,3210421.6505620335,0.0
33,59.57834458351135,80,3045889.8080000007,0.0
34,103.98580420017242,134,2658975.2788059707,0.0
35,188.71098744869232,367,3104364.803051774,0.0
36,167.76777166128159,228,2791181.759999999,0.0
37,58.61968910694122,82,3426765.2936585373,0.0
38,63.88834768533707,80,2348016.1219999995,0.0
39,204.47699850797653,368,3019369.1734782625,0.0
40,395.6871157884598,656,3038782.801463411,0.0
41,501.74685603380203,1074,3377836.6425325824,0.0
42,61.595164358615875,80,2710116.7920000004,0.0
43,60.074083745479584,79,2837067.315443037,0.0
44,204.283396422863,368,3184866.5630434784,0.0
45,198.47128301858902,368,2919308.2630434786,0.0
46,342.12154322862625,798,3195429.529423555,0.0
47,62.6492714881897,79,2422721.170632912,0.0
48,116.12572318315506,164,2638615.705365854,0.0
49,62.74886620044708,79,2398828.7331645577,0.0
50,147.95430797338486,218,2934781.942018349,0.0
51,63.447683453559875,80,2390622.834,0.0
