episode,acc_reward,length,cost,res_wasted
1,52.71562039852142,258,615069.4291472868,0.0
2,333.0382233262062,518,594307.2737451738,217.7622388449415
3,85.29955327510834,130,587679.5406153846,1819.8844088040864
4,280.4451099038124,441,594054.3217233563,0.0
5,181.2930247783661,284,592360.3030985919,903.3355923504896
6,275.27614253759384,416,596071.7906730775,0.0
7,275.59551483392715,429,595185.1294172491,11.393401032561188
8,977.0868517756462,1571,602493.3413876512,468.79114639797007
9,87.18382400274277,133,587771.840601504,2969.422201744596
10,451.2368779182434,706,604079.5501983002,534.3948983254581
11,285.9233672618866,435,604303.8207816094,107.2507425242457
12,346.581070125103,519,586531.8420038536,201.0658883331828
13,93.55127382278442,142,587577.7546478875,0.0
14,148.88503301143646,225,584784.5491555558,0.0
15,103.93107199668884,157,583407.181910828,332.9728070884753
16,1036.2992395758629,1669,611720.6942121034,270.1908092830194
17,72.17748379707336,114,613821.6877192983,10038.488756681743
18,145.94754666090012,219,581323.7620091321,0.0
19,139.58900886774063,212,593809.4594339622,1058.761629500479
20,470.4660729765892,732,603140.7216939894,972.7297143154457
21,339.3419141769409,510,591027.6509019613,7.3724271886488975
22,458.30607265233994,722,617744.3839889192,2143.715090595784
23,287.4047577381134,432,589997.5345370375,9.631121317545572
24,159.28404408693314,240,587506.2924999999,0.0
25,325.2312606573105,505,598698.9961188124,116.1570962735922
26,1008.330612540245,2016,644822.488115079,756.6163509913853
27,549.4137299656868,1000,605980.8086400003,15.629744750976563
28,273.1615020632744,418,610800.0267942586,75.22976494748056
29,98.19751709699631,148,580040.1378378377,16.930837270375843
30,90.57603353261948,137,582554.437080292,15.185832002737227
31,96.34510153532028,147,594327.1314285714,0.0
32,269.0876114368439,406,594076.9717241384,26.716236133293567
33,278.78873282670975,429,586983.5644755248,61.70708844378278
34,88.39982980489731,134,584562.8244776117,0.0
35,79.66915464401245,122,589745.8622950817,3180.8339583600155
36,76.02206283807755,117,595005.8119658121,2869.5064227764424
37,91.15545427799225,138,583913.9023188408,15.406900157099185
38,824.2279044985771,1858,604574.8701399355,653.9830620542923
39,348.03194934129715,732,597464.8122404368,0.4164778912653688
40,145.758434176445,226,583357.4608849557,0.0
41,255.69354152679443,436,592394.1422018347,138.60909950186354
42,84.56732285022736,128,581194.5965624999,465.4242296218872
43,238.2154803276062,408,599327.6615686272,0.0
44,93.55809646844864,141,578827.7872340424,0.0
45,241.6875650882721,403,600565.6272952856,1533.9792725820992
46,264.69738364219666,408,587210.7018627452,0.0
47,85.71046286821365,130,583766.9141538463,653.5164635291467
48,87.60648554563522,133,583049.6583458644,2278.3459325804747
49,253.65878665447235,416,591996.012115385,327.37386439396784
50,96.7428628206253,146,581300.3663013695,7.602012320740582
51,234.98930275440216,405,596018.5999012345,164.94969618055555
52,92.378038585186,140,585167.8434285715,202.8526611328125
53,289.93177604675293,435,587825.8163678165,123.4383090315194
54,247.95710456371307,391,589840.8908439898,330.29281421085756
55,257.7744127511978,406,594275.164334976,1.2161324035945198
56,84.09120160341263,127,578896.3788976378,11.679980660986713
57,443.2518592476845,735,600853.4769523805,658.5484355070153
58,149.90850979089737,225,581993.7658666668,82.8558154296875
59,276.12602311372757,414,583234.0761352654,489.4693497367527
60,436.6000748872757,735,606506.8490340136,1647.265283203125
61,322.9421303868294,510,593462.0099607846,0.34923598345588236
62,565.8654450774193,1000,606925.8014000001,11.187899780273437
63,186.0637530684471,280,587663.7472857145,0.0
64,88.20160853862762,134,587219.8026865675,0.0
65,87.41949760913849,133,588703.2264661655,0.0
66,709.2847034931183,1327,609518.1835719676,14.245554414474613
67,429.1323022842407,705,610296.9752056735,0.0
68,416.93579989671707,681,615928.4382966227,1114.6911282308301
69,81.71830379962921,123,574244.4705691059,0.0
70,448.2998529076576,706,593353.0076487248,3.2503176248782757
71,339.49405002593994,511,592660.2658317025,120.33928475874511
72,150.31395280361176,226,582464.7851327431,1255.5937532408047
73,271.2911826968193,409,592269.334376528,684.2199065341343
74,79.78274947404861,121,582809.8009917352,0.0
75,503.7456902861595,822,605014.9416058398,0.15463056355497262
76,449.77840280532837,699,595321.2064091563,698.1560173853272
77,438.92266738414764,713,599022.292678821,167.5611883861654
78,54.154307544231415,83,583534.6375903614,0.0
79,1138.2674693465233,2016,603301.6057341264,7.142222813197544
80,284.48544186353683,426,585407.9442253525,0.0
81,157.56844866275787,237,585189.1091983125,0.3386014141613924
82,1162.356921851635,2016,591917.7327777778,1278.171703338623
83,439.6750955581665,707,595210.8359830265,1113.0638750607761
84,84.10328447818756,128,585994.6221874998,1676.0862264633179
85,472.65500527620316,719,604386.8427260087,1864.0413954181697
86,284.3346076607704,432,601802.8055555554,745.6006851196289
87,91.4988117814064,139,587937.5341007193,0.0
88,77.02042931318283,120,607676.3403333332,4402.770108032227
89,321.4366718530655,514,602765.3451361863,167.19608434536113
90,330.51646786928177,502,598069.1396015931,3810.8468627929688
91,1121.2533847093582,2016,605731.8973412703,155.89801461356026
92,461.6493815779686,717,598687.339470014,78.18978613689853
93,78.65618532896042,119,579472.4568067226,5.772253725709033
94,223.2525411248207,336,589544.0088095234,2.8831067766462053
95,759.7542915940285,1600,602368.1401500001,13.611895751953124
96,162.67476427555084,247,595715.1382995951,847.9817957086601
97,84.20923388004303,128,586855.8156250002,21.481327056884766
98,146.69359183311462,221,585014.3659728506,922.5279877951782
99,142.12867385149002,219,603898.5221917807,6084.576461164918
100,879.1107580661774,1866,608525.7412861738,507.015810068014
101,140.88725048303604,215,578801.6414883727,0.0
102,273.3075115084648,450,593853.1391999997,0.0
103,274.36290699243546,444,650476.8491891895,17112.31087844436
104,384.84307396411896,691,603855.152879884,731.1377725118149
105,826.2923510074615,1590,605372.5736352189,406.51924680313977
106,141.50949907302856,215,595760.7036279064,0.0
107,278.1223590373993,432,592601.6676851857,75.70384470621745
108,93.17419415712357,141,583746.128794326,0.0
109,89.99030530452728,136,581059.0926470589,261.3677107867073
110,152.45005363225937,229,583176.0829694323,1.6919760891443778
111,1149.895011126995,1953,582793.7187301582,678.5836896061348
112,134.1108242869377,203,588670.1324137934,1501.7545292295258
113,265.77047407627106,404,599683.2091089116,2248.206544479521
114,961.1531707644463,1596,606938.4291729311,215.32057614434035
115,275.1980751156807,412,584821.8576699032,37.09330231009178
116,156.04544472694397,234,581259.9786324787,190.63008000300482
117,267.63192999362946,405,594633.0755555556,2093.0296088324653
118,88.28182554244995,134,586093.7510447763,0.0
119,88.45471227169037,133,574876.306766917,6.650800891388628
120,468.40921342372894,702,589231.1448433046,21.26192376552484
121,90.78940165042877,137,579417.7851094892,247.84198755417427
122,343.1958558559418,516,589755.393023256,1355.0316296954488
123,54.99248272180557,84,580045.9233333332,0.0
124,320.2517072558403,515,607596.235728155,0.0
125,315.03006303310394,509,594765.5145776032,174.75252606405022
126,406.53944873809814,630,620038.1034920638,5626.757111467634
127,77.91537970304489,118,579662.7915254236,593.6748326188427
128,86.1322865486145,130,578692.4935384617,0.30047607421875
129,264.0492548942566,397,589639.8359697735,0.0
130,338.2018619775772,509,592274.7702946957,257.8395895367755
131,461.58994472026825,709,593075.4922990123,93.69473778814792
132,238.92152631282806,399,608851.9795488719,6485.767679085408
133,126.9252837896347,192,588901.3283333335,137.91349411010742
134,97.6101524233818,148,586170.7043243244,682.4717720650337
135,99.95310360193253,152,590790.2571052632,286.0389404296875
136,84.93108224868774,129,585550.9293023259,453.676698196766
137,849.5876163840294,1509,623902.4428363163,6939.400738149229
138,456.57855343818665,702,600734.5402279207,12.963397686298077
139,1081.7542273402214,2016,603659.1386309519,706.1102104187012
140,306.7819507718086,728,603160.4741758243,64.96048761724116
141,67.26121681928635,122,590113.6131147542,0.0
142,78.11791634559631,236,599382.1466101696,41.777691340042374
143,48.68670606613159,157,590028.3752866242,66.2933512888137
144,45.81521028280258,115,593196.303652174,620.1672936480978
145,157.0761223435402,366,606021.2014207653,1217.333448066086
146,34.24578082561493,138,606572.3634782608,0.0
147,38.298448741436005,133,602163.622255639,616.8353060385339
148,163.15845865011215,419,604045.9909307878,10.441311856727326
149,57.994252383708954,90,586794.3831111112,732.0848876953125
150,51.9312744140625,80,588157.7094999999,0.0
151,62.471946001052856,121,594914.7547107439,23.517288586324895
152,48.61356592178345,154,592207.0631168832,5.941762948965097
153,76.1805989742279,134,588165.3346268658,0.0
154,295.6267504096031,513,583301.4470955168,319.59134714226974
155,73.06572288274765,111,582352.6237837838,123.9352928367821
156,244.82277756929398,433,589371.5675750581,2.5224863100822748
157,53.784846007823944,83,591477.9686746987,104.96010948089231
158,84.23437786102295,134,626696.5591044774,9476.141328270756
159,942.3888083696365,1567,582922.5579323543,33.81725147201061
160,249.26897317171097,425,609141.2075294118,4970.112433076746
161,286.70797473192215,516,609590.1424031012,2531.562701557958
162,477.72615307569504,729,589363.0975582994,30.607112931616513
163,113.07765519618988,176,607270.5343181822,85.38436265425248
164,121.74361288547516,197,600869.2237563451,44.88835771434803
165,125.74011218547821,214,600188.4990654207,207.75543326975028
166,488.72703790664673,800,596853.3772,83.68429916381837
167,83.07353073358536,131,618840.5016793893,7675.291760160723
168,75.9967371225357,119,599407.8991596638,52.43283260569853
169,218.733300447464,416,607369.3168269236,974.7024518526517
170,247.63073909282684,501,588106.2104590817,0.0
171,530.9247534871101,998,641828.3361122243,9516.981972612217
172,45.54794931411743,88,598747.7386363634,0.0
173,65.34655004739761,127,600710.9801574803,169.70537801427164
174,148.79710221290588,377,598592.488594165,9.804694623466512
175,151.42605835199356,417,618295.0188968822,1440.38448459982
176,125.41136234998703,393,534597.8209669206,0.0
177,102.9135872721672,281,522130.65352313186,1077.463639989018
178,341.3687568604946,793,610938.6183606551,1373.68811666289
179,206.74226868152618,518,587632.943629344,957.1782641318774
180,148.74244260787964,363,511951.7779614329,352.37169603079803
181,77.35913056135178,218,508164.0337614675,0.0
182,155.8247304558754,413,535430.1192251814,2291.051237018576
183,82.4096964597702,288,556777.5381944447,871.6167144775391
184,59.678778409957886,230,501568.9406956522,887.8389229152514
185,50.92137569189072,266,509413.69263157865,0.0
186,90.32203280925751,381,526967.1172703415,2986.836726631705
187,117.37580466270447,444,532934.588918919,4716.584324192357
188,33.29826784133911,232,511695.2743103445,211.69370033001078
189,102.43820440769196,380,544073.4823157898,4848.009521484375
190,57.319631576538086,214,502957.4771962617,29.45852974864924
191,67.64494490623474,280,528791.2884285713,1.0805681501116071
192,65.285524725914,230,519986.5104347825,5.233208432404891
193,61.437296986579895,234,514556.6311111114,1447.5783832256611
194,68.75343090295792,291,540461.1851546395,360.21205500966494
195,85.13281327486038,292,547510.9146575342,918.1013564018353
196,205.49254629015923,477,570631.8541719081,331.5240639740566
197,132.31986504793167,273,514830.70710622694,1984.2775288676169
198,161.8741438984871,374,572338.4417112294,8906.441501882624
199,138.51523232460022,232,531720.0865517242,64.66081079943427
200,123.33818626403809,281,538996.5639857653,7537.286181032446
201,113.41309916973114,256,505095.3068750001,0.0
202,97.74852108955383,275,505341.2766545454,0.0
203,105.0785493850708,284,516648.1519718313,0.0
204,98.22019374370575,292,503381.94917808205,132.1500298486997
205,131.8074215054512,389,519447.93275064335,484.6138897187299
206,61.20194911956787,273,521372.5038827837,9.543980189732142
207,55.315393686294556,287,511778.364041812,3212.087522287402
208,67.02696543931961,272,526497.7339705881,0.0
209,38.03240787982941,234,510659.81008547,0.0
210,81.45590299367905,386,542952.8893264245,1989.3905411952517
211,35.98546087741852,233,525165.3486695279,78.88437269480954
212,42.12285232543945,270,517680.4684444444,0.0
213,76.92219805717468,281,535301.328683274,22.49912422153025
214,179.11985784769058,581,631028.6101204819,579.8202072379921
215,86.81673985719681,214,515265.33738317754,648.985406893436
216,9.820200681686401,18,657967.4755555555,0.0
217,75.86763262748718,222,540740.0403603605,818.4017597920185
218,207.38037502765656,425,588207.4972235289,0.0
219,85.58490991592407,385,560600.8431168832,4224.739235300832
220,63.81117022037506,177,545714.9984180786,0.0
221,46.20394790172577,146,525310.0720547946,0.0
222,54.00285089015961,197,528966.9516751266,31.84822756384835
223,13.065638661384583,22,588984.56,15.768776633522727
224,37.49672204256058,157,530065.3342675164,0.0
225,49.18322402238846,193,538523.9046632125,186.12028985690577
226,56.68990671634674,133,557345.40962406,0.0
227,51.78644663095474,217,558736.2656221198,1.2771581131192395
228,9.986752033233643,19,692617.6063157894,0.0
229,33.969206750392914,191,541658.6475392671,3754.2808160432346
230,55.36281567811966,218,531686.7306422018,16.032509900014336
231,67.81430584192276,211,531070.7563981042,1252.6174530463195
232,165.6575227379799,377,586679.3607427055,141.77720646137269
233,56.14425641298294,259,549396.4664092662,3958.9953193811834
234,46.18217223882675,242,520842.77950413217,95.046242958258
235,47.12258851528168,238,536034.5070588236,0.0
236,719.1561202704906,1717,731917.588538149,17.104303287779377
237,18.0347797870636,166,488662.3660240963,2.6323506918298194
238,92.07150858640671,377,494001.26302387234,2130.534300786431
239,61.23884433507919,384,514546.81541666604,801.5795373916626
240,33.71016609668732,279,518819.0349820787,1065.6520956716229
241,95.4451813697815,375,510743.51808000007,13.160185546875
242,108.78519654273987,379,499805.01699208474,5124.5268026467675
243,81.45497918128967,228,514696.15122807,0.0
244,122.96625876426697,374,511154.1152941175,3774.3083564635904
245,50.455247581005096,130,514841.8030769232,0.0
246,44.739587903022766,181,512402.9626519336,6.691383994086671
247,42.526437163352966,215,517882.02027906943,2776.2586993550144
248,63.422967076301575,183,507365.9324590162,2.169619700947746
249,15.975674569606781,26,572567.5707692307,0.0
250,13.639241695404053,22,549221.5818181817,453.2170965021307
251,9.317412674427032,17,635142.025882353,0.0
252,13.745968282222748,23,592819.412173913,0.0
253,26.95881897211075,184,512600.34282608697,724.8318169635276
254,11.438636660575867,19,548590.1747368422,9157.242919921875
255,9.249335646629333,17,645861.8564705881,0.0
256,8.512411296367645,16,645871.385,0.0
257,8.62056279182434,15,545459.6373333334,9294.099096679687
