episode,acc_reward,length,cost,res_wasted
1,28.379363119602203,45,592546.3502222222,0.0
2,454.6480246782303,696,608223.9702298854,4177.467667283683
3,247.0805822610855,401,621984.9857356611,4021.576829410848
4,79.03989362716675,120,582448.5233333333,843.0003112792969
5,270.6747786998749,421,620451.7086935864,6499.521969176812
6,1240.465809583664,2016,606925.4496626979,2385.7271302086965
7,255.6245796084404,412,628059.6488349515,2208.653494084923
8,151.96155494451523,230,588381.0060869562,2640.2978174624236
9,92.86235654354095,148,627646.8594594598,11655.208020184491
10,1141.204556465149,1845,635290.7046070462,8690.739373183831
11,258.0138319134712,397,610452.3361209072,4475.1039392581815
12,603.3593302369118,916,601405.847947598,2842.032535136527
13,96.4700676202774,149,600244.2204026845,5976.847399820417
14,148.42804700136185,223,581133.7903139014,1280.263939827547
15,340.5871174931526,516,595320.223643411,3650.0075406806413
16,152.573457300663,233,600078.6894420602,1907.9984663934667
17,128.04300326108932,212,661204.6754716983,21814.792270876325
18,147.26048523187637,224,594482.9067857142,2229.1908915383474
19,146.9688332080841,231,620889.8503896096,10522.287003157975
20,265.68710446357727,415,616721.0064578324,6753.326465579114
21,328.2408242225647,513,609027.2689278758,3488.7748198927493
22,262.9027697443962,409,609905.8303178484,7875.548045188699
23,85.87246584892273,130,581153.0923076923,795.1064497727614
24,201.84222012758255,308,599912.2100000001,3583.6024843686587
25,88.41190201044083,135,588842.4560000001,3138.4702351888022
26,146.56982403993607,223,592928.7960538114,3477.0473032040445
27,276.24385792016983,422,604924.0500473935,2809.3848370737373
28,323.3827856183052,504,598600.1449206347,4630.194818224226
29,140.8765305876732,218,609244.1600000001,5672.20954713034
30,151.09373915195465,231,597265.8417316017,4784.475468226841
31,243.08196353912354,400,599209.0866999998,3143.357727127075
32,337.0206971168518,511,596156.4827397262,3674.9272291926254
33,151.57070356607437,230,591095.582608696,2893.506897503397
34,1196.0628004074097,1955,613647.4051560101,8813.023365397343
35,103.16777700185776,162,614625.2182716049,10264.003302680121
36,261.34242725372314,407,619001.8498280103,8353.797353158712
37,256.94589614868164,410,634335.3020487803,13098.21389152713
38,141.0735073685646,213,585696.9862910799,1767.961972948531
39,957.3949772715569,1553,613226.5134835795,2479.4546654793958
40,148.75551110506058,226,592935.673274336,2390.056016364984
41,267.79492032527924,406,596377.0665024635,2333.518448627641
42,86.15589612722397,134,603119.5746268654,7921.955847213518
43,467.51400446891785,738,630145.7022222216,11690.311383875405
44,97.2420802116394,148,588498.0845945945,2054.6914722339525
45,141.5210838317871,216,596855.6851851855,3018.022346496582
46,1142.0466219186783,1948,600899.908501026,3946.341086965322
47,84.11902278661728,131,604663.449465649,7532.129463486999
48,85.17913401126862,134,614735.6214925371,8899.244028119898
49,137.02876317501068,211,602094.39563981,6384.790389942332
50,76.96996527910233,117,582342.2454700855,1532.238990196815
51,86.11124634742737,134,604251.2537313433,7551.227855625437
52,275.9327081441879,436,618585.5283486234,9917.484147168081
53,148.82460862398148,233,619645.6267811155,8367.599917563246
54,485.7791410088539,792,630289.191616162,10020.662286931818
55,251.21915125846863,409,616293.4130073347,1753.7145008935904
56,1246.1878567934036,1953,594942.915453149,4475.222852434431
57,1116.3152024149895,1957,604336.6526520181,4087.0513987592367
58,139.76288294792175,216,607704.9488888887,5641.670848846436
59,269.41766852140427,413,606277.9724939467,4574.0510623368455
60,148.77430111169815,232,615093.3049999999,8322.338998860327
61,683.3087145090103,1083,605438.5851892893,2779.279648038489
62,87.29688769578934,133,587531.6297744362,1921.9239194482789
63,269.25670647621155,425,603196.8296470589,1844.3983188763787
64,1210.8765063881874,1959,605074.5159571206,5515.108716652186
65,792.6071824431419,1316,601265.4830699095,3854.5774741825
66,335.010103225708,510,597254.4200784318,2909.6975786994485
67,332.2638216018677,514,597683.5132295719,3084.9125394116118
68,140.928968667984,218,598821.8108256881,5044.086828389299
69,83.99873846769333,129,593913.5528682168,3523.4779230162153
70,285.13766396045685,438,610608.4224657535,3533.2242699191993
71,516.8345997333527,813,609003.8649938502,3583.774690297257
72,150.80280250310898,237,622407.4089451481,9599.439881529988
73,281.8800609111786,430,600846.6558139536,4598.786817328874
74,153.56778919696808,235,599026.0743829784,4452.294388791348
75,343.633098423481,524,603405.9327480914,3384.2837507524564
76,100.7951238155365,159,618679.0963522014,10889.145246397775
77,273.35750967264175,430,625156.8105116282,6875.9992884436315
78,1201.7565070390701,2016,610012.8504761906,4925.851156098502
79,313.83149695396423,514,607576.5908949411,2911.426757634382
80,1030.3018770217896,1669,599861.5900539252,2709.1295015896203
81,149.0135601758957,228,598752.9070175438,4201.212285895097
82,497.1238268017769,806,644755.7538461537,12912.80936195241
83,73.91055458784103,117,620042.1818803418,7805.36766404372
84,92.47081643342972,145,612260.1834482758,9323.698470753638
85,145.92358601093292,228,605120.7522807017,5793.424352947034
86,146.58247411251068,227,609123.5517180618,6749.4554882973825
87,494.9905214905739,816,604656.0123529404,3091.7705669403076
88,316.8390785455704,519,662010.1128323702,18930.242204081806
89,285.0550056695938,437,602378.4975743706,4059.885399999553
90,1044.6820263266563,1850,631348.950508108,8013.6073719746355
91,851.6344856023788,1375,615269.4591127267,1750.7413916015626
92,507.53462129831314,800,612774.6088500009,3152.702480506897
93,79.78337860107422,122,587876.5455737708,3297.914975776047
94,145.3949807882309,222,597253.8264864865,3337.2528187519797
95,154.9211390018463,235,591456.0025531915,2448.2773486847573
96,253.36896395683289,421,642679.8228028506,11570.482273636408
97,94.21495753526688,147,608312.5004081633,8295.458142961774
98,266.64181995391846,435,623525.75154023,9117.561378005455
99,73.6186106801033,116,612872.7382758623,8996.334146433863
100,1102.8725744485855,1859,603428.6249381378,3893.8192192516767
101,138.21181684732437,212,591049.989056604,3112.273830197892
102,1185.4707448482513,2016,592731.9071230161,2882.653408731733
103,122.66410309076309,215,697543.4399999996,31544.338739297556
104,145.17999905347824,231,631017.1667532466,13144.947343306108
105,140.79000180959702,224,592475.7348214284,2375.492132459368
106,763.1460534334183,1561,605575.4802818694,2580.7966301360243
107,311.6319052577019,510,599609.3999215688,2131.7713445326863
108,223.87353426218033,378,622779.9960846566,7467.75937180292
109,102.2943764925003,158,602491.280506329,5249.670788535589
110,98.61517947912216,151,596908.2185430464,1399.5460825534847
111,400.1529671549797,697,622775.7820373027,7963.162084636934
112,77.97291773557663,127,639573.6478740156,11499.93084188146
113,192.96907079219818,313,624214.2343769969,7457.412565481168
114,410.96052461862564,737,611467.5243419262,4379.5734261211255
115,264.8645252585411,428,594799.4171028038,2046.9567305662922
116,138.4185746908188,223,604391.6563228704,4621.8176120364615
