episode,acc_reward,length,cost,res_wasted
1,28.379362761974335,45,592546.3582222222,0.0
2,462.3169602751732,696,594312.0459770125,201.22581639783135
3,85.03472799062729,130,591312.7664615386,1820.3620943509616
4,78.9307701587677,120,585288.7466666666,0.0
5,81.43968349695206,123,578322.0741463415,0.0
6,279.2555586695671,424,601752.6085849054,0.0
7,289.33292096853256,434,587661.9516129034,12.43391608312932
8,270.2579538822174,407,591757.2393120389,74.27000483482416
9,99.2833001613617,151,587493.9777483443,2623.651822323831
10,282.4765940308571,432,609338.1114814812,875.4113794962565
11,109.2947393655777,166,591028.6624096388,281.81930358151357
12,982.0842737555504,1570,594190.6177324837,93.41964857745323
13,102.13658446073532,154,581403.5303896106,14.528034953327921
14,87.01718199253082,131,575839.1160305343,0.0
15,97.24792736768723,147,583141.9281632653,99.5987548828125
16,276.82477909326553,422,606440.1545023699,15.506173807297838
17,82.30071741342545,131,625763.423206107,10233.967274906072
18,98.66402226686478,149,582472.2542281878,0.0
19,148.9120083451271,225,588311.6976000001,1226.206962890625
20,907.6117531657219,1577,619648.9981737487,1919.8093740866013
21,270.78356862068176,420,604206.0360000005,9.241905866350447
22,90.81882065534592,139,591483.0543884895,3728.9221498777542
23,85.79673999547958,130,583342.0301538461,0.0
24,445.734478533268,734,616276.2722615806,5.357548768254002
25,88.20496028661728,135,595906.9291851851,139.07019856770833
26,151.0213640332222,228,589120.2780701751,0.0
27,96.71505981683731,146,581729.3621917807,0.216393039651113
28,150.38832032680511,226,583474.1923893809,111.81113292052683
29,916.6136838793755,1874,595725.575005336,2167.259945017551
30,89.02865755558014,135,585189.3090370371,15.8326904296875
31,151.33462703227997,227,581456.1499559475,0.0
32,325.7515874505043,514,594860.3300389103,23.927318528468508
33,96.29751431941986,145,578500.4278620686,5.7987052128232754
34,245.46562212705612,371,585726.9691644211,77.4347618082463
35,78.4384537935257,120,588113.1906666667,3244.4130981445314
36,77.64475280046463,119,590470.2699159662,2961.9485724954043
37,265.7544028162956,407,606799.1480098282,3482.7087894224123
38,140.98565942049026,212,583348.2918867925,0.0
39,732.9624657034874,1156,593525.7683737029,0.3374332837167496
40,151.93955820798874,230,592334.0968695653,0.0
41,270.57552367448807,407,590369.9432923836,71.67888879424524
42,85.60479241609573,129,576161.046511628,472.5903519031613
43,447.9274959564209,708,605344.1571186439,2563.1026176840573
44,94.6575773358345,143,581977.9672727273,0.6555764791848776
45,145.12041050195694,218,582469.0249541283,94.04609834163561
46,151.23933589458466,228,587421.6645614037,0.0
47,84.90219014883041,129,585627.9373643409,661.848019622093
48,747.3016204237938,1227,606927.2351426248,3692.685831307782
49,288.2811377644539,432,586082.1781481482,354.0044631958008
50,97.74790477752686,147,577267.081632653,24.808093012595663
51,88.80338698625565,134,578589.0444776118,508.8737483238106
52,159.64860200881958,240,583182.7104999998,1182.0443801879883
53,86.81192463636398,132,587755.8045454544,199.194804798473
54,522.3028346896172,816,609525.5944607846,2494.027151668773
55,1147.218687236309,1811,587166.9065488689,18.127559095242614
56,345.969155728817,588,596795.5593197278,136.43136908083545
57,284.2256529331207,426,586557.3709859158,0.0
58,221.42312026023865,333,588590.3119519517,58.45554991026182
59,275.3363292813301,414,589502.7245410627,494.61806852921194
60,454.65340423583984,709,610622.9003102961,1655.1646175841854
61,1236.5245901942253,2016,600874.0294444445,13.91909899030413
62,1278.3331815004349,2016,585138.2828968276,15.635312761579241
63,327.8909437060356,491,586380.6789409369,51.548569813279656
64,288.1697111129761,433,589369.2148729794,228.14427188582565
65,490.0790913105011,752,590342.5161170214,78.89911310723487
66,88.53574496507645,134,582881.0155223882,0.0
67,1028.2297755479813,1585,593997.1126309154,191.37546525347497
68,85.24678492546082,130,590033.8615384615,646.7150813176082
69,87.00696438550949,131,576142.5120610688,0.47866005933921757
70,341.4414730668068,514,583736.6855252918,4.450371293242339
71,143.25216168165207,216,586581.5112962964,248.27693684895834
72,147.41093397140503,222,584129.6221621622,1292.4202682907517
73,275.2267842888832,413,586805.2788377721,685.8530610387031
74,345.88826072216034,519,589158.8683622353,1.8196280595195087
75,1178.0905200839043,1863,591791.4916156733,1.3646346382472827
76,861.4100260734558,1600,598473.6711999992,1045.0744381713866
77,1013.4250329732895,1644,603161.8578102184,95.54930727325217
78,988.2859182953835,1586,603363.4529129885,194.40971230197826
79,277.89288967847824,428,607863.2779439253,24.63261827130184
80,1035.9375814795494,1672,602682.987607656,73.81511881705106
81,150.81704187393188,227,585455.3111894275,0.7420562878579295
82,303.5272227525711,465,608527.9116559143,3222.3861942414314
83,443.1207541823387,711,593421.0594092825,1148.5745030656647
84,328.238476395607,509,606787.7614145383,1853.5353020628684
85,148.35191786289215,223,583338.6973991026,310.055423206278
86,146.87825119495392,220,579334.3640000002,41.8884072043679
87,459.62605381011963,696,599617.6160919543,76.38378169618804
88,638.6651694178581,1195,617519.7432970718,5557.685682735682
89,739.9224146604538,1226,612289.3816965745,76.17433870947185
90,322.2658179998398,523,609007.3234416823,3712.3746445256484
91,366.30445832014084,566,619833.3385865722,0.9184162692551899
92,442.4829313158989,719,599656.5149930466,84.81510252548027
93,1213.2893980145454,2016,593012.538789683,448.22851943969727
94,265.3454569578171,414,613801.8387439622,2.696652619735054
95,153.79741835594177,231,583062.7922077922,13.395263671875
96,132.02192503213882,200,590970.3111999998,322.65608642578127
97,339.28690153360367,516,602420.3579844964,1923.44121604742
98,432.0954439640045,657,604310.0966818877,1255.7068556694135
99,591.1451926231384,995,624700.5806633155,2547.455252458582
100,852.0704126954079,1524,632705.9323359575,621.9071138637272
101,190.7802472114563,298,612578.2938255034,0.12561280935402686
102,146.7810065150261,220,580028.7727272724,0.0
103,1293.8101441264153,2016,602400.1831150799,5424.996894836426
104,266.17292046546936,427,605346.4253864171,1208.896163332937
105,484.68905997276306,732,598466.0246448079,2.2501140657018444
106,494.1410968899727,754,598231.010557029,1.6102139500787467
107,967.8137946128845,1585,595257.4158990531,126.33317547626676
108,279.88025438785553,427,604283.7097892269,2314.9412790338665
109,84.48000758886337,131,582788.9212213738,278.7929957731989
110,98.47719031572342,149,584657.5328859059,3.091471627254614
111,879.8821934461594,1446,605755.3569294608,929.4419750672653
112,264.76582646369934,418,632553.6932057417,4666.0007449793475
113,485.17081993818283,821,624257.5445554206,5997.6724926371235
114,438.1570769548416,700,612810.6670285716,338.92791033063617
115,246.1951943039894,430,611723.4256744189,37.511708530159886
116,529.8218163847923,879,614408.6923777028,654.4659877946352
117,248.43767565488815,405,619296.0656790124,2120.2877631293404
118,382.48940378427505,654,607921.7832415903,30.8730939112672
119,409.0042004585266,689,611768.2727431054,2284.498843432511
120,79.4529412984848,121,587522.5421487606,0.0
121,88.5052695274353,135,591760.0722962965,238.18090006510417
122,327.1443893313408,519,614134.7789595372,1385.6198984487896
123,240.17928671836853,404,612211.7452475248,0.0
124,67.60062301158905,129,586486.8018604653,0.0
125,93.7063136100769,156,594033.7987179485,522.5249211237981
126,342.6834101676941,578,636329.3874048445,5393.789620686567
127,88.57084250450134,135,590542.0616296299,558.6960205078125
128,85.23923200368881,130,590942.4403076925,1.0028151292067307
129,358.6113319993019,616,624532.2606493513,27.549484054763596
130,85.7718448638916,140,593615.207714286,43.88688092912946
131,321.2895570397377,559,615169.8290518783,124.08822953935599
132,321.4633765220642,603,633721.9723383086,9484.029655798158
133,375.47103583812714,642,603304.0953271029,2994.3744763525847
134,90.3850474357605,147,593070.9619047617,700.7012142259248
135,72.23195689916611,113,585204.7387610619,159.28874922220686
136,77.83961772918701,130,592431.0372307692,489.5967294546274
137,67.15554797649384,106,615243.8947169813,7088.910540886645
138,849.1505147814751,2016,588504.1015079361,59.20674460274832
139,76.07343083620071,132,598325.6075757578,1206.3270346901634
140,80.35028040409088,123,593558.7323577234,385.2134979992378
141,85.92713862657547,133,599846.7257142857,0.0
142,129.50942438840866,228,603189.7864912282,47.501741108141445
143,85.98527318239212,146,590974.6720547944,85.33807958315496
144,241.3817994594574,420,602252.866,441.78436104910713
145,69.21244615316391,116,590961.6727586206,481.36822088833514
146,75.30419838428497,120,590013.002666667,0.0
147,82.03705734014511,132,597816.0845454548,637.097226229581
148,110.32685858011246,233,596476.826781116,0.0
149,231.49383383989334,422,605281.7443601899,652.1472867992817
150,814.7584816813469,2016,587988.4731746021,270.90037754603793
151,299.10658901929855,734,609281.4164032697,8.268621876064373
152,208.51099509000778,422,619893.7780094789,35.731766976451425
153,72.82380324602127,137,598179.6472992704,0.0
154,93.10293066501617,163,609511.0888343559,970.4862996668903
155,80.66319000720978,136,610125.4364705881,160.2959478041705
156,69.72743541002274,154,609830.2018181819,7.019949776785714
157,81.83878070116043,125,591707.0300800004,151.7991064453125
158,79.05422925949097,138,638379.6179710149,9673.16347603176
159,52.3534614443779,126,614254.6463492065,62.513157435825896
160,63.838416397571564,130,627178.0769230771,3571.9832068810097
161,60.36637532711029,133,606509.9212030072,1429.4259152519971
162,67.04606753587723,125,608872.9536000001,0.0
163,78.3060040473938,147,615075.6946938776,62.02865911989796
164,75.64292049407959,139,605306.9012949642,10.007564846560252
165,68.46911489963531,123,604068.121300813,375.1545231516768
166,40.57320320606232,79,588338.6465822783,0.0
167,33.82370400428772,53,588459.3094339622,219.09756412146226
168,31.817125141620636,50,588570.8495999997,9.0116455078125
169,36.57616084814072,61,587207.992786885,0.0
170,48.010351955890656,74,585773.6129729729,0.0
171,45.99799883365631,77,600995.0192207793,3571.464111328125
172,49.910389602184296,77,588435.4618181818,0.0
173,38.606478214263916,77,586477.4789610391,292.2201482599432
174,26.532096445560455,42,585293.8495238096,0.0
175,44.00878894329071,79,588662.8658227848,0.0
176,67.0029326081276,141,539176.3574468084,0.0
177,108.47909533977509,239,536122.8107112967,1321.8929964328909
178,208.29752883315086,725,602294.4877241384,1566.6396543305495
179,103.92725849151611,215,511323.83051162807,1106.9253287381905
180,78.47650218009949,185,537951.543567568,644.0899242504223
181,99.63643002510071,222,533917.5048648652,0.0
182,26.748465836048126,42,561814.7685714286,13599.835170200893
183,80.86713492870331,213,533065.7682629108,1204.2692613198724
184,96.90817338228226,211,537635.9653080569,1000.0489808575237
185,82.51972281932831,193,503071.7997927463,0.0
186,69.00060623884201,165,504928.9672727272,392.470751953125
187,92.06156450510025,188,501870.03191489325,1664.5309772897274
188,98.79542404413223,215,515626.96837209316,247.85096974927325
189,81.25664240121841,193,543946.3278756477,8592.944053847556
190,94.8027458190918,184,507503.9350000001,56.072206580120586
191,75.08655214309692,125,514483.17856,0.0
192,47.399233758449554,90,527009.2364444444,0.0
193,49.886358201503754,90,519558.7182222223,542.9350463867188
194,42.81289267539978,79,534286.314936709,361.40058995500397
195,51.70755213499069,89,527394.8624719101,1734.5009313004741
196,46.670314103364944,73,583253.8328767124,0.0
197,45.90172612667084,67,508280.1408955224,6497.921915082789
198,39.637407064437866,62,572810.6341935485,17916.013614777596
199,94.10409528017044,143,535867.4282517481,124.02089365712412
200,131.11524826288223,322,578179.6355279506,7782.465873765649
201,99.03210061788559,277,540840.6749458484,0.0
202,76.31300169229507,279,537604.7248745521,0.0
203,100.53428637981415,447,586439.2351677855,0.0
204,105.23575216531754,484,589768.3138842974,1163.9668647198637
205,39.170340180397034,140,525905.1962857144,37.70007149832589
206,60.914528489112854,407,579185.8624078621,8.439265370661856
207,39.737621545791626,279,532786.2389964161,2955.7288542716733
208,51.08779430389404,225,530569.3740444444,0.2305810546875
209,38.37514269351959,217,550588.435760369,0.0
210,18.94933670759201,32,635854.6475000001,0.0
211,38.41684627532959,235,540138.6556595749,96.57352684507978
212,40.49413728713989,240,549889.7426666669,0.0
213,77.82524633407593,450,607923.6542222217,381.69133544921874
214,31.530990779399872,226,566963.5415929204,0.0
215,32.7707462310791,386,543492.7092227979,1549.8247664851847
216,27.703633248806,279,559293.6457347678,0.0
217,29.171916127204895,245,559390.2315102043,779.9561055086097
218,31.616361618041992,381,577297.8847244093,0.0
219,49.46046054363251,454,568923.4809691631,3999.461225736509
220,34.35413897037506,278,573531.2654676257,0.0
221,225.21293923258781,1377,744428.3542193162,351.51952008016747
222,63.471577644348145,386,567364.6591709848,17.256051967798737
223,34.855153262615204,248,540010.1943548387,54.578966202274444
224,54.065467178821564,383,534939.7198955613,2441.9569257532025
225,74.28234696388245,378,544725.092063492,358.20819382440476
226,32.631626427173615,134,549846.0937313435,0.0
227,53.44846361875534,269,549946.2951672866,23.121654638127325
228,43.73874819278717,158,550250.5779746833,0.0
229,76.41468501091003,395,557936.5516962026,3234.6826811585247
230,66.5342458486557,997,655435.6469809432,3835.2764173869264
231,52.24171483516693,994,677905.1404828972,7581.4590266206615
232,43.8526908159256,513,599097.9773879151,118.30807548656799
233,113.8458241224289,975,672754.4120205127,6238.65259390024
234,17.193092823028564,27,545205.9703703702,0.0
235,50.381095826625824,158,536271.0855696204,0.0
236,16.51558655500412,30,702411.3439999998,0.0
237,22.796128392219543,35,540652.5611428573,0.0
238,18.876997232437134,30,567110.8759999999,0.0
239,18.24665081501007,31,641263.6890322581,0.0
240,20.835379362106323,34,607375.3,33.516378963694855
241,84.54431688785553,375,538912.387413333,20.002728515625
242,90.31566286087036,430,543814.5597209303,5282.28811915198
243,38.926609575748444,128,537393.8818750003,0.0
244,114.68362554907799,580,642405.8445517244,2753.550299282732
245,29.172533869743347,130,529799.7673846153,0.0
246,28.792862832546234,70,538439.1845714287,0.0
247,40.98773717880249,450,601178.307822222,2597.9703857421873
248,61.14761221408844,700,628759.0281142857,83.81749407087054
249,43.126040518283844,449,573725.0710022271,0.0
250,88.12327408790588,771,652034.2880933852,33.26456104085603
251,120.18177193403244,390,547402.9427692302,0.0
252,71.91168457269669,187,528306.6986096259,17.551005807152407
253,107.15928137302399,229,518038.49082969467,937.6733185214247
254,70.44820034503937,375,557660.3922133329,7004.374713867188
255,60.222318172454834,269,534323.6999256507,0.33261210501858735
256,47.30715054273605,278,527370.0635971222,2206.587619260061
257,59.84804421663284,273,542787.995018315,6821.940923334478
258,53.576080441474915,266,526020.7851127818,777.3167187683564
259,55.06255805492401,236,526509.6279661019,5152.1188675185385
260,69.84328067302704,388,535305.0442268039,5485.212687698836
261,81.27311217784882,236,535267.1216949153,0.0
262,90.10984694957733,255,535666.7579607851,2019.0691018497243
263,73.36053133010864,238,517168.89731092413,10.285645044150472
264,85.97579556703568,379,541963.4439050134,3642.5182145654685
265,62.939806163311005,405,548265.4658765426,4471.865671115452
266,70.51030856370926,374,528214.0335828875,3446.9350132253717
267,78.89722561836243,244,517150.8468852456,0.0
268,70.6573606133461,388,540692.0289690724,6156.193803924875
269,62.623203217983246,255,524983.8969411765,117.38812327665441
