Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,14.978694915771484,19,308556.0684210526,9051.0343997353
2,84.78621238470078,111,409113.8277477478,988.6372994087837
3,76.50963306427002,99,391659.59858585865,355.5166293057528
4,48.38116371631622,64,414497.85125000007,0.0
5,86.62536185979843,111,379570.3232432432,1388.4790055558487
6,35.091394543647766,48,452172.11749999993,277.49172019958496
7,78.1362082362175,103,417507.87902912655,360.1814930739912
8,73.13552689552307,96,410863.6089583333,146.18620491027832
9,55.207367300987244,74,434928.04378378374,1497.396950386666
10,95.28116464614868,122,379589.14983606554,2223.828664060499
11,53.90560472011566,72,429768.7944444445,3229.531665802002
12,73.94826084375381,95,381178.26652631577,19.711953253495064
13,32.960078060626984,45,447861.080888889,383.2420654296875
14,78.05493658781052,101,391924.5152475246,308.67610364857285
15,77.73703813552856,100,383707.8093999999,159.63726928710938
16,90.21388787031174,116,384883.09620689653,1617.5187472639413
17,58.502919375896454,79,445870.9863291141,722.656163855444
18,69.55909842252731,92,420514.2602173912,31.440303636633832
19,64.89702880382538,86,422140.71534883726,0.0
20,57.06224566698074,75,408846.3050666666,1023.4891333007813
21,37.30183506011963,51,453130.299607843,1933.759718951057
22,57.42164218425751,77,436145.0197402598,462.0610193029627
23,77.02379894256592,99,382421.08404040406,357.7887822931463
24,87.33677870035172,111,368145.60018017987,335.8970328666068
25,89.2206871509552,113,363462.1028318585,638.0911389916344
26,58.93799960613251,77,401102.2703896103,625.8932213721338
27,73.33436840772629,95,392680.00399999996,363.66730282432155
28,79.41894137859344,103,395326.45359223307,312.1900705874545
29,62.84489160776138,83,417006.68313252996,0.0
30,72.50668132305145,93,378651.79032258067,66.41846096900201
31,81.08231288194656,105,393507.90228571417,404.53813214983256
32,88.68691104650497,115,396345.83252173895,1107.9015261442764
33,67.02551943063736,93,483625.3561290322,4030.100768058531
34,72.7127326130867,100,473148.9751999998,918.8735202026368
35,69.97667914628983,94,441501.3378723404,490.3180243309508
36,69.84863716363907,95,458003.0985263157,1011.3952668842517
37,36.30456382036209,50,461912.308,1602.5117211914062
38,12.450144946575165,18,476622.7488888889,944.2153778076172
39,72.09729868173599,95,415823.4467368421,685.8619195235403
40,70.86047822237015,98,480108.18489795906,1610.503101271026
41,73.16654300689697,100,465073.00199999986,1276.6700802612304
42,75.72874164581299,101,432898.34693069296,961.0343337861618
43,51.558741092681885,71,469493.1690140846,1328.9522803937884
44,70.41148060560226,96,461315.5575000001,1296.627296447754
45,80.99734604358673,112,481582.8385714287,4296.934209006174
46,70.18310087919235,96,465604.97791666654,608.6380462646484
47,63.565765261650085,88,479911.0504545454,381.21238361705434
48,70.26448446512222,97,477644.38597938156,605.4424674437219
49,58.85979437828064,79,437703.3974683545,1175.550414652764
50,66.83161252737045,90,444148.52622222214,81.89308166503906
51,75.18571662902832,104,481134.49230769224,1240.3491008465107
52,72.73060768842697,100,472845.49479999987,1676.3638375854491
53,66.07632553577423,91,473646.82989010983,214.01902921907194
54,36.32189905643463,50,461315.70319999993,351.65883361816407
55,64.38986629247665,89,478006.19505617983,474.3099913864993
56,72.67594820261002,100,473806.35400000005,711.9575106811524
57,71.95536929368973,99,473568.1365656566,2158.8962346857243
58,73.46685260534286,101,472796.883168317,3238.5856978916886
59,65.82252204418182,91,478627.1472527473,373.7164276458405
60,77.07238733768463,105,461478.46590476186,1620.7881774902344
61,70.89630222320557,95,438340.6210526315,1966.422505910773
62,60.25138586759567,83,472636.63566265086,103.5833074730563
63,57.93832063674927,80,475057.2965,234.53617401123046
64,68.341457426548,94,472482.20297872357,221.9585344030502
65,65.4292961359024,89,457238.55955056177,1509.8427573214756
66,35.695581138134,50,483567.52560000005,2836.3931158447267
67,25.983026683330536,36,459517.4566666668,520.1268539428711
68,71.7703692317009,98,463567.72938775516,546.9079845194914
69,65.69083380699158,88,436884.8522727271,513.0233990062367
70,69.29342913627625,93,440161.64301075257,370.3058166503906
71,22.227053999900818,32,503228.51375,8869.329986572266
72,65.46614915132523,90,471206.2377777778,743.5050750732422
73,70.7447259426117,97,474989.535257732,1235.422836461018
74,54.472770273685455,86,643899.7869767443,114.28398167809775
75,80.96928381919861,122,592651.7475409837,1138.5614806628619
76,0.0,1,1186035.92,0.0
77,5.890316754579544,15,1029317.8613333332,4880.02646484375
78,2.845220386981964,7,913910.4457142857,9129.966770717076
79,0.0,1,962939.9199999999,0.0
80,3.420537978410721,8,917377.8500000002,12688.620391845703
81,0.0,1,893861.8400000001,0.0
82,1.9522581100463867,5,933744.0960000001,6940.035241699219
83,4.179675191640854,10,964999.32,15529.524884033202
84,85.75410574674606,136,651585.8058823528,1015.4621947793399
85,100.1838846206665,143,527722.3541258742,2599.4099018657125
86,4.013635575771332,9,900108.2577777778,14386.035888671875
87,2.7982957661151886,7,958899.737142857,5917.746250697544
88,32.412713050842285,53,677785.5524528304,7256.939272898548
89,41.425776958465576,66,653860.826060606,2712.2358231977983
90,73.38759464025497,115,637326.6629565216,2173.8097714631454
91,3.0697480142116547,7,882422.2171428573,11990.98011997768
92,3.3035199642181396,8,945982.3900000001,16586.796615600586
93,31.51671901345253,51,664229.768627451,8531.406479779413
94,4.172276884317398,9,873488.6222222222,6564.315185546875
95,29.90267989039421,51,723763.2541176471,8777.46834788603
96,80.43854406476021,122,601900.1003278693,3627.6269388667874
97,85.15225964784622,135,651843.3724444447,456.7091552734375
98,35.27061825990677,56,644118.4328571429,5166.829045976911
99,4.5451202392578125,10,893180.5199999999,6583.420431518554
100,3.3920960426330566,8,944577.66,6378.661834716797
101,60.32717105746269,96,653616.5091666669,1995.2407693862915
102,91.96872562170029,138,588855.1191304347,1281.5072976817255
103,79.99149245023727,121,597627.777520661,3368.5991745625647
104,1.7081755697727203,5,987237.744,12429.704553222657
105,94.714748442173,135,526236.2050370371,1586.0126302083333
106,59.37230733036995,91,609016.8628571428,4880.207111065204
107,3.847481846809387,8,834844.43,7044.5855140686035
108,93.29557132720947,139,578609.6538129497,5805.910104655533
109,0.0,1,1033110.0,0.0
110,4.736875683069229,11,942246.9090909091,9941.522777210583
111,6.859016686677933,14,840107.2628571427,4240.16710117885
112,0.0,1,984114.72,0.0
113,1.3721838295459747,4,1031046.9199999999,6848.410308837891
