episode,acc_reward,length,cost,res_wasted
1,1043.5596194267273,1466,482899.16783083207,0.0
2,48.90958350896835,65,421050.73046153854,0.0
3,79.68264454603195,101,363201.20831683173,0.0
4,1374.987405359745,2016,465008.85471230216,461.34553473336354
5,101.39859217405319,131,392718.006870229,53.942200172948475
6,527.022757589817,730,454777.86334246566,427.24722415453766
7,385.3321018218994,512,438318.6726562499,502.458532333374
8,55.558720767498016,73,407912.2498630138,0.0
9,414.3697206377983,546,421891.51560439594,311.4176300384186
10,320.2249593138695,414,400492.08816425165,221.16690726902175
11,69.41044890880585,92,423404.83826086944,0.0
12,68.94030267000198,90,402498.3039999999,0.0
13,72.24240404367447,93,383711.099139785,0.0
14,98.58750486373901,125,366110.12783999986,57.535470703125
15,56.97544229030609,75,410945.1978666668,0.0
16,337.49816554784775,454,436980.0879735685,138.16658161180135
17,55.15732008218765,74,436163.1183783783,0.0
18,122.52703893184662,153,346398.8266666668,767.2990579044117
19,576.5269921422005,793,450550.74474148836,340.6190116276206
20,84.65268355607986,109,386110.6346788991,318.78104057661983
21,86.6451107263565,110,366510.4396363637,0.0
22,31.45106077194214,43,448344.5981395349,0.0
23,722.5948615074158,1080,470449.1984444445,671.8589152018229
24,61.19372636079788,80,402637.02449999994,0.0
25,53.97992217540741,72,427880.0955555555,0.0
26,118.78260666131973,150,362182.70053333364,494.4885791015625
27,238.39059513807297,313,416483.39833865786,220.68990552615816
28,475.4456636309624,705,440265.2489078022,286.6102715674867
29,107.97762906551361,134,336345.21671641775,966.0397940109025
30,390.8198735713959,545,439780.347669725,247.07813104752006
31,301.53375589847565,403,408549.7933995035,271.1706355168269
32,128.11857265233994,162,364659.2601234567,241.1145222981771
33,489.2354134917259,698,453790.4802005731,176.13303285615152
34,114.00264286994934,143,352236.17034965026,1168.4418697757321
35,72.2859616279602,93,382911.8980645161,0.0
36,60.832545697689056,80,410660.603,0.0
37,55.72980213165283,74,422360.4189189191,0.0
38,108.73121070861816,139,378662.825323741,231.18810069132195
39,1301.601163327694,2016,478675.45594246103,229.85320009504045
40,68.68787658214569,90,407502.3955555556,0.0
41,178.22326922416687,229,389406.0266375547,170.09012094022927
42,472.403894841671,699,490898.44509299035,1670.8735566364337
43,105.49468141794205,145,476465.2786206896,1913.8779052734376
44,256.5917103290558,407,477081.1368058963,1836.6927217300752
45,291.4521499276161,419,477988.6219570403,1218.7059428139917
