episode,acc_reward,length,cost,res_wasted
1,9.010289072990417,60,602861.432,0.0
2,22.436848640441895,518,607216.7809266412,267.44906368771115
3,21.609955966472626,144,587935.8616666668,1584.1590728759766
4,22.225226283073425,234,621400.227008547,0.0
5,29.98797744512558,2016,625254.6242658723,1272.0103950500488
6,44.30767875909805,223,595065.6581165922,0.0
7,67.81022572517395,1560,619607.8220769226,5.22744633601262
8,33.998875856399536,137,595727.2213138684,0.0
9,32.42401796579361,130,589117.2541538463,1580.8783531775841
10,32.96312016248703,410,627786.8356097569,782.3265595226753
11,45.40372318029404,120,596166.3653333335,0.0
12,37.23945099115372,63,588362.4977777776,0.0
13,41.44238555431366,216,585947.8679629628,159.63812255859375
14,41.2809162735939,231,606638.6869264065,0.0
15,47.54669153690338,157,587714.6185987261,12.160262769954219
16,37.48718041181564,2016,602064.0713095247,121.8389652797154
17,43.677193343639374,113,611622.8499115043,7130.228221792036
18,51.82790249586105,230,607927.9572173912,0.0
19,53.55256003141403,798,626135.4342857144,199.18155067845396
20,42.75982916355133,116,608015.0775862068,156.8642514985183
21,22.613041162490845,36,580013.8933333332,0.0
22,46.256267964839935,338,607669.151124261,934.2364700588249
23,15.077459752559662,25,587974.3327999999,0.0
24,26.352199256420135,132,612524.9590909091,0.0
25,24.52503365278244,135,606293.8032592591,138.32145182291666
26,36.91657280921936,205,588121.6920975605,0.0
27,58.34725135564804,141,593250.4343262408,0.0
28,32.413435101509094,120,603976.7823333334,0.0
29,33.44058948755264,227,581678.1844933922,11.132441449270374
30,19.864095211029053,136,603830.7541176466,7.391149184283088
31,35.40399146080017,2016,627852.4293849202,295.8649444580078
32,28.087896823883057,460,583901.0351304348,23.55510306980299
33,44.727651953697205,69,583892.6423188407,12.309304942255435
34,52.59136897325516,423,612197.9800472818,556.793464822972
35,47.508125722408295,74,592357.0794594598,3887.588116620038
36,52.18814593553543,113,586654.7132743364,1467.7563454957135
37,60.41007399559021,122,599492.4636065571,0.0
38,57.95560556650162,113,598498.4215929202,0.0
39,60.05308270454407,382,627688.8827225134,0.4364390747709424
40,146.43201583623886,220,582852.3270909094,0.0
41,928.579171538353,1675,630534.1346626863,74.00857363572761
42,81.33673113584518,123,579135.2422764229,481.1653993187881
43,285.07510989904404,429,591537.315337995,0.0
44,460.65861493349075,697,600402.961836443,0.5950381307725072
45,143.32201743125916,216,586252.2594444442,57.329742431640625
46,314.6929758787155,482,612121.9032365141,584.3662757715249
47,81.85293847322464,125,590822.5737599999,647.5800146484376
48,257.3813987970352,397,613719.0688161211,4270.78228498406
