Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,236.82829916477203,321,458144.39152648,0.0
2,53.61799782514572,72,412265.1105555555,0.0
3,909.2850350737572,1276,454703.01978056406,253.5280208767021
4,1170.0243572592735,1668,469019.8613669064,487.7463427207453
5,100.71655911207199,131,388620.41938931297,53.90413380397185
6,111.43682444095612,145,390770.3555862071,541.8086526804957
7,59.00465726852417,80,429282.2899999999,0.0
8,56.26489633321762,75,404228.6240000001,0.0
9,57.47614222764969,77,411949.2441558442,0.0
10,137.3406075835228,172,341300.53697674425,124.5975377282431
11,71.36601728200912,94,396457.5974468085,0.0
12,88.95863366127014,114,364633.61666666664,0.0
13,91.87578248977661,119,380509.78873949597,0.0
14,324.30692517757416,426,417969.31079812214,415.50288326639526
15,535.0806912183762,729,446611.1902880654,331.67372413917826
16,515.0005117058754,733,434741.30848567537,584.3502538662816
17,66.45291632413864,88,401492.3845454547,0.0
18,742.5454739332199,1081,452453.2274005549,670.6640713080336
19,70.98961681127548,93,388777.2486021504,0.0
20,53.017913818359375,72,427094.71111111104,0.0
21,497.1364244222641,668,429768.8376347302,242.52622940154848
22,328.50801903009415,439,440996.88665148075,657.9195781872864
23,70.97890138626099,93,389014.7387096773,0.0
24,106.43806087970734,138,384522.0753623191,713.275539232337
25,55.293157160282135,74,408953.6486486486,0.0
26,124.66114032268524,157,347173.89566878986,415.27269263783836
27,315.99789547920227,415,417616.7020722895,311.661765813253
28,740.4604655504227,1093,470481.35425434535,381.67278075501775
29,247.84676557779312,326,417873.4363190187,155.7319998711896
30,128.83880823850632,162,345213.73654320976,632.4155002170139
31,124.14680361747742,158,362314.8256962027,203.10910150069225
32,60.829892456531525,82,422550.2419512194,0.0
33,62.82394748926163,83,396156.97927710833,0.0
34,141.3110290169716,178,349580.1305617977,552.4889924124385
35,934.6290578842163,1287,475739.1636674437,161.06747500546328
36,30.599252462387085,43,442270.33953488374,0.0
37,138.38719999790192,172,329536.3048837211,854.5294721736465
38,107.07040053606033,138,376446.6798550724,634.4284057617188
39,283.4915543794632,385,393679.66394805163,227.99267578125
40,70.11627411842346,92,390528.6600000001,0.0
41,55.53209537267685,75,421610.0314666668,0.0
42,1040.4546929597855,1562,495755.31749039696,427.1272694762324
43,238.23978281021118,309,384772.87307443377,420.6995304440989
44,64.46772980690002,87,426245.491724138,0.0
45,459.3227387666702,640,441110.03768749983,312.0018997192383
46,68.07785218954086,90,399986.16599999997,0.0
47,344.3517897129059,449,408264.0424053451,482.7772744227624
48,97.55547380447388,125,366797.4835200001,0.0
49,57.200908839702606,77,418381.65636363626,0.0
50,170.78280353546143,218,371998.984587156,158.4232295325043
51,127.42514204978943,163,370006.5215950924,264.8872459739264
52,118.7137867808342,153,378421.21071895404,760.8319091796875
53,39.4821902513504,55,446831.95781818184,0.0
54,55.70476830005646,75,417478.6416000001,0.0
55,67.24473297595978,90,416543.2411111113,0.0
56,58.26120221614838,77,393796.66207792214,0.0
57,503.96300649642944,692,436018.93508670456,287.0766673887396
58,55.45075213909149,74,405117.6637837836,0.0
59,127.71282261610031,163,366819.88466257654,253.12072679016487
60,60.970863342285156,81,402718.50864197535,0.0
61,52.359432339668274,72,443381.5161111111,0.0
62,53.697489857673645,72,410327.1016666667,0.0
63,105.7866581082344,134,352285.1105970148,123.71486014750467
64,63.63491725921631,86,427774.41000000015,0.0
65,73.0456959605217,95,379547.47705263156,0.0
66,1254.6022877693176,1871,482350.4308070556,653.9853920786219
67,59.96920067071915,81,424737.38074074086,0.0
68,126.69450616836548,159,342607.65597484267,284.11247742850827
69,87.9213080406189,115,393073.86765217374,0.0
70,62.88083529472351,85,427668.54870588245,0.0
71,122.49492901563644,158,380655.06215189904,434.31889401206485
72,60.61063635349274,81,410606.2372839508,0.0
73,697.9362287521362,978,456737.75766871136,339.63509850999327
74,519.5964018106461,692,439448.3803757223,338.4319629117933
75,62.17223936319351,82,393571.7378048779,0.0
76,54.62636971473694,75,443187.0448,0.0
77,61.88013219833374,83,416408.4171084339,0.0
78,62.1332328915596,83,411066.121686747,0.0
79,88.14198875427246,113,365001.6780530974,0.0
80,68.38827121257782,92,424085.32304347825,0.0
81,61.183505058288574,83,431437.0780722891,0.0
82,91.11368197202682,119,391895.80655462184,0.0
83,713.416021168232,972,460255.27442386845,382.9226628056279
84,56.0455721616745,75,409386.1231999999,0.0
85,262.5293830037117,337,384724.21875370934,183.08346458004914
86,59.87259966135025,81,426878.3076543211,0.0
87,60.19593048095703,80,402787.30375000014,8.404087829589844
88,721.0122489333153,990,456677.40464646526,414.10445889559657
89,744.8326123952866,1018,467320.69051080546,507.0798595256093
90,55.00793939828873,74,415819.3859459459,0.0
91,67.21036696434021,91,432158.2690109892,0.0
92,39.471335649490356,55,447205.9818181818,0.0
93,100.50642514228821,126,336355.4333333331,12.144862583705358
94,57.87833398580551,77,402616.5792207792,0.0
95,880.7298876047134,1252,467250.4748562299,342.76957298010683
96,89.61270129680634,116,379009.5396551727,0.0
97,68.91462349891663,92,413785.8382608696,0.0
98,80.51990509033203,105,386300.92152380943,0.0
99,1293.8394747376442,1820,471083.0404505493,490.7767830314217
100,131.56481099128723,165,341843.29066666646,659.739570756392
101,98.99472504854202,125,346192.9337600002,138.1805068359375
102,60.51141548156738,82,429505.30243902456,0.0
103,53.33044147491455,71,400219.19295774645,0.0
104,81.13756674528122,106,389088.69999999995,0.0
105,814.5959923863411,1112,456275.67830935225,545.2501666391496
106,110.91506230831146,141,357260.8391489361,994.1123306599069
107,14.27392429113388,22,485629.31636363623,0.0
108,46.61816895008087,63,414482.34984126984,0.0
109,56.23995739221573,75,404738.62453333335,0.0
110,107.03523916006088,136,356533.76279411773,458.9794814165901
111,102.37458914518356,133,386991.93067669193,350.77060051251175
112,251.36236184835434,328,407219.5201829267,81.30350736292397
113,55.584097027778625,75,420354.7669333331,0.0
114,58.11012643575668,77,397289.5423376622,0.0
115,141.4289973974228,179,355562.1480446928,1179.546272149965
116,59.6166627407074,80,415681.23099999985,0.0
117,323.56622838974,427,424401.61025761155,321.7974727728886
118,129.00287467241287,165,370155.4489696968,196.00992320667615
119,72.99055916070938,95,380581.1212631579,0.0
120,65.01157015562057,87,415099.1947126438,0.0
121,510.6604703068733,710,440960.4942253521,462.1872312733825
122,321.01033622026443,418,405993.96110047866,342.3962200840124
123,744.8544045686722,1024,467874.31837890635,288.3399420976639
124,132.57187378406525,170,373799.94482352963,544.673881261489
125,132.25643652677536,168,360835.67595238116,243.0068599155971
126,58.68619132041931,79,419367.5443037975,0.0
127,260.326000392437,337,396523.7155489615,69.07293900396421
128,66.00499403476715,85,356204.5992941177,4177.327717141544
129,394.4248069524765,524,419967.28435114503,285.5693944101115
130,110.23913848400116,142,377139.9584507039,27.659845056668132
131,68.63319861888885,90,388983.09266666655,0.0
132,85.10872381925583,111,388102.1437837837,0.0
133,955.5638121366501,1317,467996.14605922514,497.59163309501355
134,343.0029082894325,446,391645.40174887865,744.0870859462584
135,523.8237534165382,723,444881.4123651454,291.8765342364173
136,250.4508325457573,322,386450.82490683236,206.26809900888006
137,46.97803753614426,64,425933.82250000007,0.0
138,89.55451613664627,117,391868.1307692305,0.0
139,213.2463618516922,277,399028.2283032488,217.22822389017372
140,62.33565014600754,82,389934.3953658536,0.0
141,88.60096073150635,115,382508.8286956521,0.0
142,523.7689489126205,690,425166.09791304375,116.48662321671196
143,521.3725217580795,696,442763.736235632,254.30654801993535
144,60.4698845744133,81,413771.23283950624,0.0
145,739.0963717699051,1026,466200.3439376219,472.5408046789337
146,87.51079875230789,111,349527.54036036035,0.0
147,698.1190095543861,961,476507.24582726293,220.12486548131017
148,115.39455622434616,149,380709.61583892605,586.2593355114828
149,236.2935889363289,313,426886.2014696485,199.27331191967852
150,916.3126868605614,1291,467213.46219984477,460.5380229639693
151,525.9149722456932,700,438874.9664285715,197.50644548688615
152,123.82626080513,160,383179.55500000005,565.2221580505371
153,694.6216615438461,994,457836.9781287725,296.4533859652053
154,178.68400138616562,228,371776.2546491228,439.0110072085732
155,515.4033048152924,690,440998.4313623193,152.21690567680028
156,313.06495571136475,411,414055.6093430654,84.68805421703924
157,97.1084578037262,124,361836.86838709685,0.0
158,62.151894092559814,82,393828.98073170736,0.0
159,646.2379571795464,986,469195.5151724139,351.7726408240761
160,59.81121277809143,81,428260.69580246916,40.5980224609375
161,337.84956473112106,447,428094.28152125253,409.49734066956796
