Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,239.95710283517838,329,462112.18164133735,0.0
2,538.795944571495,726,437122.7607713496,367.32422177653666
3,56.89286810159683,75,389472.1210666666,0.0
4,83.31612235307693,106,352767.292264151,0.0
5,100.60099536180496,131,390419.5986259541,53.94348330898139
6,541.3568739891052,730,456051.6672328767,427.2594475733091
7,94.03989905118942,123,395053.4695934962,0.0
8,54.686889350414276,73,405188.5375342466,0.0
9,511.3915955424309,682,430072.21768328414,173.7255130890877
10,59.629406094551086,79,398114.70506329124,0.0
11,53.66723835468292,72,411217.163888889,0.0
12,47.8116050362587,65,424124.4858461538,0.0
13,54.97786200046539,75,434908.37440000003,0.0
14,74.45446991920471,97,382721.93917525775,0.0
15,59.84428650140762,80,409662.06300000014,433.6570541381836
16,134.19589793682098,167,330824.36982035934,487.7196366544255
17,61.92067766189575,82,399133.5085365853,0.0
18,865.4400581717491,1243,450311.6055671767,583.2540408907067
19,89.44598174095154,115,369659.7652173914,0.0
20,175.05238312482834,234,366491.01743589743,81.33700326772836
21,118.03017032146454,150,358586.63893333316,492.428115234375
22,66.69402402639389,90,427526.93933333317,0.0
23,54.178463995456696,73,417576.127671233,0.0
24,56.70577770471573,77,429956.8405194804,0.0
25,125.43765926361084,160,365729.32187499997,242.92668685913085
26,72.02856910228729,94,384055.88893617014,0.0
27,304.56941390037537,415,402393.9516144577,311.6328360316265
28,70.63249546289444,92,380653.01,0.0
29,56.82032269239426,77,427248.8888311689,0.0
30,53.51212280988693,72,415097.4558333333,0.0
31,442.6532915234566,698,440833.72355300863,328.7982599209236
32,292.0019749403,384,418937.5715104167,205.58575630187988
33,114.61357247829437,144,342495.18125000014,126.39199829101562
34,69.38059264421463,92,405000.7115217392,0.0
35,67.28554856777191,90,415805.967777778,0.0
36,62.4785418510437,82,386853.68707317096,0.0
37,458.7195889353752,732,434792.28125683044,621.284565409676
38,106.9683244228363,138,377186.5097101452,634.7911536175271
39,57.32101160287857,77,415719.8044155845,0.0
40,114.4890301823616,161,360652.37664596294,607.726625430658
41,75.34963512420654,99,394973.1418181819,0.0
42,129.84855157136917,165,360767.3373333331,309.98145862926134
43,60.2643660902977,80,401475.1035000002,0.0
44,274.65199214220047,411,414114.5598540146,77.07075177492017
45,60.49505949020386,80,396215.2905000001,0.0
46,135.3957021832466,172,360488.2175581395,569.4753027627635
47,303.26101356744766,449,403677.7727394205,483.10978824471044
48,612.3843574523926,991,438641.4425428863,214.8123568660917
49,420.73307543992996,698,427573.3743266472,260.0271984198715
50,165.51689440011978,216,368801.0315740741,159.69885762532553
51,266.9053608775139,430,418693.4207441857,150.94613406159158
52,125.04977464675903,162,377313.04592592595,769.3527425130209
53,67.2927765250206,89,400280.7638202247,0.0
54,297.8543212413788,418,415669.8874641152,161.84978430351
55,66.50337904691696,89,416295.3173033706,0.0
56,438.7134680747986,722,441718.77930747956,256.59220603034106
57,133.8651071190834,170,360000.9350588236,481.14298311121325
58,62.89211016893387,83,394827.2484337349,0.0
59,312.40879583358765,448,419748.29468749976,292.5722351074219
60,291.39278745651245,405,404717.3799506172,76.89320475260416
61,69.83729618787766,94,425578.74510638305,0.0
62,268.70354437828064,379,405893.58955145127,255.45367254493735
63,82.91723215579987,107,372691.1590654205,0.0
64,126.21269285678864,161,365875.61677018635,266.92517923864517
65,82.86108815670013,107,373633.0953271026,0.0
66,122.80893534421921,156,359538.8025641025,237.98206505408655
67,72.3493674993515,96,407246.91375,0.0
68,123.58651214838028,159,341625.8607547169,284.8874626879422
69,454.6823194026947,711,447038.3659915613,512.4556034909019
70,106.15527331829071,137,379166.0070072992,80.02683586621806
71,576.6985864639282,986,462896.7815010139,255.54250027732
72,117.78851807117462,149,350977.59664429567,775.232983070732
73,463.24822837114334,733,445009.56122783024,397.0481526581685
74,59.728036522865295,80,413326.2240000001,0.0
75,71.37104111909866,93,381869.44215053745,0.0
76,52.50500524044037,72,440065.5144444444,0.0
77,237.1474951505661,309,395753.05656957906,322.4375841455552
78,68.0783799290657,90,400254.8662222222,0.0
79,61.97576969861984,82,397955.8351219513,0.0
80,230.00295966863632,308,407877.73175324674,164.21623130897422
81,137.33386778831482,175,365923.0681142857,294.24951939174105
82,604.6837192773819,948,440521.3677848105,338.0658248708218
83,54.6152303814888,74,425560.33189189207,6.588144663217905
84,56.073541700839996,75,408873.05066666676,0.0
85,148.83446729183197,185,331570.02540540544,332.9952907252956
86,447.88541316986084,725,443268.55862068955,302.02988197063576
87,53.86517941951752,72,406389.70444444456,9.152206420898438
88,302.00554621219635,415,406616.4888192769,201.10525784779745
89,449.99920415878296,685,441385.50508029206,272.3903459312272
90,79.98278087377548,104,382277.5417307692,0.0
91,64.34480267763138,87,428910.1583908047,0.0
92,39.548640072345734,55,444854.2160000001,0.0
93,119.64937728643417,149,329232.60966442974,645.6390528326866
94,60.587812542915344,80,394181.63524999993,0.0
95,97.4801424741745,125,367169.0182399999,364.1324765625
96,125.88456773757935,160,359146.104,798.3994056701661
97,47.32326680421829,65,437437.7803076923,0.0
98,58.97784739732742,79,412915.5356962024,0.0
99,52.822081327438354,72,432253.8316666667,0.0
100,42.22328943014145,58,431868.52965517255,0.0
101,36.095871806144714,50,433467.7776,344.42114501953125
102,59.866102278232574,81,427126.114074074,0.0
103,330.79169231653214,430,396901.5338604651,519.9712595385174
104,59.51584553718567,80,418071.03500000003,0.0
105,62.28131264448166,82,391173.283902439,0.0
106,59.46096479892731,79,402036.58075949375,0.0
107,30.500614285469055,43,446471.6679069767,0.0
108,81.23460620641708,104,360741.9526923078,0.0
109,32.270863115787506,45,435806.3422222222,0.0
110,115.36701571941376,146,350895.76013698627,918.7193787457192
111,103.20910066366196,134,385955.519552239,417.28369049527754
112,104.2870883345604,134,372683.6758208954,34.91454258249767
113,57.424067199230194,77,413317.6976623376,0.0
114,72.4344425201416,94,376429.7855319149,0.0
115,342.88472908735275,450,416290.75911111105,694.63822265625
116,57.28186810016632,77,416669.3724675324,0.0
117,79.67702627182007,105,400949.98457142845,0.0
118,709.6841365098953,989,454393.93826086953,287.3065405248752
119,73.00645363330841,95,380474.7783157895,0.0
120,191.73386305570602,247,386728.92202429177,107.22522812816295
121,55.689817070961,74,399676.40000000014,0.0
122,260.9957392215729,336,388635.93690476194,206.88665771484375
123,258.0920840501785,337,408648.6388724033,92.39849799181658
124,738.3647567629814,1012,473717.433616601,335.67097611860794
125,113.65081703662872,146,373821.82438356173,219.7049585629816
126,57.27211081981659,77,416864.02285714296,0.0
127,60.44130349159241,81,414565.66395061713,0.0
128,61.91710543632507,80,352025.53350000014,4439.195590209961
129,72.6477683186531,95,387262.01515789464,0.0
130,1134.7339553236961,1571,467531.32178230386,259.2190406843024
131,54.91328102350235,73,399610.9876712331,0.0
132,69.1577964425087,92,409260.6867391305,0.0
133,79.56069868803024,105,402731.387047619,0.0
134,101.22931534051895,129,359455.9139534884,294.2329782885174
135,284.6211968064308,375,392624.4199466664,227.109451171875
136,126.51492822170258,157,325989.2063694268,411.7825181317178
137,59.72328209877014,80,413433.36925000016,0.0
138,135.0888180732727,173,371382.1153757225,729.330777383264
139,111.56261509656906,142,360756.25028169015,34.28733976122359
140,61.6655570268631,81,387708.8375308643,0.0
141,53.30992567539215,72,420092.28666666674,0.0
142,432.5373803973198,579,416678.6549222796,120.09698328205958
143,68.7616178393364,92,416996.7986956522,0.0
144,60.7126002907753,81,408614.36320987646,0.0
145,512.9684074521065,698,460967.82561604615,190.66772933129252
146,262.8881288766861,344,396506.10680232535,71.66151889534883
147,728.6157929301262,1001,472983.3583416583,290.109394755635
148,52.17300695180893,72,448164.3055555556,0.0
149,293.68097645044327,385,414788.6851948052,162.27304592380275
150,36.704678773880005,51,439277.96784313733,0.0
151,65.96524685621262,87,395710.42114942527,0.0
152,115.58217006921768,149,378074.7865771812,560.4800566602873
153,53.58194935321808,72,413384.60111111123,0.0
154,868.3581784963608,1294,480354.54318392597,273.0114518744868
155,54.0756778717041,74,438444.3291891892,0.0
156,73.57600766420364,97,398929.88474226795,0.0
157,54.0421085357666,72,401889.1938888889,0.0
158,511.8947932124138,702,477985.6590028494,423.2803203876202
159,293.6284962296486,386,415045.9722279793,242.23422162149853
160,498.72630190849304,682,454059.3921994137,189.50016789142688
161,127.0773794054985,163,373364.249815951,416.2258368182036
162,53.70401757955551,72,410325.36333333334,0.0
163,60.466966807842255,82,430704.2848780487,0.0
164,135.8648167848587,171,347360.0890058479,532.5603412828947
165,892.5064308643341,1258,486154.4459459463,296.00079607698234
166,324.0107451081276,433,441039.0546420323,416.20929222899827
167,316.4661006331444,415,415709.58645783144,273.91409779743975
168,70.77079617977142,93,393188.97655913973,0.0
169,264.2041090130806,342,396203.8966666663,258.46392822265625
170,117.60903829336166,150,363527.3348000001,500.746083984375
171,245.30931693315506,322,414255.1780124224,414.9148574734327
172,63.0519357919693,84,408092.3371428573,0.0
173,73.01573997735977,95,380223.45578947355,0.0
174,53.22826212644577,72,422080.68722222216,0.0
175,50.971388161182404,68,401220.9029411765,0.0
176,114.21039283275604,146,366043.1541095891,513.0114077215326
177,333.2405391931534,450,432748.0527111112,449.93928955078127
178,311.4097182750702,419,418943.94544152735,398.2945300263835
179,313.01459914445877,406,401014.0629556651,118.41065264922645
180,294.13591599464417,399,421915.51814536337,67.17496714197604
181,272.28831911087036,353,398862.6458356941,184.89172328700425
182,523.5739479064941,714,453663.52232493024,50.81569280544249
183,104.56759625673294,133,358379.11413533817,0.0
184,56.37802505493164,77,437444.69818181836,0.0
185,55.08606070280075,75,432312.9066666666,0.0
186,113.87780034542084,146,371633.6584931509,38.61023868926584
187,33.63361996412277,47,441621.30638297886,0.0
188,133.7116824388504,169,354491.65988165676,25.506945006240755
189,284.26878410577774,371,392820.3767115903,181.47686158871716
190,322.44684809446335,428,432370.54476635513,267.907905364705
191,54.11953508853912,72,399955.06444444455,0.0
192,59.33818107843399,79,404793.86886075966,0.0
193,55.01370710134506,74,415827.0551351351,0.0
194,446.05236780643463,626,448226.50274760404,172.4585192988094
195,67.79260420799255,89,390387.9040449438,0.0
196,60.15246641635895,81,420946.75999999983,0.0
197,60.42608380317688,80,397862.7677500001,8.653271484375
198,604.0196986794472,976,471951.37334016396,273.3626606425301
199,55.142649471759796,74,412679.08810810815,0.0
200,384.23866230249405,513,441741.61575048725,157.48488898026315
201,62.07233953475952,82,395858.0719512195,0.0
202,438.14296650886536,692,474242.42841040465,379.9932390334289
203,97.17145639657974,137,492349.05751824816,1604.262854805828
204,104.18600183725357,145,475705.1279999999,1976.641229458513
205,284.44761818647385,398,491219.29959798965,1630.609121658095
206,98.47359669208527,136,459547.4532352942,3716.7828099867875
207,269.71569043397903,419,497811.7356563245,1262.2996692156735
208,101.61921018362045,137,431156.89430656965,2717.5415333100477
209,84.65060466527939,117,449603.43760683766,2690.6622220552886
210,75.3149608373642,106,487432.0637735849,0.0
211,93.7119922041893,129,462102.00651162775,831.7689322538154
212,108.6236275434494,151,475684.1750993374,1891.6365700020694
213,81.99723500013351,113,460765.81628318585,544.3258812828401
214,90.03477251529694,126,481394.12031746015,1281.1123744419642
215,258.852067053318,406,494836.6626600987,2017.1255195504925
216,256.3517362475395,415,498977.03749397583,1388.2379362175263
217,283.2221168875694,430,510002.7533023256,2412.7197194653886
218,115.81359380483627,163,488851.1312883436,3335.058327891344
219,95.48815488815308,131,452841.7090076336,2645.5642285528984
220,261.488540828228,417,501243.2159232613,2161.259462644728
221,105.81138569116592,145,449543.4220689656,4217.964075969828
222,255.14293265342712,440,503206.4302727269,1910.4807902943005
223,97.72548800706863,138,491802.5002898549,2507.3285681683083
224,81.4983451962471,114,478406.0656140352,1189.9838899311267
225,82.04893726110458,110,423821.14763636363,626.6478315873579
226,94.01973903179169,126,426406.4971428568,805.313459123884
227,111.38650661706924,161,517288.24422360247,4976.194081182065
228,94.75808542966843,133,484487.49924812035,2002.875451568374
229,255.05772632360458,417,478942.20402877685,1244.168276999494
230,87.44894111156464,123,485079.87934959325,2077.052972560976
231,88.01157635450363,123,480380.4481300812,831.7563417016006
232,87.19863456487656,122,482729.98655737715,456.7006966012423
233,124.8637228012085,178,485007.2166292134,3911.085250340151
234,111.85268354415894,160,507564.1572500003,3767.3531227111816
235,78.7603178024292,123,491936.33593495924,299.8175733612805
236,81.31093156337738,114,484230.51964912296,168.62854325143914
237,83.62808322906494,114,446071.8161403508,890.7557469418174
238,107.53754252195358,151,484702.4209271522,3253.725394343698
239,80.07027751207352,106,407090.3769811322,182.6654904923349
240,111.23805797100067,157,496635.9839490443,1596.7208034248108
241,98.63279873132706,138,480244.5081159423,2412.1039163340693
242,120.43370497226715,174,476380.3190804598,1609.050905424973
243,101.74938797950745,139,453753.9027338129,973.0845086626011
244,91.66186130046844,133,469329.015037594,2557.098071105498
245,97.15126019716263,143,453297.4313286713,3435.4527007416414
