Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,1081.9178616404533,1653,477814.0958983669,0.0
2,53.60214954614639,72,412657.51166666666,0.0
3,79.23728239536285,102,367657.61980392155,0.0
4,83.23438549041748,106,353890.06018867926,0.0
5,100.69598257541656,131,388899.8444274807,53.94949643666508
6,78.64826911687851,105,418068.5820952379,0.0
7,74.41850250959396,99,411519.12707070715,0.0
8,531.0243617892265,709,439415.9981382225,293.79270343215575
9,501.63189816474915,682,433781.0292668624,173.71528710507928
10,59.65810561180115,79,397343.2893670888,0.0
11,73.29747146368027,96,389475.66791666654,0.0
12,52.67050337791443,71,416771.83183098584,0.0
13,105.90750974416733,136,371852.18235294113,49.298158533432904
14,843.9064677357674,1265,477478.61242687673,375.2983854874321
15,59.92420244216919,80,408266.44399999996,433.52215576171875
16,71.39669334888458,93,380929.6800000001,0.0
17,60.955432534217834,81,403103.7888888889,0.0
18,42.07430857419968,58,436277.26758620684,0.0
19,100.99387776851654,129,362721.71441860474,382.60376544331393
20,172.48141384124756,219,364705.9141552511,86.89267009578339
21,56.386798441410065,77,437229.9236363638,0.0
22,126.88056963682175,164,384320.6937804877,420.10382973275534
23,70.96198934316635,93,389338.6974193549,0.0
24,597.8686882257462,818,450535.0291687044,400.08263772157704
25,71.7283861041069,94,389591.0325531916,0.0
26,124.46371954679489,157,349420.785987261,415.1819399693969
27,57.96489077806473,77,400592.40337662323,0.0
28,73.05853617191315,95,379271.5383157895,0.0
29,56.78322094678879,77,427967.7574025974,0.0
30,60.586879312992096,81,411192.934074074,0.0
31,472.9819350838661,698,440544.978137535,328.5610166183515
32,320.705315887928,421,417015.57752969133,386.4760487028652
33,265.35334396362305,342,390537.7567836262,106.41455399362664
34,55.36774528026581,75,425508.46933333337,0.0
35,66.90406858921051,90,423194.2157777779,0.0
36,80.03145962953568,103,367585.72291262145,0.0
37,549.7859618067741,732,439032.56147540984,621.3971257444288
38,61.346472799777985,83,427888.94506024086,0.0
39,57.31119453907013,77,415767.87714285706,0.0
40,70.37716835737228,92,385472.9221739132,0.0
41,55.50561887025833,75,422239.2138666666,0.0
42,59.147195875644684,79,408885.27088607586,0.0
43,87.14984732866287,112,368117.6519642859,0.0
44,67.20056688785553,90,417334.8051111112,0.0
45,60.34894722700119,80,399298.7667500002,0.0
46,1283.8401691913605,1871,479344.6566755747,405.65355323126835
47,81.44969934225082,105,370568.31428571435,4.903072684151786
48,59.605872631073,80,415844.95249999996,0.0
49,519.087632060051,698,431304.0427507162,260.3519860734912
50,92.51991152763367,121,394229.41570247925,0.0
51,59.86211675405502,81,427105.1841975309,0.0
52,74.45387136936188,99,410833.2551515151,0.0
53,39.650672912597656,55,441371.27927272726,0.0
54,319.2034411430359,419,410860.42190930736,172.5329703465282
55,67.97761195898056,91,417202.50461538445,0.0
56,50.7766033411026,68,406180.27470588236,0.0
57,54.34200793504715,74,431831.0497297299,0.0
58,80.4851405620575,104,373436.0248076922,0.0
59,65.32870584726334,88,424177.35863636376,0.0
60,136.6822793483734,172,348101.3097674419,177.77724864871004
61,132.61194843053818,172,390010.8490697671,376.36578369140625
62,249.54216313362122,324,399924.0507407407,299.0525309244792
63,66.41569125652313,87,386339.29632183915,0.0
64,279.39228397607803,378,391345.68285714294,137.94269670758928
65,943.0588847398758,1317,475569.43699316593,366.47911568817625
66,581.830891430378,804,430195.76236318395,810.0276393605702
67,72.91974627971649,97,410752.6214432988,0.0
68,348.2807003855705,454,407710.9708370048,635.0508433606656
69,61.657954454422,83,421274.35566265066,0.0
70,321.2218887209892,423,421623.053711584,178.54518419630983
71,66.95661318302155,90,422130.21066666645,0.0
72,47.99266707897186,65,418909.10276923084,0.0
73,82.15642422437668,105,358485.10400000017,0.0
74,59.77086389064789,80,412196.2665,0.0
75,1119.343789935112,1538,460361.9419505858,396.65362151980554
76,54.83518224954605,75,438223.7104,0.0
77,114.48244100809097,146,363147.0910958903,502.4958663313356
78,313.3349937200546,409,409452.0967237162,148.57126339490372
