Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,987.0840620398521,1429,510988.0337018907,0.0
2,539.3774981498718,726,450222.428402204,367.3259347962939
3,383.4342769384384,505,423051.4365940598,197.16640963412746
4,765.6342282295227,1081,463878.92436632764,515.8507458371878
5,75.68374466896057,100,402659.29799999984,0.0
6,171.72257202863693,221,383219.08642533934,404.64883022394656
7,1072.0774010419846,1599,492413.34115071915,404.57914668042037
8,144.2389174103737,182,352514.4448351648,507.16116500686815
9,67.91352039575577,90,403235.6422222221,0.0
10,48.16748750209808,65,414099.31261538464,0.0
11,59.18398696184158,79,408106.9458227848,0.0
12,111.64681875705719,140,339004.1048571427,120.8450422014509
13,130.59489786624908,166,361555.9732530119,222.30639060146837
14,852.1351167559624,1265,487011.28129644215,375.31837018280635
15,59.86374020576477,80,409613.9384999998,433.5594818115234
16,57.95110756158829,77,400914.2200000002,0.0
17,66.98919880390167,88,390626.4202272726,0.0
18,144.98174673318863,182,345652.86527472525,158.5237024328211
19,308.56284987926483,406,420178.22497536923,195.63607773052647
20,71.90383315086365,95,400948.45284210535,0.0
21,117.63718008995056,150,363589.4958666666,492.57469482421874
22,58.662959694862366,80,436881.54749999987,0.0
23,36.314913511276245,51,452853.623529412,0.0
24,56.58414441347122,77,432579.3033766234,0.0
25,71.68158835172653,94,390479.0057446807,0.0
26,55.6344838142395,74,400733.0254054052,0.0
27,50.53754037618637,68,412372.6149999999,0.0
28,50.55748122930527,68,411874.5005882352,0.0
29,125.91630584001541,163,386451.81644171797,311.64283424798697
30,53.42366248369217,72,417099.2005555555,0.0
31,54.46370708942413,74,428892.04864864855,0.0
32,82.29740852117538,108,395700.23037037026,0.0
33,55.649721562862396,74,400341.9832432434,0.0
34,55.248708844184875,75,428338.04426666675,0.0
35,52.11421900987625,72,449481.2949999999,0.0
36,83.02534306049347,107,370621.78560747654,0.0
37,59.56476175785065,79,398033.1875949368,1124.4762859103046
38,47.18865740299225,65,440989.52369230764,0.0
39,57.20184767246246,77,418299.7220779221,0.0
40,70.27609479427338,92,387432.0176086956,0.0
41,76.30843597650528,100,391555.0617999999,0.0
42,59.807328045368195,80,411348.36475000007,0.0
43,48.35849469900131,65,408977.1384615385,0.0
44,54.02501553297043,74,439489.5891891892,0.0
45,443.022915661335,601,463234.3020632284,331.7377622988379
46,55.88549929857254,75,413207.8917333333,0.0
47,73.04127097129822,95,379659.361263158,5.513563939144737
48,130.25270926952362,164,347706.79634146334,351.32303824075836
49,104.48278522491455,133,359136.86406015034,65.87790582413064
50,125.83688896894455,163,387470.21926380385,209.71318494176572
51,37.532185554504395,53,462026.07547169825,0.0
52,118.61489915847778,153,379575.449019608,760.937593347886
