episode,acc_reward,length,cost,res_wasted
1,699.9125096797943,1055,474249.21562085336,0.0
2,60.786111772060394,81,406789.1920987654,0.0
3,79.4349330663681,102,364202.4368627452,0.0
4,58.654593765735626,77,384732.5748051948,0.0
5,100.7840690612793,131,387702.3897709922,53.93272341662691
6,54.47893661260605,75,446605.5018666667,0.0
7,132.4956951737404,170,374321.66,754.6736658432905
8,55.506479382514954,74,403869.96864864853,0.0
9,112.50722050666809,143,358410.4104895106,229.97340318373034
10,55.61346209049225,74,401171.4440540541,0.0
11,827.6442285776138,1260,454025.1621111113,180.37052699497767
12,88.8433205485344,114,366436.8043859648,0.0
13,78.22049689292908,103,398969.150485437,0.0
14,813.3347903490067,1265,473237.14750988194,375.3148467414464
15,59.81689041852951,80,410657.936,433.75582122802734
16,73.0084462761879,95,380199.8366315789,0.0
17,108.9464625120163,138,352409.99173913064,529.9591409434443
18,65.10474807024002,87,413191.74114942533,0.0
19,102.0728987455368,130,358738.598923077,459.112939453125
20,54.76020431518555,74,421763.45621621626,0.0
21,117.78036743402481,150,361883.9158666668,492.82083984375
22,66.73972409963608,90,426456.2342222221,0.0
23,70.95316970348358,93,389508.12817204295,0.0
24,70.53714072704315,94,412172.3808510637,0.0
25,60.18456417322159,80,402995.52600000007,0.0
26,71.14123159646988,93,385848.3010752688,0.0
27,68.72576189041138,90,387109.2208888889,0.0
28,70.77653974294662,92,377720.0091304349,0.0
29,160.33719420433044,206,380108.15165048547,246.5348937395707
30,69.99225401878357,92,392958.0126086958,0.0
31,35.50727963447571,50,454962.1223999998,0.0
32,69.14033734798431,92,409380.6376086958,0.0
33,61.45316731929779,81,392085.92148148146,0.0
34,506.19569343328476,709,439596.971819464,231.89948689147346
35,128.4538338780403,165,376057.6058181817,235.53146750710226
36,300.1389371752739,388,395786.5973711345,55.16333888732281
37,68.66102266311646,90,386726.9331111112,1270.0246826171874
38,60.65191847085953,82,426464.6614634145,0.0
39,78.72429502010345,103,390274.1836893204,0.0
40,89.50178807973862,115,368529.576173913,0.0
41,55.617812156677246,75,419572.6298666666,0.0
42,721.0120562314987,1018,454403.08726915595,369.163169636005
43,295.11027240753174,385,397833.82664935064,338.0804890422078
44,57.26373881101608,78,434355.95948717935,0.0
45,71.2226704955101,93,384268.6563440861,0.0
46,55.990805864334106,75,410704.48213333316,0.0
47,30.590041995048523,43,442740.89302325586,0.0
48,60.37230044603348,81,415852.63407407404,0.0
49,115.25635731220245,146,353795.1434246577,481.8561376284247
50,373.83526092767715,495,430216.1742626265,158.24781383167613
51,368.3180894255638,492,441830.95666666655,237.63116231778773
52,143.1234329342842,183,370850.3088524591,683.4064080910605
53,39.54892736673355,55,444668.88218181825,0.0
54,113.63446199893951,146,374223.6419178083,17.302955104880137
55,58.015170991420746,79,434566.10177215206,0.0
56,128.05840301513672,161,345384.95155279484,320.1001469392954
57,54.53500872850418,74,427181.69459459477,0.0
58,70.2623388171196,92,387666.2004347826,0.0
