episode,acc_reward,length,cost,res_wasted
1,1332.740105330944,1887,476207.5698463171,0.0
2,63.21803140640259,84,404323.492142857,0.0
3,1280.5632745027542,2016,486932.7150892854,435.29868807111467
4,901.856851041317,1491,464045.76325955795,419.70878198880786
5,1212.0740271806717,1803,486734.10738768685,461.39596217404585
6,68.90682446956635,93,428673.4232258064,0.0
7,74.42876440286636,99,411334.6066666667,0.0
8,55.23400694131851,74,410434.71459459455,0.0
9,55.507697224617004,75,422181.7002666667,0.0
10,59.71384984254837,79,396085.4881012658,0.0
11,461.03103989362717,667,457188.2857271365,175.95225623272347
12,135.9314650297165,170,337867.29411764716,1046.6032362994026
13,1245.7246271967888,1803,471374.49095951265,224.02157029137635
14,55.58036398887634,74,401998.6389189189,0.0
15,140.74879151582718,180,371392.3260000001,379.18446655273436
16,71.42508786916733,93,380385.0331182795,0.0
17,61.89288026094437,82,399548.9319512194,0.0
18,82.15324056148529,107,385196.36093457957,0.0
19,70.99690079689026,93,388637.52559139795,0.0
20,171.83250498771667,217,356959.20211981586,87.75243521835398
21,81.26467061042786,107,400059.59962616814,0.0
22,58.59926497936249,80,438300.72000000003,0.0
23,55.052322924137115,74,414800.2797297297,0.0
24,70.54159027338028,94,412088.0125531915,0.0
25,53.81334561109543,72,407431.70833333343,0.0
26,70.60790181159973,92,380997.4591304348,0.0
27,53.8679284453392,72,406045.7202777777,0.0
28,929.480257153511,1306,461452.3689127107,345.83023692856887
29,80.36926800012589,106,402001.56339622627,0.0
30,53.098600924015045,72,425148.2883333333,0.0
31,74.91997140645981,99,402445.34101010096,0.0
32,53.69978243112564,73,428972.48383561627,0.0
33,53.76102703809738,72,408705.45722222235,0.0
34,55.469164073467255,75,423097.72693333344,0.0
35,258.2047170996666,338,407885.3617159762,114.78487346581453
36,54.21754431724548,72,397377.0077777778,0.0
37,1261.2501448988914,1803,476785.853122573,511.22454417604774
38,61.51355469226837,83,424300.1142168674,0.0
39,134.9457347393036,170,348965.09376470564,516.1509952320772
40,70.27958053350449,92,387364.3530434782,0.0
41,57.48419004678726,77,411770.3519480519,0.0
42,47.065246641635895,64,423429.89625000005,0.0
43,59.43464994430542,79,402493.8622784812,0.0
44,57.33553785085678,78,432714.83282051276,0.0
45,60.37808459997177,80,398649.49600000004,0.0
46,55.98263591527939,75,410899.0058666666,0.0
47,24.192250609397888,35,462311.2514285714,0.0
48,57.12149631977081,77,420106.9412987013,0.0
49,57.25368785858154,77,417159.7309090907,0.0
50,126.72109013795853,163,377791.17595092015,209.30785009466067
51,1284.9997314810753,1786,465806.13183650665,426.6106825739913
52,54.10512858629227,74,437520.33081081073,0.0
53,67.17074197530746,89,402567.44696629216,0.0
54,54.91670095920563,74,418013.9610810809,0.0
55,60.63189971446991,82,427005.63878048776,0.0
56,75.79302489757538,98,372544.50224489794,0.0
57,133.95521807670593,170,359366.7610588235,481.33759622012866
58,777.5835818648338,1061,454768.1508199814,511.9893882816182
59,65.0164675116539,88,430502.71977272717,0.0
60,77.75294321775436,101,379817.328910891,0.0
61,53.04945731163025,73,444877.8904109591,0.0
62,61.138303101062775,81,399063.3886419752,0.0
63,42.49040460586548,58,423492.31448275887,0.0
64,64.26226305961609,87,430496.46528735635,0.0
65,72.81263208389282,95,383921.4621052631,0.0
66,71.99186182022095,95,399358.0741052633,0.0
67,136.54248201847076,174,365918.82252873544,253.5951453899515
68,59.94406622648239,79,390951.072658228,0.0
69,77.51947748661041,102,397704.3284313727,0.0
70,53.96832054853439,74,440926.82324324327,0.0
71,67.03503572940826,90,420576.9313333334,0.0
72,263.5118405818939,343,403665.8058892128,428.3178920912673
73,82.0152862071991,105,360881.6045714287,0.0
74,59.83024889230728,80,410872.7954999999,0.0
75,360.5130681991577,463,387708.0190064797,409.2082406161413
76,68.30845373868942,92,425618.9989130435,0.0
77,79.3729984164238,104,392491.1038461536,0.0
78,1307.342378795147,1852,468268.7143412528,354.0794861630796
79,62.13560676574707,82,394289.7539024389,0.0
80,61.270201563835144,83,429615.17855421687,0.0
81,69.67564862966537,93,413973.10580645176,0.0
82,54.720664381980896,75,440831.3450666668,0.0
83,71.64638364315033,95,405823.0199999999,4.968295127467106
84,112.88115376234055,145,373583.5359999999,154.38275441136852
85,68.87897950410843,90,384107.3506666665,0.0
86,94.13640350103378,122,381965.25278688525,0.0
87,53.72243684530258,72,409729.6438888891,9.5010986328125
88,307.78647738695145,403,413483.7817369721,170.90337756135622
89,1431.327879667282,2016,478677.62249007926,433.1020960126604
90,68.04893678426743,90,400525.1573333334,0.0
91,65.00900709629059,88,430702.1975000002,0.0
92,39.354154884815216,55,451004.0232727274,0.0
93,36.29154449701309,50,427055.4184,0.0
94,57.68531399965286,77,407085.7781818182,0.0
95,56.01863771677017,75,410000.44746666664,0.0
96,60.02923256158829,80,406433.8499999998,0.0
97,53.4200165271759,73,435844.5671232878,0.0
98,60.45548290014267,81,414071.7155555556,0.0
99,81.93656760454178,107,388854.784859813,0.0
100,42.08844184875488,58,435835.64551724156,0.0
101,40.100628554821014,55,426507.1120000001,315.8344815340909
102,59.6577530503273,81,431585.71259259246,0.0
103,75.34608376026154,97,366233.55628865986,0.0
104,53.05966132879257,72,426091.2127777777,0.0
105,55.83160352706909,74,395950.30918918905,0.0
106,59.325900852680206,79,404923.2324050634,0.0
107,82.23416632413864,105,357147.9662857143,0.0
108,56.516013860702515,75,398136.3888000001,0.0
109,55.59024351835251,74,401769.534054054,0.0
110,78.44677340984344,102,381486.16843137256,0.0
111,83.20081323385239,110,406391.96363636357,0.0
112,80.32428044080734,106,402810.7767924528,0.0
113,53.86863321065903,73,424921.8783561642,0.0
114,1178.699187040329,1699,467334.9070158917,340.06911565052053
115,60.533739507198334,80,395243.75800000003,0.0
116,78.01780194044113,102,388985.8711764706,0.0
117,52.564749121665955,72,438425.0099999998,0.0
118,67.06728744506836,90,419978.9000000001,0.0
119,616.873986363411,821,439384.0867235077,251.39560207873402
120,59.34750556945801,80,421633.7629999999,0.0
121,1003.9148805737495,1379,468579.6688614943,456.78463362264324
122,60.08042883872986,79,387908.23088607594,0.0
123,78.90977519750595,103,387097.40601941757,0.0
124,82.07582074403763,108,399402.97648148163,0.0
125,124.76674729585648,159,364281.59169811313,267.15639970887383
126,53.14064002037048,72,424117.35777777765,0.0
127,55.80384874343872,75,415121.95466666686,0.0
128,67.89790964126587,87,350214.80160919536,4081.2298120959053
129,133.62654876708984,169,354593.66911242617,396.8727045002774
130,1297.878164589405,1810,465314.0869392258,277.10494883837623
131,56.45458805561066,75,399677.9325333333,0.0
132,914.8446381688118,1306,475970.13222052035,362.8178661399012
133,1446.0542684197426,2016,462142.874017857,527.4259801592145
134,59.51198494434357,80,417970.1562499999,0.0
135,56.74781119823456,75,392652.0312,0.0
136,56.58289611339569,74,377975.3205405407,0.0
137,59.80970919132233,80,411353.254,0.0
138,256.2009152173996,343,412942.4061807581,366.808797675041
139,58.59969741106033,79,421263.4729113926,0.0
140,62.28270727396011,82,391086.16756097553,0.0
141,136.05506718158722,173,362818.5887861271,216.5630080382948
142,102.83447825908661,129,337444.36806201556,318.09410769440404
143,167.7891470193863,221,377274.3009954751,286.38648123762727
144,61.4530508518219,82,409092.70000000007,0.0
145,55.548623859882355,74,402736.59135135135,0.0
146,53.80332976579666,71,388320.9121126759,0.0
147,65.74593842029572,88,415726.26,0.0
148,55.96038842201233,77,446992.12467532477,0.0
149,421.8774771094322,571,429802.52528896637,227.11025236700962
150,71.29998302459717,94,397671.0687234044,0.0
151,1415.1916525959969,2016,462221.1953869037,378.8924555097307
152,166.70835500955582,219,372745.67570776265,435.940294239619
153,518.8343721628189,702,434243.8661823363,239.66168838892227
154,804.3873636126518,1101,456245.7031244325,224.13024602988762
155,503.2026944756508,690,442628.12681159447,152.77856816830842
156,768.3967618346214,1216,457305.92945723707,305.6872438129626
157,568.5165629386902,761,438165.99487516447,360.2618831679636
158,551.9960701465607,785,450925.3771974525,430.5787162246218
159,59.98370921611786,81,424472.5708641974,0.0
160,59.207937836647034,80,424769.255,42.04128570556641
161,70.4417655467987,93,399208.3156989249,0.0
162,290.33104252815247,391,403480.719130435,329.19777232606697
163,528.2997850775719,790,449506.3995696202,297.79119224065465
164,55.16561430692673,75,430302.9143999999,0.0
165,79.2919487953186,102,366665.7947058824,0.0
166,1341.285300731659,2016,471096.21372023906,404.1946253095354
167,33.22579628229141,47,456689.73957446794,0.0
168,70.74220186471939,93,393545.9075268816,0.0
169,235.1907378435135,316,395446.3066455694,279.47698047493077
170,233.83366537094116,323,396006.2100309597,277.0657463900445
171,357.72304064035416,509,433311.62911591324,521.5040439088593
172,55.58981257677078,75,420255.8634666667,0.0
173,29.023811876773834,41,445457.0946341463,0.0
174,716.9920420050621,1068,452129.604363296,496.6232639269882
175,51.009903252124786,68,400028.73529411765,0.0
176,64.84437966346741,87,418498.8703448274,0.0
177,1409.2419769763947,2016,472843.2795039669,309.1117962428502
178,54.95148694515228,75,435405.72853333346,0.0
179,79.13693022727966,104,381913.2251923077,0.0
180,477.50907868146896,782,461811.253759591,209.72574594014745
181,35.92112374305725,50,440293.1768000001,0.0
182,303.925419151783,508,428917.850551181,66.82297617994894
183,57.78958708047867,77,404706.6036363637,0.0
184,54.748747408390045,75,440166.21013333334,0.0
185,316.0001888871193,516,428765.40286821703,555.7592468261719
186,388.5448471903801,546,439937.07564102515,241.06139600145949
187,301.2195648550987,502,427743.5401593627,566.4282732351843
188,63.18174719810486,84,405055.11642857146,0.0
189,40.20193839073181,55,423563.76072727283,0.0
190,68.96490508317947,99,407172.4797979797,0.0
191,363.34282624721527,575,421432.89186086983,316.9769543987772
192,321.6468034982681,498,431242.76104417635,397.2902471703219
193,294.7201941013336,505,427170.1922376239,254.43289734491026
194,324.6541367173195,483,415571.8889855073,220.04538437742625
195,74.83001399040222,99,373365.24606060603,0.0
196,57.88842815160751,92,402386.680652174,0.0
197,35.49905562400818,49,428237.4702040817,11.186234454719388
198,52.6006578207016,71,418472.7729577464,0.0
199,55.534848153591156,74,403096.0994594594,0.0
200,61.634731233119965,84,437869.5280952382,0.0
201,264.48276674747467,493,414571.69046653196,578.701003254548
202,61.10273849964142,82,416625.3965853659,0.0
203,547.9782164096832,924,473445.3806926412,1795.2682027445212
204,65.1777184009552,150,468931.5176000001,1916.8830065917969
205,355.8216989636421,660,475622.49775757565,2157.9267933238634
206,443.03375190496445,926,464140.68570194335,2460.3674317724503
207,526.0494419932365,931,475060.2076476905,1809.2247506540136
208,211.42780339717865,372,454505.97139784956,2596.6067135718563
209,461.3739132285118,933,473942.1295605574,2170.533990498141
210,188.57841366529465,414,482963.9063768113,1045.3618283479111
211,110.91525375843048,229,467818.9760698688,2832.906461624079
212,287.75654339790344,716,473682.6553631286,1508.6926579821709
213,105.52343881130219,251,487712.62772908347,2925.730249412506
214,87.78605216741562,224,481879.68303571467,2121.6087472098216
215,244.37290221452713,522,485318.2386973178,2348.2568611934266
216,65.76776790618896,139,481809.81956834515,1441.8706001995279
217,108.2952013015747,282,502698.37829787214,2276.5642888495263
218,106.652294754982,286,495812.35538461525,2855.387776621572
219,1084.7979522943497,2016,433901.7583928576,2390.492778233119
220,1029.086124241352,2016,451899.7213789694,2191.910167149135
221,980.12478941679,2016,433782.9061904761,2224.869744164603
222,284.80721366405487,937,480567.0544290283,1766.4112082433548
223,66.2375317811966,141,498455.85163120565,2567.1968020175364
224,83.98965263366699,182,494221.485714286,4718.178250826322
225,784.966794013977,2016,439796.00468253926,1864.5611280713763
226,36.082247376441956,51,460821.2188235293,0.0
227,115.85120385885239,466,484577.3373390559,3062.6839623185188
228,231.72082149982452,939,468200.72432374896,1989.5816991641498
229,36.58207708597183,55,466442.02981818205,0.0
230,130.8235490322113,470,482999.5502127659,2801.770962329621
231,131.4525648355484,458,480795.1216593888,3371.9211307175815
232,129.5437113046646,363,479933.10280991724,2018.2321222478693
233,128.09053319692612,475,474461.84656842105,2867.446346114309
234,179.56545746326447,763,458109.2071297511,2668.784816596955
235,170.88905376195908,480,470470.44916666683,3172.0846309661865
236,225.58292990922928,929,477189.782691065,1949.7790096352765
237,72.79033553600311,179,439495.32916201145,4079.246016688853
238,138.1488577723503,394,475748.59228426387,1473.4174237711175
239,188.3788430094719,931,449602.8616111709,2266.0034419632366
240,181.7574326992035,912,470237.8309210528,1507.020638315301
241,102.44457072019577,443,485901.3609932282,2347.240373391868
242,45.45319241285324,174,460636.0232183908,1624.0790910391972
243,117.44178611040115,715,461489.85213985934,2401.456474677666
244,113.59913945198059,929,460584.8375026917,1681.413821381568
245,84.81191188097,902,478578.05472283874,1806.1122899362094
246,62.09873425960541,87,474724.72873563226,0.0
247,82.70184588432312,150,473447.5373333335,2089.934362792969
248,250.06498229503632,2016,442233.6633234121,2193.3589068821498
249,219.80600798130035,2016,435601.8033333338,2083.2860194614955
250,125.39112424850464,850,454743.88484705926,2521.864000531365
251,122.60572546720505,933,463326.3503108249,1736.017493146792
252,178.05724728107452,2016,439754.0597619046,2317.835533959525
253,67.35782724618912,237,470254.10801687784,2283.5686166497726
254,70.27843976020813,230,480148.47826086957,1872.0724428923234
255,63.9847657084465,241,440972.3674688797,3531.934910691131
256,73.21581387519836,273,485731.40571428573,2743.0170080163975
257,80.27874374389648,438,475456.3751598171,2158.079539677868
258,94.99001038074493,926,472569.41822894197,1667.5435028405736
259,119.37896448373795,1040,436667.8148653847,1994.888081888052
260,113.60000032186508,931,458165.9419978524,1830.1940524616507
261,111.80084729194641,932,467338.9608154499,2059.1163032760946
262,111.14166605472565,940,451205.75834042585,1636.6870531447391
263,83.63810366392136,472,465063.4964406782,3278.9157342425847
264,115.33155083656311,932,454478.67403433454,2165.0034355196317
265,87.11204379796982,478,439247.33129707136,3167.305107850909
266,121.1399667263031,933,458202.5115112545,2025.3407151200763
267,102.13910263776779,398,468938.68341708515,989.176983243856
268,125.03027319908142,754,459557.5745888593,2537.1465138402477
269,155.195083796978,2016,432473.557192461,1918.6155883244105
270,74.55536621809006,118,491382.8789830509,643.9073972540386
271,84.31474077701569,232,506208.18086206913,3469.8510131835938
272,107.13356494903564,2016,447780.82565476146,2288.776225771223
273,80.5931139588356,794,478597.505843829,3013.257432759859
274,85.79265224933624,950,526352.1827368424,2008.349163882607
275,31.385584771633148,55,473171.1687272728,0.0
276,41.173859775066376,73,435156.7846575342,0.0
277,77.0859906077385,931,504588.5456498391,2188.28965980538
278,100.35622692108154,719,493432.4363282335,1967.1718460528675
279,29.149835646152496,51,469551.8533333333,0.0
280,31.68670493364334,50,454282.8496000001,0.0
281,33.716161608695984,58,425706.7020689655,0.0
282,103.4202589392662,355,486608.3717183101,1436.718984168684
283,140.09511768817902,727,477680.21595598274,2842.5887298374096
284,33.502733409404755,52,471962.4138461538,0.0
285,48.32999986410141,83,443043.30843373487,0.0
286,49.77251595258713,134,471567.0465671639,1409.4813988529033
287,120.26012283563614,2016,449244.7562896821,2112.253593989781
288,100.00575768947601,375,471311.84682666685,1435.6269873046874
289,70.35382413864136,110,471586.69199999986,24.01736172762784
290,60.02796292304993,142,450782.4129577467,2567.2633383307657
291,40.044118762016296,79,480083.74430379743,0.0
292,43.34833747148514,87,489827.11908045976,0.0
293,42.15259051322937,73,481549.314520548,0.0
294,92.59326720237732,190,491624.69621052634,2937.3604633532073
295,97.26628869771957,652,464372.72104294534,2469.0342275233356
296,112.89162850379944,902,480473.49835920235,1775.8365188903133
297,81.3485158085823,181,468945.0402209946,4139.49725409239
298,83.84611159563065,374,460337.25422459864,1646.9866225298713
299,104.81266868114471,356,469615.6719101127,1265.971597050013
300,112.20435518026352,625,487921.07212800044,1692.6775848632813
301,62.42139029502869,166,484705.25614457845,3329.2259006730046
302,99.27816987037659,355,478892.9833239436,2172.942822953345
303,86.88266557455063,329,489266.17276595737,2625.8170032443245
304,96.20817452669144,450,469781.2528888893,3304.2507470703126
305,126.33473974466324,916,463621.96803493524,2573.2704226564633
306,123.6632907986641,949,483845.032202318,1665.8482822944793
307,125.68073379993439,2016,443117.57458333357,2175.0328998565674
308,102.57820343971252,938,462124.120724946,1938.9810839817721
309,69.9334284067154,153,494881.4711111115,3613.347455193015
310,133.49332797527313,2016,443490.32804563583,2164.768699373518
311,64.53808271884918,950,465564.2574736841,1718.4046445184006
312,52.78626227378845,102,465741.1180392156,18.789109173943014
313,52.239654421806335,116,464711.9217241378,737.0128500050512
314,53.07489079236984,175,480862.79131428566,3672.7187632533482
315,49.18467205762863,107,486230.91140186903,769.6391670013143
316,82.90368402004242,2016,429398.2727380954,2131.364755630493
317,94.6101222038269,2016,430992.3107638889,2034.7695663997106
318,42.21039915084839,113,485148.6261946899,683.3967533617948
319,29.96326619386673,58,462624.4779310345,0.0
320,28.352321207523346,45,472476.9697777778,0.0
321,29.16748344898224,47,468766.9089361703,0.0
322,36.844504952430725,124,493575.6245161289,751.4462024319556
323,45.915578722953796,133,444241.19639097736,2983.0599356056155
324,30.446812450885773,51,478713.1725490196,0.0
325,52.35726749897003,134,478624.7850746265,2653.1298154005362
326,31.472935557365417,48,464766.5074999999,0.0
327,31.403989553451538,55,461958.11999999994,0.0
328,91.67674404382706,686,458530.92139941704,1907.94456548663
329,26.82961618900299,50,478311.4568000002,0.0
330,36.37039691209793,52,476420.7792307693,0.0
331,39.224898278713226,58,476805.8986206897,0.0
332,32.49909192323685,49,484714.5991836736,0.0
333,28.336224019527435,47,472518.8876595742,0.0
334,33.666265189647675,48,467853.44583333324,0.0
335,64.82932490110397,170,496186.32823529426,2406.856323960248
336,36.522841453552246,52,471240.63307692297,0.0
337,92.08560526371002,167,493237.08550898195,3140.694290617983
338,34.23898619413376,53,473065.91245283023,0.0
339,42.94870042800903,71,473902.7447887323,0.0
340,45.39378380775452,75,465214.0479999999,0.0
341,19.495140552520752,29,477492.79586206895,0.0
342,52.17878198623657,118,492212.4271186442,1117.7159713486494
343,76.29656821489334,359,480069.87855153205,2903.2366241200057
344,107.82878202199936,1235,472148.0878866398,1691.5463727325564
345,51.4913991689682,82,457937.2707317073,0.0
346,100.02491593360901,324,475832.94567901245,1409.8679504394531
347,93.25423103570938,374,470123.0623529415,1503.4847555721508
348,133.4516944885254,2016,460712.8028174598,2437.857666015625
349,77.44196051359177,402,453679.74965174135,1657.5678911351447
350,120.94189965724945,933,472996.2603644166,1762.9035980126482
351,101.50232005119324,650,490184.82356923097,2081.331004732572
352,105.91552650928497,2016,450584.2404067462,2152.3265887669154
353,82.469986140728,710,475657.5863098589,2210.0089439714457
354,77.26441663503647,1562,431688.35842509597,2251.756329486373
355,69.21471071243286,723,454482.9410235129,2024.169854508396
356,64.34904712438583,419,461319.5699284009,1720.1933302412738
357,37.82475632429123,122,472671.02065573767,2585.398567574923
358,74.00322759151459,2016,434422.9624999996,2182.055642809187
359,41.956151247024536,82,449690.50439024396,0.0
360,85.41766440868378,1070,457604.40108411154,2368.5826267705897
361,77.80746984481812,682,470680.63384164195,2025.0960151918473
362,75.20268702507019,944,463264.83830508514,2244.6009028806525
363,108.13468140363693,664,462582.1151807237,1954.577491116811
364,108.94326812028885,735,478815.6798911567,2864.256489407286
365,72.07383519411087,1248,435521.5495352565,1857.779771364652
366,74.30671787261963,375,464676.40330666635,1744.0348037109375
367,86.51438438892365,2016,453511.4609523804,1959.7914622170586
368,101.11017119884491,394,485562.1158375636,1683.7685243248334
369,97.26031339168549,1323,458874.817959184,2268.708829088276
370,33.52727621793747,84,447061.05095238105,0.0
371,141.06601989269257,2016,436388.5024702388,2221.00625201634
372,108.90119475126266,2016,458195.1400793644,2160.694525037493
373,109.68375378847122,754,487758.4074801063,2215.314368452887
374,32.886237025260925,51,465343.1466666667,0.0
375,146.58946472406387,926,476633.34583153337,1929.1868282837177
376,146.71405309438705,932,464705.7693562236,1922.299497023161
377,62.61703312397003,381,500932.3011023618,1930.9499276228778
378,167.4269107580185,944,468433.3329661017,1622.5034408569336
379,34.82243472337723,71,461371.9583098592,20.72159200319102
380,141.11145532131195,931,484446.06930182676,1965.136607300198
381,52.755300521850586,91,465359.72835164826,0.0
382,123.43687504529953,394,478765.69969543116,1042.0883928482908
383,197.89521378278732,931,479331.48158968915,2210.2459114967946
384,61.57617622613907,182,459003.0731868129,3022.0834048763736
385,202.70941817760468,929,477012.7472981701,2053.2321078297396
386,158.0792534351349,763,471123.7546002622,2244.553305369686
387,192.10337525606155,932,462297.21841201774,1873.038481487225
388,117.88168036937714,630,486021.6496507938,1854.1713309151785
389,224.56404215097427,912,472424.5535964917,2264.131697604531
390,152.6770269870758,900,461830.5725777777,1605.7213122558594
391,65.72581276297569,148,664314.6291891892,0.0
392,131.82751899957657,520,616078.3221538464,1715.7423487736628
393,99.06933704018593,658,609785.720729483,323.276363291639
394,67.5856848359108,143,651382.5264335665,4137.348369038188
395,18.014685422182083,41,881367.5668292684,1596.0901593464177
396,90.61766159534454,211,586351.1273933648,186.6358515301022
397,103.54083532094955,580,584682.3471724138,1210.6654711493131
398,42.66446653008461,139,573854.8503597124,1777.6540378049124
399,45.30449587106705,519,655097.6396917152,1191.8621960237535
400,37.08731582760811,121,578892.6069421488,1990.2517785947184
401,56.367427974939346,716,610195.7985474865,13390.886127493235
402,68.82028499245644,734,717495.099073569,13.295235199889305
403,58.69199448823929,165,534911.0930909091,1.9203702059659091
404,41.312991976737976,112,596276.7024999999,1941.4298466273717
405,67.99312376976013,700,637386.8858857136,2934.819280308315
406,16.39199000597,31,758120.2619354838,0.0
407,19.64682427048683,37,770807.9037837837,0.0
408,18.032884806394577,39,833929.238974359,0.0
409,38.21324521303177,152,565223.1813157897,2841.332389429996
410,15.710468202829361,30,752506.8506666666,7530.027319335937
411,46.185892432928085,241,613953.5186721992,250.40650832306795
412,63.26249319314957,995,753768.3058894476,3195.9465698855606
413,19.29981330037117,37,787583.7481081081,0.0
414,16.20882722735405,34,855871.8988235296,0.0
415,42.279226660728455,156,586986.7794871792,8073.665440486027
416,61.04594433307648,280,629794.3420000002,7338.409638323103
417,27.914599239826202,158,582970.4139240506,15.729014722606804
418,35.530234694480896,134,663758.4301492542,1.1992970936333955
419,63.555509865283966,435,650133.3239540231,8.003494578394397
420,54.372763216495514,147,618520.9553741495,25.490799884406886
421,40.24256166815758,145,588921.0612413795,1019.0151123046875
422,27.79905155301094,110,610483.6821818183,99.68372913707387
423,57.80219340324402,518,528489.9505791509,1849.7718246636703
424,20.25784358382225,43,776720.3795348835,4161.023974041606
425,35.84122085571289,128,603711.0949999997,692.5058727264404
426,15.364331483840942,27,675576.8962962963,87.40380859375
427,16.73607736825943,32,762858.8312499998,0.0
428,36.021527111530304,138,572862.7965217391,967.356540845788
429,24.609637916088104,115,646388.5693913043,11104.463767408288
430,9.249628275632858,19,779129.7052631577,0.0
431,48.52715528011322,137,587149.9909489054,35.43539896498631
432,23.930729925632477,138,626842.8171014495,14403.389298148777
433,47.033999979496,98,576763.92122449,215.49657954001913
434,2.8192805349826813,11,1091834.581818182,0.0
435,27.758607864379883,144,581889.6402777779,704.7523193359375
436,49.77115640044212,126,570767.8085714285,875.9434116908482
437,51.6887421309948,143,564400.5784615387,1792.599862905649
438,15.412440448999405,33,872792.8169696972,0.0
439,54.77134123444557,135,604505.4207407407,20.486832682291666
440,15.502928256988525,32,837195.9949999999,0.0
441,40.210837453603745,163,588889.2638036811,5736.9805926925565
442,44.89193865656853,154,563169.1709090909,92.68070686637581
443,21.468263655900955,42,758344.4438095237,0.0
444,52.3251351416111,122,625315.0059016396,0.0
445,35.65892815589905,127,627773.1187401576,2603.410677211491
446,19.09539896249771,36,766820.1122222225,0.0
