episode,acc_reward,length,cost,res_wasted
1,934.9295845031738,1257,452512.56496420095,0.0
2,1406.6054883599281,2016,485375.91482142865,402.41207340785434
3,56.73109143972397,75,393119.8005333333,0.0
4,132.14523500204086,166,345002.3746987951,202.66749517601656
5,1285.269051015377,1767,478780.28819467983,470.2497531651236
6,535.1438320279121,755,470818.7476821192,423.87763445519454
7,165.1206138730049,211,372419.5798104265,608.1841045940092
8,79.45493054389954,103,377659.08601941733,0.0
9,89.20003312826157,115,373212.1488695652,0.0
10,129.87063312530518,163,343389.99815950915,131.42788640121742
11,59.8951501250267,80,409444.18475,0.0
12,47.60393536090851,65,429633.2467692307,0.0
13,78.01331984996796,103,402555.5444660195,0.0
14,136.4674311876297,174,366747.35528735624,224.9696044921875
15,55.70056515932083,75,417021.7776,462.225439453125
16,57.74758732318878,77,405625.94,0.0
17,68.58738511800766,90,389911.47,0.0
18,42.011746287345886,58,438200.263448276,0.0
19,298.1411717534065,403,426877.7750372213,193.39176149581266
20,54.52777016162872,74,427362.82756756747,0.0
21,980.0943433046341,1536,500557.6250130213,415.61483216285706
22,66.81785416603088,90,424908.9713333335,0.0
23,59.89833027124405,80,409416.167,0.0
24,1385.0642566084862,2016,474915.481269841,547.793085370745
25,57.68917101621628,77,407008.08571428584,0.0
26,55.46240413188934,74,404878.58216216223,0.0
27,50.539685785770416,68,412316.3844117647,0.0
28,71.41517454385757,93,380587.0460215052,0.0
29,80.33622920513153,106,402556.6169811321,0.0
30,129.01036059856415,162,343322.1879012344,632.7438015407986
31,124.04711312055588,158,363433.3681012659,208.61527532263648
32,60.99903351068497,82,418873.28341463424,0.0
33,56.35318660736084,75,402053.2320000001,0.0
34,55.23932468891144,75,428561.0432,0.0
35,79.64427822828293,105,401149.2647619046,0.0
36,30.485679149627686,43,446978.4269767441,0.0
37,82.14360421895981,106,370167.28528301895,1484.6267343197228
38,1303.505032658577,1810,474495.3631712693,592.1876249028833
39,60.54471319913864,81,412112.61481481494,0.0
40,128.88387471437454,164,362321.19,596.3700323337462
41,562.524082839489,753,446800.0160956173,219.0573959046626
42,54.33040922880173,73,413592.6328767122,0.0
43,86.97048079967499,112,370974.1076785714,0.0
44,67.09527760744095,90,419420.611111111,0.0
45,65.2523210644722,86,394183.69186046504,0.0
46,1394.629222869873,2016,466233.2560912701,458.5015978131975
47,60.644974291324615,80,392781.39824999997,6.489857482910156
48,70.41437911987305,93,399743.2647311828,0.0
49,65.45796763896942,87,406025.260229885,0.0
50,67.48986738920212,91,426704.6534065933,0.0
51,590.6052327156067,795,454236.38686792424,354.3026602115271
52,54.29335427284241,74,432986.2648648649,0.0
53,60.550303876399994,81,411949.79925925913,0.0
54,510.6772673726082,695,449621.02123741043,202.33833183453237
55,54.52746242284775,74,427483.5016216216,0.0
56,69.14427036046982,90,378868.80288888904,0.0
57,723.2308228611946,1050,451278.1441142866,434.3092058454241
58,55.50662988424301,74,403771.5227027026,0.0
59,127.11403459310532,163,373374.46760736196,254.01296491564418
60,1286.8158536553383,1810,482294.53998894966,332.00610270631904
61,61.89184933900833,84,432420.3323809523,0.0
62,61.21648722887039,81,397342.5219753087,0.0
63,50.59216630458832,68,410981.5264705881,0.0
64,1368.556081354618,2016,468642.93552579306,454.63440649850025
65,60.37622457742691,80,398736.1335,0.0
66,80.47266346216202,105,387151.2963809524,0.0
67,1047.6040964722633,1454,470354.7732187072,307.9549944220416
68,459.3785806298256,605,423526.1613884298,514.5810143336777
69,55.1306386590004,75,431196.12053333333,0.0
70,604.1506736278534,821,460321.7990986597,536.0188116150274
71,1405.03828895092,2016,466927.09941468167,360.5717806134905
72,47.96332746744156,65,419713.7175384615,0.0
73,1397.3202167153358,2016,483135.7402281747,394.1943789890834
74,933.4221270084381,1267,460099.3980110497,625.9048154088767
75,61.97725427150726,82,397812.38439024385,0.0
76,63.61517697572708,86,428208.04069767444,0.0
77,65.16752016544342,87,411873.64827586216,0.0
78,62.8927760720253,84,411278.1271428571,0.0
79,78.8210529088974,102,374972.25294117647,0.0
80,271.55091524124146,353,402575.1734844195,144.0287138422893
81,1352.9684292078018,2016,502512.6789186513,456.21970912388394
82,84.69125628471375,111,394770.3823423424,0.0
83,61.923781633377075,83,415542.83469879517,5.290367034544428
84,47.2863444685936,64,417337.42000000004,0.0
85,70.69414579868317,92,379344.0752173913,0.0
