episode,acc_reward,length,cost,res_wasted
1,936.3188673257828,1257,452668.47801113804,0.0
2,1402.7432654500008,2016,484940.1770238093,403.8727002825056
3,56.732512176036835,75,393086.03920000006,0.0
4,132.19975119829178,166,344413.579518072,204.42040353798004
5,1286.42433655262,1765,476129.9255637399,471.010375284946
6,542.3039370179176,755,469301.9162649005,423.5187496766349
7,74.44588106870651,99,411026.26242424233,0.0
8,62.763195633888245,83,397533.31421686755,0.0
9,887.3965464830399,1335,485327.2504868915,218.07627035419594
10,57.85424602031708,77,403120.09766233753,0.0
11,59.83742552995682,80,410730.31550000014,0.0
12,105.52735084295273,133,345014.0717293234,127.4600830078125
13,77.81624454259872,103,405967.71067961154,0.0
14,876.8187026977539,1349,487710.87946627155,399.70746876665004
15,103.0980731844902,133,377431.87819548865,277.50633021763394
16,72.9646971821785,95,381020.4408421053,0.0
17,32.04755657911301,45,444588.184,0.0
18,1062.3752231001854,1483,463991.5884153742,626.6452976671811
19,569.6148887872696,797,448447.0660727726,298.13982947527836
20,36.37810951471329,51,450529.259607843,0.0
21,1017.2278935313225,1394,463664.6992969868,454.01336871329136
22,1294.7745059132576,1805,468011.77913573384,452.55031234445335
23,55.889041900634766,75,413151.85519999993,0.0
24,368.3055029511452,496,429150.1029032258,479.6035404820596
25,60.140166103839874,80,403984.8360000002,0.0
26,50.843267381191254,68,404397.68735294096,0.0
27,50.57846164703369,68,411299.91205882345,0.0
28,60.41396516561508,80,397867.22400000005,0.0
29,81.03858160972595,107,403757.1237383177,0.0
30,128.4972295165062,162,348977.1044444445,632.3953314887153
31,124.12472420930862,158,362562.53544303804,202.70696017108386
32,68.13455712795258,91,413989.7276923077,0.0
33,61.24307072162628,81,396710.1412345679,0.0
34,316.3272723555565,428,421189.7985046732,273.2740900627921
35,67.21417486667633,90,417051.99977777764,0.0
36,30.569810450077057,43,443490.80558139546,0.0
37,140.608229637146,175,331833.99085714296,840.943708844866
38,68.61483007669449,92,419606.3354347825,0.0
39,57.24764162302017,77,417239.7174025974,0.0
40,70.19381541013718,92,389026.96021739143,0.0
41,55.76049202680588,75,416181.1306666666,0.0
42,54.285304486751556,73,414694.15780821926,0.0
43,56.27915662527084,75,403879.4815999999,0.0
44,134.13707691431046,171,366286.4132163745,147.22890753495065
45,60.45565712451935,80,396920.76099999994,0.0
46,509.1280710697174,715,472098.4972867137,386.7138914308348
47,24.235232651233673,35,460121.86514285725,0.0
48,1412.6268815994263,2016,462321.3713492055,281.84455381120955
49,65.5176072716713,87,404803.0611494252,0.0
50,52.48371994495392,72,440384.1983333332,0.0
51,36.75160074234009,52,463389.8215384615,0.0
52,142.28390163183212,182,371314.93791208783,687.7857920887706
53,59.68677419424057,80,414056.79575,0.0
54,67.94164162874222,90,402655.19311111106,0.0
55,443.81664192676544,625,454816.35744000017,313.1329271484375
56,56.59519559144974,75,396356.66506666655,0.0
57,53.71425485610962,73,428655.74027397274,0.0
58,1438.406205356121,2016,476765.23911706265,534.3849470955985
59,53.62920689582825,74,448986.16432432417,0.0
60,85.37729239463806,110,371065.88963636354,0.0
61,61.877059042453766,84,432734.2247619048,0.0
62,1236.9398846626282,1811,485937.81781336264,430.89007268407477
63,83.22920036315918,107,367273.28168224293,0.0
64,685.0175448656082,928,429951.0018103443,220.11578750610352
65,60.24651116132736,80,401627.1035000001,0.0
66,1281.616672873497,1809,467705.9475621903,561.4922224206118
67,101.22725266218185,131,381619.66687022906,84.31832396529103
68,140.72521704435349,176,339490.3202272726,361.6444161155007
69,1095.4528148770332,1539,467834.5222871993,399.5508380019874
70,421.2174091935158,572,448375.27989510476,507.59944184843476
71,580.0940083861351,789,448238.0014448668,303.4656852461086
72,530.9213846921921,701,425746.55626248225,429.5015240504636
73,671.783872783184,904,448522.2917256638,324.1801016478412
74,1248.3330696821213,1828,488181.04946389527,732.8136582990184
75,61.13665908575058,81,399212.6395061728,0.0
76,139.19009071588516,176,355250.83499999985,236.66839807683772
77,54.46484172344208,74,428865.83081081073,0.0
78,54.830289363861084,74,420160.1562162163,0.0
79,1399.4441931843758,2016,488522.15926587244,556.3998047964914
80,726.0841059088707,977,454681.05281474,194.98922657649373
81,1409.3675465583801,2016,465943.71998015814,460.87619127546037
82,56.41922879219055,77,436361.56467532465,0.0
83,541.6950867176056,751,438334.27869507327,490.15345376087095
84,60.241173565387726,80,401727.5925000001,0.0
85,1471.9689487814903,2016,471006.2214384919,568.0380025591169
86,92.49748462438583,120,382959.6345,0.0
87,70.00450330972672,92,392746.79391304345,7.448348335597826
88,47.760966420173645,65,425317.52799999993,0.0
89,1419.2346286773682,2016,466992.60984126845,433.4397054399763
90,57.47269815206528,77,412012.4353246754,0.0
91,65.91561543941498,89,427735.87528089876,0.0
92,55.59082692861557,75,420201.93946666666,0.0
93,896.7587359547615,1257,478782.8514558472,253.36297330651476
94,60.409938275814056,80,397960.09225000005,0.0
95,56.29794269800186,75,403361.6869333334,0.0
96,1259.195374906063,1816,459124.697929515,329.74613031731826
97,55.137281000614166,75,430943.2799999999,0.0
98,60.55205684900284,81,411946.24666666664,0.0
99,1066.7620505690575,1637,470389.8944777029,545.3328804477512
100,55.86301577091217,75,413723.5464000002,0.0
101,56.254344165325165,75,404206.4752,231.7164697265625
102,53.511256992816925,73,433611.9238356165,0.0
103,76.37667006254196,98,361942.16408163257,0.0
104,53.41143476963043,72,417381.16833333316,0.0
105,69.11460942029953,90,379397.8495555555,0.0
106,62.66013503074646,83,399715.0939759037,0.0
107,50.90267127752304,68,402792.8673529412,0.0
108,71.66855067014694,93,375695.58473118284,0.0
109,87.21468651294708,112,367026.4510714284,0.0
110,168.1281836628914,213,353341.9658215961,805.1508410816461
111,62.4920711517334,85,435814.3515294117,0.0
112,263.957467854023,343,401908.3134693876,77.76635848954537
113,54.10033857822418,73,419263.6175342465,0.0
114,48.20812278985977,65,413088.24553846155,0.0
115,53.86227059364319,72,406254.0788888888,0.0
116,53.846540689468384,73,425497.49095890403,0.0
117,52.085092306137085,72,450302.52111111104,0.0
118,231.56107902526855,315,400700.0124444444,102.33654436383928
119,56.50899958610535,75,398385.2912,0.0
120,32.91237610578537,47,468629.1523404256,0.0
121,53.923428535461426,72,404755.6016666666,0.0
122,59.95705097913742,79,390692.4397468353,0.0
123,33.531872391700745,47,445244.7114893617,0.0
124,62.982622265815735,85,425451.4376470589,0.0
125,130.30564600229263,168,364479.449642857,247.3152858189174
126,124.47243732213974,159,367205.80679245293,527.3524837853773
127,55.85040843486786,75,414015.1626666667,0.0
128,61.39093208312988,79,351959.4807594939,4499.52679520619
129,91.67532575130463,118,371700.43033898296,0.0
130,54.69637554883957,74,423330.8059459461,0.0
131,55.60517305135727,74,401449.6467567568,0.0
132,52.5658141374588,72,438331.79833333334,0.0
133,53.014615178108215,73,445720.7720547945,0.0
134,136.85062152147293,172,345183.89825581387,1002.1747294581214
135,56.47962433099747,75,399026.7136,0.0
136,56.610129833221436,74,377319.16189189185,0.0
137,46.852326691150665,64,429435.3656250001,0.0
138,134.5005567073822,173,378085.7331791905,729.6659365968208
139,58.33789974451065,79,427171.28151898755,0.0
140,60.49788153171539,80,396062.9172499999,0.0
141,135.8856925368309,173,364566.24924855505,216.9851370574422
142,56.83096128702164,75,390822.7640000001,0.0
143,134.84475380182266,173,375104.7312138728,368.3732776090589
144,46.162450075149536,63,427485.2615873016,0.0
145,1197.1810062527657,1850,482043.04830270284,401.1802479017103
146,123.64993047714233,180,338977.5146666667,135.9876708984375
147,97.27277183532715,127,392965.05511811026,76.5886518823819
148,117.03911745548248,154,378150.68363636377,626.9368262352881
149,55.83655619621277,77,449837.14857142855,0.0
150,1286.2981251478195,2016,477567.2672023809,501.7890744890486
151,53.68154728412628,72,410669.1644444446,0.0
152,833.8278751969337,1294,467061.35112828395,279.89640371803154
153,53.582355320453644,72,413170.8161111113,0.0
154,53.904041051864624,72,405259.7319444444,0.0
155,52.627145767211914,72,436789.9972222223,0.0
156,271.45896112918854,406,399466.25620689633,69.44292671692195
157,95.76226902008057,124,357685.11870967754,0.0
158,786.7327237725258,1309,491070.8847058821,427.22063672770247
159,68.90891206264496,92,413952.49304347835,0.0
160,67.43215829133987,92,410676.85000000003,36.48386416227921
161,699.1226228475571,1202,478937.2118635612,282.7270999343542
162,289.6176696419716,391,402751.9836828643,327.66513740559066
163,540.3237982988358,908,456066.2762555067,259.49597772942764
164,128.6024066209793,172,343596.2047674418,532.5430681095567
165,78.42703568935394,102,367084.82196078415,0.0
166,265.4781156182289,438,425136.1650228308,422.9701362505351
167,53.03142648935318,72,426729.4827777778,0.0
168,69.90642058849335,93,394108.6849462364,0.0
169,177.83424896001816,315,399432.5594285715,281.8655203683036
170,597.5735855698586,990,452129.07189898967,476.2966708096591
171,52.1484956741333,82,442946.5204878048,0.0
172,201.19555753469467,322,404073.2144099378,91.44654116423234
173,744.9968983530998,1286,479098.7739968897,204.86795694164317
174,716.872028708458,1369,488829.68705624563,434.098450464955
175,661.9434955120087,1330,470297.80993985053,600.2274662792234
176,337.85771960020065,629,452386.2926550076,252.24170271201808
177,42.528929114341736,77,451714.7355844156,0.0
178,111.0809623003006,156,375407.3701282051,497.97505540114184
179,58.78446990251541,87,413122.58206896536,0.0
180,76.84090900421143,106,393167.3737735851,0.0
181,201.20418226718903,338,393178.0034319523,193.9534850713064
182,314.1766527891159,600,434953.98079999996,55.269175415039065
183,124.63576930761337,175,361586.1255999999,285.7211655970982
184,96.1658861041069,162,385556.5613580247,338.84156629774304
185,542.9982218146324,1061,478641.8011687086,465.0071471535182
186,182.83287060260773,330,419536.0863636362,113.64691273082386
187,80.6885130405426,109,382665.9444036697,0.0
188,132.47930574417114,178,357242.33685393253,24.40854121861833
189,126.02480787038803,163,348949.1671165644,199.28378277175997
190,141.88142049312592,314,411086.05178343965,114.21499730978802
191,164.05115646123886,357,399684.1331092434,272.930007549895
192,266.86345797777176,542,447677.8559040591,365.1523081649274
193,260.05526119470596,533,443556.2656660412,242.31796751326513
194,173.84460884332657,330,408322.18539393944,274.29980579723014
195,62.296263575553894,90,405119.9611111109,0.0
196,192.85944318771362,324,413619.83314814843,179.0642564561632
197,562.0591673254967,1354,522008.2467503685,509.3421182787401
198,170.97340828180313,328,407966.3320731705,167.69154097394247
199,70.02349370718002,97,388766.2334020616,0.0
200,249.61357229948044,475,447779.5000842108,170.62260228207236
201,318.74190896749496,770,479191.7714025975,527.3278326653815
202,322.9502596259117,706,483905.98824362585,414.58492860442857
203,277.0043005347252,783,528065.8261558108,2092.57732382588
204,104.63796210289001,150,499321.79146666656,1928.092294921875
