episode,acc_reward,length,cost,res_wasted
1,140.09997534751892,193,472901.0499481862,0.0
2,86.23518425226212,111,370018.5445045046,0.0
3,107.28497403860092,135,343295.784,0.0
4,993.9012664556503,1353,460993.4423059865,0.0
5,511.5956525206566,692,460525.7067919072,0.0
6,69.77594017982483,94,426597.32765957445,0.0
7,261.222927570343,341,408222.92932551313,0.0
8,877.2431306242943,1270,460251.6822992123,0.0
9,642.1749193072319,904,443914.0480973454,0.0
10,55.56581813097,74,402319.07405405433,0.0
11,95.34161239862442,122,364358.10819672124,0.0
12,75.30662959814072,98,381379.8257142856,0.0
13,58.117893040180206,79,432143.7007594936,0.0
14,1347.3720208406448,1842,465923.04340933723,0.0
15,60.64518982172012,81,409988.9066666666,0.0
16,72.97451955080032,95,380835.71810526325,0.0
17,53.917783975601196,72,404897.97305555554,0.0
18,65.22237968444824,87,410781.07333333336,0.0
19,1383.747221171856,2016,458628.44359126984,0.0
20,53.098119139671326,72,425108.95833333343,0.0
21,136.57185971736908,172,349534.3863953487,0.0
22,457.48232328891754,620,447885.63638709666,0.0
23,100.2553249001503,128,362466.99140625005,0.0
24,445.6383001804352,593,438068.4545699829,0.0
25,57.54832798242569,77,410268.79012987006,0.0
26,519.9415955543518,698,443040.566876791,0.0
27,60.56062489748001,80,394583.81575000007,0.0
28,70.69296771287918,92,379339.23673913046,0.0
29,73.7783471941948,98,409156.721632653,0.0
30,59.97496443986893,80,407682.4552499998,0.0
31,1417.376210808754,2016,463340.0406051591,0.0
32,69.1435329914093,92,409318.9397826089,0.0
33,616.6772138476372,822,441827.8040389298,0.0
34,310.63484489917755,406,401702.1275369457,0.0
35,80.5076852440834,106,399664.90622641495,0.0
36,407.66763919591904,529,403300.0879017015,0.0
37,70.65788680315018,92,380181.9249999999,0.0
38,59.07133013010025,80,427777.7035,0.0
39,1427.6769328713417,2016,458468.05860119,0.0
40,338.12914288043976,448,430599.414017857,0.0
41,1174.7711894512177,1656,464459.2092270532,0.0
42,79.07787895202637,103,384095.73495145625,0.0
43,1179.0025550723076,1655,463763.8715286998,0.0
44,57.11746293306351,78,437699.1379487179,0.0
45,929.6853030323982,1296,469806.5858950616,0.0
46,103.93143087625504,133,366594.1759398499,0.0
47,74.05762898921967,96,375411.5233333332,0.0
48,60.58965998888016,81,411069.1595061727,0.0
49,65.21757674217224,87,410951.3875862069,0.0
50,68.34409230947495,92,424895.00217391306,0.0
51,54.918484568595886,75,436158.1317333333,0.0
52,74.34781897068024,99,412743.2812121211,0.0
53,67.27522349357605,89,400474.8355056179,0.0
54,113.63911908864975,146,374191.79863013705,0.0
55,141.12564992904663,179,360266.95821229025,0.0
56,60.73013359308243,80,390867.66225,0.0
57,1257.9079721570015,1813,486337.16011031443,0.0
58,172.09540164470673,218,361486.96761467884,0.0
59,108.14800608158112,139,373613.74158273404,0.0
60,61.11771470308304,81,399486.49283950625,0.0
61,37.34251260757446,53,468364.24301886786,0.0
62,61.22270214557648,81,397205.70913580264,0.0
63,146.24993878602982,183,341390.4643715847,0.0
64,52.47879594564438,72,440517.46000000014,0.0
65,1282.6391020417213,1807,481133.7921638076,0.0
66,81.12958735227585,106,389273.8175471698,0.0
67,55.34223258495331,75,426071.98986666667,0.0
68,1128.9261753559113,1571,454917.0185359639,0.0
69,88.21305984258652,115,388547.8109565219,0.0
70,62.83704173564911,85,428587.3576470588,0.0
71,69.31666606664658,93,420785.3206451612,0.0
72,59.05425089597702,79,410988.16050632927,0.0
73,1082.3756493330002,1556,467600.35546272533,0.0
74,516.1736251115799,693,429552.25535353576,0.0
75,930.7464455366135,1290,445333.78085271304,0.0
76,63.579533755779266,86,428946.6927906977,0.0
77,590.555404484272,806,453999.47952853545,0.0
78,863.4534509778023,1232,461475.7520292214,0.0
79,55.716825902462006,74,398809.90432432434,0.0
80,248.57379180192947,324,405693.0779012348,0.0
81,61.50451010465622,83,424542.17253012065,0.0
82,376.70581191778183,526,417853.9468821294,0.0
83,1129.1003371477127,1578,460976.9698098859,0.0
84,60.09294682741165,80,405030.59199999995,0.0
85,73.17231065034866,95,377165.7454736842,0.0
86,1069.0661915540695,1512,473415.7527645509,0.0
87,53.689405381679535,72,410561.32777777786,0.0
88,68.16702896356583,90,398193.9488888888,0.0
89,1287.6951897740364,1813,485691.3415885272,0.0
90,61.63460671901703,82,405115.99487804895,0.0
91,59.31640613079071,81,439135.00246913586,0.0
92,47.59311431646347,65,429922.3883076925,0.0
93,32.29600989818573,45,434707.7928888888,0.0
94,333.5558846592903,446,415832.73269058304,0.0
95,467.2675456404686,629,441404.08950715396,0.0
96,57.59823977947235,77,409092.5085714284,0.0
97,68.87035447359085,92,414643.9286956523,0.0
98,61.151169419288635,82,415639.5368292683,0.0
99,82.01308512687683,107,387579.1454205607,0.0
100,240.4247996211052,312,395148.37916666636,0.0
101,58.01283931732178,77,399627.3667532466,0.0
102,60.484449684619904,82,430091.42780487787,0.0
103,351.4422635436058,462,389420.83735930716,0.0
104,60.29498440027237,81,417592.2,0.0
105,248.66513484716415,329,394789.1879027356,0.0
106,175.98263430595398,223,362287.8186547086,0.0
107,13.570794522762299,21,483555.92571428575,0.0
108,46.84403419494629,63,408091.6034920636,0.0
109,55.50702041387558,74,403774.2281081079,0.0
110,78.38311439752579,102,382598.9333333335,0.0
111,72.6081548333168,97,416557.6348453606,0.0
112,36.7607227563858,52,463135.3146153844,0.0
113,67.0239868760109,89,405525.29977528076,0.0
114,60.57928681373596,80,394225.78625000006,0.0
115,68.83136916160583,90,385063.76799999987,0.0
116,59.614474177360535,80,415730.02775,0.0
117,79.66435414552689,105,400891.18,0.0
118,67.17865073680878,90,417772.5682222223,0.0
119,313.33779376745224,427,402544.2593442623,0.0
120,65.0355396270752,87,414607.95770114934,0.0
121,73.24524682760239,95,375832.8938947368,0.0
122,239.4517776966095,309,391434.2671197412,0.0
123,117.66028290987015,151,373439.47999999986,0.0
124,56.66515642404556,77,430689.1485714286,0.0
125,55.855004370212555,75,413946.0506666665,0.0
126,58.71971958875656,79,418610.6658227848,0.0
127,55.822342693805695,75,414682.3066666667,0.0
128,23.34976863861084,32,385617.453125,0.0
129,72.67209923267365,95,386580.9282105264,0.0
130,54.84180337190628,74,419827.4799999999,0.0
131,135.370671749115,170,345264.31564705883,0.0
132,59.34938257932663,80,421609.1534999999,0.0
133,59.00703728199005,80,429181.3692499999,0.0
134,41.66789644956589,58,448749.5448275861,0.0
135,144.9122030735016,181,338645.98441988963,0.0
136,71.62570416927338,92,361366.96891304356,0.0
137,46.9096018075943,64,427840.01000000007,0.0
138,250.8377746939659,339,408376.9633038345,0.0
139,59.29944795370102,80,422690.5484999999,0.0
140,55.08599638938904,73,395239.97397260263,0.0
141,1306.9847078323364,1809,471223.00700939854,0.0
142,57.002991676330566,75,386732.5765333333,0.0
143,47.15898060798645,65,441841.55138461536,0.0
144,75.69578498601913,99,388533.1941414142,0.0
145,55.66175013780594,74,400011.4391891893,0.0
146,653.362416446209,1003,467138.84753738786,0.0
147,76.28289473056793,101,405723.1944554454,0.0
148,60.03717589378357,82,439814.0273170733,0.0
149,69.11717224121094,93,424600.43311827956,0.0
150,70.79346889257431,93,392484.24344086024,0.0
151,55.335085451602936,74,407917.966216216,0.0
152,70.0121106505394,93,407476.80817204306,0.0
153,75.72212594747543,99,388055.6703030303,0.0
154,53.9668670296669,72,403703.8855555557,0.0
155,77.20678108930588,107,398188.8504672899,0.0
156,59.65174514055252,80,414855.88099999994,0.0
157,55.68480360507965,74,399490.5870270271,0.0
158,61.3048050403595,81,395324.4960493827,0.0
159,60.851862490177155,82,422164.5790243901,0.0
160,68.95836651325226,92,413036.3895652174,0.0
161,250.7681264281273,343,408782.952303207,0.0
162,556.0889634490013,901,442246.110499445,0.0
163,35.93829959630966,51,466031.6423529413,0.0
164,71.82160556316376,95,402514.5461052632,0.0
165,78.29953414201736,101,370159.32475247514,0.0
166,55.13701510429382,75,430963.38559999975,0.0
167,46.59188312292099,64,436601.36812500004,0.0
168,55.13793188333511,74,412737.6508108109,0.0
169,168.87396836280823,315,399074.29790476203,0.0
170,56.304300248622894,75,403209.23839999986,0.0
171,435.74662524461746,690,441222.8766666668,0.0
172,67.93288344144821,90,402869.6544444446,0.0
173,72.5009338259697,94,374918.7348936171,0.0
174,77.70964902639389,102,394331.06705882354,0.0
175,68.14145189523697,92,380994.5649999999,0.0
176,36.808585941791534,52,461425.27999999985,0.0
177,56.556474804878235,77,433166.7283116883,0.0
178,219.49848240613937,384,409927.8869270834,0.0
179,55.84738779067993,75,414148.59146666666,0.0
180,54.14802199602127,73,418123.7583561645,0.0
181,57.35696005821228,77,414742.3033766232,0.0
182,123.30351853370667,225,389295.94035555556,0.0
183,648.7883843183517,1030,456885.0121359222,0.0
184,35.14507532119751,50,467867.5592000002,0.0
185,53.67586797475815,74,428692.35675675684,0.0
186,432.36336946487427,704,441474.28428977315,0.0
187,222.8572275042534,348,394599.6632183908,0.0
188,286.36467188596725,454,412247.25563876686,0.0
189,71.46508133411407,93,379677.34580645175,0.0
190,472.7499339580536,712,437937.32994382014,0.0
191,310.42606979608536,428,396343.9059345798,0.0
192,206.39369839429855,340,411341.44664705876,0.0
193,55.23552519083023,74,410321.4886486487,0.0
194,103.65306454896927,160,350208.4906250002,0.0
