episode,acc_reward,length,cost,res_wasted
1,7.866227686405182,13,461005.95384615374,3777.2410900409404
2,20.37038505077362,31,502339.4477419355,6494.350279777281
3,36.3954775929451,52,471365.1884615384,2919.2921667832593
4,28.560150980949402,41,461394.6419512196,2867.7593782006243
5,-1.0,1,477332.4,0.0
6,11.926855623722076,19,494624.94526315783,4492.428981580232
7,22.08814376592636,33,491205.9151515152,3252.276023171165
8,34.2114275097847,48,444786.50583333353,2035.382534980774
9,26.682071447372437,39,479070.3702564101,3379.6849365234375
10,38.74992334842682,54,443122.0229629628,2146.8001085917153
11,14.016289055347443,22,495652.9581818181,7637.656960227273
12,30.826027870178223,45,487570.1404444444,3669.6343841552734
13,14.091905117034912,22,493854.4290909091,4516.78654757413
14,33.890591859817505,48,452944.3025,4673.349446296692
15,3.3076770901679993,7,493561.88,4042.0301448277064
16,9.044470965862274,15,495786.1866666667,4306.188619995117
17,20.896863758563995,32,509799.21749999997,8607.363464355469
18,73.60812598466873,100,432649.3816,4887.307665939331
19,4.677345395088196,9,504353.4400000001,6130.407180786133
20,22.189179956912994,33,487355.1369696971,2119.5076363303447
21,31.299182891845703,45,469315.2328888888,3347.6468994140623
22,-1.0,1,477309.24,0.0
23,7.623714208602905,13,493969.9353846154,4114.385143573468
24,3.2756940126419067,7,499548.68571428576,5371.993887765067
25,9.796212494373322,16,492922.60750000004,3673.224160194397
26,14.043077766895294,22,497824.58727272716,4533.434654929421
27,36.36421298980713,52,473382.92000000004,2233.414069835956
28,25.528439044952393,37,464861.23567567574,3058.021599846917
29,12.66637510061264,20,494827.638,3083.5759666442873
30,10.49440598487854,17,493803.7600000001,4781.640200446634
31,36.49888038635254,51,441516.0447058824,3352.830863503849
32,14.660065114498138,23,504848.1356521739,5169.850481116254
33,-1.0,1,480546.44,0.0
34,-0.28133851289749146,2,485541.56,2208.8214569091797
35,38.592234551906586,55,468521.08727272734,4941.656929987127
36,14.172855854034424,22,488839.06181818177,3512.9432060935283
37,35.69107109308243,51,470475.5898039217,2915.7040907915903
38,13.245646297931671,21,504366.700952381,4853.715029035296
39,23.522773504257202,35,492516.96685714275,2665.6672773088726
40,18.556079626083374,28,486780.32428571425,2876.51424407959
41,8.383670330047607,14,489042.1857142857,3855.875437055315
42,11.197631001472473,18,495391.4000000001,4666.65299987793
43,14.976562917232513,24,522783.4733333334,13189.637283325195
44,6.137009024620056,11,500395.8727272727,5254.181076049805
45,20.742351174354553,31,486350.3922580645,2690.325209094632
46,11.805631279945374,19,503618.5263157895,6200.099345157021
47,18.515638530254364,28,486801.3385714286,4792.338947296143
48,1.1154742240905762,4,504574.57,6631.27033996582
49,8.36640179157257,14,491951.8657142857,3532.7285352434433
50,33.2338370680809,48,481309.30000000005,1896.3744978904724
51,-1.0,1,475872.08,0.0
52,16.326219975948334,25,488948.7999999999,4247.476946411133
53,-1.0,1,479046.60000000003,0.0
54,22.752609074115753,34,494584.43294117635,3013.323958901798
55,18.232523143291473,28,500774.8114285714,7582.145229884556
56,16.249516129493713,25,494681.6832000001,4041.8987585449217
57,-1.0,1,478940.48000000004,0.0
58,-1.0,1,478566.6,0.0
59,27.19083082675934,40,490448.109,2291.236489105225
60,19.884510099887848,30,494002.67733333335,2907.879487609863
61,1.8029170036315918,5,510143.16000000003,8394.555047607422
62,14.664304852485657,23,501940.6173913043,6825.485382743504
63,15.647106945514679,24,488154.30500000017,2523.441996574402
64,22.27095854282379,33,479572.873939394,4465.378925670277
65,36.45291155576706,52,468846.80000000005,3289.3036008981558
66,16.247749090194702,25,494140.5839999999,4539.716334228516
67,14.65961468219757,23,503886.3791304348,5796.984530241593
68,11.134273409843445,18,500028.87777777785,5809.062652587891
69,1.7984547019004822,5,511023.9920000001,9522.214233398438
70,20.71012657880783,31,489413.6516129032,1894.9830218899635
71,9.054345190525055,15,494903.2133333333,4080.703271484375
72,6.106692790985107,11,502985.7018181819,6502.837230335583
73,14.255204916000366,22,484695.6854545455,1726.9577782370827
74,7.656371593475342,13,490310.90153846156,3594.5259986290566
75,14.144321382045746,22,492687.390909091,2379.6727856722746
76,32.798512041568756,46,441488.7078260869,2020.3640591165295
77,2.6184738278388977,6,486811.38000000006,2476.102249145508
78,1.1145333647727966,4,504165.32000000007,6907.625930786133
79,13.2263725399971,21,502651.95809523814,7215.367715018137
80,46.26373910903931,65,459356.2756923075,4883.216044499324
81,13.251966774463654,21,501980.8133333334,6080.476311819894
82,6.061111867427826,11,507822.76727272733,8383.01263150302
83,1.8747652173042297,5,491997.7199999999,3675.1308837890624
84,37.1540966629982,53,465896.8875471698,6153.568311007518
85,9.421325385570526,16,522394.65,12376.192694664001
86,12.695758521556854,20,492126.16,3120.3162528991697
87,18.64099794626236,28,481044.23714285716,3184.0021901811874
88,21.184283435344696,32,500030.6125,4121.708574771881
89,1.846073031425476,5,498577.36,5838.091204833984
90,17.19139188528061,26,478768.3830769231,4538.022926330566
91,5.3911871910095215,10,504219.76399999997,6067.539720153809
