episode,acc_reward,length,cost,res_wasted
1,667.3798432648182,1026,554719.0733333334,24471.580466421026
2,302.20045006275177,424,481270.58849056606,16536.364377743794
3,74.15894621610641,100,416106.4526000001,9562.92556503296
4,196.94609862565994,275,469822.89760000014,17486.640374034534
5,322.26661241054535,458,494064.6397816596,19323.2962182349
6,96.65163540840149,129,400721.4192248062,15642.801313577696
7,88.46179008483887,117,389955.68786324805,12946.81568483206
8,126.69977885484695,178,462449.0516853932,23842.089480175062
9,99.01623320579529,135,434550.94014814816,12426.59250793457
10,263.6835504770279,378,476897.5951322751,16354.140834445045
11,112.95296674966812,155,428117.30774193536,24925.70649379607
12,114.11740344762802,155,423463.6549677422,18796.23500835357
13,351.84805423021317,534,486756.85865168547,16580.248488110105
14,142.88499957323074,194,420559.2608247423,23286.392714392277
15,286.0510518550873,399,460944.7863659149,16597.093610878277
16,113.42308288812637,155,430453.40722580656,19494.240976247478
17,166.9631474018097,230,442925.3926086955,18816.680773817974
18,92.20420926809311,126,428121.037142857,17869.436044182097
19,214.23211365938187,289,430231.4233217995,14205.627747796398
20,94.18018025159836,127,412298.77622047235,16853.37906790906
21,271.7555831670761,388,452746.0954123712,15817.958263053108
22,80.50262862443924,107,402761.3321495329,6896.777260325779
23,283.35042029619217,403,455835.6842183626,14509.866200238836
24,290.8685194849968,405,459096.0429629626,17283.33968794081
25,111.67962461709976,153,437425.7126797385,16726.46470417696
26,83.46675872802734,112,409135.231607143,12207.7947574343
27,275.1661345362663,399,466047.6846115288,15092.134082256403
28,82.88718968629837,110,400303.8881818183,7726.705295458707
29,89.48534256219864,118,392057.18406779645,8798.721183615216
30,105.40576982498169,140,398225.7917142858,14167.675792939322
31,409.94086569547653,707,481560.0206223478,13040.051645906171
32,111.07541817426682,152,435958.83105263155,16632.88336786471
33,257.6770369410515,392,460178.2650510205,15314.070866083612
34,278.6134334206581,409,453488.184987775,13015.565736136401
35,228.63841366767883,327,460656.1851987768,13690.808808422964
36,372.2107435464859,660,490530.76330303046,15641.533099339225
37,542.0909343957901,981,496957.3209785924,15075.07533341154
38,289.75335228443146,419,466511.10443914006,14545.798143418706
39,339.1879332661629,481,467838.0486486484,17771.14459493899
40,99.27830880880356,137,428934.90671532846,27524.465321756627
41,130.5189055800438,179,437257.76491620135,19879.10751071056
42,259.0853859782219,357,442166.66644257685,13818.257136745613
43,258.9277112483978,360,470281.4264444443,15177.317591047287
44,89.95390325784683,119,396967.8574789917,8556.526865454282
45,106.15152895450592,142,410089.58760563383,12772.738918143259
46,87.62800371646881,117,403781.53299145296,12155.851407564604
47,300.68894386291504,416,467810.4474038464,13266.573597495373
48,100.55154204368591,134,402710.5420895523,13476.119821263783
49,259.98742812871933,376,455493.2612765955,12758.420094571215
50,405.83975172042847,593,489474.3448229342,20177.202282720635
51,131.67043095827103,175,396861.1145142855,18830.781473579405
52,200.7911914587021,275,442007.2612363637,19517.60386773543
53,410.9052228331566,603,495491.0634162525,14867.406679922075
54,97.63612204790115,132,420677.7145454545,14021.050737034191
55,113.77730095386505,155,429589.763870968,17248.285736699258
56,106.3977319598198,143,408204.27650349645,18561.90094861117
57,84.89339882135391,113,403868.59115044225,8538.147858374941
58,97.22592431306839,132,423379.52878787863,16027.289158214222
59,278.57741791009903,384,459256.70432291675,15500.257483541965
60,109.53737080097198,147,413244.9186394561,14061.178815802748
61,105.75144124031067,141,401769.574893617,15393.710809829387
62,315.03882867097855,438,470914.34136986296,15788.768209640293
63,266.88182896375656,364,441907.78483516467,12677.50639448585
64,71.48542940616608,97,430638.8696907218,4476.830626812178
65,293.69366878271103,404,457701.591980198,15008.038117965849
66,685.8039046525955,1021,505268.48640548583,16712.464188026985
67,117.78984051942825,159,417848.08918238967,17372.67218722937
68,286.58304166793823,408,467753.0246078434,13936.244006689856
69,95.40121948719025,130,424645.5769230771,18226.388635165873
70,82.03486466407776,110,414671.412,7307.8100481033325
71,76.55660784244537,101,391622.40574257425,6450.8691557704815
72,108.17946273088455,147,424586.109931973,17691.076828625737
73,96.95430380105972,132,430521.3587878789,13596.688773328608
74,99.34267228841782,134,421094.0270149254,11858.88780556152
75,99.37331765890121,132,399499.04227272747,12396.478723526001
76,110.49486315250397,147,395656.13292517,18252.594849644876
77,295.4683378338814,406,455000.01310344826,15929.49213816732
78,74.94861602783203,102,420136.1635294118,15649.548927531523
79,129.35476583242416,176,426227.0660227273,20154.474679860203
80,184.1525079011917,250,431908.56343999994,17725.401790397646
81,113.90941041707993,155,421984.5154838709,21519.189101397606
82,316.7786584496498,462,494438.36389610375,20586.311877585078
83,310.45863193273544,441,484931.58471655304,19121.872816183128
84,103.90834385156631,141,423876.8778723404,16258.514417790351
85,110.73179268836975,147,398665.7669387754,14110.211130862333
86,496.2992969751358,739,515647.21087956725,20448.71824602119
87,123.08810234069824,168,431768.60607142845,18556.84291464942
88,168.82645148038864,230,427983.26356521744,22959.329990411843
89,101.86634689569473,136,408555.5305882356,11335.424142332638
90,324.7407715320587,462,494551.430995671,19969.988218146485
91,319.40517514944077,443,464878.05963882635,17907.921338242817
92,671.4733689129353,1004,528264.7322310755,18412.230798143788
93,312.5253396630287,443,453805.5042889395,17907.036275510593
94,78.61210107803345,106,424704.7473584904,4755.881404300906
95,101.99525862932205,137,408722.8148905109,16982.717796339606
96,74.85977244377136,99,387723.69050505036,11002.969368154352
97,292.5201941728592,413,469156.58121065394,13809.523487007935
98,301.29269766807556,447,483197.3246979862,17974.885260050727
99,92.4344328045845,124,410573.07193548395,12821.044901386384
100,486.08899319171906,677,480290.8559527323,12540.860862722777
101,491.2711073756218,701,479094.27161198313,13898.762539413277
102,206.3057507276535,286,451376.2290209794,18010.605144314
103,491.63275170326233,701,501535.7408844514,18614.334294637498
104,93.59673815965652,125,400604.0883200001,15797.410198860169
105,294.5770418047905,420,463517.13338095293,15267.239403206962
106,299.8826768398285,420,458225.17500000005,18528.883409132275
107,83.81420600414276,112,409180.81625,8309.169156381062
108,87.1372120976448,114,382536.8647368421,7308.671198092009
109,499.39545142650604,720,504081.4925833337,14718.301866436004
110,186.19446444511414,246,397084.693902439,16630.871256665487
111,115.89584451913834,152,382856.752631579,14185.647614592
112,477.89049899578094,679,495913.048895435,13868.46749103754
113,106.7813875079155,145,418240.5388965517,21265.3184113075
114,111.52891206741333,154,444715.8825974025,18871.261089424035
115,101.29979169368744,137,421108.9032116788,14665.505664073638
116,308.61117166280746,431,471465.3198143852,19372.52621563958
117,314.028292119503,443,463083.62135440164,16116.480065507221
118,94.15794461965561,125,397330.3784000001,12492.8077315979
119,305.9232302904129,425,468654.67336470605,16553.123242936977
120,285.8096680045128,405,471403.37723456754,13567.296156056722
121,155.39179122447968,218,423604.74880733935,16895.365243940178
122,288.68215304613113,396,451002.17651515116,12940.802376118574
123,204.71108680963516,281,450992.936797153,15436.467707216527
124,300.00333416461945,411,450835.430121655,16199.37474519493
125,180.86983329057693,241,409635.7776763483,15682.649611793613
126,112.56206399202347,153,427742.997908497,16342.923294067383
127,204.4932855963707,277,437495.93841155263,12626.280806317656
128,645.4278748333454,982,520573.15342158865,16373.156170957685
129,278.30061078071594,398,459949.55447236175,13327.606856130475
130,171.2646352648735,231,420861.36415584397,18786.618390714968
131,115.5211775302887,156,402546.4005128202,28186.61442397191
132,169.49177837371826,228,416125.86894736876,19517.370718454058
133,273.313035428524,379,450896.01065963076,12445.685857516166
134,102.52047365903854,136,396934.29867647076,13482.376231502085
135,94.59258788824081,127,416366.13527559064,9978.547655030497
136,173.11098206043243,234,426904.0552136751,16684.67240487612
137,352.89148396253586,521,465074.8282917469,17429.105704763344
