episode,acc_reward,length,cost,res_wasted
1,34.47111493349075,54,589793.6725925925,0.0
2,110.95272994041443,168,587952.9188095239,10.635654994419642
3,86.17163372039795,131,584940.5303816793,1806.0052275912453
4,295.7277754545212,444,588835.262432432,0.0
5,969.3010934591293,1558,631642.6868806162,414.3786024061798
6,154.34791374206543,231,578907.8947186152,0.0
7,946.5726763010025,1558,609469.6299101411,7.124051330331354
8,281.83608025312424,436,594162.0993577981,69.1227688570635
9,1224.3118510842323,2016,592159.9427976194,710.1185613359723
10,83.52691322565079,127,586381.6160629921,467.5718532772515
11,1191.9350032806396,1866,581558.9293033225,262.42629268928357
12,317.98457276821136,519,590734.6729094416,201.04193432758308
13,144.4177468419075,218,588277.3067889903,197.5440925808128
14,156.16140413284302,234,580458.806153846,0.0
15,98.86931717395782,151,595712.7705960264,169.9155839326366
16,154.83149629831314,233,585513.009785408,22.829679431833423
17,87.76335525512695,138,613228.5246376812,10213.645178753397
18,149.05445843935013,224,583412.5269642856,0.0
19,488.84587651491165,812,591653.703596059,456.3015562160849
20,942.8346370458603,1584,589939.8713131311,1907.301139831543
21,335.8074917793274,511,584611.3435616439,7.3688807179549904
22,90.45192193984985,139,596206.8276258991,3720.410345941996
23,1064.9565957188606,1893,580941.9612466987,127.93582873941412
24,1011.9831857681274,1576,596530.1510406095,42.11618785567695
25,329.86738204956055,502,588904.3782470123,116.83785098862363
26,153.28552663326263,236,582199.0442372882,0.0
27,460.7728055715561,690,588177.3506086951,0.053056003736413046
28,152.3962299823761,230,588747.1516521742,128.2541413680367
29,146.69567316770554,220,580829.1765454547,11.352272727272727
30,89.43434113264084,135,579826.9777777775,15.331827799479166
31,417.72764980793,714,588979.7842016808,1.744678144695378
32,279.3661844134331,459,584972.208017429,26.143537932751226
33,144.61398899555206,217,581267.8049769584,3.864686464933756
34,97.91789960861206,148,583330.1051351348,0.0
35,87.95899677276611,135,595249.475259259,2874.8558837890623
36,140.7270628809929,215,596328.4831627905,4292.670752520894
37,91.94831985235214,139,582375.2201438849,16.82855707621403
38,213.84695887565613,322,589678.2455900623,0.0
39,1023.5575832128525,1579,591602.8546675107,14.923472582652193
40,94.91063356399536,143,578875.4903496503,0.0
41,291.89299380779266,443,601362.9102483067,207.4868059352074
42,88.85109412670135,134,578052.1680597017,444.7557992508162
43,466.6068558692932,725,612788.9715862066,2668.202500841864
44,346.62304109334946,522,593448.589195402,0.785711880387931
45,146.0834566950798,220,585515.3465454546,137.1026084206321
46,840.1134343147278,1571,583506.4855760663,459.53438381144076
47,87.94072955846786,133,580896.8027067671,675.5278476342223
48,86.73971301317215,132,585674.2642424239,2286.3294483531604
49,142.58822709321976,216,591900.9096296298,442.71497599283856
50,95.52401196956635,144,579697.1013888889,0.0
51,89.46083515882492,135,578850.7377777778,494.68634440104165
52,88.5432785153389,134,582757.9074626864,31.106853428171643
53,152.62285888195038,231,592090.3986147185,232.79195096895293
54,412.0489111542702,675,611737.1294222221,2536.241256510417
55,184.32782590389252,280,598700.8978571426,1.7926783970424107
56,515.6430752873421,791,606889.1490265487,98.93477926724478
57,1257.3993600606918,2016,603688.5511706346,240.10078157697404
58,274.621982216835,412,587434.4426213596,45.35283979397376
59,273.08777207136154,414,599199.4942995168,489.5167873216712
60,336.70795822143555,508,593823.7988188978,1277.055420162171
61,534.1979693174362,804,594801.0851741292,2.413412065648321
62,247.62797182798386,372,588179.9944086021,3.95117679719002
63,472.2168011069298,717,604711.9155927466,34.68718895054263
64,88.81047689914703,134,579115.8179104478,0.0
65,95.12601917982101,144,584594.9086111113,6.121101379394531
66,78.64780485630035,119,579638.5263865542,0.0
67,821.988888323307,1260,595915.6203809526,185.7817408970424
68,1269.679927289486,2016,593116.2282142866,386.07759802682057
69,82.93686562776566,125,576220.2595200001,0.0
70,466.22302931547165,701,593135.8594579162,3.183316000858149
71,268.8982626795769,411,609180.9765450126,147.17422017563868
72,325.9648892879486,506,600985.4307509882,1652.891199164711
73,262.72908812761307,413,592062.9014043582,677.6788604958006
74,83.9991003870964,127,580363.5877165353,0.0
75,91.93282520771027,139,582408.6517985612,0.0
76,268.6629620194435,410,594553.437073171,1060.0754284370237
77,284.50492495298386,431,599123.2593967515,224.65093810043865
78,747.9640198945999,1134,599334.6231746034,9.092872256324405
79,966.784343123436,1667,591289.7241991607,8.598655000445223
80,278.6681016087532,439,596189.8770842827,0.0
81,152.0421769618988,237,602535.1888607594,0.3539730023734177
82,1275.1814655661583,2016,592789.3473809529,1278.1109940665108
83,1113.3377187252045,1737,607030.1992861248,765.4060064918636
84,79.15918064117432,121,589754.5411570246,1632.593410019047
85,884.0423459410667,1526,610246.2628833548,1237.4305312730382
86,95.78494054079056,145,584801.183448276,1.9687803071120689
87,340.5828651189804,511,588884.6571428566,100.23238222006482
88,100.31856942176819,155,602314.6121290324,5517.6760915448585
89,153.5576537847519,231,585098.2481385282,0.7177639255275974
90,1240.6409406661987,2016,602746.0318253974,1223.3794528416224
91,1243.5011484622955,2016,598912.3340476189,155.92826952253068
92,941.3649234175682,1569,601647.8955258117,63.98891237452199
