episode,acc_reward,length,cost,res_wasted
1,15.77319860458374,1507,596368.808201726,0.0
2,22.10368847846985,416,632124.9987499996,174.9312039888822
3,21.7744602560997,117,650035.5952136753,977.4237154447115
4,20.027435421943665,118,646035.7203389828,0.0
5,22.170267701148987,116,638321.5296551725,0.0
6,20.026592135429382,116,644356.5337931034,0.0
7,22.352107286453247,413,637105.9756900728,10.61657567058868
8,14.77116197347641,405,656397.4575802465,0.07627224392361111
9,14.516525447368622,132,653429.6436363637,2992.626817183061
10,15.77084618806839,2016,657509.4536507931,1747.7768789018903
11,14.913636565208435,120,638226.007,0.0
12,14.868860483169556,121,644403.5709090908,654.9563159784994
13,14.81930285692215,141,646625.6036879432,0.0
14,14.816929578781128,232,648918.222931034,0.0
15,22.239749789237976,139,625641.7084892088,0.027094340152877698
16,14.798218250274658,136,641341.1779411761,13.195282879997702
17,21.63669764995575,112,627602.9810714285,7678.332906450544
18,26.33169788122177,145,607705.6874482759,0.0
19,27.202506184577942,410,607855.4830243903,571.0703247070312
20,33.997039556503296,1566,608356.0724137934,563.4094315452137
21,140.99876832962036,677,593742.4095125553,3.1475732710372046
22,259.5379851460457,391,590268.5210230178,1277.7350665236372
23,90.31795835494995,136,577030.9567647057,0.0
24,503.9003973007202,793,609994.8044892817,4.8890850360576925
25,270.41517519950867,1560,587884.2934358985,7.65837144118089
26,137.20781654119492,209,587074.2225837321,0.0
27,135.51484447717667,230,585203.9827826088,0.14415017832880433
28,148.97339594364166,223,578684.7852914798,86.03019625402887
29,98.17858523130417,148,580279.3900000002,9.055777884818411
30,153.5841515660286,231,584871.6744588746,43.684765307934256
31,264.1864149570465,401,601080.9153117202,0.0
32,1276.9196822047234,1957,598874.7130710281,13.510408661715157
33,451.4995962381363,681,596343.8604992662,282.8542700948169
34,282.9341802597046,433,609968.0910854504,948.0810637088625
35,79.1290552020073,121,587834.0426446281,3207.1085406847237
36,85.38418710231781,131,593684.7920610687,3235.078519165971
37,91.35795694589615,138,581295.7646376811,15.37583591627038
38,124.06926900148392,188,590652.374893617,0.0
39,370.8051767349243,558,592968.0262365597,0.5714879189768145
40,153.82593649625778,231,582922.8730735931,0.0
41,372.05748772621155,654,607887.1758409785,177.5247903526376
42,86.98077243566513,132,585047.3993939391,451.6573125665838
43,438.4025247693062,682,621379.8181231667,2228.1426502574573
44,528.4494196772575,802,600237.6848877807,4.666083966110115
45,140.65045654773712,211,580529.4244549766,13.746604015476896
46,334.2390282154083,506,598638.3916996053,655.668172602597
47,82.34927976131439,125,583738.7321600002,647.8682783203125
48,87.62853819131851,133,582754.1130827067,2278.196873715049
49,87.42858445644379,133,587715.4192481205,718.6899010220865
50,77.25003188848495,117,580286.1446153845,0.0
51,88.04413241147995,133,579718.6709774435,502.5291206531955
52,93.68539148569107,141,577070.5801418441,243.8309637840758
53,840.1329653263092,1408,585226.1844034095,38.25061251900413
54,511.204734146595,789,597097.3825095069,2399.0421411782618
55,272.8983524441719,410,586137.6927804882,1.2029412990663109
56,83.73504996299744,127,583897.8626771657,11.521665077509843
57,94.62969917058945,144,590728.0677777778,0.0
58,134.26734966039658,203,589222.9261083743,92.37014605141626
59,468.7596397995949,703,585775.2894452348,667.5675474250978
60,337.16917395591736,512,601513.6940624994,1266.8667962551117
61,273.0781625509262,451,592036.442128603,0.3990619261883315
62,275.62515664100647,412,583046.0662135924,3.4990095120031857
63,84.00581562519073,128,589516.1512499999,0.0
64,932.8867946863174,1557,603928.8311624912,490.80544602939847
65,88.55857956409454,134,582463.4826865675,0.0
66,80.80215275287628,122,577769.5498360659,0.0
67,158.40916579961777,240,593995.3124999997,0.0
