Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,424.67620092630386,581,477224.2417900171,0.0
2,71.09454298019409,93,405716.96602150524,0.0
3,54.60931074619293,72,412296.986111111,0.0
4,133.94860929250717,166,336213.08843373496,0.0
5,56.21998864412308,73,391796.3235616438,0.0
6,303.9800161123276,405,441269.040246914,0.0
7,56.93837225437164,77,447343.5267532469,0.0
8,75.25388503074646,99,414268.1234343437,0.0
9,938.6520670056343,1270,459831.19489763817,0.0
10,68.87602210044861,88,372425.0470454546,0.0
11,1317.3104627132416,1808,472321.6094137167,0.0
12,126.24335962533951,163,393858.88159509207,0.0
13,56.108391642570496,74,413233.9545945947,0.0
14,537.6827376484871,729,443130.8654320992,0.0
15,72.64892184734344,94,390897.02787234046,0.0
16,55.404355108737946,73,411733.7942465754,0.0
17,68.58532500267029,91,424604.22417582426,0.0
18,70.59428888559341,93,415326.80580645154,0.0
19,62.51534456014633,83,424094.69180722896,0.0
20,77.01000028848648,99,382657.4923232325,0.0
21,1356.7641453146935,2016,470456.83847222076,0.0
22,52.244273483753204,69,413861.4481159421,0.0
23,67.65913742780685,88,397113.9236363634,0.0
24,66.02058637142181,87,414730.8910344827,0.0
25,61.09773772954941,80,404775.1745,0.0
26,60.60045903921127,80,415819.63424999994,0.0
27,59.79970484972,80,433686.7029999999,0.0
28,301.72488391399384,398,417951.27623115585,0.0
29,64.57140851020813,86,428887.88186046534,0.0
30,71.96600210666656,92,373901.93195652176,0.0
31,101.54482054710388,128,358145.66140625003,0.0
32,485.8647275567055,696,437281.19681034476,0.0
33,58.704328536987305,77,406506.27376623376,0.0
34,177.16975444555283,222,353981.0763963963,0.0
35,930.0381653308868,1306,475101.00696784037,0.0
36,74.04456526041031,95,379378.6837894736,0.0
37,62.55569392442703,82,406660.9621951221,0.0
38,55.6723530292511,74,423743.8610810811,0.0
39,125.86144798994064,160,372062.81224999984,0.0
40,178.77230697870255,222,341113.83045045036,0.0
41,466.2333794236183,630,440945.67393650784,0.0
42,68.08813560009003,90,419297.6551111111,0.0
43,610.4578883647919,924,467223.7870129872,0.0
44,110.45469945669174,150,461058.08853333356,0.0
45,66.20723932981491,89,441665.91910112376,0.0
46,679.4691950082779,930,472680.61569892464,0.0
47,75.67409229278564,100,420391.1684,0.0
48,695.6612793803215,934,453328.65922912257,0.0
49,261.49591302871704,348,439197.974597701,0.0
50,58.93855535984039,81,469153.9407407408,0.0
51,105.3422891497612,142,450803.6630985919,0.0
52,60.49958425760269,81,434828.28888888896,0.0
53,669.9551681280136,902,456977.3666962303,0.0
54,87.60330110788345,119,459130.0040336135,0.0
55,695.5723003745079,944,459197.1979661015,0.0
56,102.27948081493378,139,461354.883741007,0.0
57,546.7512146830559,746,474197.99083109986,0.0
58,274.3935176730156,402,470754.4710447764,0.0
59,537.2095093131065,734,459751.2312806543,0.0
60,693.9662499427795,933,455139.8114898177,0.0
61,97.16957503557205,132,460293.5690909093,0.0
62,333.23372995853424,462,493835.468917749,0.0
63,133.72476041316986,182,465463.4654945057,0.0
64,314.38694429397583,425,445537.36898823525,0.0
65,269.1008625626564,367,471780.8018528611,0.0
66,348.1260985136032,468,453642.02769230737,0.0
67,512.8051991462708,694,461391.0683573487,0.0
68,906.3882559537888,1226,443309.29228385014,0.0
69,1489.8216361999512,2016,432390.0197321431,0.0
70,702.3851582407951,945,456114.1590899472,0.0
71,659.4557662606239,926,477143.8316630668,0.0
72,676.6736728549004,933,451335.01834941044,0.0
73,1129.5534662008286,1523,423459.50257386756,0.0
74,660.2162227034569,907,474818.44551267906,0.0
75,356.23698711395264,476,445606.98957983236,0.0
76,274.97596102952957,375,471815.30709333287,0.0
77,310.068918466568,410,431145.29170731676,0.0
78,326.1856861114502,443,466933.5036568849,0.0
79,115.03141504526138,154,442421.76623376634,0.0
80,118.51064902544022,159,445546.83773584914,0.0
81,269.4689294099808,385,452925.9343376624,0.0
82,412.08572018146515,569,489122.12014059775,0.0
