episode,acc_reward,length,cost,res_wasted
1,42.77736634016037,61,481916.6603278689,0.0
2,53.75364452600479,72,408909.76944444445,0.0
3,466.8267639875412,698,444918.31275071617,174.03211795839675
4,50.47108751535416,68,414114.6723529412,0.0
5,52.906232953071594,71,410822.86253521126,0.0
6,54.314155995845795,77,430636.34909090935,0.0
7,54.11788588762283,80,413091.7452499999,0.0
8,46.509149610996246,74,429102.17567567586,0.0
9,49.757129073143005,73,429869.7013698631,0.0
10,975.6516775488853,2016,485945.85981150804,228.37868663242884
11,36.154473185539246,51,458418.5403921569,0.0
12,63.016162037849426,90,419431.80288888904,0.0
13,30.6003600358963,43,442224.41581395356,0.0
14,78.80242937803268,121,353371.5170247936,3223.9359953068506
15,45.68485510349274,63,440948.21904761886,0.0
16,48.40276783704758,66,428549.6309090908,0.0
17,60.484553039073944,80,396290.29574999993,0.0
18,54.92738604545593,74,417783.68756756745,0.0
19,54.39111113548279,73,412110.3632876712,0.0
20,55.650843381881714,74,400381.4702702703,0.0
21,54.1505731344223,74,436464.6356756755,0.0
22,60.62838912010193,80,393071.38525000017,0.0
23,55.9978124499321,75,410538.1306666668,0.0
24,24.21133428812027,35,461339.18514285714,0.0
25,53.54150182008743,72,414123.21277777787,0.0
26,57.32963114976883,77,415401.35298701306,0.0
27,68.13834804296494,92,428883.33260869567,0.0
28,53.814610958099365,74,444553.447027027,0.0
29,53.849019050598145,74,443689.6551351351,0.0
30,39.415248930454254,55,449001.2843636363,0.0
31,312.82830929756165,695,451913.2045755392,201.76354453546537
32,483.85053849220276,818,452255.45330073364,307.8360732994919
33,751.2414054274559,1254,505425.2120574163,176.29063364421353
34,465.8559244275093,989,490723.19708796754,307.54223497041676
35,489.5423904657364,1254,520935.761148325,434.2107777572705
36,56.372046768665314,163,399373.50552147254,253.28170008747125
37,81.5457581281662,212,368614.45226415084,144.51758042821345
38,80.91411662101746,221,412355.06923076906,319.85599182957435
39,80.51579040288925,153,388592.14261437906,611.4948371438419
40,34.832169353961945,49,452459.64489795914,0.0
41,70.61090189218521,120,413273.08300000033,0.0
42,51.683357417583466,94,407344.11297872337,0.0
