Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,32.21759229898453,109,335250.6126605504,400.0043065132351
2,6.033977150917053,15,298310.22400000005,1772.7363647460938
3,11.903724670410156,31,309493.8929032258,1796.8533384261593
4,8.913084506988525,26,338554.90153846156,1023.8073507455679
5,62.66745916008949,156,299757.82192307693,638.3524115956747
6,53.42320802807808,116,266461.92620689655,628.8048674484779
7,45.51140800118446,125,285076.32383999985,548.2077555541993
8,12.597839504480362,33,317000.3975757576,1578.5241477272727
9,4.19713819026947,11,306534.0363636364,255.52561257102272
10,30.603081315755844,138,252667.76376811584,493.99755981694096
11,6.589371025562286,17,309640.0717647058,1502.0443510167738
12,25.797863602638245,125,280761.6572799999,305.9968144111633
13,0.8961653411388397,3,290698.13333333336,0.0
14,4.26809886097908,11,304291.89272727276,2498.929620916193
15,51.64820417761803,409,297064.6552567235,210.11008943497114
16,36.06461489200592,136,276512.42999999993,256.6999679593479
17,51.02699527144432,151,288264.0521854303,556.7042613882103
18,44.388571709394455,105,272935.77866666677,774.9257031032017
19,134.5614496767521,427,279571.7454332554,202.724591077072
20,2.834122747182846,8,318191.83749999997,657.6996917724609
21,51.85452464222908,148,307151.872027027,455.03465745255755
22,0.0,1,349365.56000000006,0.0
23,39.81614735722542,127,313047.44614173233,130.22128437072274
24,17.65443542599678,46,318786.3626086956,603.5358820376189
25,9.800407409667969,24,301858.45249999996,1521.0842399597168
26,2.577495753765106,9,347945.1244444445,3276.0252075195312
27,1.1889583468437195,4,308609.395,1496.6851959228516
28,0.4496399462223053,2,301960.49,0.0
29,0.7712641656398773,3,330106.9266666667,909.6668701171875
30,111.02938514947891,660,304834.4756666665,600.4186968814244
31,65.3014612197876,225,321309.57555555546,896.8486135578155
32,0.0,1,369053.56,0.0
33,98.58794489502907,423,302670.40368794324,687.4969026890207
34,27.991168320178986,803,285424.29202988785,606.5342688524856
35,13.409449189901352,113,310170.8663716815,1.8174813869780144
36,13.068232476711273,799,315829.0715894873,17.17616332129334
37,23.90460041165352,135,280551.8868148148,304.51571734746295
38,30.186358600854874,809,266132.94778739155,845.4684686911269
39,22.422544717788696,121,258796.2656198348,265.34617626174423
40,21.674669712781906,138,257317.12594202906,1038.7980456559555
41,2.328653395175934,7,319053.2628571429,0.0
42,22.833569020032883,1548,272780.91762273875,1392.4713086790816
43,14.068179696798325,145,266233.20041379303,1336.4563983210203
44,18.370693415403366,372,267285.7789247311,848.3155182849977
45,0.4504691958427429,2,307586.75999999995,0.0
46,17.131481915712357,422,264515.36928909953,1093.108935257835
47,13.528895914554596,144,260023.91958333334,1158.25769610703
48,13.077732801437378,802,306410.44566084776,1989.8790768144136
49,14.202899396419525,232,283107.8993103447,2648.663611493234
50,15.084575414657593,516,264554.14031007746,2295.1207117604654
51,15.251143783330917,514,289653.84910505806,1020.315452417511
52,13.528914153575897,680,279959.19870588224,1874.18277638239
53,14.70977771282196,160,195839.29674999986,2758.778796824813
54,14.660697102546692,977,282877.67817809613,1873.4078264712311
55,12.762408703565598,2016,294455.0455555555,2203.1717281703436
56,13.2881600856781,141,257948.34822695027,2202.964886883472
57,4.403289049863815,11,298884.1472727272,116.49432927911931
58,11.98844987154007,390,273323.91599999985,1641.9698731789222
59,12.611367017030716,381,279165.3779002624,1592.5102275356533
60,14.49075984954834,1087,271400.959825207,2359.3149890557493
61,13.497080713510513,2016,275870.6260317462,2186.965443705874
62,13.327137112617493,119,246234.25915966392,1030.8439146971502
63,0.5779368579387665,3,345616.11333333334,159.11180877685547
64,3.0913297832012177,8,297225.65249999997,1320.3292922973633
65,13.294718354940414,519,287916.68944123323,2339.0123766515985
66,5.428132921457291,13,291463.8615384616,445.4389836237981
67,12.223740577697754,2016,304144.15097222204,2227.9383733315126
68,8.53094294667244,1861,302595.1567651801,2152.4461746163292
69,12.03239294886589,513,283653.20346978545,1563.5368307180572
70,9.549918174743652,1092,291739.9172527474,1548.3045672564715
71,9.921610802412033,968,244115.05856404934,1722.8008524920822
72,10.393919080495834,1244,271567.94141479116,1434.875273533956
73,6.990886837244034,520,277501.5528846155,1568.8246139205419
74,6.476771414279938,1099,287489.5306642405,1492.699545418164
75,9.173137366771698,517,244214.21698259172,1562.6089010722862
76,7.698395073413849,378,288900.363015873,1089.4476199150085
77,9.404496997594833,1093,284279.98034766724,1462.6342183182464
78,6.157082557678223,512,295312.5903906248,1571.2875027148984
79,14.665269196033478,963,290341.30747663556,1250.0766360247246
80,8.445445448160172,518,286310.44494208496,1531.7419640042147
81,12.649314910173416,420,287189.63385714276,1483.5706380946297
82,16.07373034954071,412,271363.48703883507,1510.7126080197038
83,13.827606320381165,518,281554.5088416986,2209.321801340258
84,0.4484725594520569,2,316302.65,0.0
85,14.939164638519287,429,265516.02144522144,1863.3611132848514
86,8.287251383066177,18,269502.51666666666,819.3943786621094
87,1.3759317994117737,4,288195.80500000005,717.5316467285156
88,24.505977660417557,123,196041.21252032518,781.4015409132329
89,22.396050095558167,143,234942.13832167827,1399.8340009709339
90,18.123092710971832,132,245167.7703030303,696.5469972545451
91,9.086025774478912,19,264789.5715789474,307.6118099814967
92,20.736275911331177,135,258790.67288888886,618.0143410523732
93,25.886215418577194,123,223200.40097560975,414.9584513059477
94,21.288900554180145,129,273532.88372093014,820.3268001412237
95,2.324793040752411,6,292012.9233333334,2442.92578125
96,22.47679215669632,131,258111.35114503812,874.0385344101272
97,29.31035789847374,125,254678.97504000002,801.8622376384735
98,26.245101153850555,136,263466.2589705881,1057.4871047752745
99,28.029985159635544,132,254586.3436363637,765.7541781989011
100,30.942474275827408,118,237768.74016949162,417.96521722058117
101,30.67840224504471,132,257466.51954545453,650.2797965786674
102,49.217285335063934,154,237343.11363636368,670.1365215251972
103,49.14977043867111,122,298071.4486885245,219.97512061087812
104,2.4197700023651123,7,315076.35714285716,619.3777117047991
105,72.95103007555008,375,328406.7382933334,616.4773770961762
106,7.75569474697113,17,272520.6717647058,2686.352201573989
107,40.00553077459335,116,277325.49775862077,204.7747044583847
108,49.58114144206047,134,289316.6659701493,923.9247924552035
109,58.110148310661316,127,272688.34,622.4053958663791
110,64.53037220239639,138,273966.75507246377,574.7496766992238
111,1.4478721022605896,5,331584.96,4756.3692626953125
112,145.9294275045395,422,271698.27502369677,431.84785251990314
113,148.683288782835,432,282381.1190740742,351.2553045451641
114,53.719586342573166,109,259088.98256880726,130.0176901161124
115,68.28905656933784,138,261332.48855072455,233.00565097642982
116,11.524435997009277,24,264833.4741666667,135.53302001953125
117,137.41709837317467,514,285301.1904280158,127.94271685501944
118,69.77420917153358,130,234528.52092307695,197.20835398160494
119,71.551722407341,137,249247.01167883218,169.46722610501476
120,63.03306494653225,267,326285.11453183513,98.46856993771671
121,63.41593378782272,1000,269350.4006800001,271.7732507994175
122,0.9176270961761475,3,299365.93333333335,0.0
123,30.032451063394547,136,275004.56602941174,273.3548224673552
124,42.79507374763489,130,240434.68353846148,394.83617412493777
125,44.13149669766426,129,282686.88,178.66825125383775
126,52.90236312150955,145,281959.5817931035,176.2052820139918
127,48.61412313580513,138,289502.34014492744,186.10657584148905
128,67.29340317845345,130,233660.1392307693,275.4651374376737
129,63.63451939821243,142,252639.94394366196,642.359005300092
130,50.608553767204285,153,290871.7026143791,208.36388729600344
131,67.2172187268734,140,263624.4749999999,194.6389840262277
132,92.5228368639946,378,299048.7939153439,104.52539342357998
133,105.71137255430222,810,259905.91125925916,31.664482159084745
134,1.8305080831050873,5,292615.356,0.0
135,50.5629223883152,122,237991.67262295083,162.42917745035203
136,57.740789741277695,144,214090.77319444434,482.3419414162636
137,41.76339700818062,119,271449.7596638656,295.2577625242602
138,47.83754742145538,124,265033.4641935485,88.33533110157136
139,99.36119121313095,441,305794.271201814,353.53904088662597
140,39.68640187382698,125,213676.18016000008,194.79092553520204
141,39.94675067067146,121,237018.85272727278,293.8924769764104
142,150.1783724874258,662,283729.9649244709,934.6520351733326
143,50.23030769824982,129,258220.3937984495,115.40039834310842
144,63.36580941081047,129,256080.51968992248,215.59500906079313
145,53.61491668224335,143,245796.15272727265,204.8096409394191
146,79.33606365323067,373,321209.86080428935,100.0116005864284
147,145.13702408969402,503,319590.6365009941,60.83815694329279
148,6.0217433869838715,13,265388.4230769231,1492.2457369290864
149,140.57504400610924,405,293393.2827160495,83.64755120807224
150,109.58123254776001,375,293879.98837333353,80.49307947921753
151,134.62017878890038,370,297887.9203783784,69.65265120428961
152,65.92145597934723,120,234779.6528333333,116.62924193143844
153,76.62930908799171,171,254575.63134502934,83.21579621967517
154,72.99527889490128,220,293014.13790909067,160.3332061073997
155,183.6968918442726,2016,285161.81401785725,131.53567802480288
156,185.12716993689537,441,256099.7712925169,80.62115969949839
157,184.1189837306738,504,292458.87825396826,53.8240690103599
158,103.10097175836563,288,278773.3040972222,69.7471751049161
159,87.41177770495415,224,299470.9311607143,53.17521475042616
160,250.61219491064548,1383,301073.72582791105,14.779649548313364
161,142.66425216197968,379,272889.08823218994,0.8358839231304883
162,191.9699016958475,2016,327413.38084325456,6.462651320866176
163,19.949441760778427,511,295026.9007827788,62.72926097140154
164,15.572652697563171,511,268134.21612524457,46.36765931310486
165,23.581078708171844,801,297849.82282147283,29.611369615190483
166,10.495300531387329,21,254608.66857142857,0.0
167,131.14050048589706,520,297754.2382692307,15.064949754568246
168,177.60380870103836,445,273824.46301123605,101.29809623889709
169,127.74421280622482,381,299293.2740157481,69.67142311419089
170,219.9676529467106,811,279376.84594327986,132.7644946972039
171,53.60298874974251,122,252396.74721311475,135.40276261626698
172,126.4928934276104,421,297405.38883610466,258.2107094132702
173,67.95372122526169,144,248342.3419444444,352.96375146508217
174,26.363615334033966,56,198049.3583928571,84.6813223702567
175,126.3814599364996,517,306820.9468085107,618.2079891757301
176,187.95073537528515,444,239977.23036036026,568.4624029204653
177,156.03094360232353,514,286036.8928404669,630.3032206691192
178,114.4571373462677,395,290813.27458227845,190.58051319846624
179,106.71927344799042,392,300714.2947959183,115.65199517048136
180,105.79629683494568,364,323019.5548351648,142.89094935210196
181,271.72380018234253,1526,293368.3569200526,30.26165459134163
182,97.9721347540617,390,319410.5704615385,117.3530245762605
183,155.038241147995,430,290016.0079999999,134.43810056032137
184,74.02419543266296,139,229513.97985611504,182.21088047164807
185,112.82311588525772,361,301110.54914127424,85.35971787101344
186,150.72724762558937,413,286661.69791767554,82.66570454359632
187,53.19850620627403,123,273049.63886178867,154.14919036772193
188,27.348909378051758,59,217740.9057627119,123.5956048480535
189,22.880023688077927,47,258063.6306382978,0.0
190,32.27821242809296,67,220139.62149253726,11.113277606110074
191,39.0112920999527,68,220526.26500000004,9.594004911534926
192,130.11579471826553,516,337960.1728294572,124.28735619922017
193,29.146384805440903,51,221160.8831372549,156.79931999655332
194,255.88208678364754,705,286473.1610780141,63.28371285986393
195,127.40322932600975,429,326244.30172494194,138.20802161743592
196,305.23514994978905,805,285563.47990062117,44.69112909269629
197,129.418913513422,425,318760.67609411763,39.83677916134105
198,197.66620890796185,690,325524.58568115934,24.336707888478816
199,181.04290834069252,513,283800.3746978557,49.819458986583506
200,166.675208568573,459,305448.24601307214,11.773594398124546
201,262.34634587168694,803,271388.77727272786,23.86374510388594
202,165.52898651361465,444,292538.91450450465,40.151946969934414
203,129.10449647903442,376,303221.3675,41.08065519941614
204,221.88569137454033,514,270965.71280155604,6.053020610883542
205,308.582942456007,1077,306536.2432311981,4.372011955069964
206,404.1188399195671,1377,307343.3588525787,20.846729702419704
207,204.03295001387596,517,277754.6494777563,46.650452967999755
208,107.37947794795036,270,283219.84429629624,43.66843719482422
209,166.25189593434334,718,346383.5159610027,29.646943462260253
210,13.013281255960464,25,242570.59439999997,332.40056396484374
211,465.69695323705673,1384,280539.2804335262,51.180868487826665
212,92.98580065369606,233,289757.44832618034,199.40193628957854
213,57.89919114112854,139,267308.32661870506,334.8664927842806
214,34.94134473800659,82,261533.3446341464,155.6466064453125
215,24.3494676053524,43,223350.39395348832,437.4903025072674
216,59.40089178085327,124,265374.8322580646,124.5254010846538
217,314.06502839922905,809,285667.4141161928,30.00634858340062
218,197.75236225128174,438,262258.0920091325,142.39412565100682
219,63.31202983856201,120,243919.00300000006,57.530752050876615
220,131.52409806847572,366,331543.5573224047,99.74175856543368
221,59.10700976848602,111,240980.48252252248,41.13310519424645
222,405.0179270654917,1428,312859.3926890758,44.693721494754826
223,294.8765797764063,803,298515.39305105875,9.112050456691946
224,187.34584414958954,510,294905.255882353,4.4268272848690255
225,145.533184081316,412,278200.12402912637,31.830613145550476
226,119.30672109127045,371,295987.10970350413,24.208989875978535
227,146.51777024567127,515,303172.38159223297,3.5436086710216927
228,94.53979244828224,229,265844.4621834063,17.234900595319324
229,180.9555662572384,516,303458.27286821697,15.627906976744185
230,182.443035826087,505,297127.777108911,12.717623327274133
231,185.55143043398857,516,295381.8132558137,10.679659998694131
232,318.2071934193373,1016,294410.3732874014,16.17362938011725
233,69.9150840640068,130,218912.59446153857,83.03388941838192
234,183.05738654732704,462,280795.7114718615,11.694476937318777
235,260.88195779919624,660,275665.54775757564,21.334958163174715
236,142.96986812353134,372,286704.52661290334,13.489036560058594
237,185.35668781399727,453,257527.32675496687,8.964238653119827
238,143.7335070669651,444,299200.1047297297,5.122123099662162
239,326.99121783673763,1282,304641.1236505463,3.616442985356133
240,139.57028675079346,364,283301.3422527474,0.07912088029987209
241,322.97957542538643,1012,275322.2865019764,14.9638731833032
242,219.02443698048592,796,310617.40547738667,9.090348919432367
243,61.0000661611557,133,268551.87112781947,70.38190366271743
244,190.6304323375225,510,279676.0498039214,4.654607795266545
245,53.39661478996277,120,272874.96,42.685752868652344
246,124.66217094659805,368,312833.04521739145,69.92433481631072
247,70.14541074633598,133,215409.0491729323,122.2771195720013
248,188.02414590120316,511,286009.39272015664,53.52671903546776
249,46.439671725034714,116,281571.2781034482,238.27796679324118
250,72.61288857460022,159,270127.4276729559,213.56415283455038
251,229.38048666715622,655,288831.74180152646,52.99543346157511
252,77.58248835802078,139,226100.38877697845,203.46950358281032
253,56.96757918596268,117,260518.70376068374,115.93845895620493
254,50.335342079401016,128,296152.85625,92.76924133300781
255,92.18615910410881,224,296120.01571428555,160.9123547417777
256,3.857766270637512,9,278062.77555555553,654.407470703125
257,204.68254747986794,506,267877.9032806325,59.463303506609954
258,119.99986481666565,366,318382.8071038252,24.18217643362577
259,236.93790245056152,665,298540.8505563914,34.89605063137255
260,162.99101589620113,505,318501.81215841597,83.79153705257
261,170.99154701828957,431,287690.7837587006,37.344357978440215
262,17.335533022880554,34,251365.46823529407,313.8507816090303
263,76.80809897184372,143,241474.92531468533,286.90868596430425
264,52.03800085186958,126,306538.17730158725,88.96646908351353
265,56.92261078953743,125,276093.58207999996,80.40886370658875
266,316.26493817567825,1233,321902.7620600166,70.65052640873151
267,64.9688248038292,149,283340.66563758405,123.79066895638536
268,70.67859557271004,135,237209.65140740745,156.730180867513
269,303.1997215747833,798,286295.8862155393,57.0587601303158
270,302.60387882590294,791,291010.6568900125,82.81157992491981
271,176.39407616853714,460,293814.29839130444,189.47621980128082
272,57.47172763943672,113,251130.07663716824,70.9511190220318
273,442.06649397313595,1381,310319.4262563355,32.38828207961379
274,308.0915283858776,956,326192.625878661,41.538378591816794
275,214.43967363238335,520,268690.15423076926,5.674261005108173
276,475.3119661062956,1522,308662.21021682007,20.427845043829016
277,74.07280704379082,162,253465.19641975308,64.33521313137479
278,121.80363675951958,231,220920.0909090907,101.20341630415483
279,0.56094029545784,3,354405.46666666673,0.0
280,5.177004665136337,13,300693.2292307692,623.2928889347957
281,48.453187733888626,101,259133.68316831684,82.11593899868502
282,47.27241441607475,93,243575.30365591397,380.6178411668347
283,66.07309406995773,125,237595.8958399999,54.248676017761234
284,231.56359793245792,705,298422.88635461003,8.834399803648603
285,54.41033521294594,130,246119.75553846158,136.24378756009617
286,60.64249315857887,137,257606.3145985401,117.48321399549498
287,14.721181005239487,28,242514.76214285707,97.91988699776786
288,57.97284072637558,131,246823.65832061064,186.1395233969652
289,170.23288315534592,449,294580.4292650337,128.84299641303338
290,10.619837254285812,23,273884.1608695652,330.61467709748644
