episode,acc_reward,length,cost,res_wasted
1,32.33500802516937,51,594292.7984313724,0.0
2,280.91027760505676,425,591677.727341176,329.448955078125
3,340.1193172931671,516,601539.5313178295,470.90272628429324
4,84.33700251579285,128,584888.7084375,0.0
5,141.09828358888626,223,582585.4651121077,334.85338370147844
6,276.89266788959503,415,586263.7871807234,0.0
7,145.45791566371918,218,579873.6113761473,4.375637789385034
8,150.22395706176758,225,579489.9468444443,0.1391015625
9,96.23921114206314,147,591863.662312925,2687.9565180564414
10,281.91739708185196,426,595127.1844131458,882.7775689783231
11,153.7111456990242,231,583659.0216450222,201.8297578885958
12,828.7168170809746,1569,586220.1453409818,93.22250010269778
13,152.0219650864601,229,586238.7427074236,349.6969303314342
14,604.8331676721573,923,594875.1944095335,2.068567278067443
15,449.17508256435394,737,602056.6930800542,334.24157284202215
16,280.76258659362793,422,589797.923791469,15.404250881683206
17,1221.8841417431831,1887,589490.2434764177,1277.7382034277498
18,76.50384938716888,116,581349.7234482756,0.0
19,747.1038464307785,1148,607541.3318466907,384.84028216106134
20,984.5716384649277,1581,589239.2790132842,1910.854430804895
21,119.63659280538559,181,588345.2976795584,20.825198010186465
22,290.2503064274788,437,590427.804576659,1256.395446079001
23,1037.825014591217,1597,587172.8979085791,148.9335423841578
24,287.33626210689545,437,604064.7930434783,0.0
25,147.23901796340942,223,592313.2260089684,249.78333340632005
26,288.0244151353836,434,592399.4405529959,460.65220199092744
27,94.05842709541321,142,581214.068450704,0.2121986066791373
28,577.0746692419052,1014,600593.2978303761,84.14483642578125
29,98.75196129083633,150,589513.3783999997,16.6721923828125
30,90.46614187955856,137,583985.4896350368,15.123594854869982
31,271.3005784749985,414,584634.4228985503,2.9817823327105977
32,276.61542642116547,414,584645.3380676326,26.164449940557066
33,451.4528205394745,677,589448.1579911383,284.562730076394
34,476.3039775490761,723,600283.2367911479,1856.2460613329877
35,76.71669071912766,118,593895.5362711865,3276.2593052750926
36,77.7563311457634,119,588812.8584873951,2951.8559129218092
37,267.799159348011,408,600765.8068627456,3460.4429411046644
38,147.8388034105301,224,593066.9339285713,0.0
39,889.928410589695,1579,600021.2550728305,14.897058082276164
40,95.02411431074142,143,577460.5418181818,0.0
41,280.98719161748886,448,594745.0193750001,242.19454274858748
42,87.61995750665665,132,576407.5645454543,451.4896212491122
43,338.8197138905525,515,583574.1685436894,63.462799605582525
44,86.8339291214943,131,578357.2589312979,0.0
45,142.73091578483582,214,580026.7293457947,31.79979327905958
46,770.3573864102364,1569,590337.3641300192,459.5429500776769
47,148.72563141584396,227,598171.8479295156,2751.178444748933
48,310.71151036024094,513,614819.9865886936,4661.302721525493
49,147.42765390872955,221,579797.0121266968,432.7202756027291
50,97.83320355415344,147,576232.4780952383,24.04453573421556
51,88.62197518348694,134,581018.5295522391,498.96948333284746
52,330.25644385814667,516,606787.4549612401,3822.1303732228835
53,963.7294642329216,2016,601663.6053571434,59.92428697858538
54,333.1149852871895,515,595537.7164271845,850.7976612276244
55,1126.097519993782,2016,586633.3608134913,17.16142545427595
56,1229.6560783982277,2016,598720.2928769839,67.13071932111468
57,910.6408014893532,1509,603047.9500596423,320.9650010095676
58,152.31147783994675,229,584263.6249781657,81.38825875494678
59,459.15901082754135,734,598924.2591280651,639.8365550028205
60,657.8110391497612,1071,628050.7799813263,1384.819484678637
61,458.64766389131546,719,607860.2352712103,2.6935344160183416
62,844.2509055137634,1517,590672.2750164802,18.273531325962015
63,272.60805743932724,412,596140.0193203887,0.6725526087492415
64,273.3889607787132,415,583833.7395662653,233.51615681475903
65,96.59513711929321,146,583080.3583561642,6.066484843214897
66,99.0742210149765,149,577686.072214765,0.0
67,93.06737238168716,141,585180.1787234042,0.0
68,491.69976967573166,793,602810.7176292561,956.6687993822903
69,77.8368798494339,118,581642.0979661017,0.0
70,96.08420425653458,145,581158.2300689655,8.12889025457974
71,759.1761837005615,1355,588413.3875129157,52.84957252868427
72,86.5947236418724,131,581705.4940458017,65.84917420831346
73,751.4433377981186,1363,592879.0540865742,223.97067052515132
74,235.35057544708252,354,589320.0776271186,0.0
75,581.2120658159256,1079,605246.9838368857,0.10333359429303754
76,586.509948194027,1381,604980.6759739306,947.0065219666456
77,187.41234058141708,287,608552.2197909406,30.650331929170296
78,151.68656235933304,229,589060.5741484722,0.38045318470251094
79,722.6599603891373,1218,615113.368768473,11.365264441579434
80,316.3613938689232,506,607636.1080632418,0.0
81,439.0543808937073,825,606380.5947151514,2.5538072620738634
82,246.7471899986267,409,603520.4336430309,3384.1988740282127
83,444.5703725218773,709,601331.6346967559,1121.068884156823
84,104.39502584934235,160,599418.05575,1404.789697265625
85,253.63993674516678,431,594785.0414849191,373.706438458436
86,197.89580541849136,307,600266.9680781761,1049.054981343521
87,954.1325116157532,1868,586683.8425481792,33.741036850073606
88,203.35237902402878,415,618635.9554698792,7031.092784320877
89,88.13143217563629,133,579232.0766917297,0.0
90,325.63016706705093,503,610699.1771769385,3807.9235657830363
91,576.785162448883,1578,594012.8489733833,2.0732461327382365
92,365.4569429755211,719,601140.1374130734,80.10056658281901
93,76.28296357393265,116,584794.7665517242,6.079909752155173
94,80.33302366733551,122,584497.6895081967,0.0
95,643.1731832027435,1861,586956.1206018265,37.71740512755659
96,168.69096213579178,405,617965.5169382718,2491.006041124132
97,335.55100560188293,940,611914.1931914892,1115.0389545846492
98,641.1764388084412,2016,596263.032123016,925.2653339930943
99,224.12552750110626,515,610260.4292038827,4335.353357289138
100,257.87016892433167,505,584973.866217822,17.654548509050123
101,122.34188598394394,212,581897.8547169813,0.0
102,96.25940585136414,231,581203.672207792,0.0
103,168.64624869823456,400,661592.0458999993,18033.393155822752
104,216.1853203177452,426,596487.9369014085,1184.3897919990648
105,35.815498769283295,79,592963.9853164556,0.0
106,93.79882395267487,216,594397.7679629629,0.0
107,66.53674530982971,151,592659.8378807944,0.0
108,111.3383679986,216,584964.1585185183,327.79176330566406
109,83.94977062940598,142,591898.2225352116,250.96913426358935
110,72.88089501857758,215,586870.4692093027,1.6720578215843023
111,90.80513614416122,140,605312.9725714287,0.0
112,101.48712009191513,201,601473.8809950249,1493.8340244577892
113,201.90663415193558,405,617542.8252839503,2260.049178059896
114,150.00366163253784,367,614526.1942234332,633.6721038402588
115,71.27882677316666,131,603509.3691603052,0.0
116,170.9122366309166,372,611328.2492473116,483.9111534856981
117,221.16827630996704,405,609409.7000493829,2092.2569444444443
118,81.4473671913147,124,587765.8270967741,0.0
119,149.7035881280899,407,596073.0231941034,2315.814162795608
120,182.7550404071808,736,629905.65875,349.0714710069739
121,57.32989126443863,136,592950.9138235293,237.91988148408777
122,60.62657618522644,412,618907.6360194174,1689.07072759832
123,135.05688792467117,417,606082.034532374,57.54688202562949
124,87.14226496219635,154,609703.5670129872,0.0
125,173.874898314476,502,598788.1513944219,175.35618415011828
126,87.01975989341736,390,625646.8312820514,4614.58962496244
127,63.02103817462921,136,593053.3723529412,539.701244578642
128,271.2347020506859,1671,586239.8620706163,157.07174359360974
129,210.9289866089821,1548,637184.8532816545,546.5285779376362
130,177.95525109767914,382,616587.3249214663,15.80125610990674
131,68.68441265821457,711,606240.6021940925,92.13274142108386
132,92.77757924795151,687,636852.9926637555,10383.53193817805
133,64.64438086748123,159,576545.1914465415,0.0
134,113.3426303267479,403,642293.8396029776,371.0983396014268
135,105.2231193780899,364,630701.4190109893,186.35359275734032
136,48.09940564632416,129,587761.5451162793,455.99242880178053
137,45.638949394226074,404,628259.9565346536,7572.77882642085
138,92.09010916948318,314,637723.0968152868,3.4408269991540603
139,104.16469615697861,404,657442.2586138609,583.8026316425588
140,148.88654255867004,511,593266.367514677,80.28704535377935
141,56.61794340610504,121,590441.3133884299,0.0
142,142.2214154601097,225,600864.3681777777,45.1323828125
143,67.90379029512405,159,627050.4888050316,69.77719634433963
144,45.917898297309875,136,586623.3979411767,1058.3980596205768
145,106.97368311882019,2016,638037.2587698422,648.0289660862514
146,129.3237243294716,2016,590528.959265873,208.71001597813196
147,221.1025748848915,706,636131.8150708213,121.98186564242873
148,83.55071568489075,161,599338.8688198756,0.0
149,144.56164175271988,519,614681.3959152215,501.6503863913475
150,137.07260066270828,416,615181.7277884615,905.0130298321063
151,41.48538500070572,80,601076.5925,0.0
152,36.205095410346985,131,606842.3914503817,0.0
153,59.30730760097504,100,602214.7164,0.0
154,83.91968107223511,139,609302.2871942448,1099.3223429069244
155,120.36265534162521,406,604715.9184236458,50.33884403623384
156,41.18896794319153,149,604695.6273825507,0.0
157,31.232939958572388,121,589585.0866115703,121.37911407218492
158,25.16643089056015,111,642971.7311711713,9847.836726008234
159,90.33803200721741,503,598853.335427436,108.30632416438867
160,120.70818424224854,1586,605349.1034804529,4400.725417994611
161,56.53072541952133,146,584583.2432876711,1230.0639715325342
162,122.43798005580902,699,594803.353247497,28.918740988800966
163,87.50748980045319,150,605419.9583999999,100.82761962890625
164,81.0394919514656,128,603418.7790625002,0.0
165,82.27343833446503,228,585787.7001754387,193.73249094109786
166,35.83952331542969,80,591240.5520000001,0.0
167,94.37289124727249,211,622143.9292890998,6406.9636351960535
168,50.5964429974556,143,591525.9932867133,74.70842950994319
169,40.511474668979645,83,590790.8959036143,0.0
170,138.9820893406868,263,604076.9244106464,0.0
171,64.77934366464615,164,614320.289756098,6115.88624312238
172,106.6285315155983,201,609198.6501492538,0.0
173,86.6110622882843,807,619766.0848574972,2181.7137355875348
174,34.51137953996658,80,591872.0130000002,0.0
175,62.89068293571472,130,598506.5283076921,955.3339599609375
176,140.61382603645325,478,551121.0330543934,312.67804874436126
177,80.50709092617035,442,566063.8767420815,689.094914639158
178,71.16221821308136,1126,656127.046998224,2221.9747131239246
179,44.07030349969864,214,511112.99364485976,1100.7083455023364
180,108.51009166240692,472,538637.4061016948,269.9549304509567
181,63.9021201133728,94,539288.4868085103,0.0
182,127.46052241325378,497,540327.8660764586,1910.9444199375944
183,122.5536150932312,583,675484.2113207553,601.5993524620095
184,89.10574901103973,217,512864.9605529951,945.2954866611464
185,92.378593146801,797,651246.0483312417,226.53049889233063
186,94.21712848544121,584,599958.4579452057,1948.7642211914062
187,142.2137541770935,471,538796.4266666671,4864.419606202727
188,162.4428858757019,408,526408.1734313731,123.0119987936581
189,72.92414498329163,387,564231.8463049091,4773.746369117915
190,59.09887510538101,414,565062.8136231882,60.59896717900815
191,141.99107906222343,712,668999.1519101128,0.4842054388496313
192,138.79035991430283,380,564420.9698947363,3.6192202919407896
193,149.3826317191124,446,562481.0815246634,1441.8366701955752
194,140.98785626888275,411,554193.3934793185,256.5898179102988
195,62.61433690786362,236,501575.0710169492,1141.4913211111295
196,80.80187314748764,282,532694.1587234042,0.7209057097739362
197,98.84170925617218,282,507211.09475177334,1923.833718157829
198,45.89229840040207,431,578639.6238515083,7963.920232573684
199,96.4054901599884,441,592796.6314739228,31.331787109375
200,63.99523946642876,809,670353.4024721881,4357.880494069404
201,139.85893952846527,423,580603.1822222226,0.0
202,131.67487877607346,396,537847.6820202018,0.0
203,135.44587033987045,376,530896.5698936171,0.0
204,159.06725883483887,426,551590.3279812206,584.6464736293739
205,159.86087077856064,459,558476.7432679744,607.468963024663
206,180.67018449306488,403,557763.7309181134,6.027306795711849
207,86.6479417681694,273,515861.6216849819,2551.2228427090486
208,85.56050825119019,278,537982.3984172666,0.0
209,102.98988080024719,275,556821.7117090909,0.0
210,89.884845495224,410,551071.4826341466,2403.874975288205
211,84.10455584526062,382,541168.3367539269,45.8876205364447
212,67.62218391895294,136,535990.3414705881,0.0
213,187.28953337669373,447,576644.0561073824,362.84517879614094
214,71.75110656023026,402,575882.9975124378,19.77929049819263
215,92.11272996664047,472,547077.0538135598,1581.4345294499801
216,130.41847670078278,437,541441.4028375288,0.2754501238022025
217,143.8667190670967,434,586097.2275576035,419.2630612421695
218,198.37616395950317,390,560764.4995897436,0.0
219,143.2048001587391,526,564787.3428897341,3421.8608145478106
220,162.35249918699265,238,538104.154285714,0.0
221,198.4499426484108,855,708154.2063625724,556.5687705592105
222,196.64034089446068,534,613067.5000749063,11.779689145891854
223,88.98992508649826,244,519783.4590163933,22.55243270123591
224,133.33267241716385,191,503892.5828272249,0.0
225,101.62878286838531,380,519984.2190526315,350.51729254471627
226,113.5631891489029,446,587414.1328251117,0.0
227,94.20786374807358,807,700082.8719702598,112.14860086547398
228,105.34963256120682,156,552443.2225641027,0.0
229,102.1605874300003,394,538629.2484263963,3135.2863955425128
230,150.38673868775368,955,658015.0934869115,3532.1226075496975
231,103.24613308906555,520,594019.0136923082,3801.865469829853
232,84.74252098798752,243,545834.8485596711,215.41455078125
233,138.75409030914307,359,551180.7123119774,5575.6776755500305
234,59.42383807897568,392,552996.5105102042,61.13685888173629
235,80.34166771173477,137,518922.76700729923,0.0
236,21.982559621334076,38,673352.8147368422,0.0
237,112.42070758342743,475,588895.6819368423,1.263756167763158
238,90.57103097438812,961,665287.311925078,10676.383960037152
239,227.3610175549984,613,631019.5061663951,685.4015113618984
240,80.78881371021271,388,544948.5330927834,771.0767872603898
241,224.72858721017838,434,528349.9561290327,14.309434178787443
242,70.80473047494888,384,517848.28583333356,5024.099158287048
243,100.00298577547073,219,523415.3143378998,0.0
244,56.80784511566162,218,517908.85761467903,4818.252572995807
245,99.5840755701065,381,538005.7058267716,0.0
246,0.8454469442367554,4,713528.3300000001,0.0
247,55.61599117517471,494,583530.3720647772,2293.116144960226
248,139.86175328493118,378,522150.8688888892,145.49001929873512
249,68.68236988782883,277,530795.918844765,0.0
250,168.13887149095535,405,548017.2986666667,32.98454047309028
251,220.01132494211197,709,685809.9642877291,0.8501264090598555
252,58.52775979042053,381,500168.0931233596,54.84691037155512
253,99.4130871295929,419,538165.7156085914,3061.7161693345392
254,150.66722750663757,441,566786.3285260773,5876.214223433514
255,110.75369930267334,373,563744.4246648796,0.0
256,108.45727717876434,385,547745.9291428567,4341.064012720678
257,54.982891499996185,207,529799.1140096617,8303.899854577106
258,146.07096129655838,404,541529.0299009907,1851.5928248037205
259,53.66798114776611,386,537860.3222797925,5040.977791741722
260,92.07958090305328,517,535457.4041005803,6724.381289572503
261,75.63776034116745,515,605174.1273009714,0.0
262,79.00126421451569,442,557352.1325791855,1814.102532986602
263,185.7718124985695,382,563128.9703664917,3.9258579433900525
264,56.87580066919327,376,522842.7826595749,3304.0593917522024
265,106.38738340139389,476,564800.7063025219,4148.852965539243
266,106.05799609422684,405,589108.0138271604,3101.970404730903
267,183.4204507470131,393,546181.7280407125,0.0
268,136.49606174230576,430,585902.8193488375,6732.730583155432
269,135.75565749406815,380,596410.3205263158,71.57613011410362
270,176.5831344127655,426,563146.8814084514,55.74552380199164
271,170.5586861371994,388,521385.17247422755,178.20513978938467
272,222.17530512809753,443,568013.7969300229,361.0419304634594
273,90.80330193042755,158,513391.8215189874,70.16090953199169
274,120.6516506075859,681,714095.6596769461,319.4946133113643
275,146.087963193655,489,670020.9541104296,5.756013647910276
276,163.83005809783936,434,554149.8456221202,479.47207824425766
277,76.9131851196289,1151,716422.8172719383,4392.57253277975
278,143.59594523906708,399,527732.7204010024,43.035281073778194
279,104.59448283910751,383,517869.9716971277,1408.0429257226053
280,150.42415750026703,417,556638.0392326136,0.0
281,89.57001638412476,381,535839.3892913384,212.6863648422121
282,119.61126905679703,421,572752.2913064134,5482.637398690339
283,69.05317509174347,216,505362.1748148147,1593.73974609375
284,183.7626081109047,435,578669.0136091954,0.0
285,60.42135900259018,178,508553.84539325826,1330.6843378302756
286,147.60899770259857,426,544873.9674178404,10.87774658203125
287,158.4448914527893,825,667442.6758787882,808.8572420987216
288,181.8662565946579,1012,743317.5778656119,2855.077424543177
289,104.15120488405228,245,547048.6543673471,0.0
290,191.0066421031952,765,594411.7710849672,28.752240349264707
291,82.86155104637146,274,522421.4570802919,0.0
292,219.63624334335327,407,609584.0651597056,0.9778128959037162
293,16.825497269630432,27,572229.2266666667,0.0
294,111.54894134402275,493,613289.4898985798,0.0
295,61.02634155750275,243,515053.6653497944,0.0
296,77.32848662137985,213,555808.044882629,11778.823092608385
297,77.83083760738373,386,555225.7451813469,0.0
298,174.74823331832886,536,596559.8126119402,608.0383198296846
299,152.34318980574608,677,613905.4936484493,2251.4916285369736
300,321.1913969516754,2016,681165.4082142856,5627.1541584559845
301,0.3377252221107483,3,562670.7866666666,0.0
302,248.848848849535,778,610013.078149101,1423.8482463611122
303,181.82741117477417,382,548836.3368586387,0.0
304,140.04376977682114,284,548619.3297183099,0.0
305,98.23695826530457,234,495067.7454700857,0.0
306,73.13314926624298,243,594914.3458436213,11197.25862178096
307,151.18239563703537,327,558182.6820795109,0.0
308,69.54311293363571,262,520870.07893129776,16.539522826216604
309,127.78156423568726,239,523969.306276151,1171.240112815442
310,179.3691909313202,399,523509.6374937339,262.8161364103618
311,67.95461541414261,302,526079.3990728478,209.619868196399
312,156.3519368171692,476,592634.3495798319,16771.86152405298
313,120.29109287261963,511,547639.5214872803,274.85335987188114
314,93.26650893688202,389,515496.1125964008,2.725626104595116
315,123.79708868265152,377,545098.2629177719,301.1280909368783
316,106.1834586262703,389,520284.9823136247,158.15575104936536
317,45.05680698156357,506,586520.4184980235,6788.621222816437
318,124.03312540054321,401,510054.48309226957,169.62098294303306
319,161.64572203159332,489,602708.9448670748,256.84878558761505
320,115.75184220075607,372,558015.171505376,638.4664483839466
321,200.81582045555115,289,520649.61813148786,1199.8804783804605
322,131.68965065479279,510,565204.6270588231,0.0
323,196.59481078386307,394,536335.4797969547,2296.461923357194
324,167.79520881175995,415,533311.5749397593,0.0
325,15.776842653751373,28,671021.7542857144,0.0
326,196.23141807317734,460,574925.7999999997,2339.4528402577275
327,195.31262302398682,390,540504.2056410259,394.69183255709135
328,99.33482211828232,281,504706.42975088925,957.3304682287032
329,99.74489122629166,187,513395.1647058825,14.539042263744987
330,75.70269453525543,420,530070.1761904765,1175.2892761230469
331,100.33743458986282,226,506905.55557522085,0.0
332,224.98016065359116,574,598700.2102439033,2733.287808620971
333,71.42529839277267,394,576552.8407106601,0.7012818622105013
334,98.6875764131546,382,555797.207225131,1685.4263161863955
335,112.86067616939545,284,525617.306197183,356.5232255962533
336,89.88742500543594,279,555665.7020788529,0.0
337,179.47059327363968,510,516581.50368627434,1784.1926772173713
338,202.14256930351257,387,541161.7594832039,229.97995775799419
339,195.86437958478928,384,551126.1632291664,65.49064636230469
340,134.20765936374664,235,524534.8811914889,0.0
341,123.53040438890457,404,542847.537029703,0.0
342,126.5666292309761,521,534242.6854510553,1439.8838549008067
343,110.75579786300659,245,507986.21061224525,27.582279874840562
344,162.62056958675385,442,583133.5761990955,6364.224413841558
345,196.67861461639404,497,525792.0717907449,108.040348782146
346,194.71557158231735,429,522400.554592075,3790.577846713833
347,92.56518256664276,483,579707.5281159421,26.42847210427989
348,130.21465414762497,239,553139.1504602511,8.045150182237187
349,139.1659051179886,411,518634.98355231143,1120.3617754191378
350,126.53308588266373,480,539343.5692500003,2551.9920181274415
351,94.0470016002655,237,516643.1417721524,0.4099893690664557
352,194.5841933786869,711,640353.4926582278,2.551376149624209
353,124.58940064907074,237,519737.41620253184,0.0
354,43.68082386255264,491,629380.0319348269,16172.915092017645
355,193.321293592453,763,633570.8088073401,32.01033581974934
356,174.04296737909317,714,631330.5322689076,1318.5236559956013
357,68.92125880718231,436,547243.6760550465,2063.342471621452
358,61.38530218601227,287,504293.16236933786,2251.925378885834
359,110.34918338060379,261,556310.0114942531,604.7373720366379
360,16.773435592651367,27,571244.7244444444,0.0
361,117.08447220921516,533,580039.7622514073,627.4845492880072
362,86.24063384532928,513,594304.4424951273,0.0
363,185.8181767463684,391,553273.0230179029,511.192074670816
364,87.05454152822495,253,539537.688379447,2416.3381188434105
365,91.811798453331,475,549132.3494736844,946.7065884560033
366,159.12685605883598,793,671507.4604791928,12603.27743918959
367,247.4007584452629,1116,589433.8319713252,6947.960490565146
368,160.50317054986954,706,600547.6411331443,1002.0292621212708
369,123.69756531715393,246,522682.4102439023,0.44145388719512196
370,93.61521869897842,212,519564.7813207549,0.0
371,93.23735296726227,414,535361.257294686,0.0
372,104.28932911157608,414,571869.3885024153,563.44140625
373,88.37894207239151,279,522439.3231541215,5.684755386844758
374,167.84412643313408,534,601688.6359550566,2388.318027453476
375,111.04793840646744,482,630183.3497925317,1486.036065445896
376,121.56292477250099,519,653298.0373025042,2143.023127737762
377,118.94095176458359,236,490377.91593220376,0.0
378,143.6062127351761,435,521370.5905287354,69.97586627828663
379,59.36246061325073,158,533222.4903797465,201.14741612687897
380,152.66350865364075,375,595577.4355200005,1.816828125
381,121.00564259290695,211,541212.3734597155,0.0
382,73.10889518260956,243,508404.674074074,1899.9170057508682
383,103.10004621744156,220,511489.7139999998,591.6068681196733
384,96.76325470209122,439,570208.4371753986,121.93774636514094
385,88.85968559980392,273,507956.56893772923,158.38150594522665
386,93.51337939500809,236,515231.7784745759,0.0
387,75.28601151704788,441,608060.2727437638,0.0
388,168.51474583148956,415,530700.2793253013,42.39710325677711
389,122.77157771587372,251,567724.8242231078,14384.463891990632
390,85.95092236995697,194,510116.1857731957,255.45967967239852
391,149.03878420591354,256,498374.71265624993,703.0492157936096
392,210.28666198253632,484,587279.6352892563,1038.306362688049
393,89.17974781990051,239,506068.0523849371,393.60271425127485
394,172.33506160974503,411,564293.7081265203,2182.8253770814326
395,152.28837168216705,473,563968.4866807611,3082.818255111985
396,120.72182655334473,380,548671.7698947373,202.04996241519325
397,153.92588990926743,219,510143.9731506847,476.3978488869863
398,101.76023036241531,520,557132.814846154,1251.463944185697
399,141.56469804048538,409,529089.2737408314,192.14304611094133
400,134.21779930591583,380,519661.39642105246,226.99302689401728
401,62.470330119132996,419,552965.5308830551,12.522253505369928
402,130.8378182053566,292,551921.6349315066,0.0
403,163.17010939121246,403,560443.8719602989,3280.83638337469
404,152.79045408964157,275,524219.1876363636,379.7069637784091
405,134.58948332071304,398,521416.0370854265,4193.431863295972
406,178.07204592227936,437,538830.730800916,872.9499958658109
407,85.52983218431473,380,515916.96705263114,2558.3930101896585
408,137.10446482896805,406,532130.215862069,195.89394795835898
409,243.20139795541763,423,545922.9475177301,2246.376438871343
410,92.10670948028564,243,511336.01267489727,54.64942762586806
411,105.56855899095535,241,537789.6843153525,657.3747021686981
412,190.55246287584305,504,538099.0523809522,175.84364754813058
413,143.67809635400772,387,609141.0985012919,0.0
414,41.69428288936615,158,491262.3331645569,0.0
415,126.86173966526985,558,599653.116200717,2362.592594269783
416,17.416911244392395,25,416294.1311999999,0.0
417,41.971951842308044,65,381484.7033846154,0.0
418,32.806379199028015,65,362795.7563076923,0.0
419,24.43036323785782,34,411390.9182352942,0.0
420,24.718552589416504,34,395951.1070588236,0.0
421,23.337249159812927,33,428942.14909090905,0.0
422,16.337357938289642,24,441191.1966666667,0.0
423,21.71252602338791,31,433651.93806451623,0.0
424,15.201960384845734,22,409961.96181818185,0.0
425,19.930020034313202,29,451429.91448275856,0.0
426,22.616467595100403,32,426133.5037500001,0.0
427,36.67392015457153,74,343175.9143243244,0.0
428,17.78070777654648,25,391895.3104,0.0
429,57.21493601799011,322,307001.32267080754,1652.3516724391013
430,27.797235012054443,97,334903.97608247417,0.0
431,17.383236587047577,30,412191.8813333334,0.0
432,19.36808955669403,28,439624.33857142867,0.0
433,13.67728716135025,20,408510.7539999999,0.0
434,17.39875566959381,25,418419.136,0.0
435,17.069931983947754,25,442627.84160000004,0.0
436,17.836397111415863,32,426997.8475000001,0.0
437,15.99835216999054,23,405772.99652173906,0.0
438,22.57012003660202,63,348444.21206349204,0.0
439,36.76886361837387,51,410321.4254901962,0.0
440,26.557438910007477,47,402565.09319148934,0.0
441,23.311550498008728,32,385686.8574999999,0.0
442,23.831938803195953,33,402294.7903030302,0.0
443,22.28178894519806,32,444791.19250000006,0.0
444,19.64823818206787,31,415228.17290322564,0.0
445,22.58732259273529,34,381814.67117647064,0.0
446,16.504744827747345,24,427629.8799999999,0.0
447,42.494878709316254,65,368181.5489230768,0.0
448,26.557460069656372,49,390978.08204081637,0.0
449,18.22452986240387,26,412690.8323076924,0.0
450,24.807157456874847,34,391723.79176470573,0.0
451,20.65370488166809,30,451538.74133333337,0.0
452,22.455859184265137,32,435263.41874999995,0.0
453,50.777220129966736,92,298459.85,0.0
454,22.656168460845947,32,422650.5612499999,0.0
455,23.354879081249237,32,382544.14749999996,0.0
456,93.72084027528763,950,392641.3321473679,3038.735677425987
457,15.635921001434326,22,372355.3427272727,0.0
458,24.31754368543625,33,376019.7036363637,0.0
459,22.586788594722748,32,427361.84375,0.0
460,15.21953535079956,22,409831.4727272727,0.0
461,33.42395144701004,53,405739.0,0.0
462,23.437426447868347,33,423232.1357575758,0.0
463,26.329599261283875,49,402703.2918367346,0.0
464,22.748060047626495,33,460250.26545454544,0.0
465,29.942270040512085,49,391159.6628571429,0.0
466,13.724117040634155,20,405874.5840000001,0.0
467,26.358121395111084,47,406637.9591489364,0.0
468,19.980641663074493,28,401040.95571428555,0.0
469,23.998884320259094,34,432798.5352941175,0.0
470,22.89783149957657,32,411046.67500000016,0.0
471,28.08591115474701,64,373117.0140625001,0.0
472,27.491709649562836,51,384835.2435294117,0.0
473,30.11022537946701,90,367056.5691111113,0.0
474,22.445217490196228,31,392863.4412903225,0.0
475,24.15717440843582,34,425910.4652941176,0.0
476,31.186905920505524,50,405894.69,0.0
477,21.590078592300415,31,439745.7561290322,0.0
478,33.447462141513824,87,330255.87080459774,0.0
479,17.20323294401169,25,431398.23040000006,0.0
480,23.683409333229065,32,366774.4224999999,0.0
481,41.61196166276932,86,325645.3302325582,0.0
482,26.685284793376923,48,390535.70166666666,0.0
483,28.376357853412628,71,386552.021690141,0.0
484,19.768126964569092,28,413151.14,0.0
485,17.195443332195282,25,430659.62400000007,0.0
486,5.189471900463104,9,413337.6577777778,0.0
487,27.317709386348724,45,401260.9146666666,0.0
488,22.59582018852234,31,383871.84645161295,0.0
489,29.274267196655273,64,391094.62468750007,0.0
490,22.132602632045746,32,453755.5474999999,0.0
491,27.167398035526276,38,427285.1005263158,0.0
492,21.73031336069107,31,432411.78322580643,0.0
493,18.557952165603638,26,389925.3646153845,0.0
494,24.250610768795013,33,379548.7975757575,0.0
495,22.59356164932251,32,427890.7675,0.0
496,16.439600884914398,24,433537.9716666667,0.0
497,23.03377413749695,33,443222.9563636362,0.0
498,15.567044496536255,22,378674.83818181825,0.0
499,13.838742196559906,20,391694.246,0.0
500,23.826515853405,33,402510.08242424234,0.0
501,22.650555431842804,33,466065.32484848483,0.0
502,31.427561402320862,50,398714.5844,0.0
503,27.128114759922028,52,399775.53269230766,0.0
504,34.774209916591644,50,393151.61440000014,0.0
505,21.889027655124664,32,466197.55125,0.0
506,24.78926193714142,34,392574.3588235295,0.0
507,22.927101850509644,33,449394.2303030303,0.0
508,5.94957172870636,10,413905.64400000003,0.0
509,27.78093272447586,47,415476.81276595744,0.0
510,36.312706887722015,99,333638.948080808,0.0
