episode,acc_reward,length,cost,res_wasted
1,1142.0362840890884,1582,467115.640998735,0.0
2,539.5972279310226,726,438882.10181818175,367.32420815712163
3,383.2765825390816,506,426299.9590909091,196.7794384862123
4,116.09355545043945,145,334035.1371034484,224.8378796807651
5,59.23372948169708,80,424154.69850000006,0.0
6,315.298293530941,419,433506.176181384,405.7686286871644
7,52.66413801908493,72,435885.36888888874,0.0
8,55.599754095077515,74,401622.7297297298,0.0
9,324.07794868946075,425,416091.12108235294,150.39947150735293
10,55.65033429861069,74,400283.23837837845,0.0
11,59.98686182498932,80,407400.3790000001,0.0
12,54.47057557106018,73,410238.43232876714,0.0
13,321.725925385952,419,406404.7667303102,225.8538133716811
14,57.85235929489136,77,403192.073766234,0.0
15,141.3470437526703,180,365460.3666666666,379.1501098632813
16,72.75134271383286,95,385024.3829473684,0.0
17,59.55772924423218,79,399714.8640506329,0.0
18,65.28514236211777,87,409494.9588505748,0.0
19,71.0862900018692,93,386924.1070967744,0.0
20,54.549203991889954,74,426846.6210810812,0.0
21,95.0565333366394,123,380080.95252032526,0.0
22,66.79908895492554,90,425280.49066666665,0.0
23,34.786630153656006,49,454174.49959183665,0.0
24,70.37832200527191,94,415184.8640425532,0.0
25,55.03983098268509,74,415056.297837838,0.0
26,55.62031805515289,74,401074.32027027017,0.0
27,55.47592180967331,74,404517.29270270246,0.0
28,53.85179251432419,72,406465.4783333333,0.0
29,133.03548085689545,172,385750.9100000002,295.79039888603745
30,60.62952923774719,81,410254.3844444445,0.0
31,54.49469542503357,74,428145.66378378397,0.0
32,53.63497132062912,73,430554.87452054786,0.0
33,256.3189980983734,330,388715.15654545464,110.21464732776988
34,76.89336830377579,101,394999.7990099012,0.0
35,80.25948995351791,106,403839.8684905658,0.0
36,54.03609102964401,72,401869.4005555556,0.0
37,60.17884796857834,80,401618.1692499999,1141.5718872070313
38,59.011370837688446,80,429113.721,0.0
39,448.6607828736305,625,427816.44687999965,196.4103556640625
40,53.85090458393097,72,406473.3927777776,0.0
41,55.64569669961929,75,418909.79466666665,0.0
42,59.939082860946655,80,408412.563,0.0
43,60.43213212490082,80,397520.73050000006,0.0
44,57.19451653957367,78,435938.17076923087,0.0
45,60.6374209523201,80,392870.12049999996,0.0
46,55.95674353837967,75,411514.23679999984,0.0
47,60.68606251478195,80,391865.65299999993,6.474407958984375
48,107.52364444732666,137,361147.8042335766,0.0
49,57.13854193687439,77,419825.9654545455,0.0
50,132.5751206278801,170,374272.8298823528,200.4837308995864
51,52.557209730148315,72,438515.1827777778,0.0
52,72.37344151735306,97,420777.8303092784,0.0
53,61.24880653619766,82,413482.01975609764,0.0
54,68.34562134742737,91,409909.9446153846,0.0
55,59.98858630657196,81,424424.0671604938,0.0
56,55.73464244604111,74,398352.6145945946,0.0
57,47.20616126060486,65,440496.34215384617,0.0
58,62.6812185049057,83,399203.82072289154,0.0
59,127.64549481868744,163,367558.50650306745,252.83645723495016
60,53.75213140249252,72,408943.69111111114,0.0
61,482.2910612821579,990,482167.80519192,312.7526489257813
62,87.49768036603928,113,375137.0472566372,0.0
63,53.8794322013855,72,405798.8986111113,0.0
64,126.06649422645569,161,367498.60844720504,266.86599636670223
65,60.148461639881134,80,403811.65949999995,0.0
66,81.86483830213547,107,390051.90448598133,0.0
67,59.866868019104004,81,426989.72543209884,0.0
68,127.22132098674774,160,345741.490625,283.64955825805663
69,126.75025749206543,162,367754.9670370369,957.797376844618
70,280.7276456952095,423,435146.0806619387,178.3822956491024
71,54.63815599679947,75,442802.0538666666,0.0
72,68.04237771034241,90,400622.61666666664,0.0
73,58.26582372188568,77,393616.9285714284,0.0
74,434.9242619872093,694,457384.0025360234,389.35259077528366
75,179.6411120891571,228,347871.89912280714,146.4352449115954
76,54.2569020986557,75,451969.4949333332,0.0
77,113.82150518894196,146,371225.86506849335,501.1356987104024
78,61.588764667510986,83,422763.07566265063,0.0
79,55.49882298707962,74,404062.1683783784,0.0
80,61.02045303583145,83,434980.1819277106,0.0
81,86.34053325653076,113,393387.8185840707,0.0
82,69.21482932567596,93,422740.4982795699,0.0
83,54.489044070243835,74,428358.3356756756,6.373421333931588
84,59.634300112724304,80,415250.77400000003,0.0
85,82.66245049238205,106,363459.7113207549,0.0
86,718.7303786277771,1314,503481.82599695516,369.06123163928726
87,70.83053249120712,93,391863.7483870968,6.954392956149194
88,55.39870822429657,75,424758.47520000004,0.0
89,301.13358557224274,400,433107.1233999998,20.906001892089844
90,55.69540762901306,75,417704.2133333334,0.0
91,64.53868758678436,88,440229.8890909089,0.0
92,39.28297859430313,55,453310.954181818,0.0
93,47.61305034160614,64,408263.38812499994,0.0
94,57.71481281518936,77,406402.71688311687,0.0
95,154.27199321985245,196,362849.57561224495,869.0351070481904
96,57.46694666147232,77,412132.13818181824,0.0
97,56.58008289337158,77,432651.31220779236,0.0
98,53.749972343444824,73,427830.76219178084,0.0
99,81.63624733686447,107,393860.99420560733,0.0
100,251.02197736501694,326,400239.14269938663,346.2796499802291
101,46.457864582538605,63,418833.84126984124,275.87119838169644
102,69.22804701328278,93,422496.4759139785,0.0
103,84.57581120729446,108,358195.0116666666,0.0
104,95.73279297351837,124,381477.8149999998,100.40810172788558
105,111.50227636098862,141,351138.76439716294,51.19760586353058
106,58.98581773042679,79,412597.6177215188,0.0
107,80.99074810743332,104,364753.6221153845,0.0
108,88.50787734985352,113,359114.502654867,0.0
109,107.61080062389374,138,369665.5084057969,502.3759659476902
110,114.56582880020142,146,361619.042191781,915.2362612371576
111,294.0346690416336,414,432770.4989371982,311.9191841457201
112,141.35086810588837,180,365725.80422222236,146.72389526367186
113,451.56166595220566,708,462385.2710169488,337.0063073109772
114,48.017323076725006,65,418321.0658461538,0.0
115,68.40417712926865,90,393526.58533333323,0.0
116,285.847208738327,411,421768.62783454993,172.2000598768248
117,132.38351184129715,170,376209.89894117654,285.3495289522059
118,57.97187876701355,79,435452.88405063294,0.0
119,85.1757144331932,110,374345.19800000015,0.0
120,476.21582674980164,733,461470.1490859479,222.04451136569534
121,72.95291894674301,95,381319.5372631579,0.0
122,105.43476587533951,133,345909.8882706768,365.8564480659657
123,238.9647827744484,315,416578.0246349208,98.73619210379464
124,52.7846314907074,72,432877.3261111111,0.0
125,83.09403365850449,108,382627.55499999976,0.0
126,356.8672389984131,498,432247.09891566256,235.24904623376318
127,324.1001389026642,426,416141.8545539908,170.87392027948943
128,103.608638048172,129,322853.0427906977,3027.9395695176236
129,296.85789853334427,386,403635.722642487,172.92822297249432
130,216.1037402153015,280,395930.6376428573,63.5039311000279
131,67.03330022096634,88,389712.21318181814,0.0
132,65.85868042707443,88,413488.49249999993,0.0
133,124.82505041360855,164,362434.2604878049,551.242302871332
134,45.753859519958496,63,439000.42857142864,0.0
