episode,acc_reward,length,cost,res_wasted
1,823.4406234025955,1149,476977.30541340273,0.0
2,136.43043506145477,171,342590.60210526315,0.0
3,79.60046154260635,102,361308.2876470588,0.0
4,60.96136236190796,80,385759.489,0.0
5,59.05511254072189,80,428134.825,0.0
6,885.9597198963165,1245,464135.45644979976,0.0
7,74.3027651309967,99,413604.0951515153,0.0
8,579.4083419442177,797,450936.5110915934,0.0
9,57.39300179481506,77,413874.18805194786,0.0
10,528.8954972624779,729,434851.99942386796,0.0
11,57.53122121095657,77,410665.0774025975,0.0
12,47.852461993694305,65,422816.57876923075,0.0
13,58.240000903606415,79,429388.16860759514,0.0
14,60.20196175575256,80,402569.18050000025,0.0
15,1322.9332166314125,1942,481913.30100926914,0.0
16,72.92595714330673,95,381747.1861052631,0.0
17,60.195591390132904,80,402789.589,0.0
18,385.4177625775337,503,410921.4745129224,0.0
19,70.89777398109436,93,390538.2161290324,0.0
20,72.03260135650635,95,398532.01705263153,0.0
21,78.60930567979813,104,405680.7551923075,0.0
22,118.68462604284286,153,379870.3286274509,0.0
23,34.893146336078644,49,450299.22775510204,0.0
24,308.9733722805977,403,408479.7990074441,0.0
25,57.67904770374298,77,407242.4228571428,0.0
26,86.21296912431717,111,370360.4790990991,0.0
27,50.52290993928909,68,412756.0729411765,0.0
28,70.64402151107788,92,380287.808478261,0.0
29,80.45977002382278,106,400478.52358490543,0.0
30,129.0244346857071,162,344077.527037037,0.0
31,752.3418505191803,1028,448713.92274319107,0.0
32,55.1979461312294,75,429462.09920000006,0.0
33,1262.096176803112,2016,468873.46353174583,0.0
34,67.73714929819107,90,406726.07977777795,0.0
35,128.38170140981674,165,377181.018666667,0.0
36,62.47263723611832,82,386856.21219512174,0.0
37,47.33848810195923,64,416019.729375,0.0
38,68.49235111474991,92,421979.48173913034,0.0
39,217.55643862485886,280,386755.7798571428,0.0
40,1376.6936593651772,2016,500049.5941468257,0.0
41,103.75115597248077,133,368994.87984962395,0.0
42,301.3146041035652,395,415133.87255696167,0.0
43,65.84150475263596,87,398146.9774712644,0.0
44,127.11175262928009,163,373804.7484662574,0.0
45,140.1864572763443,178,361666.4342696627,0.0
46,61.79761689901352,82,401595.1439024389,0.0
47,662.7527018785477,914,433028.5342231951,0.0
48,59.767217338085175,80,412249.8895,0.0
49,49.86525374650955,68,430110.69705882354,0.0
50,171.32096594572067,218,367820.69311926607,0.0
51,69.47851157188416,93,417710.15225806454,0.0
52,74.20079094171524,99,415391.33393939404,0.0
53,61.44364023208618,82,409246.25439024396,0.0
54,62.19324171543121,83,409715.6554216869,0.0
55,60.64056098461151,82,426817.5058536584,0.0
56,662.8263027071953,1020,470128.21719607885,0.0
57,67.13095790147781,90,418688.40533333336,0.0
58,55.66910010576248,74,399857.63513513515,0.0
59,125.92738622426987,163,369444.09104294487,0.0
60,103.02212589979172,131,357319.78717557265,0.0
61,1063.5913540124893,1799,476034.2423012773,0.0
62,87.46390706300735,113,375671.5849557523,0.0
63,82.9295546412468,107,372268.0534579441,0.0
64,62.73168361186981,85,430775.31435294135,0.0
65,72.67097651958466,95,386580.4938947369,0.0
66,136.6681443452835,173,356864.2657803468,0.0
67,71.42720520496368,95,409872.21978947346,0.0
68,337.0001534819603,436,397977.3661467892,0.0
69,55.2574707865715,75,428181.4389333334,0.0
70,62.83294069766998,85,428673.116235294,0.0
71,86.82091796398163,114,398010.00614035106,0.0
72,60.84131306409836,81,405529.52814814827,0.0
73,731.9031001329422,1040,449838.4062115382,0.0
74,136.16845548152924,171,345340.12736842094,0.0
75,79.07989782094955,102,370517.03490196075,0.0
76,54.48004001379013,75,446665.3754666666,0.0
77,96.19691467285156,125,386188.3366399999,0.0
78,63.089616894721985,84,407099.63738095254,0.0
79,55.56717097759247,74,402415.544054054,0.0
80,102.60117769241333,132,373864.35303030297,0.0
81,54.800761103630066,75,439004.256,0.0
82,323.3982582092285,420,402847.243428572,0.0
83,138.39785313606262,176,363626.2492045453,0.0
84,37.073823153972626,51,426292.0274509804,0.0
85,57.772515177726746,77,405092.645974026,0.0
86,697.11951649189,971,448363.8746035012,0.0
87,550.0175656676292,742,450389.42369272205,0.0
88,500.5864287018776,690,437748.1728985511,0.0
89,132.3080261349678,169,369097.697633136,0.0
90,61.58434081077576,82,406208.7258536586,0.0
91,708.760934650898,1003,458545.0354336991,0.0
92,231.6511287689209,305,397781.8340327866,0.0
