episode,acc_reward,length,cost,res_wasted
1,693.2406933307648,955,480422.5969842937,0.0
2,62.37852418422699,83,405745.36602409644,0.0
3,923.5901596546173,1276,465783.17111285304,253.53013806955943
4,61.06068879365921,80,383545.64674999996,0.0
5,58.306843757629395,79,427872.26025316457,0.0
6,112.06242895126343,146,392586.39260273974,598.2374568573416
7,164.37704211473465,210,372016.903904762,611.0491071428571
8,56.24848049879074,75,404618.8341333334,0.0
9,323.88144129514694,423,410468.1879905435,138.4671578914561
10,70.5867845416069,92,381357.5789130433,0.0
11,906.0458889007568,1289,462092.9680062063,200.57089538810973
12,116.38153856992722,146,339675.56739726005,726.5060433165668
13,58.94185221195221,80,430666.47250000003,0.0
14,74.52090907096863,97,381330.8301030928,0.0
15,541.5999742150307,729,444980.812510288,331.76046338493444
16,72.68383175134659,95,386291.22947368416,0.0
17,66.54255259037018,88,399675.83295454533,0.0
18,65.15759664773941,87,412108.67609195405,0.0
19,71.03757071495056,93,387858.0223655914,0.0
20,53.193980515003204,72,422735.44555555563,0.0
21,81.05714321136475,107,403519.1173831775,0.0
22,37.33099323511124,53,468789.81660377374,0.0
23,141.58452636003494,178,347476.5970786516,117.60921658290906
24,70.60206580162048,94,410940.9963829787,0.0
25,71.6864464879036,94,390386.44829787227,0.0
26,55.65751767158508,74,400178.1656756757,0.0
27,249.72820842266083,323,394698.9874922601,228.70632452713815
28,53.03003078699112,71,407714.86985915503,0.0
29,535.5877749323845,727,446826.19741403067,325.7074476659216
30,46.1162074804306,63,428782.980952381,0.0
31,62.78375256061554,84,413494.1669047619,0.0
32,60.81323689222336,82,422912.1278048783,0.0
33,53.96360236406326,72,403689.61611111107,0.0
34,55.366154849529266,75,425546.28800000023,0.0
35,101.78486216068268,132,384768.07454545447,42.31847867098722
36,61.45783269405365,81,391956.5950617285,0.0
37,315.9902415275574,412,394461.8870873787,441.2212785146769
38,106.52751171588898,138,383463.1769565216,634.5433959960938
39,78.93651127815247,103,386599.49611650495,0.0
40,330.7434329390526,438,429179.71561643813,407.4537111047196
41,84.59101229906082,110,383823.7587272726,0.0
42,46.92651438713074,64,427294.0462499999,0.0
43,60.12751346826553,80,404309.897,0.0
44,127.14736461639404,163,373194.63398773,154.81891805262654
45,130.63986212015152,167,369392.8231137725,386.44512464329154
46,55.954777896404266,75,411561.2080000001,0.0
47,30.53831595182419,43,444885.48093023256,0.0
48,61.38114482164383,82,410590.428780488,0.0
49,91.55967032909393,118,373455.68542372884,0.0
50,491.9811504483223,706,461444.99317280465,177.02840987683695
51,69.4857679605484,93,417570.76537634426,0.0
52,54.013441264629364,74,439728.9248648647,0.0
53,60.577679216861725,81,411347.1530864198,0.0
54,62.008486807346344,83,413684.2154216867,0.0
55,59.92819029092789,81,425753.5999999999,0.0
56,55.72810000181198,74,398510.2691891892,0.0
57,279.60777336359024,445,440691.29546067404,426.6016096822331
58,70.31656295061111,92,386615.6882608696,0.0
59,126.55017024278641,163,379552.4424539875,253.36752150833973
60,61.096257746219635,81,399958.75209876534,0.0
61,52.32092344760895,72,444334.95444444445,0.0
62,81.68079739809036,106,379979.9175471698,0.0
63,105.32754737138748,134,358397.192835821,123.20933327746036
64,105.755375623703,136,373941.5877941176,3.714816822725184
65,130.43448692560196,166,363315.40831325314,214.68835816900415
66,72.67004555463791,96,401179.5847916666,0.0
67,132.02592808008194,174,370561.3245977014,254.3679514917834
68,58.30355942249298,77,392781.3846753246,0.0
69,63.28653073310852,85,419155.44988235313,0.0
70,92.7882165312767,121,390305.9885950412,0.0
71,59.74458187818527,81,429672.9471604938,0.0
72,54.135126769542694,73,418365.9742465752,0.0
73,82.15742033720016,105,358468.10876190464,0.0
74,53.34747326374054,72,418951.7861111111,0.0
75,62.04504990577698,82,396338.2214634146,0.0
76,61.19238609075546,83,431280.5161445783,0.0
77,54.49015724658966,74,428256.01081081067,0.0
78,53.63897085189819,73,430587.9709589041,0.0
79,92.15354371070862,118,364494.1155932202,0.0
80,102.47822880744934,132,375526.5653030305,0.0
81,124.86417633295059,160,371989.4646249998,324.21570281982423
82,69.67036920785904,93,414008.09569892497,0.0
83,61.68208420276642,83,420734.9267469881,5.457306275884789
84,56.014094829559326,75,410134.0693333333,0.0
85,82.57380646467209,106,364952.05358490563,0.0
86,387.4827359318733,725,460529.6092965513,303.1204015692349
87,60.16688710451126,80,403434.23025,8.610932922363281
88,67.9756566286087,90,401985.3662222222,0.0
89,55.22731810808182,75,428927.8901333332,0.0
90,59.731884241104126,80,413073.80249999993,0.0
91,79.11912131309509,105,410086.77695238095,0.0
92,127.6990407705307,162,358151.427037037,367.6537814670139
93,32.18362772464752,45,439160.4791111111,0.0
94,60.47167670726776,80,396584.2087499999,0.0
95,78.15589791536331,102,386524.40137254907,0.0
96,64.99405694007874,86,399544.29697674426,0.0
97,1162.063368320465,2016,488138.7982539682,423.63309696742465
98,61.30571377277374,82,412279.72975609754,0.0
99,140.1761400103569,179,368414.3064804469,920.613653598551
100,59.03414922952652,79,411486.42734177207,0.0
101,59.76171839237213,79,394863.8179746834,219.2952031002769
