Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,424.38242876529694,583,482598.2587993142,0.0
2,60.41614991426468,80,419932.16775,0.0
3,589.3136410117149,801,469313.68866417004,0.0
4,57.621490359306335,75,395523.99146666663,0.0
5,144.03127324581146,179,340857.1026815643,0.0
6,391.5493823289871,524,447945.3272137403,0.0
7,125.37633812427521,161,386192.52658385097,0.0
8,1445.5638758540154,2016,466979.8224603175,0.0
9,55.45290124416351,73,410495.3950684932,0.0
10,76.64019173383713,97,360573.7488659794,0.0
11,78.9990838766098,103,402584.7712621359,0.0
12,500.8031617999077,690,451638.61031884066,0.0
13,88.35424602031708,113,377125.66619469016,0.0
14,74.04119026660919,95,379407.3202105264,0.0
15,73.2036880850792,95,395133.98442105274,0.0
16,353.81881058216095,456,396464.9272807016,0.0
17,340.20900189876556,454,443770.02638766536,0.0
18,57.69280380010605,77,429919.9797402596,0.0
19,1463.8200242519379,2016,462393.59227182454,0.0
20,56.4908766746521,74,404029.30162162165,0.0
21,243.7540333867073,317,407644.96372239786,0.0
22,87.53646051883698,111,364952.81333333335,0.0
23,395.514148414135,524,434466.4022519085,0.0
24,60.45531910657883,80,419061.1745,0.0
25,741.6344303488731,991,447091.45057517645,0.0
26,54.035351276397705,72,426508.2244444446,0.0
27,138.34756875038147,173,349414.12138728326,0.0
28,74.49099469184875,98,414190.53632653074,0.0
29,66.44238859415054,88,421753.0836363636,0.0
30,61.47469484806061,80,396381.108,0.0
31,43.052211225032806,58,436835.77517241344,0.0
32,71.57537853717804,94,411225.6312765957,0.0
33,73.4000928401947,95,391464.53831578954,0.0
34,56.670184791088104,74,399703.1508108108,0.0
35,617.025886297226,823,444401.40522478754,0.0
36,85.08711189031601,108,366010.71203703695,0.0
37,60.85633134841919,80,410130.7739999998,0.0
38,55.77644693851471,74,421237.17351351335,0.0
39,54.68855494260788,73,429125.2789041096,0.0
40,554.5785874128342,777,446747.4035263834,0.0
41,79.6644184589386,103,391077.8442718444,0.0
42,252.26198983192444,327,403281.2859938836,0.0
43,379.8526536822319,517,470188.01524177927,0.0
44,110.40349018573761,150,461666.45706666686,0.0
45,338.3331594467163,461,471331.626724512,0.0
46,246.37057888507843,337,475347.75157270004,0.0
