Iteration,Reward,Accumulated Reward
0,0.32048202,0.32048202
1,0.33193603,0.652418
2,0.3305981,0.98301613
3,0.3426188,1.325635
4,0.337512,1.663147
5,0.36256084,2.0257077
6,0.36694446,2.3926523
7,0.3737216,2.7663739
8,0.34789008,3.114264
9,0.35387793,3.468142
10,0.39039788,3.8585398
11,0.38350964,4.242049
12,0.3876331,4.6296825
13,0.35822105,4.9879036
14,0.38298488,5.3708887
15,0.39212376,5.7630124
16,0.3920185,6.1550307
17,0.3973598,6.5523906
18,0.34446505,6.896856
19,0.4016077,7.2984633
20,0.40934932,7.707813
21,0.39856872,8.106381
22,0.40809655,8.514478
23,0.40274322,8.917221
24,0.39408627,9.311307
25,0.41846746,9.729774
26,0.41241205,10.142186
27,0.36423236,10.506418
28,0.42353198,10.92995
29,0.42583737,11.355787
30,0.4196666,11.775454
31,0.4212581,12.196712
32,0.3740162,12.570727
33,0.3764716,12.947199
34,0.4131426,13.360341
35,0.42908016,13.789421
36,0.42659286,14.216014
37,0.42925274,14.645267
38,0.4367285,15.081995
39,0.44041798,15.522413
40,0.43796986,15.960383
41,0.4427635,16.403147
42,0.40059298,16.80374
43,0.4371133,17.240852
44,0.4284543,17.669306
45,0.43542495,18.10473
46,0.45020425,18.554935
47,0.4574255,19.012362
48,0.44788256,19.460243
49,0.45111036,19.911354
50,0.4411502,20.352505
51,0.437354,20.789858
52,0.43669102,21.22655
53,0.4483866,21.674936
54,0.44351134,22.118448
55,0.4446823,22.563131
56,0.44381332,23.006945
57,0.0,23.006945
58,0.44010258,23.447048
59,0.0,23.447048
60,0.0,23.447048
61,0.0,23.447048
62,0.45693675,23.903984
63,0.4447735,24.348757
64,0.45137423,24.80013
65,0.4210265,25.221157
66,0.458499,25.679657
67,0.4567206,26.136377
68,0.46027473,26.596653
69,0.46480313,27.061457
70,0.46150896,27.522966
71,0.4630117,27.985977
72,0.45991585,28.445892
73,0.46222392,28.908115
74,0.47053388,29.378649
75,0.4586581,29.837307
76,0.44955122,30.286858
77,0.4508225,30.73768
78,0.39970785,31.137388
79,0.41310582,31.550493
80,0.45672867,32.00722
81,0.43073124,32.437954
82,0.45315206,32.891106
83,0.45076078,33.341866
84,0.45575973,33.797626
85,0.44620824,34.243835
86,0.44474044,34.688576
87,0.44156992,35.130146
88,0.41468555,35.54483
89,0.44185555,35.986687
90,0.440187,36.426872
91,0.39134005,36.81821
92,0.42563692,37.243847
93,0.4242981,37.668144
94,0.43026054,38.098404
95,0.4388627,38.537266
96,0.4308245,38.96809
97,0.4322059,39.400295
98,0.4306134,39.83091
99,0.440259,40.271168
100,0.43211612,40.703285
101,0.44045237,41.143738
102,0.441744,41.585484
103,0.38155335,41.967037
104,0.0,41.967037
105,0.0,41.967037
106,0.0,41.967037
107,0.0,41.967037
108,0.0,41.967037
109,0.0,41.967037
110,0.0,41.967037
111,0.0,41.967037
112,0.0,41.967037
113,0.0,41.967037
114,0.0,41.967037
115,0.33055726,42.297596
116,0.3197623,42.61736
117,0.2832221,42.90058
118,0.32096896,43.22155
119,0.28161225,43.503162
120,0.30653858,43.8097
121,0.0,43.8097
122,0.0,43.8097
123,0.0,43.8097
124,0.0,43.8097
125,0.0,43.8097
126,0.0,43.8097
127,0.0,43.8097
128,0.0,43.8097
129,0.0,43.8097
130,0.0,43.8097
131,0.0,43.8097
132,0.0,43.8097
133,0.0,43.8097
134,0.2967306,44.10643
135,0.29878348,44.405212
136,0.27382165,44.679035
137,0.2894834,44.968517
138,0.2747871,45.243305
139,0.2843005,45.527607
140,0.0,45.527607
141,0.0,45.527607
142,0.0,45.527607
143,0.0,45.527607
144,0.0,45.527607
145,0.0,45.527607
