Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,13.04460522532463,32,302153.0356250001,2534.2934617996216
2,4.496906101703644,11,287883.6563636364,2760.6310480291195
3,0.4212512671947479,2,314798.69,1134.7970581054688
4,60.69012528657913,136,279650.0239705883,783.1758958592135
5,62.58666521310806,150,295943.4171999999,1011.5031221008301
6,147.7489993572235,404,328083.2927722769,413.14361062380345
7,57.71251678466797,132,293654.77030303015,781.901706348766
8,4.538609802722931,14,337140.03142857144,2178.2791900634766
9,144.96439012885094,400,332145.73454999964,435.8881255531311
10,19.799768030643463,49,308292.2567346939,564.2681990642936
11,20.608314990997314,48,294450.43166666676,1949.788049697876
12,2.1978494226932526,7,332176.71142857143,3101.9664393833705
13,12.483682334423065,36,325163.5855555556,590.9539260864258
14,11.636837273836136,29,306885.31517241383,646.2654197955953
15,0.6783075630664825,3,347048.48666666663,3197.1851806640625
16,48.53347063064575,121,294737.1995041322,138.9792698946866
17,160.31272235512733,380,286369.9630526315,223.36911301863822
18,3.025295466184616,9,324698.0622222222,3537.4566650390625
19,188.33311864733696,430,290524.9689302326,731.8391475943632
20,41.365736216306686,97,299039.3531958763,942.3257125382571
21,0.5817468464374542,3,345013.34,0.0
22,1.2523637413978577,4,311377.93,1591.3927001953125
23,57.26593521237373,153,312028.5193464051,467.81705474853516
24,16.855245620012283,39,292498.54153846146,1975.7682213416467
25,161.17392554879189,414,302872.42314009654,430.54500082264775
26,70.79781356453896,151,277159.0728476823,981.2597888037069
27,88.53111052513123,219,278304.0170776257,617.24044026414
28,30.311992585659027,64,271489.50531249994,1395.6324906349182
29,0.49305257201194763,2,277548.05,0.0
30,1.055954247713089,4,325275.89999999997,6694.009002685547
31,45.07699167728424,122,321037.99934426235,1144.1159081380874
32,44.8180225789547,101,289132.12574257416,1016.630296461653
33,1.7406597137451172,5,309878.944,2126.37744140625
34,131.68012078106403,380,340111.04452631576,318.4588394165039
35,12.371802181005478,32,315320.26812500006,1904.2733516693115
36,58.34124135971069,135,271342.31200000003,941.8505340576172
37,67.1801186800003,154,289519.26610389614,969.4045381669874
38,63.91799148917198,138,274004.7247826088,714.7433216260827
39,56.77479702234268,130,291865.46676923067,405.45823472829966
40,120.91555246710777,244,255190.24426229496,539.0451617319076
