Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,152.96633444726467,450,316444.6944888891,663.5280332183838
2,0.0,1,291195.54000000004,0.0
3,0.0,1,326814.92,0.0
4,69.5303053855896,141,264248.9961702129,999.0105460958277
5,138.76105239987373,371,325060.50269541796,735.0480480348325
6,58.8514883518219,147,313224.9431292519,395.93311372095224
7,2.4638486206531525,8,340711.9625,537.3240051269531
8,5.314211398363113,16,334852.08875,2658.0068378448486
9,0.7769455909729004,3,327218.04,2990.0269775390625
10,53.83277302980423,132,308815.044090909,919.3098267641934
11,8.295804560184479,21,306778.7895238095,2577.0925728934153
12,1.111665815114975,4,331570.76499999996,2119.416778564453
13,37.015557795763016,84,290633.66095238103,886.8539297921317
14,25.037982612848282,57,290326.8771929825,836.9902086759869
15,12.595335572957993,31,304426.9780645161,3795.171658423639
16,159.108178794384,421,311994.00688836107,383.2772861399163
17,145.12350842356682,380,320777.4464210526,261.9209029348273
18,6.909711062908173,17,299049.9435294117,1582.8770033892463
19,67.52717372775078,160,298558.48125000007,527.4634541988373
20,14.830559849739075,38,315527.8931578947,1174.8566509046052
21,0.5587502419948578,3,349035.72666666674,0.0
22,0.0,1,331010.3,0.0
23,44.740565061569214,114,316736.627368421,429.9929544549239
24,35.265846371650696,81,293420.50246913574,1525.0416971842449
25,46.73340979218483,124,318252.01870967745,433.33884965219806
26,71.56723338365555,159,286993.5065408804,1139.4030152806695
27,98.71714571118355,240,291526.09441666625,515.2230474472046
28,51.79101446270943,113,274053.9357522123,1633.9810978712235
29,0.49193286895751953,2,277841.83,0.0
30,0.0,1,291703.22,0.0
31,47.343446016311646,126,325594.17698412697,913.254132952009
32,15.567907631397247,38,303280.91631578945,589.612270154451
33,0.44554203748703003,2,329517.17,0.0
34,178.45188996195793,515,328487.70524271793,388.73277180495774
35,3.615819662809372,11,334800.80363636365,1576.7497725053267
36,199.46151703596115,512,293143.70671875,534.8022343553603
37,51.39589670300484,122,301873.8757377048,892.9415503955278
38,100.54125201702118,223,287037.3659192826,907.4778670238272
39,52.534989297389984,142,309987.35591549304,533.3786570589307
40,79.83514034748077,164,262475.40914634144,747.6717235286061
41,55.811222314834595,130,279874.8776923075,516.4146775465745
42,2.0844330191612244,6,310733.91,3624.3858032226562
43,58.762956619262695,122,260921.55885245916,620.3298216022429
44,2.9083912670612335,8,303093.005,2288.2555618286133
45,0.4524688422679901,2,294516.76,0.0
46,2.3043763637542725,7,322460.4485714286,3254.0257742745534
47,0.0,1,311932.78,0.0
48,26.194464802742004,63,302145.73968253966,1494.5472848074776
49,2.62344166636467,7,303177.8771428572,1933.2727922712054
50,51.88242644071579,140,328718.53142857127,406.39410275050574
51,50.888204634189606,114,263852.3659649122,1559.250022285863
52,81.37866640090942,234,324483.7747008546,452.6378044715294
53,2.901141494512558,7,282426.0057142857,1165.6310511997767
54,57.6612386405468,138,303697.1430434782,559.6125212959621
55,203.8487772643566,521,300016.9006525908,646.1332303997193
56,86.92756831645966,195,288496.75097435905,938.8741924579327
57,55.00422900915146,133,305972.9013533833,852.9500441013422
58,55.87201797962189,119,276671.6210084034,642.4517519654346
59,165.54448795318604,424,307349.3238207545,488.82092213630676
60,29.078611224889755,64,283035.16656249994,922.2815780639648
61,42.04320850968361,116,308971.2732758622,125.75698076445481
62,4.66634601354599,13,320104.88769230765,2973.432635967548
63,62.47605511546135,146,291103.07369863015,1177.1009703858258
64,0.48545393347740173,2,296972.97,1362.1717529296875
65,43.84543630480766,94,268685.9608510639,1640.9342992255029
66,15.348826348781586,42,328235.2228571429,656.1841343470982
67,56.83649265766144,138,306938.9591304349,620.7653558150581
68,60.47243222594261,133,284103.71052631584,983.7384868421053
69,3.5839665830135345,10,316226.43000000005,1991.8980834960937
70,24.043299943208694,55,290827.82981818175,1078.3739784934303
71,24.58807134628296,62,289083.75612903223,1150.1204164566532
72,50.707256853580475,114,289562.4736842105,450.80032298439426
73,50.7879883646965,123,295648.5294308943,347.4077799727277
74,0.0,1,335662.92,0.0
75,16.768542528152466,41,304374.0609756097,945.6832692216083
76,36.92148542404175,78,266300.22923076915,1454.5027031531702
77,9.376981884241104,23,302566.97391304356,272.5799361519192
78,170.62511417269707,422,300771.12611374405,269.7257844961085
79,72.14316189289093,155,278437.8682580645,1342.7872013707315
80,0.0,1,330137.76,0.0
81,102.90982982516289,274,323482.4454744526,611.571543227147
82,41.751390159130096,90,279018.8522222223,649.6115631103515
83,185.16649124026299,423,289239.212529551,585.3020762991398
84,146.68311288952827,430,339871.2948837208,393.3774028334507
85,141.88564485311508,372,309686.52935483877,228.753466913777
86,22.65590065717697,55,304156.00909090915,1691.1876209605823
87,3.0887008607387543,10,344543.27,4368.1145690917965
88,61.313231348991394,145,294386.5811034483,440.0562971443965
89,72.89777481555939,157,267841.4807643312,826.4172608928316
90,179.8879238963127,404,284658.6138118813,545.6363630483646
91,131.96532100439072,292,285447.6419863012,1063.2142897827985
92,5.66719925403595,14,296688.2728571428,3359.8133632114955
93,1.4432350099086761,5,325009.396,2085.616735839844
94,0.9093970656394958,3,307711.34,0.0
95,153.77794802188873,379,281203.879841689,282.4263462278019
96,77.04490524530411,159,268831.8732075471,1727.284528336435
97,72.30984833836555,165,292992.7837575759,924.3672606728294
98,12.086334586143494,28,289669.8342857143,2202.9908752441406
99,193.99578022956848,437,282034.7580320365,634.6935143809023
100,8.516245424747467,22,311843.19909090904,1215.1593516956675
101,33.74881690740585,73,278822.0304109589,629.5880390324005
102,0.7660464644432068,3,319922.9066666667,2766.0133666992188
103,174.84179052710533,443,310835.0024830699,755.402896166386
104,51.24518871307373,128,309313.10437499994,543.280525624752
105,66.44336831569672,143,278809.69076923066,805.6574939114231
106,2.6203424632549286,8,323698.01749999996,9182.061721801758
107,51.03250056505203,122,303683.3254098362,672.639509732606
108,218.69719222187996,520,290009.8068076924,541.5231731194716
109,186.5158865749836,437,282404.6575743707,445.9133826720633
110,20.44002455472946,50,305597.5048,1675.2843237304687
111,186.42612653970718,434,270493.0530414747,512.6706936743951
112,2.4440529346466064,8,338893.2725000001,1537.9721603393555
113,52.63203606009483,114,280219.95070175437,599.1561138755396
114,24.863906681537628,52,269840.2653846154,1149.5099064753606
115,61.83677041530609,143,292722.3949650348,1115.4151729770474
116,188.04872533679008,426,286025.4659624411,486.6674051687751
117,185.27331376075745,420,285734.197047619,701.9971144539969
118,75.08181124925613,157,271930.5012738853,1524.0754834800769
119,58.18398579955101,118,263999.1049152543,734.3890383445611
120,0.6960917711257935,3,344804.64666666667,2597.5336303710938
121,7.880380570888519,24,343782.5141666666,250.96864700317383
122,3.8706447184085846,11,324409.8054545455,2403.8202792080965
123,88.3180125951767,233,319191.9493562231,299.8344325773706
124,1.128307819366455,4,333895.6,3678.708251953125
125,168.9820374250412,425,314536.0354823528,265.0897391644646
126,35.85199838876724,88,305894.5249999999,712.6102492592552
127,167.0489339530468,376,290457.50962765916,351.2784384057877
128,158.68470135331154,404,300208.7512871287,683.9418527253783
129,62.27761432528496,142,292732.95704225346,681.4194555013952
130,11.493200361728668,28,300431.23785714287,2374.250289916992
131,3.383380651473999,9,298308.41555555555,1170.6456909179688
132,2.4418849647045135,6,274196.94,872.4521484375
133,207.8118600845337,518,287154.477876448,437.8948159604459
134,1.960258573293686,6,327951.49,2488.159423828125
135,67.61753061413765,141,271215.69687943265,1311.2027858977622
136,66.27565932273865,144,279706.855,920.1137356758118
137,52.239818930625916,131,313683.51038167946,787.8319328249866
138,294.3392117321491,734,295631.0597547684,598.4159666575918
139,58.942128360271454,124,262397.57048387104,311.1150117689563
140,184.65756532549858,429,287070.4905361304,275.0452384681968
141,212.81627467274666,446,270171.03479820624,535.4548125673302
142,36.152986109256744,72,258201.8247222224,1429.2310485839844
143,174.39905121922493,404,285610.9248019804,431.8812468689267
144,86.98684814572334,164,244801.08024390228,1250.2634439468384
145,319.9154481738806,808,297508.48133663356,625.599804349465
146,9.663768708705902,20,261044.90099999998,1525.7928405761718
147,46.587566912174225,95,264373.5376842104,1588.623792788857
148,13.44049859046936,30,281992.37933333335,1505.1204895019532
149,13.881564408540726,30,274473.6853333334,695.1013916015625
150,189.662621229887,428,290342.1800467287,357.841695411183
151,8.50080743432045,18,266443.61333333334,501.16802978515625
152,200.49593663215637,474,273764.16109704634,606.7184726859949
153,208.7874128818512,452,278578.8693362831,1059.2956773538506
154,352.8413051366806,805,284761.4900372671,664.3459307652823
155,4.648448199033737,12,304521.435,1324.532730102539
156,180.1474448144436,413,292004.98401937034,816.0617454473389
157,200.54595029354095,399,258621.0223558896,1059.6853343418666
158,332.28473341464996,827,304253.9243288996,546.3536902984656
159,21.112269788980484,39,236353.88717948718,1076.8630934495193
160,206.58900260925293,514,305543.9157587549,295.53635885928855
161,133.88695231080055,289,274952.80602076143,698.4777898557459
162,89.44521713256836,182,251615.55714285714,987.6268682375058
163,346.03544250130653,930,297335.28045161295,639.3297202510219
164,117.44573441147804,238,264717.9723529411,911.5011351128586
165,303.486125677824,690,280322.92423188395,581.1496835791546
166,317.16098764538765,806,303980.70344913134,380.13677845995124
167,513.2035291045904,1288,297580.2427484476,601.3655213213856
168,34.000553488731384,66,229560.36363636365,586.3050426136364
169,19.610381454229355,41,267943.97951219516,339.8005103134527
170,202.89650151133537,411,252348.552457421,666.3759395849966
171,74.54519072175026,147,256879.79387755113,798.7071308992347
172,67.11524841189384,133,253024.817443609,718.1403032460607
173,15.618156760931015,30,245392.5793333333,823.2932373046875
174,110.80581653118134,227,247489.88484581516,532.2724246054494
175,274.792779058218,641,288056.5057410295,494.9767964165222
176,86.91899943351746,172,251242.77651162792,617.422367317732
177,215.41800232231617,590,309900.01240678,347.4525459548174
178,323.3400880396366,812,301258.3819211818,405.82214869889134
179,222.9647918343544,513,292697.2285769978,312.89763507508394
180,267.3144447505474,689,313637.40716981137,312.9551327543439
181,285.2811426818371,721,306689.3201386956,234.00718492145512
182,285.894519418478,615,273524.73447154474,360.15068586396006
183,299.03218871355057,716,278404.71877094964,421.3096904594805
184,68.87975141406059,137,250488.31226277372,315.8990372428059
185,75.81116542220116,141,240780.36723404255,336.543768700133
186,45.42905321717262,79,208802.76759493665,136.52563244783425
187,207.4978398680687,514,279761.525758755,256.5748714788415
188,206.1612070351839,515,289726.08594174765,220.58165908369045
189,105.64830929040909,220,206888.0259999999,391.0601642261852
190,309.0428104698658,734,282236.429891008,393.7339602790022
191,23.6753468811512,46,251003.75478260868,176.24898097826087
192,249.86497603356838,649,295747.5179352848,362.10989991946286
193,64.92076244950294,147,257217.86421768708,295.7573257757693
194,315.1076426655054,835,300147.3331976044,254.6974959025126
195,23.864667117595673,51,275242.8529411765,316.4574656767004
196,91.88936984539032,178,229965.6440449437,307.58231902390384
197,304.83650571107864,671,273963.96292101324,272.54849196546303
198,302.16198548674583,954,315772.82278826035,212.07155242056217
199,425.84185007214546,947,274489.8202745513,303.4190530162678
200,458.4887121617794,1091,279976.13778185187,263.97966753070665
201,262.97479513287544,705,295399.6544113473,203.41128251096035
202,229.18195614218712,513,280629.43614035106,197.09519563641464
203,572.6075156331062,1558,306470.1353915277,170.4537093293529
204,426.75860345363617,1097,290409.982406563,155.345265605391
205,317.22936460375786,827,280993.18534461927,155.37526788676954
206,226.3038713634014,513,291228.67352826486,165.8507861756442
207,297.23008538782597,670,289489.16062686575,118.19347966891615
208,305.6525582373142,789,305328.48192648956,275.44556804120316
209,277.70901200175285,712,283456.69179775263,135.69561982958504
210,381.523518204689,1019,285821.79939156043,195.91635085790034
211,297.6244494020939,805,293266.52767701854,256.4323466360199
212,366.44528864324093,973,304713.4844398769,115.98793716665897
213,367.71180459856987,986,289402.4316632857,160.90621353985088
214,346.60155805945396,945,289800.2763174606,155.49876701718284
215,366.5892645865679,992,286533.3500806453,116.60901245378679
216,222.09497010707855,514,293019.69824902725,194.5178816309235
217,312.3579959720373,801,295799.825218477,175.5617383035381
218,270.7386114895344,628,270954.549840764,188.35801830868812
219,63.63741347193718,146,254766.88575342472,177.61884529949867
220,65.22705292701721,144,192231.9765972222,98.4545726776123
221,202.8436463177204,508,275118.76874015736,217.13062490065266
222,273.4206686913967,803,307183.86141967616,208.3651955249449
223,323.77728056907654,1076,282246.61656133755,162.8954451217084
224,232.0758948624134,700,267337.5130857141,240.54441176278252
225,205.57842540740967,515,289934.5436893201,435.0698384784958
226,98.42693477869034,221,235313.5399095022,288.8037269557763
227,286.7038486599922,728,268913.44879120885,398.7844678533601
228,75.89103955030441,166,250625.4603614457,178.02011434715914
229,293.7354285418987,718,288146.2692200556,286.6825357745285
230,313.0211217701435,716,279385.4940782121,286.7529757089455
231,84.16288581490517,155,238522.75341935476,336.3579627744613
232,170.39896550774574,411,283486.87537712895,268.82531276062457
233,192.49969801306725,421,269940.08807600965,321.19401509971345
234,82.51059684157372,139,200979.18402877703,139.99937060239503
235,239.03832614421844,695,293276.4978417269,294.87247715682435
236,138.93300676345825,315,228059.2267936509,204.16275303704398
237,0.5701852738857269,3,352788.41333333333,0.0
238,72.8280163705349,146,229315.26383561635,182.89507711750187
239,211.95311748981476,428,256047.31906542057,314.50770597368756
240,172.97392666339874,328,232447.40439024387,308.3989189659677
241,429.18874657154083,1581,320240.37892473093,264.59962343943414
242,215.80800014734268,490,266979.61081632663,400.36003039613064
243,168.6865841448307,471,269922.53876857745,685.8344473869178
244,190.24850025773048,707,305956.76401697274,327.89766503054824
245,91.42810261249542,158,173274.55575949367,56.74514137944089
246,128.2186616063118,244,242052.65573770483,339.09044399417814
247,57.32587891817093,135,267364.4472592593,498.2553209940592
248,54.8397051692009,105,212018.86800000002,0.0
249,57.510799556970596,131,259454.90824427485,193.56179049542843
250,247.1604696214199,722,279211.86570637143,501.1569906377396
251,98.52339363098145,194,244406.64432989698,236.4136322257445
252,307.9576677083969,1030,287824.23095145676,460.706065971643
253,162.79840445518494,517,284213.57145067694,270.9939460722114
254,282.72255849838257,794,293633.0195969772,395.62076224848363
255,297.04484547674656,948,307110.69932489475,467.6853348363804
256,66.2533797621727,123,194313.88276422763,131.74524921324195
257,208.279276907444,555,285038.80111711746,438.0765634678506
258,58.56524235010147,136,249364.10588235297,468.95940382340376
259,70.80973172187805,132,241865.03181818186,340.25157477638936
260,40.57342901825905,86,271065.63813953486,309.82820519735645
261,51.308375865221024,121,189146.6504132232,82.85729360186365
262,55.85749498009682,138,234146.27000000005,193.73662799337635
263,118.30909186601639,237,180966.75354430385,102.29656632338899
264,189.31686800718307,508,297801.8702362206,270.23164837754615
265,269.7134647369385,894,309016.3369798656,377.0563050788521
266,60.78687930107117,136,244456.48147058833,800.0002318971298
267,279.65032011270523,803,286888.42049813224,355.58787310613343
268,287.73648115992546,953,312037.0790136411,326.82647547866964
269,318.75086000561714,1244,289179.4318327971,431.88284231765476
270,144.48586097359657,423,281492.9197163122,392.13853393717017
271,85.22189968824387,183,234198.48098360648,438.8142264944608
272,59.181992679834366,126,234837.9626984126,231.20165361676897
273,193.393585562706,796,298823.25369346706,239.37678034461322
274,265.9222915172577,860,283877.4779534884,274.5606571763061
275,287.0105829387903,1024,304528.2396484373,346.3927473966032
276,71.37890195846558,150,269780.3917333331,492.5266941833496
