Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,79.19404765963554,239,307820.6991631799,643.4998040618258
2,58.43278497457504,149,293976.6036241613,1066.173739119664
3,136.6678110063076,325,281366.0758153846,800.8237552114633
4,15.055486351251602,46,315008.88000000006,760.0307703432829
5,0.2964421510696411,2,336526.51999999996,3767.7738647460938
6,134.41368308663368,313,286237.15079872217,951.60989941728
7,174.2907372713089,430,308398.61167441844,476.88013277275616
8,0.45809516310691833,2,287776.25,0.0
9,1.4282281994819641,5,332867.892,5988.346215820313
10,167.04181995987892,416,279558.77379807655,610.26403768246
11,10.24943009018898,39,337469.98153846146,713.4657123272235
12,42.56149020791054,119,320022.62789915974,110.66094983525637
13,46.22180908918381,119,290828.1929411766,501.2103324056674
14,5.1332046687603,16,341128.16875000007,1808.5458354949951
15,50.67805898189545,127,281912.46377952746,874.0728490033488
16,4.276993364095688,13,336029.53076923074,742.1118445763221
17,14.372247606515884,38,301860.18315789476,1972.0911303068463
18,12.823710441589355,31,301162.5935483871,1272.1209323021674
19,130.17114332318306,321,286304.1949532709,1379.6388584743036
20,56.90596318244934,133,298261.6345864662,1063.482054631513
21,0.7795020341873169,3,330627.23333333334,0.0
22,60.81087639927864,157,316317.7096815287,511.9283737862945
23,55.01907479763031,135,304032.46829629625,259.80230305989585
24,0.820888876914978,3,314444.3,0.0
25,50.88450601696968,128,305780.45703125,438.8053495287895
26,32.005910754203796,83,293074.6722891566,1124.1414813305958
27,0.5665858089923859,3,347665.1933333333,0.0
28,0.0,1,331010.3,0.0
29,53.36545488238335,135,305452.5678518518,527.7538157145183
30,143.94821789860725,369,298594.7688888886,1084.7033685823767
31,55.211136281490326,153,328869.24496732024,609.4624530567843
32,3.3373422026634216,11,330174.0981818182,697.0793235085227
33,65.93782350420952,155,281308.5732903227,561.5260367608839
34,2.7358334362506866,8,311711.70249999996,734.4973526000977
35,0.48654821515083313,2,279254.59,0.0
36,0.4503999352455139,2,289922.54,316.3546142578125
