Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,11.202881217002869,16,514792.21,4391.443593978882
2,5.673940896987915,9,582239.6133333333,13541.059173583984
3,2.6848891377449036,5,668643.672,7355.476043701172
4,4.6896666288375854,8,668051.6900000001,3511.0718364715576
5,6.134409010410309,10,623008.9199999999,12611.01895751953
6,5.2093600034713745,8,511524.42999999993,5801.585981369019
7,68.93093883991241,90,458482.8608888888,3373.9350341796876
8,9.077132403850555,13,491811.8523076923,3260.56808589055
9,42.441054582595825,56,464062.5335714287,4888.650764465332
10,14.982013404369354,21,512777.81333333335,4741.900033133371
11,25.43878698348999,35,509851.9337142858,3568.23695199149
12,67.21573340892792,88,462146.3286363634,3500.0577820105987
13,0.0,1,528701.52,0.0
14,1.4525980353355408,3,558341.44,6359.653106689453
15,4.294236600399017,7,558885.7428571429,7923.51664515904
16,61.54856097698212,81,467853.6227160494,4068.099799262153
17,2.977721631526947,5,512650.752,6612.44408569336
18,62.25531202554703,81,454634.84543209884,1672.0999484592014
19,17.255500316619873,24,505870.53166666673,2821.5556926727295
20,8.44820362329483,12,469296.3366666666,5675.414726257324
21,4.4411327838897705,7,524481.2914285715,10064.148337227958
22,3.5821361541748047,6,570466.2866666667,7117.076202392578
23,36.97569119930267,50,495893.45599999995,4647.20500579834
24,16.98557996749878,24,507922.3916666666,17809.28550338745
25,13.455718696117401,19,497417.90105263155,11904.872439735815
26,0.0,1,446383.92,0.0
27,1.5590999722480774,3,475524.5333333334,778.7786865234375
28,5.992177248001099,9,517562.9422222223,3216.2172088623047
29,7.437832355499268,11,521386.10545454547,2501.685229214755
30,10.30924516916275,15,520488.2026666666,11361.352258300782
31,6.068250000476837,9,488455.4044444445,5581.3380126953125
32,38.6237850189209,51,461964.7192156862,4275.702866498162
33,34.082446694374084,46,486678.09565217386,7973.126625724461
34,1.447401762008667,3,515429.6533333333,10192.434631347656
35,0.0,1,553740.36,0.0
36,0.0,1,492588.8,0.0
37,6.048074722290039,9,493248.1911111112,5106.155624389648
38,12.230657458305359,17,476745.36941176467,4706.37310072955
39,5.2455695271492,8,496939.105,8455.8295211792
40,39.97533321380615,53,467214.17433962284,5605.17230512511
41,15.81426203250885,22,491887.4690909093,8601.04641307484
42,19.339990615844727,26,464965.4938461539,3203.843183370737
43,62.23799103498459,82,470043.24975609727,3623.033148835345
44,12.371559917926788,17,461169.4258823529,3777.829626644359
45,11.467581391334534,16,481198.7924999999,4178.547068595886
46,12.070375561714172,17,497349.60470588243,3677.0264066808363
47,3.0320438146591187,5,486947.968,4158.789477539062
48,17.19681340456009,24,507738.1166666667,5824.116554260254
49,3.7262104749679565,6,504326.91333333333,7788.377975463867
50,56.49161338806152,74,459374.33999999997,3501.785350103636
51,5.983526825904846,9,504384.3022222222,5991.522903442383
52,5.295631051063538,8,492229.9149999999,3409.6761474609375
53,0.0,1,479165.83999999997,0.0
54,2.2355433106422424,4,502869.18,6560.138534545898
55,34.396623373031616,46,479902.8147826085,2519.0933443152385
56,9.070424854755402,13,494010.5323076922,3638.5208393977236
57,5.995806157588959,9,502031.0488888889,5639.217834472656
58,19.654225170612335,27,491959.0785185185,5732.387049357097
59,4.531824767589569,7,494027.00571428565,3338.74900163923
60,48.14520573616028,64,478072.75687499996,4024.9625895023346
61,38.2072719335556,51,478519.65568627446,3805.9048246495863
62,9.838949859142303,14,492051.33142857143,3902.7168045043945
63,9.042491793632507,13,496865.21538461547,4676.83536705604
64,39.15305280685425,52,472700.8907692309,2868.417584345891
65,28.05732697248459,38,491064.5768421053,3208.527449557656
66,17.37872064113617,24,494512.31000000006,4282.443386077881
67,50.6829736828804,65,425189.8775384615,1860.3966099665715
68,49.34381401538849,64,438497.7350000001,4819.338586807251
69,24.8660928606987,34,500237.4952941178,3478.8187771965477
70,27.795052528381348,38,501916.9694736842,5452.078274375514
71,35.90330272912979,48,480497.09416666656,2796.4170484542847
72,25.30675232410431,35,512568.496,7554.21906476702
73,8.370083153247833,12,486877.25999999995,1997.7620544433594
74,0.0,1,481141.0,0.0
75,50.78700667619705,65,422111.8744615386,1745.1806713397687
76,9.875257194042206,14,489588.2257142857,1993.4733189174108
77,24.93923169374466,34,495616.10117647063,3522.42684173584
78,9.089392066001892,13,491673.0061538462,3344.0614013671875
79,19.001339495182037,26,489888.93538461527,1425.6235392643855
80,8.916559517383575,13,512166.72307692305,8032.494823749249
81,1.4853480458259583,3,502878.7333333334,6310.779144287109
82,44.268829464912415,58,455639.13379310357,2218.7259111075564
83,5.981427431106567,9,504912.6355555555,6113.873275756836
84,16.612214386463165,23,496889.90956521744,3374.5219335141387
85,9.75127249956131,14,502746.74571428576,5262.208736964634
86,17.51460862159729,24,484451.37500000006,3250.2437782287598
87,18.129568338394165,25,496422.3968,3253.8039697265626
88,18.947447061538696,26,492582.3523076922,2528.6392787053037
89,25.06259709596634,34,484991.8964705882,5761.118779799517
90,14.289307951927185,20,501249.9339999999,4245.794165039062
91,69.66326743364334,89,424929.2251685392,2325.0633852240744
92,58.14820843935013,75,438073.5680000001,1472.8331771850585
93,23.697156131267548,32,479597.19875000016,2604.901524066925
94,24.909083664417267,34,497322.5964705883,3615.9706595925722
95,8.397663712501526,12,483294.1966666667,806.4364585876465
96,0.7456921935081482,2,490210.5,4913.8670654296875
97,60.01214009523392,80,490028.90949999995,2109.103986597061
98,39.739174008369446,53,481107.61660377344,1852.5353022161519
99,2.2704368829727173,4,486821.35,3943.1313858032227
100,0.0,1,472348.28,0.0
101,22.40132838487625,31,507277.48,7652.162818170363
102,3.7842225432395935,6,488092.06666666665,4565.147689819336
103,6.086999297142029,9,484742.72000000003,2612.125961303711
104,54.09861499071121,72,484501.0105555555,2694.1507618427277
105,28.02240341901779,38,490880.1726315788,4470.570944535105
106,28.0206561088562,38,490693.34947368404,4671.146913227282
107,65.47149848937988,86,466508.4413953487,3496.354033935902
108,62.51475942134857,83,484940.05975903623,1822.9718143968696
109,66.6729491353035,89,490081.566741573,4924.618505242165
110,54.04993098974228,73,505812.18794520537,3723.9505743261884
111,30.319928586483,41,489748.3307317073,4399.126325281655
112,23.084975242614746,32,509452.59500000003,8964.752906799316
113,48.97009116411209,65,479273.8990769231,1782.6721034123348
114,58.38274472951889,78,491490.7548717949,3113.724660433256
115,40.99627310037613,55,490264.00290909084,2514.427302412553
116,55.941651344299316,75,496545.2997333333,2732.105199737549
117,9.15662944316864,13,481625.32307692297,2590.743935218224
118,33.968815326690674,46,497344.93304347846,3525.0388233350673
119,62.52214062213898,84,500838.68285714305,3576.286781174796
120,19.663572430610657,27,492571.2429629629,4576.3961995442705
121,41.16878122091293,55,484047.14763636346,2335.3382363059304
122,6.747209906578064,10,498908.28800000006,7321.000643920898
123,17.498094856739044,24,486668.1433333333,2410.134698867798
124,36.73934489488602,49,478161.987755102,2198.0071012535873
125,62.64653754234314,84,499122.4104761906,2674.8567820276535
126,58.74226015806198,79,503461.25215189875,2000.4151993039288
127,38.87655299901962,52,485600.82615384605,1405.697493333083
128,2.9917770624160767,5,498136.5919999999,7200.253070068359
129,32.93622553348541,45,504464.2657777777,7358.812615966797
130,6.013756155967712,9,496054.5333333333,6678.448181152344
131,57.21462893486023,76,483597.33105263155,2038.8838050239965
132,22.654677987098694,31,495143.91225806455,4478.424428632183
133,27.246176838874817,37,495669.9437837838,1880.6525091222816
134,0.0,1,469922.16000000003,0.0
135,59.46313166618347,80,504174.84700000007,2070.2002863407133
136,48.39768326282501,64,482901.8181249999,1477.5956102013588
137,14.263908386230469,25,835749.3183999999,1849.9888284301758
138,3.8641756772994995,8,915717.72,6893.798692703247
139,0.0,1,1186035.92,0.0
140,12.383616983890533,25,977736.6784000003,10762.846232299804
141,0.4967762529850006,2,894452.9199999999,6771.3958740234375
142,0.0,1,962939.9199999999,0.0
143,0.0,1,960421.52,0.0
144,0.0,1,893861.8400000001,0.0
145,0.0,1,1019644.4,0.0
146,2.965395510196686,7,1015613.1542857143,17761.160914829798
147,2.5613252222537994,6,973787.5866666668,2592.7691802978516
148,2.3989179134368896,5,843696.1599999999,2206.147357177734
149,1.5073315501213074,4,988745.24,18355.446853637695
150,1.5131352245807648,4,1003351.1799999999,7857.473785400391
151,2.5827542543411255,6,983178.9333333332,9305.619598388672
152,0.9544488489627838,3,1082674.96,10063.091674804688
153,1.3576995134353638,4,1068367.4000000001,3258.792491912842
154,0.0,1,955246.56,0.0
155,0.0,1,980731.6799999999,0.0
156,2.0602158904075623,5,968943.4399999998,10436.541998291015
157,4.567480444908142,9,884408.8177777778,9713.862869262695
158,0.0,1,1098501.6,0.0
159,28.659218579530716,46,747259.8826086957,4797.170571700386
160,41.117451041936874,65,733163.8424615385,2832.8477212759167
161,1.5487576723098755,4,961323.06,8031.08846282959
162,3.810261607170105,8,929066.69,9339.608825683594
163,1.0018978118896484,3,1045656.1333333334,9014.238189697266
164,2.2893691658973694,6,1077865.0799999998,6565.400390625
165,0.5047317147254944,2,1005131.6799999999,7819.490753173828
166,2.584306478500366,6,984890.7999999998,7722.119659423828
167,0.9631076753139496,3,978926.5066666668,10081.623413085938
168,4.114448666572571,8,858353.3999999999,7929.195693969727
169,9.829079896211624,18,857083.0177777779,5141.197479248047
170,0.0,1,1060968.1600000001,0.0
171,3.6455072462558746,8,951515.31,3190.4374809265137
172,0.0,1,1033110.0,0.0
173,0.0,1,985828.3999999999,0.0
174,0.9704207479953766,3,958244.5866666668,13110.824523925781
175,0.0,1,984114.72,0.0
176,0.0,1,1223419.2799999998,0.0
177,5.102835237979889,12,1089585.9599999997,1311.116226196289
178,3.7137085795402527,8,944546.51,11486.455307006836
179,0.0,1,998797.76,0.0
180,0.0,1,953115.76,0.0
181,2.10780131816864,5,980729.9520000002,13116.465802001952
182,71.92695885896683,110,692048.9789090909,3426.898126290061
183,62.00420159101486,88,587410.6404545453,1499.1295025565407
184,2.0372029542922974,4,620978.6500000001,11922.062255859375
185,30.588167309761047,45,612893.1013333334,8092.065222167968
186,44.37972182035446,64,602237.2943750003,2747.194246530533
187,0.0,1,574621.2000000001,0.0
188,26.668505668640137,39,604166.5107692308,4817.522485586313
189,0.7196618914604187,2,576235.3200000001,0.0
190,52.42813229560852,75,595119.6714666667,2012.5070635986328
191,6.395287334918976,10,587521.3359999999,3473.629815673828
192,0.0,1,576076.6,0.0
193,0.0,1,575626.96,0.0
194,0.0,1,574171.4400000001,0.0
195,8.436241030693054,13,598127.1323076923,6038.4026606633115
196,28.396157801151276,41,591545.4663414633,2332.8969704232563
197,0.713687002658844,2,580572.78,1167.7593383789062
198,47.368728280067444,68,597749.2535294119,2270.0890285828536
199,31.822943329811096,46,597408.6399999999,2158.7652460595837
200,2.091434419155121,4,603330.79,6464.848892211914
201,5.5882768630981445,9,603729.3111111111,6874.579895019531
202,51.32350742816925,74,604267.8762162162,3308.332722844304
203,0.0,1,575793.88,0.0
204,29.264160752296448,43,611767.3944186048,6673.739597764126
205,14.929052770137787,22,588990.6727272727,2499.9275977394796
206,78.85605436563492,114,616338.1540350878,2420.0771090607896
207,0.0,1,572883.84,0.0
208,1.4131457209587097,3,588104.4,3674.8370361328125
209,0.7128044962882996,2,580047.88,1209.4027404785156
210,0.0,1,574555.8,0.0
211,0.0,1,574395.4400000001,0.0
212,2.1062551736831665,4,594627.35,5578.6168384552
213,2.8592721223831177,5,581332.848,946.1462585449219
214,15.096553206443787,23,623665.0973913043,11940.561847189198
215,4.96065616607666,8,589119.08,4098.279144287109
216,46.61364948749542,67,598685.39880597,2657.294093914886
217,1.3923498392105103,3,598329.64,6229.280914306641
218,0.0,1,576573.0800000001,0.0
219,0.0,1,573486.76,0.0
220,6.416117787361145,10,584002.208,2606.737060546875
221,69.65927016735077,100,604817.9968,2211.5748724365235
222,22.685237646102905,33,592629.8109090908,2920.6870047829366
223,27.57102209329605,40,594634.317,4279.114074325562
