Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,6.6917033195495605,9,324637.73555555556,689.3369617462158
2,0.0,1,483356.24,0.0
3,14.48276537656784,20,438717.15199999994,5893.462923431396
4,17.88335794210434,24,414205.0533333334,4258.023960113525
5,15.1091987490654,21,452539.98476190463,4679.409511021206
6,6.723535537719727,10,463933.2239999998,5205.123110961914
7,2.273795485496521,4,434544.20999999996,4053.1147270202637
8,3.8956422209739685,6,414668.39999999997,4291.753234863281
9,2.2478723526000977,4,470370.10000000003,6312.604991912842
10,3.636937916278839,6,496189.9466666668,5464.670356750488
11,3.735360026359558,6,471534.75333333324,5167.714050292969
12,14.772819876670837,21,484545.26666666666,3542.15274483817
13,13.466836631298065,19,466495.30736842105,1914.5793975026984
14,18.972230434417725,26,449094.29538461537,2416.039292555589
15,24.990209698677063,34,451079.86823529407,3392.199613683364
16,55.73906856775284,73,419823.8504109588,1933.675485271297
17,5.762745201587677,9,509731.9377777777,4688.696258544922
18,3.7613017559051514,6,461578.7066666666,5922.885635375977
19,4.480411529541016,7,474996.6457142858,3297.3165762765066
20,7.306550025939941,11,500173.5818181818,2260.9885004216976
21,13.370262145996094,19,476044.24000000005,2216.6380414460837
22,37.48736411333084,50,436756.6647999999,2498.9645475769044
23,9.625452697277069,14,482963.1228571428,2492.158555167062
24,2.1327528953552246,4,516393.18,4829.888946533203
25,7.554148614406586,11,457698.3854545455,3959.4400093772197
26,39.14840638637543,52,432022.3846153846,2180.9232968550464
27,8.896341860294342,13,480580.2246153846,2652.5268190824067
28,18.780617773532867,26,461477.6738461539,2165.0745162963867
29,20.96800321340561,28,416297.8514285715,2061.0185443333216
30,1.4200124144554138,3,523552.13333333336,12528.066833496094
31,25.04333460330963,34,448939.13764705893,1530.7953253353344
32,7.231410205364227,11,512602.21090909094,2758.299212369052
33,8.158013224601746,12,474974.7533333334,3974.6797370910645
34,3.758369565010071,6,462556.69333333336,5712.027099609375
35,13.885682582855225,19,426149.2694736842,3442.2454496684827
36,4.454521059989929,7,471225.7942857142,2818.6225923810684
37,0.7674078345298767,2,471493.18000000005,0.0
38,3.614083409309387,6,512550.2933333333,1300.1015396118164
39,3.6409521102905273,6,501670.4466666667,2618.6818084716797
40,18.208865582942963,25,449188.9951999999,3253.2553674316405
41,5.84536474943161,9,500117.3111111111,2005.622543334961
42,21.978280007839203,30,445849.4333333334,6227.514427185059
43,19.60514920949936,26,403262.4292307691,4105.685925997221
44,14.727523446083069,21,488756.1295238095,2301.806350708008
45,3.6542195081710815,6,500873.14666666667,2232.5276641845703
46,33.66606932878494,45,435141.84177777776,1832.6440399169921
47,19.035650968551636,26,443811.5323076922,4508.900557884803
48,29.5598846077919,40,449252.57700000005,3436.1143564224244
49,17.100285410881042,24,474058.62000000005,3939.756603240967
50,41.797881066799164,53,366349.89811320766,1852.9389241056622
51,28.25784343481064,38,437636.9378947369,3209.696797822651
52,2.2420969009399414,4,477889.9,5789.365837097168
53,5.034387528896332,8,520055.55,1750.803565979004
54,5.0451502203941345,8,516915.69000000006,1847.617733001709
55,19.75381964445114,28,496800.8371428571,2845.3908102852956
56,13.83633667230606,19,430493.48631578946,2544.2818740041635
57,4.50470232963562,7,468080.77714285714,3340.059003557478
58,11.749032378196716,17,495071.4564705882,4892.184666353113
59,72.14811474084854,105,567457.5329523808,2731.028124782017
60,0.0,1,557372.5599999999,0.0
61,68.66926717758179,101,580107.7033663365,3519.4967003246347
62,9.644656717777252,15,573989.264,5577.9055847167965
63,0.0,1,555016.64,0.0
64,6.828948676586151,11,582615.2254545455,8257.375380082563
65,31.96689736843109,47,565741.8068085108,1395.2843515923682
66,11.711650550365448,18,574332.2688888889,5150.014251708984
67,30.51755130290985,45,567538.5262222223,3110.436639404297
68,7.37250691652298,12,602733.3966666666,12339.210205078125
69,35.734255850315094,53,578422.5781132075,4845.557080250866
70,21.055915474891663,32,590964.9124999999,8572.300924301147
71,7.474081754684448,12,588352.5266666667,8621.235946655273
72,5.375265419483185,9,598878.7999999999,11618.853271484375
73,0.0,1,556547.68,0.0
74,74.08431607484818,109,581728.5328440367,2792.8791550102583
75,61.67242580652237,90,568149.1422222226,4637.489993667603
76,12.462112188339233,19,568938.0652631581,3713.3702183773644
77,1.3996391892433167,3,557316.2000000001,375.6478271484375
78,3.307544231414795,6,610550.2133333333,14711.766677856445
79,10.944005012512207,17,582495.5552941178,6266.823033949908
80,63.684296011924744,94,583624.6621276595,3462.0504320428727
81,28.710374176502228,43,584619.3358139534,5361.955287844636
82,39.48983722925186,59,589697.5369491527,5766.851097494869
83,6.227846205234528,10,569119.988,2766.9360443115233
84,35.425502598285675,52,565897.629230769,2387.8079681396484
85,18.53419315814972,28,578579.3057142856,6712.609145573208
86,11.594998061656952,18,585399.2511111111,7429.2178955078125
87,8.919728517532349,14,578492.4457142857,5983.654390607561
88,27.528410613536835,41,576671.0448780487,4210.746644182903
89,63.00788378715515,93,583133.5660215052,4163.074378874994
90,7.594063997268677,12,571351.1366666667,5033.129722595215
91,67.27515125274658,100,593597.0688,2597.1036046600343
92,40.00749355554581,59,573932.5986440679,4375.623204376738
93,71.70068275928497,107,598747.0635514017,4151.241277676876
94,43.88400989770889,65,581178.6295384614,5039.592990347055
95,73.22187465429306,109,595322.1911926604,5556.367298073725
96,0.0,1,556268.72,0.0
97,28.88630348443985,43,577629.9237209302,3908.677479943564
98,0.0,1,556499.24,0.0
99,68.81127882003784,102,590093.6905882354,3294.066754313076
100,37.741192281246185,56,578986.1278571428,3308.1441311155045
101,23.517957150936127,32,447589.62249999994,3899.71835231781
102,41.96891003847122,56,439794.9385714287,2198.4905073983327
103,24.928742468357086,34,454406.73882352945,1268.0136296889361
104,18.951164543628693,26,449656.0907692308,1937.5911360520583
105,37.2937827706337,50,443826.8864,1136.6829656982422
106,34.394682824611664,46,437994.59826086945,1436.7633396646252
107,17.87095284461975,25,472692.7152000001,5106.072041015625
108,23.960451006889343,33,465851.9539393941,2775.799471768466
109,11.710878789424896,17,495282.56470588245,3743.2845880845016
110,31.053731977939606,42,450248.2466666666,2394.720696585519
111,37.74157625436783,51,454985.21960784314,1923.853260713465
112,23.836386024951935,33,472431.2521212121,3675.7070700905538
113,14.021027743816376,20,483968.958,6016.471119689942
114,26.26939743757248,37,500297.0918918921,2456.2498416385133
115,20.112501204013824,28,473134.6014285715,2005.605099269322
116,23.76636403799057,33,476524.04606060596,3532.3165949041195
117,24.125234723091125,33,456525.8412121213,2554.1550001664596
118,42.810269832611084,56,412507.36642857135,696.2353657313755
119,20.606811106204987,28,440752.4,735.7661214556013
120,36.76372301578522,49,435194.2571428572,957.0562031025789
121,15.454971611499786,22,488038.95454545465,4914.215069857511
122,34.86369448900223,47,449230.1821276596,2347.2456557902883
123,19.106090188026428,27,490819.58666666667,2417.6460876464844
124,26.914090514183044,36,429446.1788888889,2352.9103088378906
125,22.452284812927246,31,466885.1574193547,1570.4512326640468
126,29.891271591186523,41,468698.652682927,2307.3940418522534
127,22.046489775180817,31,490948.78451612906,2200.272693757088
128,18.441095411777496,26,485861.10307692306,2455.959380810077
129,27.760724365711212,38,462631.8989473683,2112.6185109991775
130,9.16681182384491,13,439766.5015384615,4198.985384427584
131,41.081747174263,55,444515.4589090908,820.84586167769
132,7.300435543060303,11,497476.06545454543,5564.352322665128
133,35.600434839725494,49,479092.32244897966,1516.4103226953623
134,16.106110751628876,23,495782.7234782609,2330.280198470406
135,24.144967198371887,33,455475.6072727272,2667.1129927201705
136,17.68994241952896,25,486521.14080000005,3464.2508807373047
137,22.651838183403015,31,455432.3509677418,597.9690923383159
138,50.270384430885315,65,399220.5107692309,921.7998085608849
139,24.583628118038177,34,472828.474117647,2481.2954083610985
