Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,4.13467800617218,6,349671.44999999995,1525.925482749939
2,3.6119003295898438,6,508105.24666666664,5081.409027099609
3,9.09359860420227,13,447273.82769230765,3054.0513681265024
4,6.923115909099579,10,431983.29999999993,4410.100524902344
5,11.366087794303894,16,449670.9700000001,2199.554849624634
6,19.049680650234222,26,439928.3723076923,4207.050278883714
7,16.45567387342453,22,400350.1109090909,3020.135918010365
8,8.648378252983093,12,398674.7966666667,6286.490009307861
9,23.064929723739624,30,381802.5966666666,5113.913076782226
10,6.638238310813904,10,482503.63200000004,4909.407604980469
11,6.812521994113922,10,453415.232,5253.922073364258
12,24.897479832172394,34,455890.9482352941,3231.029545952292
13,56.392885982990265,72,382343.8105555555,1904.9144954681396
14,2.9563111066818237,5,487623.6160000001,4425.3051086425785
15,4.326690137386322,7,515965.2171428571,1893.265117100307
16,20.697242081165314,29,484549.8137931035,1536.1879309292497
17,5.782219707965851,9,506108.6177777777,3702.2283630371094
18,6.0625558495521545,9,450989.6177777777,6176.671600341797
19,13.044718742370605,18,434351.28888888884,5355.9116134643555
20,5.777433216571808,9,513876.9466666667,3503.5526123046875
21,18.685637772083282,26,467836.2676923076,2501.1078626192534
22,14.93225109577179,21,471473.9123809525,2354.1508385794505
23,22.79550063610077,31,446962.2619354839,2515.6988968387727
24,5.720516324043274,9,519607.64444444445,5311.251403808594
25,9.077368199825287,13,454673.05538461544,5126.217301588792
26,19.358176231384277,27,474786.8518518519,1630.1284154256184
27,15.683623969554901,22,469889.9890909091,3682.494646245783
28,2.173194110393524,4,500655.10000000003,3248.1224670410156
29,5.273631453514099,8,459823.84500000003,1873.6992073059082
30,0.0,1,508749.52,0.0
31,30.634606182575226,41,435771.42048780475,2066.8413670237474
32,27.952061653137207,38,454285.09157894726,3133.8411821064196
33,5.8885857462883,9,483534.208888889,2893.3550567626953
34,6.7549373507499695,10,461409.72400000005,9539.708560180665
35,10.768641531467438,15,431398.17066666664,2086.0781799316405
36,2.217226564884186,4,471823.35,1851.2494354248047
37,5.343191206455231,8,447027.95999999996,3530.0822525024414
38,43.44166719913483,57,417345.4498245613,1537.4304566634328
39,4.348822712898254,7,506490.1542857143,4754.396471296038
40,20.552199006080627,28,444300.6271428572,3675.0800219944545
41,18.062122881412506,25,460318.76000000007,2515.873112182617
42,2.8740076422691345,5,498170.4,5986.956555175781
43,23.645482122898102,31,395986.9329032259,2731.4131282683343
44,3.614562749862671,6,509904.04000000004,2584.6905670166016
45,24.993316650390625,34,451741.10117647046,1440.4167918036965
46,37.72129601240158,50,426822.44159999996,1376.754867553711
47,19.73758566379547,27,447864.42962962954,4362.023223876953
48,15.611522376537323,22,476459.5781818183,2244.509023839777
49,23.260558485984802,32,461799.4224999999,4196.436973571777
50,30.235724210739136,39,382135.3420512821,1658.8961316622222
51,7.997127950191498,12,499932.50666666665,4771.339771270752
52,3.7416478395462036,6,472469.16,6357.738464355469
53,14.58931177854538,21,501560.0971428571,3597.464433942522
54,60.14205706119537,79,424540.5762025315,4175.173076291628
55,27.703323543071747,38,466265.4463157895,2081.270772833573
56,43.06229621171951,55,376957.2370909092,2015.1447440060701
57,24.90789943933487,33,413458.13575757574,2585.8277393687854
58,5.774858832359314,9,518904.26222222217,4922.214157104492
59,66.18804693222046,96,562328.5154166666,1811.403111577034
60,0.0,1,557372.5599999999,0.0
61,22.251822590827942,33,564390.5915151516,2496.651476773349
62,22.281641364097595,33,562736.0,2367.1706251664596
63,8.960283100605011,14,573212.4771428572,5558.13389151437
64,1.384340763092041,3,565551.36,2922.7188262939453
65,63.48250353336334,93,574699.4150537635,1724.8361255891862
66,4.122350871562958,7,575569.8057142858,4631.409138270787
67,69.18242609500885,101,570923.8384158415,2979.2606513146125
68,0.0,1,556376.56,0.0
69,13.22349500656128,20,563050.1959999999,2667.920718383789
70,14.440478801727295,22,576143.9,6916.456591519443
71,3.4271296858787537,6,576784.14,6008.793548583984
72,0.0,1,558040.96,0.0
73,0.0,1,556547.68,0.0
74,71.66541266441345,104,564083.4803846154,1750.7212563294631
75,69.41440451145172,102,578923.5368627451,3838.451208114624
76,69.04729437828064,102,585692.5843137255,3562.039345011992
77,6.8760470151901245,11,575489.16,6343.218591863459
78,12.584744334220886,20,616534.652,17171.458992004395
79,7.5830705761909485,12,573022.6366666666,5269.669876098633
80,62.70119959115982,92,575865.8091304348,3342.8265276369843
81,4.766686141490936,8,584649.615,7476.661113739014
82,15.988561272621155,24,564287.7299999999,3554.8516731262207
83,56.12680071592331,82,569133.6131707316,2173.2511090069283
84,65.82687324285507,97,581890.2993814432,3613.776428261983
85,13.843927800655365,21,568976.820952381,4535.095354352678
86,9.612366020679474,15,577558.7786666666,6368.602697753906
87,17.360941469669342,26,565375.4538461537,3915.187575707069
88,33.912170708179474,50,569985.5696000002,3560.6934970092775
89,66.46109563112259,98,582742.7048979591,3817.1479223990927
90,15.875332474708557,24,572380.9299999999,5030.876375198364
91,67.36594504117966,98,566450.4261224489,1765.103692093674
92,5.51430344581604,9,572698.2888888889,4842.537567138672
93,44.974191427230835,66,570747.9248484847,2678.4127766002307
94,28.211353361606598,42,576075.0895238096,6358.745269775391
95,12.253410518169403,19,587812.7494736844,7525.621885600843
96,30.16577845811844,48,652830.9891666666,24934.10236930847
97,24.98098123073578,37,566762.7145945946,3082.8671809016046
98,70.37051999568939,104,586329.1961538462,3985.277071732741
99,62.271842658519745,91,571040.7692307694,2107.6508184160507
100,41.199097752571106,61,578020.6911475412,4158.887839395492
101,3.7416701912879944,6,467588.68,4521.341857910156
102,23.789917588233948,33,475623.2181818182,2302.027150934393
103,24.104065120220184,33,458069.97818181815,1910.5557112260299
104,19.061898052692413,26,441626.4446153847,2241.1308904794546
105,62.08774787187576,81,415711.69777777774,2006.3769883049858
106,23.339192032814026,32,459196.61874999997,971.24183177948
107,54.53147864341736,71,410364.3966197184,2618.23278676624
108,24.027648091316223,33,462327.10181818187,2135.31736200506
109,47.291218757629395,63,440227.3568253968,2321.9140723092214
110,56.86006337404251,74,410487.50702702685,2540.422319721531
111,27.67437106370926,38,467768.3336842105,1485.742914300216
112,10.296566665172577,15,489076.216,3465.4487182617186
113,36.303303956985474,49,451060.8897959183,5062.455222304987
114,23.52278381586075,33,490565.6763636362,2374.7956404252486
115,24.85263878107071,34,458476.8611764706,1571.5725645177504
116,23.759490847587585,33,476837.7866666667,3714.7860676158557
117,20.30904769897461,28,459733.9271428573,2533.326950618199
