Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,7.390343427658081,11,479277.16,7482.977924693714
2,5.262092590332031,8,463172.44999999995,4690.821739196777
3,2.169660747051239,4,508625.88999999996,4061.5489654541016
4,28.25322711467743,38,438909.7673684212,1537.070327357242
5,38.942374646663666,51,411509.4517647057,2657.062771965476
6,8.79438430070877,13,496401.5907692307,1745.055439875676
7,16.142340779304504,23,494676.03652173927,968.1514594036599
8,0.0,1,450255.88,0.0
9,6.80088472366333,10,453337.52400000003,8411.735330200196
10,5.231052100658417,8,473119.125,3835.978260040283
11,14.109369695186615,20,478714.52000000014,2170.761060333252
12,33.65297293663025,45,436272.51022222213,2526.684017944336
13,38.2865794301033,51,435916.19843137247,1417.1529437794404
14,0.0,1,509465.92,0.0
15,13.91533374786377,20,493321.01399999997,4740.871309661865
16,18.321012258529663,25,440493.35360000015,4316.7101220703125
17,30.35705554485321,41,448097.43024390255,2282.801364061309
18,50.49080055952072,65,392757.46646153845,2056.2736552311826
19,38.08174979686737,50,414382.68239999993,1340.9703121948241
20,24.136796057224274,32,412486.76875000005,1817.1822137832642
21,0.0,1,508749.52,0.0
22,33.933827459812164,45,425820.0297777778,2214.042138671875
23,17.74738508462906,25,483437.42559999996,3408.105498046875
24,8.146597862243652,12,476604.0366666667,4317.409778594971
25,12.100931763648987,17,450406.1058823529,9789.149484073414
26,2.9704774618148804,5,477912.784,2740.651171875
27,8.270009100437164,12,457415.2233333334,3527.478458404541
28,2.2611271739006042,4,468912.72000000003,4634.189140319824
29,31.25875413417816,42,441927.61904761905,1900.032829284668
30,11.233685493469238,16,466579.1975,3271.053234100342
31,28.505087435245514,38,426774.60947368416,4295.332805834319
32,22.861727356910706,31,443277.9470967743,1648.9495992352886
33,2.8741912245750427,5,498202.47199999995,5736.267114257813
34,22.049901366233826,29,397278.0855172414,3229.40295489081
35,14.766366124153137,21,485602.75619047624,1598.969257899693
36,41.86361742019653,55,418264.8705454546,1926.5987461436878
37,23.96672123670578,33,463722.9296969696,2998.8469141179867
38,8.396484196186066,12,444251.57000000007,3013.3835220336914
39,15.539128839969635,22,481916.25272727286,3878.1739186373625
40,28.08294802904129,38,446160.55684210535,4198.820117749666
41,27.747498035430908,36,387257.3844444445,2612.006549835205
42,2.1132736206054688,4,520380.82,7023.676162719727
43,8.415271759033203,12,440365.6533333333,5947.000282287598
44,14.612650632858276,21,499659.3028571428,3190.3307255336217
45,2.829505205154419,5,534788.48,5439.117013549805
46,19.86870038509369,28,489542.28714285727,1945.8316955566406
47,57.807071685791016,73,366161.46931506856,3137.1545948002436
48,17.777027189731598,24,424008.75500000006,3268.8418464660645
49,22.282822012901306,31,477961.9419354837,5551.440628051758
50,67.1845538020134,98,569973.0648979592,1506.4720699543855
51,0.0,1,557372.5599999999,0.0
52,74.95739763975143,110,577955.7465454544,4396.024964436618
53,17.361607491970062,26,565469.0769230768,3575.728053166316
54,23.414893925189972,35,574804.3039999998,6546.395171683175
55,2.7310414910316467,5,579987.2960000001,6646.557376098633
56,68.3200027346611,100,574133.3520000002,2831.9954019927977
57,0.0,1,555473.9199999999,0.0
58,30.441240787506104,45,570160.5173333334,4427.473104858398
59,0.0,1,556376.56,0.0
60,15.32238483428955,23,562182.7808695653,2756.038375854492
61,18.546193838119507,28,577881.9357142857,6491.912397112165
62,0.0,1,554567.0800000001,0.0
63,0.0,1,558040.96,0.0
64,0.0,1,556547.68,0.0
65,44.883185029029846,65,554152.1932307692,1201.7748092651368
66,28.288917779922485,42,573323.1038095235,4785.849939618792
67,28.029268503189087,42,583554.5685714284,7756.465654645647
68,8.264212310314178,13,574144.4676923077,5863.202312762921
69,0.0,1,556000.28,0.0
70,5.468761444091797,9,581166.2533333333,7358.199554443359
71,19.365291714668274,29,570449.7020689656,4023.7780356571593
72,0.0,1,554229.24,0.0
73,16.55250173807144,25,573376.4319999999,5231.115054931641
74,20.816221296787262,31,567246.0696774194,1851.752693422379
75,38.82999366521835,57,567634.274385965,3674.8124277215256
76,14.54281747341156,22,568465.6563636365,4485.903523531827
77,0.0,1,554485.8,0.0
78,17.18648362159729,26,576950.7276923077,6124.930568988507
79,15.164448738098145,23,573507.8295652175,6163.264619910199
80,31.856387674808502,47,569264.610212766,3172.6405285774395
81,6.905162036418915,11,571122.0327272728,4630.180135553534
