Episode,Accumulative Reward,Length,Avg Cost,Avg Renewables Wasted
1,-1.0,1,4777299.52,0.0
2,63.39966571331024,95,4093189.963789474,17761.511811951586
3,9.332699418067932,17,4626943.190588235,33727.173140581916
4,5.831142902374268,12,4805129.466666666,24825.24087524414
5,1.083463430404663,4,4172236.96,86433.3899230957
6,30.748293459415436,47,4050448.8136170213,35754.01534482266
7,61.95547556877136,91,3907653.9287912087,21285.38668859136
8,0.8466315269470215,4,4746976.800000001,28739.810302734375
9,1.755281388759613,5,3882323.264,54015.62420654297
10,-1.0,1,4657641.6,0.0
11,3.555211663246155,8,4587136.720000001,40757.9521522522
12,1.4512153267860413,5,4779435.072,42850.71293334961
13,-1.0,1,3975380.48,0.0
14,3.8478713631629944,8,3941488.4800000004,80104.66263198853
15,-1.0,1,3762186.24,0.0
16,-1.0,1,3412054.7199999997,0.0
17,23.03218412399292,34,3535310.5223529404,35396.011606104235
18,1.7198684811592102,5,4272018.944,47302.37512207031
19,10.133356750011444,18,4456865.315555556,29775.33447265625
20,16.519724369049072,25,3534914.688,34538.792651367185
21,-1.0,1,4425442.5600000005,0.0
22,31.948558151721954,46,3478192.8139130436,24945.933844856594
23,-1.0,1,2547301.12,0.0
24,-1.0,1,3968378.2399999998,0.0
25,-1.0,1,4159967.36,0.0
26,51.756624817848206,70,3063219.055999999,22906.588499450685
27,-1.0,1,3677848.64,0.0
28,-1.0,1,5171067.52,0.0
29,41.703273236751556,60,3603110.826666667,26301.70401535034
30,7.1759032011032104,14,4897674.994285713,30479.898539951868
31,12.101482331752777,23,5149690.810434782,29877.074669215992
32,-1.0,1,4838816.64,0.0
33,69.29471838474274,118,4445631.636610167,18606.04437686023
34,5.029136657714844,10,4384270.848,31489.366635131835
35,36.77718299627304,53,3585514.5147169824,25300.302056078643
36,1.312969446182251,5,5282515.84,23221.262548828126
37,44.67455518245697,60,2963690.1280000005,22462.319615936278
38,61.38962882757187,100,4492439.555199999,27766.979203276635
39,3.506528675556183,8,4660406.44,43245.04648590088
40,1.5105715990066528,5,4843309.76,27736.618029785157
41,18.401357769966125,29,4012208.1324137934,33849.5342717664
42,20.704229533672333,33,4167029.8472727286,15444.263359763405
43,81.25360149145126,115,3622725.117217391,16316.030414373978
44,6.21837306022644,12,4519564.9333333345,37058.88006591797
45,74.5655448436737,113,4230888.934513274,19757.35178049898
46,30.32900196313858,46,3948548.271304348,30191.046369801395
47,5.766143798828125,11,4218124.741818181,38101.66352150657
48,30.52846646308899,43,3260643.0102325575,27805.34097928779
49,3.810281455516815,8,3961337.0800000005,69480.71060943604
50,-1.0,1,3190865.92,0.0
51,-1.0,1,4690278.72,0.0
